date;open;high;low;close;volume
1990-03-28;13.75;13.75;13.75;13.75;30.0
1990-03-29;14.12;14.12;14.12;14.12;2252.0
1990-03-30;14.12;14.12;14.12;14.12;0.0
1990-04-02;14.25;14.25;14.25;14.25;1867.0
1990-04-03;14.25;14.25;14.25;14.25;178.0
1990-04-04;14.75;14.75;14.75;14.75;178.0
1990-04-05;14.75;14.75;14.75;14.75;0.0
1990-04-06;14.5;14.5;14.5;14.5;385.0
1990-04-09;14.5;14.5;14.5;14.5;0.0
1990-04-10;14.25;14.25;14.25;14.25;1630.0
1990-04-11;14.25;14.25;14.25;14.25;978.0
1990-04-12;14.0;14.0;14.0;14.0;978.0
1990-04-16;14.0;14.0;14.0;14.0;0.0
1990-04-17;14.0;14.0;14.0;14.0;0.0
1990-04-18;14.0;14.0;14.0;14.0;0.0
1990-04-19;14.25;14.25;14.25;14.25;8000.0
1990-04-20;14.0;14.0;14.0;14.0;30.0
1990-04-23;14.0;14.0;14.0;14.0;178.0
1990-04-24;14.0;14.0;14.0;14.0;0.0
1990-04-25;14.0;14.0;14.0;14.0;178.0
1990-04-26;14.0;14.0;14.0;14.0;178.0
1990-04-27;14.0;14.0;14.0;14.0;0.0
1990-04-30;14.0;14.0;14.0;14.0;0.0
1990-05-01;14.25;14.38;14.25;14.38;12385.0
1990-05-02;14.38;14.38;14.38;14.38;0.0
1990-05-03;14.38;14.38;14.38;14.38;0.0
1990-05-04;14.38;14.38;14.38;14.38;0.0
1990-05-07;14.38;14.38;14.38;14.38;0.0
1990-05-08;14.38;14.38;14.38;14.38;0.0
1990-05-09;14.38;14.38;14.38;14.38;0.0
1990-05-10;14.38;14.38;14.38;14.38;0.0
1990-05-11;14.38;14.38;14.38;14.38;0.0
1990-05-14;14.25;14.25;14.25;14.25;30.0
1990-05-15;14.25;14.25;14.25;14.25;2430.0
1990-05-16;14.38;14.38;14.38;14.38;1452.0
1990-05-17;14.25;14.25;14.25;14.25;178.0
1990-05-18;14.25;14.25;14.25;14.25;4652.0
1990-05-21;14.25;14.25;14.25;14.25;0.0
1990-05-22;14.25;14.25;14.25;14.25;800.0
1990-05-23;14.25;14.25;14.25;14.25;5185.0
1990-05-24;14.25;14.25;14.25;14.25;5600.0
1990-05-25;14.0;14.0;14.0;14.0;1867.0
1990-05-29;14.0;14.25;14.0;14.0;13867.0
1990-05-30;14.0;14.0;14.0;14.0;0.0
1990-05-31;14.5;14.5;14.5;14.5;385.0
1990-06-01;14.0;14.5;14.0;14.5;71200.0
1990-06-04;14.5;14.5;14.5;14.5;978.0
1990-06-05;14.5;14.5;14.5;14.5;267.0
1990-06-06;14.5;14.5;14.5;14.5;267.0
1990-06-07;14.5;14.5;14.5;14.5;6844.0
1990-06-08;14.5;14.63;14.5;14.5;6044.0
1990-06-11;14.5;14.5;14.5;14.5;0.0
1990-06-12;14.5;14.75;14.5;14.5;652.0
1990-06-13;14.5;14.5;14.5;14.5;4978.0
1990-06-14;14.5;14.5;14.5;14.5;563.0
