date;open;high;low;close;volume
2007-11-09;15.6;16.36;15.02;16.14;983200.0
2007-11-12;16.0;16.17;15.82;16.13;180200.0
2007-11-13;16.05;16.65;16.05;16.65;58800.0
2007-11-14;16.65;16.65;16.51;16.6;354000.0
2007-11-15;16.61;16.62;16.28;16.4;49100.0
2007-11-16;16.33;16.5;16.3;16.48;24700.0
2007-11-19;16.35;16.44;16.32;16.32;4000.0
2007-11-20;16.35;16.35;16.15;16.24;27300.0
2007-11-21;16.26;16.26;16.05;16.06;9300.0
2007-11-23;16.1;16.11;15.99;16.08;9900.0
2007-11-26;16.1;16.15;16.05;16.1;14100.0
2007-11-27;16.1;16.24;16.01;16.09;39600.0
2007-11-28;16.18;16.25;16.1;16.1;16700.0
2007-11-29;16.2;16.3;16.15;16.3;25100.0
2007-11-30;16.45;16.5;16.31;16.5;7900.0
2007-12-03;16.5;16.5001;16.475;16.5001;2900.0
2007-12-04;16.5;16.51;16.4;16.5;5300.0
2007-12-05;16.51;16.51;16.0;16.15;13000.0
2007-12-06;16.16;16.22;16.15;16.17;13900.0
2007-12-07;16.15;16.29;15.95;16.06;15800.0
2007-12-10;16.11;16.24;16.11;16.2;37900.0
2007-12-11;16.2;16.2;15.8;16.05;68000.0
2007-12-12;16.0;16.1;15.75;15.75;37600.0
2007-12-13;15.65;15.76;15.25;15.26;33500.0
2007-12-14;15.3;15.6;15.26;15.6;41400.0
2007-12-17;15.6;15.69;15.6;15.62;12100.0
2007-12-18;15.66;15.66;14.52;14.52;47800.0
2007-12-19;14.76;14.76;14.03;14.03;53900.0
2007-12-20;14.01;14.05;12.9;13.25;91700.0
2007-12-21;13.25;13.88;12.1;12.1;732700.0
2007-12-24;12.15;14.45;12.15;14.42;194800.0
2007-12-26;14.41;14.85;13.55;14.8;75300.0
2007-12-27;14.65;14.93;13.8;13.96;103700.0
2007-12-28;13.96;14.55;13.75;14.13;80100.0
2007-12-31;14.4362;14.78;13.9;14.4;96000.0
2008-01-02;14.27;14.49;13.74;13.75;31300.0
2008-01-03;13.75;13.8;12.3;12.65;178200.0
2008-01-04;12.4;12.65;10.78;11.0;199200.0
2008-01-07;11.06;11.8;11.0;11.39;129200.0
2008-01-08;11.41;11.7;11.06;11.12;105400.0
2008-01-09;11.14;11.68;11.1;11.27;75700.0
2008-01-10;11.29;11.41;10.7;11.21;341900.0
2008-01-11;11.0;11.0;10.73;10.77;28800.0
2008-01-14;10.75;11.44;10.75;10.99;56800.0
2008-01-15;11.0;11.03;10.1;10.58;48600.0
2008-01-16;10.57;10.8;10.57;10.7;206900.0
2008-01-17;10.75;12.0;10.67;10.79;21800.0
2008-01-18;10.7;11.23;10.7;10.96;26900.0
2008-01-22;11.84;11.9;10.6;11.03;72000.0
2008-01-23;10.95;11.22;10.62;10.67;71700.0
2008-01-24;10.7;10.7;10.48;10.63;124800.0
2008-01-25;10.65;10.7;10.45;10.48;30100.0
2008-01-28;10.24;11.25;10.224;10.55;54600.0
2008-01-29;10.5;10.57;10.45;10.55;10300.0
2008-01-30;10.55;10.7399;10.35;10.35;265800.0
2008-01-31;10.25;10.25;9.62;9.81;51500.0
2008-02-01;10.03;10.33;9.75;9.79;613000.0
2008-02-04;9.79;10.63;9.79;10.18;222200.0
2008-02-05;10.28;10.54;9.85;9.86;74100.0
2008-02-06;9.92;10.05;9.8;9.84;54600.0
2008-02-07;9.86;10.18;9.86;9.98;54800.0
2008-02-08;10.0;10.05;9.82;10.035;32800.0
2008-02-11;10.05;10.05;9.7;9.85;21300.0
2008-02-12;10.09;10.09;9.9;9.98;58500.0
2008-02-13;10.05;10.54;9.91;9.99;93800.0
2008-02-14;9.99;9.99;9.75;9.75;29100.0
2008-02-15;9.75;9.75;8.88;9.09;324600.0
2008-02-19;9.23;9.5;8.85;8.93;121200.0
2008-02-20;9.0;9.3;9.0;9.1;90900.0
2008-02-21;9.35;9.73;9.25;9.27;20500.0
2008-02-22;9.25;9.36;9.0;9.03;20000.0
2008-02-25;9.89;9.89;9.07;9.28;22700.0
2008-02-26;9.5;9.5;9.01;9.14;18900.0
2008-02-27;9.0;9.44;9.0;9.08;64900.0
2008-02-28;9.32;9.32;8.7;8.82;59900.0
2008-02-29;8.8;9.0;8.37;8.66;66500.0
2008-03-03;8.6;8.65;8.05;8.13;53200.0
2008-03-04;8.18;8.29;7.97;8.0;63100.0
2008-03-05;8.02;8.255;7.92;7.97;77400.0
2008-03-06;8.0;8.0;7.5;7.52;107000.0
2008-03-07;7.91;8.9099;7.702;8.65;107400.0
2008-03-10;9.0;9.5299;8.84;8.96;81200.0
2008-03-11;9.22;10.07;9.11;10.07;26900.0
2008-03-12;10.49;10.56;9.65;10.55;63200.0
2008-03-13;10.66;10.85;10.6;10.8;49100.0
2008-03-14;10.88;10.88;10.42;10.51;33000.0
2008-03-17;10.71;10.71;9.1;9.42;16900.0
2008-03-18;9.28;9.5;9.28;9.5;23100.0
2008-03-19;9.76;10.18;9.3;9.3;45300.0
2008-03-20;9.29;9.29;8.31;9.03;149400.0
2008-03-24;9.22;9.34;9.01;9.15;53500.0
2008-03-25;9.1;9.25;9.1;9.16;22700.0
2008-03-26;9.13;9.23;9.09;9.15;19100.0
2008-03-27;9.26;9.26;8.67;8.76;16700.0
2008-03-28;8.75;9.28;8.75;8.88;10300.0
2008-03-31;9.48;9.48;9.1101;9.27;15000.0
2008-04-01;9.5;9.5;9.25;9.48;25300.0
2008-04-02;9.5;9.5;9.22;9.4;12800.0
2008-04-03;9.3;9.45;9.13;9.4;20500.0
2008-04-04;9.42;9.46;9.2;9.45;52100.0
2008-04-07;9.73;9.73;9.25;9.25;248700.0
2008-04-08;9.36;9.36;9.26;9.28;16700.0
2008-04-09;9.26;9.27;9.2;9.25;23800.0
2008-04-10;9.25;9.78;9.17;9.78;15000.0
2008-04-11;9.64;9.64;9.25;9.28;40900.0
2008-04-14;9.42;9.54;9.37;9.38;55200.0
2008-04-15;9.49;9.5;9.15;9.27;120400.0
2008-04-16;9.38;9.5;9.26;9.42;24600.0
2008-04-17;9.31;9.4;9.25;9.32;6600.0
2008-04-18;9.36;10.09;9.36;10.06;265400.0
2008-04-21;10.1;10.27;9.86;9.91;41200.0
2008-04-22;9.7;10.05;9.6;9.71;18300.0
2008-04-23;9.77;10.0;9.63;9.81;2200.0
2008-04-24;9.85;9.9;9.6;9.9;4900.0
2008-04-25;10.0;10.2;9.99;10.19;29700.0
2008-04-28;10.2;10.2;9.95;10.12;22000.0
2008-04-29;10.21;10.36;9.66;9.66;14100.0
2008-04-30;9.53;9.66;9.52;9.61;6000.0
2008-05-01;9.62;9.83;9.5;9.7;7000.0
2008-05-02;9.94;9.94;9.5;9.64;12500.0
2008-05-05;9.56;9.75;9.51;9.6;64900.0
2008-05-06;9.6;9.7;8.97;9.03;347700.0
2008-05-07;9.06;9.12;8.66;8.7;36100.0
2008-05-08;8.94;9.74;8.94;9.25;118200.0
2008-05-09;9.31;9.62;9.31;9.54;156700.0
2008-05-12;9.45;9.6;9.39;9.5;47500.0
2008-05-13;9.49;9.71;9.21;9.35;64900.0
2008-05-14;9.3;9.99;9.3;9.68;25500.0
2008-05-15;9.66;9.75;9.47;9.74;11500.0
2008-05-16;9.85;9.9;9.4;9.51;29000.0
2008-05-19;9.65;9.97;9.54;9.59;24700.0
2008-05-20;9.6;9.75;9.58;9.66;25700.0
2008-05-21;9.7;9.89;9.58;9.83;45500.0
2008-05-22;9.94;10.47;9.87;10.47;33000.0
2008-05-23;10.33;10.56;10.0;10.15;57600.0
2008-05-27;10.15;10.89;10.15;10.62;37200.0
2008-05-28;10.69;10.76;10.5;10.75;41200.0
2008-05-29;10.7;10.84;10.4;10.59;47100.0
2008-05-30;10.74;10.9;10.41;10.41;182600.0
2008-06-02;10.55;10.9;10.53;10.87;52400.0
2008-06-03;10.9;11.01;10.65;11.01;40900.0
2008-06-04;10.75;11.21;10.64;11.1;35200.0
2008-06-05;11.05;11.35;11.0;11.35;51100.0
2008-06-06;11.32;11.44;11.2;11.25;28600.0
2008-06-09;11.34;11.51;11.23;11.45;33500.0
2008-06-10;11.43;11.83;11.25;11.83;42500.0
2008-06-11;11.88;11.94;11.55;11.63;99300.0
2008-06-12;11.84;11.84;11.6;11.655;48800.0
2008-06-13;11.74;11.76;11.52;11.69;77500.0
2008-06-16;11.91;12.25;11.74;12.15;78500.0
2008-06-17;12.14;12.2499;11.85;11.85;32400.0
2008-06-18;11.76;11.86;11.56;11.6;60500.0
2008-06-19;11.65;11.65;11.1;11.45;135800.0
