date;open;high;low;close;volume
1995-03-29;35.5;35.5;35.5;35.5;300.0
1995-03-30;35.5;35.5;35.5;35.5;300.0
1995-03-31;35.5;35.5;35.5;35.5;0.0
1995-04-03;35.5;35.5;34.0;35.12;6600.0
1995-04-04;35.5;35.5;35.5;35.5;300.0
1995-04-05;34.0;35.5;34.0;35.5;14700.0
1995-04-06;35.5;35.5;35.5;35.5;0.0
1995-04-07;34.25;34.25;34.25;34.25;600.0
1995-04-10;35.75;35.75;34.25;34.25;2700.0
1995-04-11;34.25;35.75;34.25;35.75;3600.0
1995-04-12;35.75;35.75;35.75;35.75;0.0
1995-04-13;34.25;35.75;34.25;35.75;8100.0
1995-04-17;35.0;35.75;34.25;35.0;6000.0
1995-04-18;35.0;35.0;34.25;34.25;9000.0
1995-04-19;34.25;34.25;34.25;34.25;18300.0
1995-04-20;35.0;35.0;34.25;34.25;15000.0
1995-04-21;35.75;35.75;34.25;34.25;6300.0
1995-04-24;35.5;35.5;35.5;35.5;300.0
1995-04-25;35.75;35.75;35.75;35.75;300.0
1995-04-26;35.75;35.75;35.75;35.75;0.0
1995-04-27;35.75;35.75;35.75;35.75;0.0
1995-04-28;35.75;35.75;34.25;34.25;1200.0
1995-05-01;34.25;34.25;34.25;34.25;3000.0
1995-05-02;34.75;34.75;34.25;34.25;600.0
1995-05-03;34.75;34.75;34.75;34.75;300.0
1995-05-04;34.75;34.75;34.75;34.75;900.0
1995-05-05;34.75;34.75;34.75;34.75;1500.0
1995-05-08;34.75;34.75;34.75;34.75;600.0
1995-05-09;33.25;33.5;33.25;33.5;1800.0
1995-05-10;34.75;34.75;33.5;33.5;1200.0
1995-05-11;33.5;33.5;33.5;33.5;0.0
1995-05-12;34.0;34.0;33.25;33.25;3600.0
1995-05-15;33.25;33.25;33.25;33.25;0.0
1995-05-16;33.25;33.25;33.25;33.25;0.0
1995-05-17;33.25;33.25;33.25;33.25;0.0
1995-05-18;34.75;34.75;32.25;32.25;12300.0
1995-05-19;32.25;32.25;32.25;32.25;0.0
1995-05-22;32.25;32.25;32.25;32.25;2700.0
1995-05-23;32.25;32.25;30.75;30.75;2100.0
1995-05-24;32.25;32.25;32.25;32.25;300.0
1995-05-25;32.25;32.25;32.25;32.25;0.0
1995-05-26;31.75;31.75;30.75;30.75;1200.0
1995-05-30;30.75;30.75;30.75;30.75;0.0
1995-05-31;32.25;32.25;32.25;32.25;300.0
1995-06-01;30.75;31.25;30.75;31.25;2100.0
1995-06-02;31.25;31.25;31.25;31.25;0.0
1995-06-05;30.75;31.75;28.0;28.0;17400.0
1995-06-06;28.0;30.5;28.0;30.5;4500.0
1995-06-07;30.5;30.5;30.5;30.5;300.0
1995-06-08;28.5;29.5;28.5;29.5;600.0
