date;open;high;low;close;volume
1980-06-12;6.87;7.37;6.87;6.87;222983.0
1980-06-13;7.13;7.37;7.13;7.13;81317.0
1980-06-16;7.13;7.13;6.75;6.75;41600.0
1980-06-17;6.75;7.13;6.75;6.75;40450.0
1980-06-18;7.88;8.25;7.88;7.88;108650.0
1980-06-19;7.88;8.25;7.5;7.5;46167.0
1980-06-20;7.88;8.25;7.88;7.88;18000.0
1980-06-23;8.25;9.0;8.25;8.25;72200.0
1980-06-24;8.5;9.0;8.5;8.5;61533.0
1980-06-25;8.5;9.0;8.25;8.25;14450.0
1980-06-26;8.5;9.0;8.5;8.5;25417.0
1980-06-27;8.5;8.75;8.25;8.25;18133.0
1980-06-30;9.0;9.38;9.0;9.0;47200.0
1980-07-01;9.38;9.88;9.38;9.38;32350.0
1980-07-02;9.62;10.25;9.62;9.62;29817.0
1980-07-03;10.5;10.75;10.5;10.5;37717.0
1980-07-07;10.5;10.75;10.5;10.5;44683.0
1980-07-08;10.5;10.5;10.25;10.25;29983.0
1980-07-09;10.5;10.75;10.5;10.5;11250.0
1980-07-10;10.5;10.5;10.13;10.13;20700.0
1980-07-11;10.5;10.75;10.5;10.5;17500.0
1980-07-14;10.5;10.5;10.13;10.13;24067.0
1980-07-15;10.13;10.13;9.62;9.62;26100.0
1980-07-16;10.13;10.5;10.13;10.13;28267.0
1980-07-17;10.5;10.75;10.5;10.5;19500.0
1980-07-18;11.0;11.25;11.0;11.0;21050.0
1980-07-21;11.25;11.38;11.25;11.25;14600.0
1980-07-22;11.25;11.38;11.25;11.25;26567.0
1980-07-23;11.25;11.62;11.25;11.25;17867.0
1980-07-24;11.25;11.38;11.25;11.25;16300.0
1980-07-25;12.75;13.0;12.75;12.75;74367.0
1980-07-28;13.87;14.13;13.87;13.87;61533.0
1980-07-29;14.88;15.0;14.88;14.88;56983.0
1980-07-30;14.88;14.88;14.38;14.38;49217.0
1980-07-31;14.5;14.5;14.5;14.5;66117.0
1980-08-01;14.5;14.5;14.38;14.38;26100.0
1980-08-04;13.63;13.63;13.38;13.38;31483.0
1980-08-05;13.38;13.63;13.38;13.38;16650.0
1980-08-06;13.38;13.63;13.38;13.38;21050.0
1980-08-07;13.87;14.13;13.87;13.87;13433.0
1980-08-08;14.13;14.38;14.13;14.13;18483.0
1980-08-11;13.87;13.87;13.87;13.87;15283.0
1980-08-12;13.87;14.13;13.87;13.87;33350.0
1980-08-13;14.88;15.0;14.88;14.88;21883.0
1980-08-14;16.12;16.38;16.12;16.12;48383.0
1980-08-15;16.38;16.88;16.38;16.38;17867.0
1980-08-18;17.13;17.25;17.13;17.13;34367.0
1980-08-19;17.25;17.25;17.25;17.25;19150.0
1980-08-20;18.87;19.13;18.87;18.87;41450.0
1980-08-21;20.0;20.25;20.0;20.0;60183.0
1980-08-22;20.0;20.25;20.0;20.0;53767.0
1980-08-25;20.0;20.25;20.0;20.0;17300.0
1980-08-26;19.75;19.75;19.5;19.5;32650.0
1980-08-27;20.37;20.63;20.37;20.37;53950.0
1980-08-28;21.13;21.38;21.13;21.13;34050.0
1980-08-29;24.25;24.63;24.25;24.25;63550.0
1980-09-02;26.25;26.5;26.25;26.25;58183.0
1980-09-03;24.88;24.88;24.25;24.25;162333.0
1980-09-04;24.88;25.12;24.88;24.88;47683.0
1980-09-05;25.62;25.75;25.62;25.62;52417.0
1980-09-08;24.88;24.88;24.25;24.25;33350.0
1980-09-09;24.88;25.62;24.88;24.88;27433.0
1980-09-10;26.25;26.5;26.25;26.25;23383.0
1980-09-11;26.25;26.5;25.75;25.75;6000.0
1980-09-12;26.88;27.75;26.88;26.88;10400.0
1980-09-15;30.75;31.0;30.75;30.75;35883.0
1980-09-16;30.75;30.75;29.87;29.87;34050.0
1980-09-17;29.87;30.38;29.87;29.87;17500.0
1980-09-18;29.37;29.37;28.75;28.75;21367.0
1980-09-19;30.38;30.75;30.38;30.38;11917.0
1980-09-22;30.12;30.12;29.37;29.37;7167.0
1980-09-23;28.75;28.75;28.13;28.13;7167.0
1980-09-24;28.13;28.13;27.75;27.75;30983.0
1980-09-25;27.75;28.5;27.37;27.37;10400.0
1980-09-26;27.37;27.63;27.25;27.25;23717.0
1980-09-29;24.88;24.88;24.0;24.0;21367.0
1980-09-30;27.75;28.13;27.75;27.75;22550.0
1980-10-01;28.5;28.75;28.5;28.5;26783.0
1980-10-02;28.5;28.5;27.75;27.75;5833.0
1980-10-03;27.75;28.5;27.75;27.75;7850.0
1980-10-06;27.63;27.63;27.37;27.37;6833.0
1980-10-07;26.88;26.88;26.25;26.25;4317.0
1980-10-08;26.25;26.5;26.25;26.25;8000.0
1980-10-09;25.75;25.75;25.38;25.38;8850.0
1980-10-10;26.5;27.25;26.5;26.5;19850.0
1980-10-13;28.5;29.25;28.5;28.5;13083.0
1980-10-14;28.5;28.5;27.63;27.63;77250.0
1980-10-15;27.63;28.5;27.63;27.63;19150.0
1980-10-16;27.63;28.13;27.63;27.63;29983.0
1980-10-17;27.25;27.25;26.88;26.88;12233.0
1980-10-20;27.25;27.37;27.25;27.25;3800.0
1980-10-21;27.75;28.5;27.75;27.75;19500.0
1980-10-22;27.75;28.13;27.75;27.75;3467.0
1980-10-23;26.88;26.88;25.75;25.75;7733.0
1980-10-24;27.25;27.75;27.25;27.25;9883.0
1980-10-27;27.25;27.63;27.25;27.25;6350.0
1980-10-28;26.88;26.88;26.25;26.25;7733.0
1980-10-29;24.88;24.88;24.0;24.0;14600.0
1980-10-30;25.12;25.62;25.12;25.12;20700.0
1980-10-31;25.12;25.38;24.88;24.88;17650.0
1980-11-03;25.75;26.5;25.75;25.75;7367.0
1980-11-05;27.25;27.75;27.25;27.25;31800.0
1980-11-06;26.88;26.88;26.25;26.25;8850.0
1980-11-07;26.25;26.5;25.75;25.75;4800.0
1980-11-10;12.87;12.87;12.12;12.12;4567.0
1980-11-11;12.12;12.38;12.0;12.0;27367.0
1980-11-12;12.38;12.62;12.38;12.38;20433.0
1980-11-13;13.62;14.25;13.62;13.62;32600.0
1980-11-14;13.13;13.13;12.87;12.87;14067.0
1980-11-17;12.62;12.62;12.38;12.38;11333.0
1980-11-18;12.62;12.87;12.62;12.62;5633.0
1980-11-19;12.62;13.13;12.38;12.38;14900.0
1980-11-20;12.38;12.87;12.12;12.12;6767.0
1980-11-21;12.12;12.38;12.0;12.0;11667.0
1980-11-24;12.0;12.0;11.5;11.5;8733.0
1980-11-25;12.0;12.12;12.0;12.0;14333.0
1980-11-26;12.0;12.12;12.0;12.0;4067.0
1980-11-28;12.12;12.62;12.12;12.12;15167.0
1980-12-01;13.38;13.62;13.38;13.38;52033.0
1980-12-02;13.13;13.13;12.87;12.87;20433.0
1980-12-03;14.88;15.13;14.88;14.88;66167.0
1980-12-04;14.88;15.13;14.62;14.62;61133.0
1980-12-05;14.62;14.88;14.62;14.62;18233.0
1980-12-08;13.38;13.38;12.62;12.62;16667.0
1980-12-09;12.62;13.13;12.62;12.62;14733.0
1980-12-10;12.62;12.62;12.12;12.12;10100.0
1980-12-11;12.0;12.0;11.63;11.63;16300.0
1980-12-12;12.12;12.38;12.12;12.12;14067.0
1980-12-15;12.12;12.12;11.63;11.63;10667.0
1980-12-16;11.63;12.0;11.5;11.5;2533.0
1980-12-17;11.5;12.0;11.5;11.5;6067.0
1980-12-18;11.63;12.0;11.63;11.63;6067.0
1980-12-19;11.63;12.0;11.63;11.63;10667.0
1980-12-22;12.0;12.12;12.0;12.0;14067.0
1980-12-23;11.63;11.63;11.5;11.5;10100.0
1980-12-24;11.5;11.63;11.25;11.25;3733.0
1980-12-26;11.25;11.63;11.25;11.25;100.0
1980-12-29;11.25;11.63;11.25;11.25;8633.0
1980-12-30;11.25;11.5;10.87;10.87;3733.0
1980-12-31;10.87;11.25;10.87;10.87;20100.0
1981-01-02;10.87;11.25;10.87;10.87;3367.0
1981-01-05;10.63;10.63;10.37;10.37;7900.0
1981-01-06;11.5;11.63;11.5;11.5;41867.0
1981-01-07;11.25;11.25;10.87;10.87;29567.0
1981-01-08;12.87;13.38;12.87;12.87;37133.0
1981-01-09;14.62;15.13;14.62;14.62;81067.0
1981-01-12;14.88;15.13;14.88;14.88;49500.0
1981-01-13;14.88;14.88;14.62;14.62;27367.0
1981-01-14;13.87;13.87;13.62;13.62;21933.0
1981-01-15;13.62;13.87;13.62;13.62;15867.0
1981-01-16;14.25;14.37;14.25;14.25;20433.0
1981-01-19;14.25;14.37;14.25;14.25;11667.0
1981-01-20;13.62;13.62;13.13;13.13;14067.0
1981-01-21;13.62;13.87;13.62;13.62;18233.0
1981-01-22;13.62;13.87;13.62;13.62;30067.0
1981-01-23;13.87;14.25;13.87;13.87;12833.0
1981-01-26;13.87;14.25;13.87;13.87;10100.0
1981-01-27;13.87;14.25;13.87;13.87;29200.0
1981-01-28;13.87;13.87;13.62;13.62;11000.0
1981-01-29;13.62;13.87;13.62;13.62;5233.0
1981-01-30;13.38;13.38;12.87;12.87;5767.0
1981-02-02;12.0;12.0;11.63;11.63;14733.0
1981-02-03;12.0;12.12;12.0;12.0;7600.0
1981-02-04;12.12;12.38;12.12;12.12;13167.0
1981-02-05;12.38;12.62;12.38;12.38;4067.0
1981-02-06;13.62;13.87;13.62;13.62;52033.0
1981-02-09;13.87;14.25;13.87;13.87;18233.0
1981-02-10;14.37;14.62;14.37;14.37;28567.0
1981-02-11;15.37;15.75;15.37;15.37;56533.0
1981-02-12;15.37;15.37;15.13;15.13;26867.0
1981-02-13;15.88;16.5;15.88;15.88;21633.0
1981-02-17;16.12;16.63;16.12;16.12;38800.0
1981-02-18;15.88;15.88;15.37;15.37;20100.0
1981-02-19;15.37;15.37;15.13;15.13;24367.0
1981-02-20;15.13;15.13;14.88;14.88;30400.0
1981-02-23;14.88;15.13;14.62;14.62;3733.0
1981-02-24;14.62;14.62;14.25;14.25;14067.0
1981-02-25;14.25;14.25;13.87;13.87;20433.0
1981-02-26;14.88;15.13;14.88;14.88;21933.0
1981-02-27;15.75;16.12;15.75;15.75;46333.0
1981-03-02;15.75;15.88;15.75;15.75;17133.0
1981-03-03;14.88;14.88;14.62;14.62;16300.0
1981-03-04;15.37;15.75;15.37;15.37;38300.0
1981-03-05;15.37;15.88;15.37;15.37;22500.0
1981-03-06;15.75;15.88;15.75;15.75;10333.0
1981-03-09;15.75;15.75;15.37;15.37;14067.0
1981-03-10;15.75;16.12;15.75;15.75;32600.0
1981-03-11;17.63;17.87;17.63;17.63;100367.0
1981-03-12;18.75;18.87;18.75;18.75;38300.0
1981-03-13;18.75;18.75;18.38;18.38;31933.0
1981-03-16;18.87;19.38;18.87;18.87;18933.0
1981-03-17;21.37;21.88;21.37;21.37;59633.0
1981-03-18;23.37;23.75;23.37;23.37;80233.0
1981-03-19;24.37;24.75;24.37;24.37;49800.0
1981-03-20;27.13;27.37;27.13;27.13;91233.0
1981-03-23;23.37;23.37;23.25;23.25;96200.0
1981-03-24;24.75;24.87;24.75;24.75;58167.0
1981-03-25;25.87;26.12;25.87;25.87;46333.0
1981-03-26;25.87;26.12;25.87;25.87;40200.0
1981-03-27;25.12;25.12;24.87;24.87;17367.0
1981-03-30;24.87;25.12;24.87;24.87;13400.0
1981-03-31;25.5;25.62;25.5;25.5;24700.0
1981-04-01;25.5;25.62;25.5;25.5;6067.0
1981-04-02;25.5;25.62;25.5;25.5;9133.0
1981-04-03;27.13;27.37;27.13;27.13;23167.0
1981-04-06;29.37;30.0;29.37;29.37;54433.0
1981-04-07;30.12;30.87;30.12;30.12;35000.0
1981-04-08;30.5;30.87;30.5;30.5;13167.0
1981-04-09;30.87;31.12;30.87;30.87;15167.0
1981-04-10;31.12;31.63;31.12;31.12;14333.0
1981-04-13;18.0;18.37;18.0;18.0;33433.0
1981-04-14;20.12;20.37;20.12;20.12;144667.0
1981-04-15;22.37;22.88;22.37;22.37;120333.0
1981-04-16;20.87;20.87;20.62;20.62;205867.0
1981-04-20;17.5;17.5;17.25;17.25;125933.0
1981-04-21;20.12;20.62;20.12;20.12;125933.0
1981-04-22;21.75;22.12;21.75;21.75;111267.0
1981-04-23;20.87;20.87;20.62;20.62;78800.0
1981-04-24;21.13;21.37;21.13;21.13;65067.0
1981-04-27;21.13;21.37;20.87;20.87;20333.0
1981-04-28;20.87;21.13;20.62;20.62;56200.0
1981-04-29;22.62;23.12;22.62;22.62;91333.0
1981-04-30;22.62;22.88;22.37;22.37;69267.0
1981-05-01;22.12;22.12;21.87;21.87;24467.0
1981-05-04;20.37;20.37;20.12;20.12;74067.0
1981-05-05;19.5;19.5;19.12;19.12;36000.0
1981-05-06;19.12;19.5;18.62;18.62;15800.0
1981-05-07;18.13;18.13;18.0;18.0;38600.0
1981-05-08;19.88;20.12;19.88;19.88;59133.0
1981-05-11;19.62;19.62;19.12;19.12;29467.0
1981-05-12;19.12;19.12;18.87;18.87;13000.0
1981-05-13;18.87;19.5;18.87;18.87;11267.0
1981-05-14;18.87;19.5;18.87;18.87;28800.0
1981-05-15;20.12;20.62;20.12;20.12;58467.0
1981-05-18;20.37;21.13;20.37;20.37;39333.0
1981-05-19;20.12;20.12;19.62;19.62;34800.0
1981-05-20;19.5;19.5;19.12;19.12;14200.0
1981-05-21;18.87;18.87;18.62;18.62;43933.0
1981-05-22;20.12;20.62;20.12;20.12;55733.0
1981-05-26;18.87;18.87;18.37;18.37;23733.0
1981-05-27;19.5;19.88;19.5;19.5;36000.0
1981-05-28;19.5;19.88;19.5;19.5;12933.0
1981-05-29;19.5;19.62;18.87;18.87;9933.0
1981-06-01;18.62;18.62;18.37;18.37;27467.0
1981-06-02;18.13;18.13;18.0;18.0;13000.0
1981-06-03;18.0;18.0;17.5;17.5;17800.0
1981-06-04;17.5;18.0;17.5;17.5;19733.0
1981-06-05;17.25;17.25;16.62;16.62;13000.0
1981-06-08;16.38;16.38;15.87;15.87;63867.0
1981-06-09;15.75;15.75;15.25;15.25;47067.0
1981-06-10;15.25;15.37;14.63;14.63;25467.0
1981-06-11;17.0;17.5;17.0;17.0;82133.0
1981-06-12;17.62;18.13;17.62;17.62;32667.0
1981-06-15;18.13;18.62;18.13;18.13;18333.0
1981-06-16;18.37;19.12;18.37;18.37;31133.0
1981-06-17;18.37;18.62;18.0;18.0;14933.0
1981-06-18;18.0;18.0;17.5;17.5;31467.0
1981-06-19;18.13;18.62;18.13;18.13;12333.0
1981-06-22;18.37;18.62;18.37;18.37;32667.0
1981-06-23;18.37;18.62;18.13;18.13;12333.0
1981-06-24;18.87;19.5;18.87;18.87;36467.0
1981-06-25;18.87;19.12;18.37;18.37;11867.0
1981-06-26;18.37;18.87;18.37;18.37;12133.0
1981-06-29;18.37;18.62;18.13;18.13;25667.0
1981-06-30;17.62;17.62;17.0;17.0;17333.0
1981-07-01;18.13;18.62;18.13;18.13;44533.0
1981-07-02;18.13;18.37;17.62;17.62;26867.0
1981-07-06;17.62;17.62;17.25;17.25;21333.0
1981-07-07;17.25;17.5;16.62;16.62;8200.0
1981-07-08;16.62;16.62;15.87;15.87;14200.0
1981-07-09;15.87;16.38;15.75;15.75;18933.0
1981-07-10;16.12;16.38;16.12;16.12;10267.0
1981-07-13;16.12;16.62;16.12;16.12;7600.0
1981-07-14;16.12;16.62;16.12;16.12;34600.0
1981-07-15;16.12;16.38;15.87;15.87;8200.0
1981-07-16;15.87;16.38;15.87;15.87;13533.0
1981-07-17;15.87;16.62;15.87;15.87;17333.0
1981-07-20;16.12;16.62;16.12;16.12;24333.0
1981-07-21;16.12;16.38;15.87;15.87;10933.0
1981-07-22;15.87;15.87;15.25;15.25;7867.0
1981-07-23;15.25;15.37;15.25;15.25;28200.0
1981-07-24;15.75;16.12;15.75;15.75;26867.0
1981-07-27;15.75;16.12;15.75;15.75;15267.0
1981-07-28;15.75;15.87;15.37;15.37;12933.0
1981-07-29;15.37;15.75;15.25;15.25;5600.0
1981-07-30;15.25;15.25;15.0;15.0;17933.0
1981-07-31;14.37;14.37;14.12;14.12;34600.0
1981-08-03;14.37;15.25;14.37;14.37;40200.0
1981-08-04;15.37;15.87;15.37;15.37;24333.0
1981-08-05;18.0;18.37;18.0;18.0;81467.0
1981-08-06;18.0;18.13;17.5;17.5;34733.0
1981-08-07;18.0;18.37;18.0;18.0;24333.0
1981-08-10;17.62;17.62;17.0;17.0;67.0
1981-08-11;17.25;17.62;17.25;17.25;15267.0
1981-08-12;17.25;17.5;17.0;17.0;12933.0
1981-08-13;16.38;16.38;15.87;15.87;26467.0
1981-08-14;15.87;15.87;15.37;15.37;6800.0
1981-08-17;15.87;16.62;15.87;15.87;26867.0
1981-08-18;15.87;16.38;15.75;15.75;14200.0
1981-08-19;15.87;16.12;15.87;15.87;11600.0
1981-08-20;15.87;16.38;15.87;15.87;9333.0
1981-08-21;15.75;15.75;15.37;15.37;13000.0
1981-08-24;15.25;15.25;15.0;15.0;23333.0
1981-08-25;14.37;14.37;14.12;14.12;21333.0
1981-08-26;14.12;14.37;14.12;14.12;10600.0
1981-08-27;14.12;14.12;13.62;13.62;23333.0
1981-08-28;13.62;13.87;13.5;13.5;25067.0
1981-08-31;13.62;13.87;13.62;13.62;18667.0
1981-09-01;13.62;14.12;13.5;13.5;16000.0
1981-09-02;13.5;13.5;13.0;13.0;9467.0
1981-09-03;12.37;12.37;12.13;12.13;14333.0
1981-09-04;12.37;13.0;12.37;12.37;34800.0
1981-09-08;12.75;13.12;12.75;12.75;39867.0
1981-09-09;13.0;13.62;13.0;13.0;14600.0
1981-09-10;13.12;13.87;13.12;13.12;12133.0
1981-09-11;13.12;13.12;12.37;12.37;13600.0
1981-09-14;12.75;13.12;12.75;12.75;6733.0
