date;open;high;low;close;volume
1998-05-14;11.0;11.0;10.5;10.75;1059200.0
1998-05-15;10.75;10.81;10.5;10.63;146500.0
1998-05-18;10.38;10.5;10.31;10.31;79600.0
1998-05-19;10.38;10.5;10.13;10.19;71100.0
1998-05-20;10.06;10.31;10.0;10.31;56800.0
1998-05-21;10.38;10.44;10.19;10.31;20700.0
1998-05-22;10.44;10.5;10.31;10.5;5300.0
1998-05-26;10.5;10.5;10.25;10.25;9000.0
1998-05-27;10.25;10.38;10.0;10.25;36500.0
1998-05-28;10.13;10.56;10.13;10.44;11500.0
1998-05-29;10.56;10.69;10.13;10.13;15700.0
1998-06-01;10.0;10.19;10.0;10.19;14300.0
1998-06-02;10.19;10.19;10.0;10.0;7500.0
1998-06-03;10.13;10.19;9.688;9.875;63700.0
1998-06-04;9.938;10.0;9.75;9.938;24700.0
1998-06-05;9.813;10.0;9.75;9.875;30300.0
1998-06-08;10.13;10.25;10.0;10.25;47700.0
1998-06-09;10.25;10.5;10.19;10.38;90400.0
1998-06-10;10.38;10.38;10.12;10.19;33700.0
1998-06-11;10.25;10.25;10.13;10.19;35700.0
1998-06-12;10.25;10.44;10.0;10.06;34100.0
1998-06-15;10.0;10.13;9.563;9.563;47600.0
1998-06-16;9.688;10.0;9.688;10.0;20400.0
1998-06-17;10.06;10.13;9.75;10.06;29500.0
1998-06-18;10.06;10.25;9.875;9.875;85900.0
1998-06-19;9.938;10.0;9.938;10.0;48000.0
1998-06-22;9.75;10.0;9.75;9.875;47800.0
1998-06-23;9.938;10.06;9.813;10.0;61300.0
1998-06-24;10.0;10.31;10.0;10.25;24500.0
1998-06-25;10.06;10.25;10.0;10.0;40300.0
1998-06-26;10.0;10.31;10.0;10.13;11100.0
1998-06-29;10.13;10.13;9.938;10.06;8400.0
1998-06-30;10.0;10.25;10.0;10.13;28600.0
1998-07-01;10.19;10.63;10.13;10.63;52000.0
1998-07-02;10.5;10.63;10.5;10.56;25600.0
1998-07-06;10.44;10.44;10.25;10.25;51200.0
1998-07-07;10.25;10.31;10.06;10.13;15400.0
1998-07-08;10.19;10.19;10.0;10.0;9800.0
1998-07-09;10.0;10.31;9.938;10.06;27000.0
1998-07-10;10.19;10.5;10.13;10.25;10700.0
1998-07-13;10.25;10.25;10.0;10.06;13300.0
1998-07-14;10.0;10.19;9.875;10.0;17500.0
1998-07-15;10.0;10.0;10.0;10.0;8600.0
1998-07-16;9.938;10.06;9.938;10.0;8900.0
1998-07-17;10.06;10.13;10.06;10.06;7400.0
1998-07-20;10.0;10.06;10.0;10.06;7900.0
1998-07-21;10.19;10.25;9.938;10.0;22200.0
1998-07-22;9.938;10.06;9.938;10.0;10300.0
1998-07-23;9.875;9.938;9.875;9.938;8400.0
1998-07-24;9.875;9.938;9.75;9.875;7100.0
1998-07-27;9.75;9.875;9.5;9.688;21800.0
1998-07-28;9.625;9.625;9.375;9.375;19000.0
1998-07-29;9.313;9.313;8.625;8.75;73900.0
1998-07-30;8.813;9.063;8.75;8.875;85300.0
1998-07-31;9.0;9.125;8.875;9.125;21900.0
1998-08-03;9.125;9.125;8.875;8.938;19900.0
1998-08-04;8.813;9.0;8.75;8.875;5700.0
1998-08-05;8.813;9.125;8.813;9.125;21400.0
1998-08-06;9.188;9.25;9.125;9.188;10900.0
1998-08-07;9.188;9.188;9.0;9.0;5000.0
1998-08-10;9.063;9.063;8.875;9.0;24700.0
1998-08-11;9.0;9.063;8.938;9.0;5100.0
1998-08-12;9.0;9.063;8.75;8.75;50400.0
1998-08-13;8.563;8.813;8.438;8.75;94800.0
1998-08-14;8.75;8.938;8.625;8.875;29200.0
1998-08-17;8.938;9.0;8.875;9.0;20100.0
1998-08-18;9.0;9.438;9.0;9.375;30900.0
1998-08-19;9.25;9.25;9.0;9.125;29200.0
1998-08-20;9.0;9.25;9.0;9.188;30400.0
1998-08-21;9.125;9.188;8.938;9.0;25500.0
1998-08-24;9.0;9.188;8.938;9.063;16900.0
1998-08-25;9.188;9.188;9.0;9.063;21800.0
1998-08-26;9.063;9.125;8.875;9.0;10700.0
1998-08-27;8.875;8.875;8.625;8.688;20300.0
1998-08-28;8.75;8.75;8.688;8.688;1000.0
1998-08-31;8.75;8.75;8.313;8.313;69000.0
1998-09-01;8.438;8.438;8.25;8.438;41500.0
1998-09-02;8.5;8.75;8.5;8.688;11800.0
1998-09-03;8.625;8.625;8.5;8.563;39000.0
1998-09-04;8.625;8.625;8.5;8.5;10500.0
1998-09-08;8.625;8.688;8.5;8.563;23000.0
1998-09-09;8.625;9.0;8.563;8.875;33600.0
1998-09-10;8.938;8.938;8.813;8.813;30800.0
1998-09-11;8.875;8.875;8.75;8.813;15200.0
1998-09-14;8.875;8.875;8.688;8.688;4000.0
1998-09-15;8.688;8.938;8.625;8.938;11900.0
1998-09-16;9.063;9.188;9.0;9.188;11800.0
1998-09-17;9.125;9.125;9.0;9.0;6200.0
1998-09-18;8.813;8.813;8.625;8.688;4600.0
1998-09-21;8.688;8.875;8.688;8.875;8100.0
1998-09-22;8.875;9.0;8.875;8.938;10100.0
1998-09-23;9.0;9.25;9.0;9.063;27100.0
1998-09-24;9.0;9.313;8.938;9.313;18900.0
