date;open;high;low;close;volume
1996-08-16;11.75;12.5;10.75;11.25;6729500.0
1996-08-19;11.5;11.88;10.88;10.94;1103750.0
1996-08-20;11.0;11.25;10.88;11.0;600000.0
1996-08-21;11.0;11.0;10.5;10.5;1457000.0
1996-08-22;10.63;10.63;10.5;10.5;2114000.0
1996-08-23;10.5;10.63;10.5;10.63;341500.0
1996-08-26;10.63;10.63;10.5;10.5;180250.0
1996-08-27;10.5;10.63;10.5;10.5;99500.0
1996-08-28;10.63;10.63;10.5;10.63;131500.0
1996-08-29;10.63;10.63;10.5;10.53;35500.0
1996-08-30;10.5;10.63;10.5;10.5;40000.0
1996-09-03;10.63;10.63;10.44;10.5;348250.0
1996-09-04;10.5;10.63;10.5;10.5;157500.0
1996-09-05;10.63;10.63;10.5;10.5;135000.0
1996-09-06;10.5;10.63;10.5;10.5;123250.0
1996-09-09;10.63;10.63;10.5;10.5;166750.0
1996-09-10;10.5;10.63;10.5;10.5;74250.0
1996-09-11;10.63;10.63;8.75;8.75;734500.0
1996-09-12;9.13;9.38;8.75;9.13;492500.0
1996-09-13;9.38;9.5;9.0;9.38;137750.0
1996-09-16;9.38;9.38;9.0;9.13;178750.0
1996-09-17;9.13;9.13;8.5;8.63;254500.0
1996-09-18;8.63;8.63;8.25;8.38;254750.0
1996-09-19;8.38;8.63;8.25;8.5;186000.0
1996-09-20;8.38;9.63;8.38;9.63;547500.0
1996-09-23;9.63;9.63;9.13;9.25;362500.0
1996-09-24;9.25;9.25;8.88;9.13;200000.0
1996-09-25;9.13;9.5;9.0;9.5;368000.0
1996-09-26;9.5;10.75;9.38;10.75;436500.0
1996-09-27;10.75;12.75;10.63;12.5;614750.0
1996-09-30;12.5;13.88;12.5;13.19;536250.0
1996-10-01;13.25;13.25;10.88;11.0;733500.0
1996-10-02;11.0;11.13;11.0;11.13;154000.0
1996-10-03;11.13;12.13;11.0;12.0;206500.0
1996-10-04;12.0;12.63;12.0;12.38;209250.0
1996-10-07;12.25;13.38;12.13;12.38;408250.0
1996-10-08;12.25;12.38;11.5;11.63;238250.0
1996-10-09;11.75;11.75;11.0;11.5;268250.0
1996-10-10;11.25;12.38;11.25;12.25;318500.0
1996-10-11;12.38;13.25;12.25;12.5;694750.0
1996-10-14;12.38;12.5;12.13;12.25;250000.0
1996-10-15;12.25;12.5;11.88;12.13;225750.0
1996-10-16;12.13;12.63;11.88;12.25;268500.0
1996-10-17;12.25;12.75;12.13;12.5;230000.0
1996-10-18;12.75;12.75;12.5;12.5;262000.0
1996-10-21;12.75;12.75;12.5;12.5;68500.0
1996-10-22;12.75;12.75;11.75;11.75;166500.0
1996-10-23;11.63;11.88;11.38;11.88;248250.0
1996-10-24;11.88;12.0;11.63;11.75;113000.0
1996-10-25;11.75;11.75;11.25;11.31;51250.0
1996-10-28;11.38;11.38;10.75;10.88;243250.0
1996-10-29;10.75;11.0;10.75;10.75;127500.0
1996-10-30;10.88;10.88;10.75;10.88;103500.0
