date;open;high;low;close;volume
2007-06-01;5.7;5.85;5.5;5.75;13000.0
2007-06-04;6.0;6.0;5.9;6.0;6500.0
2007-06-05;6.15;6.15;5.55;5.55;45000.0
2007-06-06;5.55;5.55;5.55;5.55;0.0
2007-06-07;6.0;6.0;5.5;5.75;17000.0
2007-06-08;5.75;6.0;5.75;6.0;2000.0
2007-06-11;5.9;6.0;5.9;6.0;36500.0
2007-06-12;6.0;6.6;6.0;6.55;293000.0
2007-06-13;6.55;6.55;6.3;6.37;724000.0
2007-06-14;6.3;6.4;6.3;6.4;605500.0
2007-06-15;6.4;6.4;6.36;6.4;73500.0
2007-06-18;6.4;6.45;6.4;6.45;124500.0
2007-06-19;6.45;6.45;6.45;6.45;15500.0
2007-06-20;6.42;6.45;6.41;6.45;25500.0
2007-06-21;6.45;6.45;6.4;6.4;159000.0
2007-06-22;6.45;6.45;6.43;6.45;19000.0
2007-06-25;6.44;6.45;6.4;6.45;28000.0
2007-06-26;6.45;6.45;6.45;6.45;7000.0
2007-06-27;6.44;6.45;6.4;6.42;40000.0
2007-06-28;6.42;6.42;6.42;6.42;8500.0
2007-06-29;6.42;6.42;6.35;6.38;25000.0
2007-07-02;6.32;6.32;6.32;6.32;1000.0
2007-07-03;6.38;6.38;6.38;6.38;500.0
2007-07-05;6.38;6.38;6.38;6.38;78000.0
2007-07-06;6.4;6.5;6.4;6.5;407000.0
2007-07-09;6.52;6.52;6.48;6.49;7500.0
2007-07-10;6.49;6.55;6.49;6.55;42500.0
2007-07-11;6.5;6.5;6.4;6.42;269500.0
2007-07-12;6.5;6.5;6.3536;6.5;171000.0
2007-07-13;6.55;6.65;6.55;6.58;84500.0
2007-07-16;6.65;6.7;6.65;6.65;305000.0
2007-07-17;6.7;6.75;6.625;6.65;56000.0
2007-07-18;6.65;6.65;6.62;6.62;153500.0
2007-07-19;6.65;6.65;6.62;6.65;32500.0
2007-07-20;6.65;6.65;6.65;6.65;2500.0
2007-07-23;6.65;6.65;6.55;6.58;8000.0
2007-07-24;6.55;6.6;6.55;6.6;12000.0
2007-07-25;6.6;6.6;6.5;6.51;27000.0
2007-07-26;6.55;6.55;6.21;6.21;69000.0
2007-07-27;6.24;6.4;6.24;6.3;5500.0
2007-07-30;6.35;6.35;6.25;6.3;5500.0
2007-07-31;6.3;6.3;6.28;6.28;2500.0
2007-08-01;6.75;6.75;6.28;6.3;67000.0
2007-08-02;6.34;6.34;6.2;6.24;10500.0
2007-08-03;6.35;6.35;5.891;5.9;76500.0
2007-08-06;6.1;6.1;5.65;5.7;5000.0
2007-08-07;5.7;5.7;5.55;5.57;4000.0
2007-08-08;5.8;5.8;5.7;5.7872;25500.0
2007-08-09;5.47;5.85;5.42;5.42;81000.0
2007-08-10;5.4;5.5;5.2;5.24;47500.0
2007-08-13;5.35;5.44;5.21;5.34;10000.0
2007-08-14;5.3;5.31;5.22;5.23;3500.0
2007-08-15;5.4;5.45;5.11;5.23;9500.0
2007-08-16;5.22;5.24;5.1;5.24;3000.0
2007-08-17;5.24;5.24;5.05;5.1;10500.0
2007-08-20;5.08;5.29;5.06;5.28;7500.0
2007-08-21;5.2;5.24;5.11;5.2;8000.0
2007-08-22;5.2;5.24;5.2;5.24;500.0
2007-08-23;5.33;5.34;5.1;5.17;38500.0
2007-08-24;5.21;5.24;5.18;5.2;6500.0
2007-08-27;5.22;5.25;5.15;5.18;12000.0
2007-08-28;5.19;5.24;5.13;5.15;4500.0
2007-08-29;5.12;5.33;4.95;4.95;20000.0
2007-08-30;4.9;5.12;4.9;5.07;30000.0
2007-08-31;5.3;5.3;5.2;5.2;14500.0
2007-09-04;5.03;5.13;5.03;5.03;13000.0
2007-09-05;5.14;5.15;4.86;4.86;14000.0
