date;open;high;low;close;volume
1994-07-22;22.0;23.0;22.0;22.25;2506000.0
1994-07-25;22.25;22.38;21.75;21.75;382700.0
1994-07-26;21.75;22.12;21.75;21.88;443600.0
1994-07-27;21.88;22.25;21.88;22.0;158300.0
1994-07-28;22.0;22.25;22.0;22.0;251100.0
1994-07-29;22.0;22.5;22.0;22.5;259600.0
1994-08-01;22.62;22.94;22.38;22.5;204300.0
1994-08-02;22.5;22.5;22.25;22.38;196100.0
1994-08-03;22.38;22.5;22.25;22.38;109700.0
1994-08-04;22.25;22.5;22.25;22.5;27600.0
1994-08-05;22.25;22.25;22.12;22.12;142900.0
1994-08-08;22.12;22.5;22.12;22.25;187900.0
1994-08-09;22.25;22.75;22.25;22.62;160000.0
1994-08-10;22.88;22.88;22.62;22.75;55600.0
1994-08-11;22.62;23.0;22.62;22.62;66300.0
1994-08-12;22.62;22.75;21.88;22.25;152700.0
1994-08-15;22.19;22.75;22.0;22.75;123400.0
1994-08-16;22.88;23.5;22.88;23.0;208200.0
1994-08-17;23.0;23.38;23.0;23.38;55900.0
1994-08-18;23.12;23.38;23.12;23.25;62800.0
1994-08-19;23.12;23.38;23.0;23.12;32000.0
1994-08-22;23.25;23.25;22.75;22.75;46500.0
1994-08-23;22.62;22.88;22.62;22.62;117600.0
1994-08-24;22.5;22.88;22.5;22.88;44000.0
1994-08-25;22.88;22.88;22.62;22.75;10700.0
1994-08-26;23.12;23.12;22.88;22.88;5400.0
1994-08-29;23.12;23.12;22.88;23.12;7900.0
1994-08-30;23.12;23.12;22.75;22.75;49300.0
1994-08-31;22.75;22.88;22.25;22.25;96600.0
1994-09-01;22.5;22.5;22.25;22.5;38100.0
1994-09-02;22.38;22.62;22.38;22.62;44800.0
1994-09-06;22.62;22.62;22.38;22.38;18700.0
1994-09-07;22.75;22.75;22.38;22.75;39500.0
1994-09-08;22.75;23.25;22.5;23.0;47700.0
1994-09-09;23.0;23.25;22.88;23.12;7800.0
1994-09-12;23.25;23.75;23.0;23.44;47900.0
1994-09-13;23.75;23.75;23.5;23.5;62900.0
1994-09-14;23.5;23.75;23.5;23.75;28800.0
1994-09-15;23.38;23.5;23.25;23.5;13700.0
1994-09-16;23.25;23.38;23.12;23.38;18600.0
1994-09-19;23.12;23.38;23.0;23.12;46800.0
1994-09-20;23.38;23.38;22.88;23.25;116600.0
1994-09-21;23.12;23.25;22.88;22.88;16400.0
1994-09-22;22.88;23.0;22.88;23.0;30700.0
1994-09-23;23.38;23.62;23.25;23.5;32000.0
1994-09-26;23.62;23.62;22.88;23.0;38000.0
1994-09-27;23.25;23.38;22.88;23.25;19300.0
1994-09-28;23.25;23.25;22.75;23.12;72900.0
1994-09-29;23.12;23.5;22.88;23.12;63300.0
1994-09-30;23.38;23.38;23.0;23.0;22400.0
1994-10-03;23.0;23.25;22.75;23.0;26100.0
1994-10-04;22.62;22.62;22.12;22.38;25600.0
1994-10-05;22.38;22.38;22.0;22.0;24200.0
1994-10-06;22.0;22.25;21.88;21.88;24700.0
1994-10-07;22.12;22.12;21.88;21.88;1300.0
1994-10-10;22.12;22.25;21.88;22.25;5300.0
1994-10-11;22.25;22.25;22.0;22.25;14100.0
1994-10-12;22.0;22.25;22.0;22.0;20100.0
1994-10-13;22.5;22.5;22.0;22.5;315500.0
1994-10-14;22.5;22.75;22.5;22.75;18700.0
1994-10-17;22.88;23.38;22.88;23.0;55200.0
1994-10-18;23.0;23.25;23.0;23.0;17200.0
1994-10-19;23.25;23.25;22.88;23.25;12700.0
1994-10-20;22.88;23.0;22.5;22.75;98700.0
1994-10-21;22.88;22.88;22.25;22.5;11100.0
1994-10-24;22.25;22.38;21.88;22.0;53100.0
1994-10-25;21.75;22.5;21.75;22.25;28000.0
1994-10-26;22.5;22.75;22.5;22.75;22000.0
1994-10-27;22.38;22.5;22.0;22.5;13500.0
1994-10-28;22.5;22.75;22.0;22.75;6400.0
1994-10-31;22.25;22.5;22.12;22.25;13200.0
1994-11-01;22.0;22.38;22.0;22.38;51400.0
1994-11-02;22.12;22.25;22.0;22.12;12000.0
1994-11-03;22.0;22.38;22.0;22.38;32000.0
1994-11-04;22.38;22.38;21.0;21.25;101600.0
1994-11-07;21.25;21.5;21.25;21.5;8400.0
1994-11-08;21.25;21.5;21.25;21.25;13000.0
1994-11-09;21.25;21.5;21.25;21.5;2300.0
1994-11-10;21.25;21.38;20.75;20.75;36600.0
1994-11-11;20.75;20.88;20.62;20.81;107400.0
1994-11-14;21.12;21.12;20.62;20.62;42000.0
1994-11-15;21.0;21.0;20.75;21.0;12000.0
1994-11-16;20.75;21.0;20.75;21.0;36300.0
1994-11-17;20.75;21.0;20.62;21.0;75900.0
1994-11-18;21.0;21.0;20.75;20.75;5100.0
1994-11-21;20.62;20.88;19.12;19.12;54700.0
1994-11-22;18.88;18.88;18.5;18.56;178200.0
1994-11-23;18.38;18.62;18.38;18.62;14600.0
1994-11-25;18.62;18.62;18.62;18.62;1200.0
1994-11-28;18.25;18.5;18.25;18.25;4000.0
1994-11-29;18.25;18.25;17.75;18.0;43800.0
1994-11-30;18.12;18.38;18.0;18.38;15700.0
1994-12-01;17.88;18.25;17.88;17.88;35500.0
1994-12-02;17.62;17.88;17.62;17.75;49800.0
1994-12-05;17.62;17.88;17.62;17.88;56500.0
1994-12-06;17.88;17.88;17.62;17.75;5800.0
1994-12-07;17.5;17.75;17.0;17.0;11400.0
1994-12-08;17.0;17.5;17.0;17.0;174900.0
1994-12-09;17.0;17.5;17.0;17.38;34800.0
1994-12-12;17.25;17.38;17.0;17.25;121700.0
1994-12-13;17.25;18.25;17.25;18.25;43300.0
1994-12-14;18.25;18.25;17.88;18.12;12700.0
1994-12-15;18.12;18.25;17.88;17.88;40300.0
1994-12-16;17.88;18.44;17.88;18.44;17600.0
1994-12-19;18.5;18.75;18.12;18.75;13000.0
1994-12-20;19.12;19.5;19.12;19.38;12400.0
1994-12-21;19.12;19.62;19.12;19.38;13600.0
1994-12-22;19.75;19.75;19.25;19.62;1600.0
1994-12-23;19.75;19.75;19.25;19.25;1300.0
1994-12-27;19.75;19.75;19.25;19.5;7000.0
1994-12-28;19.62;19.75;19.25;19.5;9300.0
1994-12-29;19.75;19.75;19.38;19.38;34200.0
1994-12-30;19.38;19.5;19.0;19.5;20300.0
1995-01-03;19.5;19.5;19.12;19.5;56300.0
1995-01-04;19.38;19.5;19.0;19.12;20900.0
1995-01-05;18.88;19.0;18.5;19.0;40000.0
1995-01-06;18.62;19.5;18.62;19.38;23800.0
1995-01-09;19.62;19.88;19.62;19.88;7300.0
1995-01-10;19.62;19.88;19.62;19.88;4400.0
1995-01-11;19.88;19.88;19.62;19.62;4200.0
1995-01-12;19.38;19.5;19.25;19.5;11900.0
1995-01-13;19.75;20.12;19.5;20.12;21900.0
1995-01-16;20.0;20.25;20.0;20.25;3400.0
1995-01-17;20.25;20.62;20.25;20.5;9000.0
1995-01-18;20.25;20.75;20.25;20.75;6900.0
1995-01-19;20.75;20.75;20.5;20.5;500.0
1995-01-20;20.5;20.5;20.12;20.12;24400.0
1995-01-23;20.12;20.12;19.88;19.88;2700.0
1995-01-24;20.0;20.25;20.0;20.0;11000.0
1995-01-25;20.38;20.38;20.0;20.0;1600.0
1995-01-26;20.0;20.0;20.0;20.0;7000.0
1995-01-27;19.75;20.12;19.75;19.75;2500.0
1995-01-30;20.0;20.12;19.75;19.75;12500.0
1995-01-31;20.0;20.0;19.75;19.75;3500.0
1995-02-01;19.75;19.88;19.75;19.88;3200.0
1995-02-02;19.88;19.88;19.88;19.88;300.0
1995-02-03;19.75;20.25;19.62;19.88;43500.0
1995-02-06;20.25;20.5;20.12;20.25;7800.0
1995-02-07;20.62;20.88;20.62;20.88;1300.0
1995-02-08;20.88;21.38;20.75;21.02;34400.0
1995-02-09;21.0;22.0;21.0;21.88;57800.0
1995-02-10;21.38;21.88;21.38;21.88;50300.0
1995-02-13;22.0;22.0;22.0;22.0;3200.0
1995-02-14;21.88;22.0;21.88;22.0;11400.0
1995-02-15;21.88;22.0;21.62;21.75;44600.0
1995-02-16;21.75;21.88;21.5;21.62;89700.0
1995-02-17;21.62;21.62;21.62;21.62;0.0
1995-02-21;21.62;21.62;21.62;21.62;0.0
1995-02-22;21.38;21.38;20.88;21.0;19000.0
1995-02-23;21.25;21.25;20.88;20.88;1200.0
1995-02-24;21.0;21.0;21.0;21.0;700.0
1995-02-27;20.75;20.75;20.5;20.75;270000.0
1995-02-28;21.0;21.62;20.5;21.5;55200.0
1995-03-01;21.62;21.62;21.38;21.62;3800.0
1995-03-02;21.25;21.75;21.25;21.75;7300.0
1995-03-03;21.75;21.75;21.5;21.5;1500.0
1995-03-06;21.38;21.5;21.25;21.38;14500.0
1995-03-07;21.38;21.5;21.38;21.5;14300.0
1995-03-08;21.25;21.5;21.25;21.31;18600.0
1995-03-09;21.62;22.0;21.5;21.75;48300.0
1995-03-10;21.75;22.25;21.75;22.12;51000.0
1995-03-13;21.88;22.88;21.88;22.88;52000.0
1995-03-14;22.75;22.75;22.38;22.5;3900.0
1995-03-15;22.75;24.0;22.62;24.0;29900.0
1995-03-16;23.75;24.25;23.5;23.5;19700.0
1995-03-17;23.5;23.62;23.5;23.62;5600.0
