date;open;high;low;close;volume
2011-06-21;14.75;15.0;14.51;15.0;308800.0
2011-06-22;14.9;15.81;14.76;14.91;93700.0
2011-06-23;14.91;14.93;14.7;14.83;57600.0
2011-06-24;15.24;15.24;14.5;14.82;45200.0
2011-06-27;14.52;14.89;14.52;14.85;13300.0
2011-06-28;14.52;15.0;14.51;14.94;13900.0
2011-06-29;14.98;14.98;14.5;14.88;20400.0
2011-06-30;14.75;16.0;14.75;14.81;12000.0
2011-07-01;14.92;15.0;14.55;15.0;15300.0
2011-07-05;15.0;15.0;14.71;14.75;8500.0
2011-07-06;15.0;15.0;14.75;14.75;3600.0
2011-07-07;15.25;15.25;14.8;14.91;7800.0
2011-07-08;14.95;14.95;14.8;14.88;2700.0
2011-07-11;14.58;15.43;14.58;14.87;42200.0
2011-07-12;14.7;14.8;14.54;14.64;28300.0
2011-07-13;14.62;14.93;14.55;14.61;41100.0
2011-07-14;14.59;14.7;14.26;14.6;7700.0
2011-07-15;14.55;14.55;14.35;14.35;27700.0
2011-07-18;14.25;14.53;13.69;14.09;20900.0
2011-07-19;14.3;14.54;14.0;14.392;17700.0
2011-07-20;14.21;14.424;14.0;14.04;20100.0
2011-07-21;13.9601;14.0;13.75;13.93;9400.0
2011-07-22;13.85;14.45;13.61;14.36;10000.0
2011-07-25;13.58;14.25;13.52;13.91;26600.0
2011-07-26;13.73;14.45;13.73;14.126;13300.0
2011-07-27;13.81;14.31;13.75;13.89;9100.0
2011-07-28;14.08;14.08;13.79;13.872;5400.0
2011-07-29;13.54;13.81;13.0;13.0;17000.0
2011-08-01;13.5;14.019;13.0;13.548;24900.0
2011-08-02;13.55;13.55;13.28;13.5;4300.0
2011-08-03;13.5;13.5;12.4;13.299;23700.0
2011-08-04;13.4;13.42;12.5;12.7;31400.0
2011-08-05;13.0;13.16;10.02;12.77;40600.0
2011-08-08;13.01;13.5;12.14;13.01;69300.0
2011-08-09;13.25;13.5;11.52;12.75;17900.0
2011-08-10;11.51;12.95;11.51;12.52;17300.0
2011-08-11;12.99;13.1;12.51;12.608;11100.0
2011-08-12;13.5;13.5;12.05;12.76;12600.0
2011-08-15;12.76;13.4;12.38;13.04;18600.0
2011-08-16;13.0;13.25;13.0;13.25;6500.0
2011-08-17;13.25;13.25;12.7;13.1;7400.0
2011-08-18;12.68;13.152;12.25;12.25;6900.0
2011-08-19;12.51;12.51;12.0;12.29;17800.0
2011-08-22;12.4;12.94;12.0;12.0;5300.0
2011-08-23;12.0;13.2;11.52;12.89;18800.0
2011-08-24;12.89;13.2;12.0;12.9;13500.0
2011-08-25;12.67;12.94;12.21;12.84;12200.0
2011-08-26;12.93;12.99;12.1;12.84;12400.0
2011-08-29;13.0;13.47;12.5;13.08;17200.0
2011-08-30;13.23;13.5;12.75;13.41;9000.0
