date;open;high;low;close;volume
1993-03-04;27.5;27.5;27.5;27.5;0.0
1993-03-05;29.0;29.0;29.0;29.0;700.0
1993-03-08;29.0;29.0;29.0;29.0;0.0
1993-03-09;29.0;29.0;29.0;29.0;0.0
1993-03-10;29.0;29.0;29.0;29.0;0.0
1993-03-11;27.75;28.0;27.5;28.0;7800.0
1993-03-12;28.5;28.5;28.5;28.5;1200.0
1993-03-15;28.5;28.5;28.5;28.5;0.0
1993-03-16;28.5;28.5;28.5;28.5;0.0
1993-03-17;28.5;28.5;28.5;28.5;0.0
1993-03-18;27.75;28.0;27.75;28.0;3400.0
1993-03-19;28.0;28.0;28.0;28.0;0.0
1993-03-22;28.0;28.5;28.0;28.5;3200.0
1993-03-23;28.5;28.5;28.5;28.5;0.0
1993-03-24;28.5;28.5;28.5;28.5;0.0
1993-03-25;28.5;28.5;28.5;28.5;0.0
1993-03-26;28.5;28.5;28.5;28.5;0.0
1993-03-29;28.5;28.5;28.5;28.5;0.0
1993-03-30;28.5;29.0;28.5;28.75;5400.0
1993-03-31;28.75;29.0;28.75;29.0;1900.0
1993-04-01;29.0;29.0;29.0;29.0;200.0
1993-04-02;28.75;29.0;28.75;29.0;1600.0
1993-04-05;28.5;29.0;28.5;29.0;800.0
1993-04-06;28.25;28.38;28.25;28.38;2800.0
1993-04-07;28.0;29.0;28.0;28.0;1400.0
1993-04-08;29.0;29.0;29.0;29.0;700.0
1993-04-12;29.0;29.0;29.0;29.0;300.0
1993-04-13;28.0;29.0;28.0;28.5;2500.0
1993-04-14;28.5;28.5;28.5;28.5;0.0
1993-04-15;29.0;29.0;28.0;28.0;600.0
1993-04-16;28.0;29.0;28.0;29.0;400.0
1993-04-19;29.0;29.0;28.0;29.0;3400.0
1993-04-20;29.0;29.0;29.0;29.0;200.0
1993-04-21;28.0;28.0;28.0;28.0;1000.0
1993-04-22;29.0;29.0;29.0;29.0;100.0
1993-04-23;27.88;27.88;27.88;27.88;800.0
1993-04-26;27.5;27.75;27.5;27.75;2300.0
1993-04-27;27.75;27.75;27.75;27.75;0.0
1993-04-28;29.0;29.0;29.0;29.0;100.0
1993-04-29;28.5;28.5;28.5;28.5;400.0
1993-04-30;28.5;28.5;28.5;28.5;0.0
1993-05-03;27.88;27.88;27.88;27.88;500.0
1993-05-04;27.88;27.88;27.88;27.88;0.0
1993-05-05;27.5;27.5;27.5;27.5;200.0
1993-05-06;27.5;27.5;27.5;27.5;0.0
1993-05-07;28.5;28.5;27.5;27.5;1600.0
1993-05-10;28.5;28.5;28.5;28.5;200.0
1993-05-11;28.5;28.5;28.5;28.5;0.0
1993-05-12;28.5;28.5;28.5;28.5;0.0
1993-05-13;28.5;28.5;28.5;28.5;0.0
1993-05-14;28.5;28.5;28.5;28.5;0.0
1993-05-17;28.25;28.25;28.25;28.25;1000.0
1993-05-18;28.25;28.25;28.25;28.25;0.0
1993-05-19;27.5;27.5;27.5;27.5;400.0
1993-05-20;27.5;29.0;27.5;29.0;1100.0
1993-05-21;29.0;29.0;29.0;29.0;0.0
1993-05-24;29.0;29.0;29.0;29.0;0.0
1993-05-25;27.5;27.5;27.5;27.5;500.0
1993-05-26;27.75;27.75;27.75;27.75;100.0
1993-05-27;27.75;27.75;27.75;27.75;0.0
1993-05-28;28.25;28.25;28.25;28.25;100.0
1993-06-01;28.25;28.25;28.25;28.25;0.0
1993-06-02;28.0;28.0;28.0;28.0;100.0
1993-06-03;28.0;28.0;28.0;28.0;0.0
1993-06-04;28.0;28.0;28.0;28.0;0.0
1993-06-07;28.0;28.0;28.0;28.0;0.0
1993-06-08;28.0;28.0;28.0;28.0;0.0
1993-06-09;28.0;28.0;28.0;28.0;0.0
1993-06-10;28.0;28.0;28.0;28.0;0.0
1993-06-11;28.0;28.0;28.0;28.0;0.0
1993-06-14;27.5;27.5;26.5;26.5;3300.0
1993-06-15;26.5;26.5;26.5;26.5;0.0
1993-06-16;26.5;26.5;26.5;26.5;200.0
1993-06-17;26.5;26.5;26.5;26.5;0.0
1993-06-18;27.0;27.0;27.0;27.0;900.0
1993-06-21;27.5;27.5;27.5;27.5;100.0
1993-06-22;27.25;27.25;27.25;27.25;200.0
1993-06-23;27.25;27.25;27.25;27.25;0.0
1993-06-24;27.25;27.25;27.25;27.25;0.0
1993-06-25;27.25;27.25;27.25;27.25;0.0
1993-06-28;27.25;27.25;27.25;27.25;0.0
1993-06-29;27.25;27.25;27.25;27.25;0.0
1993-06-30;27.25;27.25;27.25;27.25;0.0
1993-07-01;27.25;27.25;27.25;27.25;0.0
1993-07-02;27.25;27.25;27.25;27.25;0.0
1993-07-06;26.5;26.5;26.5;26.5;500.0
1993-07-07;27.5;27.5;27.5;27.5;1000.0
1993-07-08;27.5;27.5;27.5;27.5;0.0
1993-07-09;27.5;27.5;27.5;27.5;0.0
1993-07-12;28.0;28.13;28.0;28.13;2100.0
1993-07-13;28.0;28.0;28.0;28.0;700.0
