date;open;high;low;close;volume
2007-10-10;11.5;11.75;11.45;11.73;5551600.0
2007-10-11;11.75;11.95;11.65;11.69;700600.0
2007-10-12;11.7;11.7;11.6;11.65;241800.0
2007-10-15;11.5;11.65;11.5;11.51;380900.0
2007-10-16;11.55;11.55;11.45;11.53;410300.0
2007-10-17;11.5;11.51;11.45;11.5;662800.0
2007-10-18;11.48;11.54;11.45;11.54;272400.0
2007-10-19;11.5;11.5;11.45;11.45;223100.0
2007-10-22;11.4;11.5;11.0;11.48;386000.0
2007-10-23;11.5;11.52;11.45;11.5;135000.0
2007-10-24;11.488;11.488;11.4;11.4;93900.0
2007-10-25;11.42;11.48;11.4;11.48;63700.0
2007-10-26;11.5;11.5;11.4;11.41;54700.0
2007-10-29;11.46;11.46;11.31;11.38;88600.0
2007-10-30;11.38;11.38;11.3;11.35;64900.0
2007-10-31;11.36;11.44;11.3;11.33;119500.0
2007-11-01;11.3;11.3;11.1;11.19;146600.0
2007-11-02;11.21;11.21;10.91;10.99;119200.0
2007-11-05;10.91;10.95;10.6;10.89;274500.0
2007-11-06;10.62;10.97;10.62;10.9;97600.0
2007-11-07;10.9;10.9;10.66;10.7;48500.0
2007-11-08;10.7;10.7001;10.51;10.65;176700.0
2007-11-09;10.5;10.83;10.5;10.81;83100.0
2007-11-12;10.6601;10.94;10.6601;10.77;271300.0
2007-11-13;10.68;10.95;10.66;10.89;45100.0
2007-11-14;10.85;10.85;10.75;10.84;41400.0
2007-11-15;10.84;10.84;10.6;10.74;19600.0
2007-11-16;10.75;10.79;10.63;10.63;30400.0
2007-11-19;10.74;10.74;10.61;10.61;21500.0
2007-11-20;10.51;10.59;10.51;10.55;57800.0
2007-11-21;10.7;10.7;10.55;10.56;61800.0
2007-11-23;10.51;10.7;10.51;10.7;31500.0
2007-11-26;10.7;10.7;10.55;10.6;29400.0
2007-11-27;10.56;10.6;10.55;10.59;61000.0
2007-11-28;10.6;10.6;10.45;10.45;115300.0
2007-11-29;10.45;10.45;9.91;9.95;177700.0
2007-11-30;9.85;10.1099;9.85;9.97;375000.0
2007-12-03;9.95;10.11;9.85;10.05;308100.0
2007-12-04;10.05;10.12;10.05;10.1;86500.0
