date;open;high;low;close;volume
1990-03-26;22.0;22.25;21.75;22.25;2859.0
1990-03-27;21.75;22.0;21.75;22.0;640.0
1990-03-28;22.0;22.0;21.75;21.75;1963.0
1990-03-29;22.0;22.0;21.75;22.0;2560.0
1990-03-30;22.0;22.0;20.63;21.0;10539.0
1990-04-02;21.0;21.0;20.5;20.75;8363.0
1990-04-03;20.63;21.0;20.5;21.0;5760.0
1990-04-04;20.5;20.88;20.5;20.5;6101.0
1990-04-05;20.5;20.75;20.5;20.75;1749.0
1990-04-06;20.63;20.75;19.75;20.5;9301.0
1990-04-09;20.0;20.37;20.0;20.25;15019.0
1990-04-10;20.25;20.37;20.0;20.37;2432.0
1990-04-11;20.37;20.5;20.0;20.5;4949.0
1990-04-12;20.0;20.63;20.0;20.25;3029.0
1990-04-16;20.25;20.75;20.25;20.75;2432.0
1990-04-17;20.25;20.75;20.25;20.75;3029.0
1990-04-18;20.25;20.75;20.25;20.25;213.0
1990-04-19;20.25;20.5;20.25;20.25;6443.0
1990-04-20;20.5;20.5;20.13;20.13;3541.0
1990-04-23;20.0;20.25;20.0;20.25;1621.0
1990-04-24;20.25;20.5;20.0;20.0;1408.0
1990-04-25;20.5;20.5;20.25;20.5;2389.0
1990-04-26;20.0;20.25;20.0;20.0;5419.0
1990-04-27;20.0;20.25;20.0;20.0;3328.0
1990-04-30;20.25;20.25;20.0;20.25;3968.0
1990-05-01;20.0;20.0;20.0;20.0;43.0
1990-05-02;20.25;20.25;20.25;20.25;128.0
1990-05-03;20.0;20.0;20.0;20.0;512.0
1990-05-04;20.0;20.25;20.0;20.25;2901.0
1990-05-07;20.0;20.25;20.0;20.25;1280.0
1990-05-08;20.25;20.25;19.75;20.0;7680.0
1990-05-09;19.75;19.75;19.75;19.75;43.0
1990-05-10;20.25;20.25;20.0;20.0;2603.0
1990-05-11;20.0;20.25;19.75;20.25;3328.0
1990-05-14;19.75;20.0;19.75;20.0;7381.0
1990-05-15;20.25;20.25;19.75;19.75;1579.0
1990-05-16;19.75;19.75;19.75;19.75;0.0
1990-05-17;19.75;19.75;19.75;19.75;128.0
1990-05-18;20.0;20.25;20.0;20.0;4992.0
1990-05-21;20.0;20.0;20.0;20.0;0.0
1990-05-22;19.75;20.25;19.75;20.25;2560.0
1990-05-23;20.25;20.25;19.75;20.25;2389.0
