date;open;high;low;close;volume
2001-08-06;15.05;15.05;14.9;14.95;55100.0
2001-08-07;14.68;14.68;14.46;14.6;15200.0
2001-08-08;14.5;14.5;14.16;14.25;35500.0
2001-08-09;14.21;14.29;14.0;14.05;30300.0
2001-08-10;14.25;14.48;14.22;14.24;33600.0
2001-08-13;14.8;15.35;14.65;15.25;44400.0
2001-08-14;15.1;15.45;15.08;15.32;1131800.0
2001-08-15;14.55;14.7;14.5;14.58;28100.0
2001-08-16;14.4;15.1;14.4;14.8;59300.0
2001-08-17;14.4;14.5;14.35;14.35;15400.0
2001-08-20;13.55;13.74;13.4;13.54;42200.0
2001-08-21;13.65;14.25;13.6;14.0;69600.0
2001-08-22;14.9;15.22;14.75;15.15;54700.0
2001-08-23;15.1;15.15;14.66;14.95;22800.0
2001-08-24;15.25;15.43;15.15;15.3;30000.0
2001-08-27;15.3;15.3;15.2;15.3;24800.0
2001-08-28;15.1;15.1;14.7;14.8;36800.0
2001-08-29;14.7;14.77;14.69;14.69;8700.0
2001-08-30;14.6;14.6;14.01;14.1;37500.0
2001-08-31;14.03;14.03;13.75;13.9;20200.0
2001-09-04;13.77;13.95;13.7;13.8;28100.0
2001-09-05;14.0;14.35;14.0;14.06;20600.0
2001-09-06;14.1;14.3;14.1;14.16;68000.0
2001-09-07;14.1;14.18;14.0;14.1;21800.0
2001-09-10;13.7;13.7;13.5;13.7;55800.0
2001-09-17;13.0;13.3;12.5;12.7;74400.0
2001-09-18;12.65;12.65;12.25;12.25;50800.0
2001-09-19;12.1;12.1;10.95;11.35;109700.0
2001-09-20;10.9;10.9;9.9;10.35;76400.0
2001-09-21;9.5;9.5;8.86;8.95;379100.0
2001-09-24;9.95;9.95;9.51;9.6;308400.0
2001-09-25;9.8;10.0;9.3;9.55;213900.0
2001-09-26;9.7;9.7;9.0;9.12;144600.0
2001-09-27;9.08;9.08;8.9;8.99;80100.0
2001-09-28;9.0;9.1;8.85;9.1;109900.0
2001-10-01;9.32;9.32;9.15;9.25;160800.0
2001-10-02;9.35;9.35;9.2;9.23;71200.0
2001-10-03;8.9;8.9;8.5;8.85;147200.0
2001-10-04;8.8;8.8;8.6;8.72;150200.0
2001-10-05;8.75;8.75;8.4;8.65;69600.0
2001-10-08;8.9;8.9;8.65;8.9;21600.0
2001-10-09;8.65;8.65;8.4;8.45;48400.0
2001-10-10;8.45;9.2;8.45;9.01;251500.0
2001-10-11;9.02;9.15;9.02;9.11;141200.0
2001-10-12;8.98;8.98;8.8;8.87;93800.0
