date;open;high;low;close;volume
2005-08-10;10.5;10.5;9.69;10.17;3425000.0
2005-08-11;10.17;10.17;10.0;10.0;303000.0
2005-08-12;10.0;10.08;10.0;10.08;320000.0
2005-08-15;10.1;10.37;10.0;10.0;176000.0
2005-08-16;10.0;10.05;9.9;9.99;87000.0
2005-08-17;9.9;9.99;9.9;9.94;22000.0
2005-08-18;9.99;9.99;9.75;9.84;7000.0
2005-08-19;9.98;10.05;9.8;9.86;66000.0
2005-08-22;9.97;10.25;9.95;10.0;34000.0
2005-08-23;10.0;10.0;9.88;9.98;18000.0
2005-08-24;10.0;10.0;9.87;9.9;13000.0
2005-08-25;9.97;10.0;9.8;9.973;45000.0
2005-08-26;10.0;10.0;9.99;9.99;10000.0
2005-08-29;10.2;10.2;9.9;10.0;32000.0
2005-08-30;9.99;10.0;9.9;9.9;16000.0
2005-08-31;9.9;9.97;9.85;9.9;17000.0
2005-09-01;10.0;10.0;9.8;10.0;51000.0
2005-09-02;9.89;9.9;9.8;9.8;10000.0
2005-09-06;9.82;9.97;9.8;9.92;46000.0
2005-09-07;9.99;9.99;9.88;9.8924;29000.0
2005-09-08;9.9;9.94;9.9;9.94;5000.0
2005-09-09;9.88;10.0;9.88;9.95;21000.0
2005-09-12;10.0;10.0;9.89;9.98;21000.0
2005-09-13;9.95;9.95;9.85;9.86;27000.0
2005-09-14;9.9;10.0;9.85;9.88;92000.0
2005-09-15;9.85;9.9;9.75;9.88;68000.0
2005-09-16;9.81;10.0;9.79;10.0;32000.0
2005-09-19;9.75;9.96;9.75;9.9;7000.0
2005-09-20;9.8;9.95;9.75;9.77;9000.0
2005-09-21;9.75;9.88;9.75;9.82;6000.0
2005-09-22;9.75;9.8;9.75;9.75;18000.0
2005-09-23;9.8;9.85;9.8;9.8;2000.0
2005-09-26;9.75;9.9;9.75;9.75;10000.0
2005-09-27;9.85;9.85;9.8;9.8;5000.0
2005-09-28;9.75;10.0;9.75;9.83;42000.0
2005-09-29;9.76;9.92;9.76;9.85;12000.0
2005-09-30;9.81;9.85;9.75;9.75;27000.0
2005-10-03;9.75;9.81;9.75;9.75;39000.0
2005-10-04;9.8;9.8;9.65;9.75;62000.0
2005-10-05;9.8;9.84;9.75;9.75;15000.0
2005-10-06;9.75;9.8;9.65;9.75;38000.0
2005-10-07;9.54;9.8;9.54;9.8;28000.0
2005-10-10;9.65;9.9;9.65;9.66;32000.0
2005-10-11;9.65;9.88;9.57;9.8;35000.0
2005-10-12;9.8;9.8;9.0;9.33;112000.0
2005-10-13;9.35;9.39;9.2;9.25;34000.0
2005-10-14;9.05;9.21;9.05;9.1;9000.0
2005-10-17;9.1;9.35;9.1;9.35;12000.0
2005-10-18;9.489;9.6;9.45;9.6;16000.0
2005-10-19;9.54;9.6;9.4;9.44;38000.0
2005-10-20;9.57;9.57;9.4;9.4;3000.0
2005-10-21;9.4;9.69;9.4;9.69;46000.0
2005-10-24;9.35;9.51;9.35;9.46;42000.0
2005-10-25;9.45;9.71;9.45;9.57;22000.0
2005-10-26;9.45;9.77;9.45;9.61;9000.0
2005-10-27;9.6;9.8;9.6;9.78;11000.0
2005-10-28;9.8;10.0;9.8;9.87;42000.0
2005-10-31;9.84;10.05;9.75;9.84;48000.0
2005-11-01;9.75;9.85;9.75;9.75;4000.0
2005-11-02;9.75;9.84;9.6;9.7;10000.0
2005-11-03;9.7;10.0;9.7;9.9;14000.0
2005-11-04;9.9;9.9;9.76;9.9;1000.0
2005-11-07;9.8;9.95;9.8;9.9;4000.0
2005-11-08;10.0;10.0;9.8;9.96;3000.0
2005-11-09;9.61;9.889;9.61;9.8;7000.0
2005-11-10;9.8;9.87;9.7;9.8;6000.0
2005-11-11;9.65;9.88;9.61;9.77;12000.0
2005-11-14;9.75;9.85;9.75;9.81;11000.0
2005-11-15;9.68;9.84;9.59;9.75;22000.0
2005-11-16;9.74;9.81;9.52;9.71;37000.0
2005-11-17;9.49;9.83;9.49;9.75;21000.0
2005-11-18;9.75;9.84;9.65;9.81;16000.0
2005-11-21;9.84;9.84;9.731;9.74;7000.0
2005-11-22;9.85;9.85;9.72;9.85;5000.0
2005-11-23;9.75;9.85;9.75;9.85;3000.0
2005-11-25;9.85;9.85;9.85;9.85;0.0
2005-11-28;9.85;9.85;9.81;9.81;0.0
