date;open;high;low;close;volume
1990-03-26;22.25;22.25;21.75;22.25;3867.0
1990-03-27;21.5;22.0;21.0;21.75;14200.0
1990-03-28;22.0;22.25;21.5;21.75;16600.0
1990-03-29;22.25;22.25;21.75;22.0;9200.0
1990-03-30;21.75;22.25;21.75;22.0;7800.0
1990-04-02;21.5;21.75;21.25;21.75;15867.0
1990-04-03;21.75;22.0;21.5;22.0;25800.0
1990-04-04;21.75;22.0;21.75;21.75;9067.0
1990-04-05;21.75;22.0;21.75;21.75;23400.0
1990-04-06;21.75;22.0;21.5;21.5;7267.0
1990-04-09;21.5;22.25;21.5;21.75;20600.0
1990-04-10;22.0;22.0;21.75;21.75;2267.0
1990-04-11;21.87;22.0;21.75;21.87;10800.0
1990-04-12;21.75;23.5;21.75;23.37;41400.0
1990-04-16;23.0;23.5;23.0;23.0;6467.0
1990-04-17;23.25;23.5;23.0;23.0;10800.0
1990-04-18;23.25;24.0;23.25;23.25;15067.0
1990-04-19;23.0;23.0;22.25;22.25;21600.0
1990-04-20;22.0;22.25;21.0;21.5;24867.0
1990-04-23;21.0;21.5;20.62;21.25;33200.0
1990-04-24;21.25;21.75;21.0;21.5;12867.0
1990-04-25;21.25;21.75;21.25;21.75;8400.0
1990-04-26;21.75;22.0;21.25;21.38;10400.0
1990-04-27;21.75;21.75;21.25;21.5;38867.0
1990-04-30;21.75;22.0;21.5;22.0;6000.0
1990-05-01;21.75;22.25;21.75;22.0;4400.0
1990-05-02;21.75;22.25;21.75;22.25;2867.0
1990-05-03;22.25;22.25;21.75;21.75;17467.0
1990-05-04;21.75;22.12;21.75;22.0;32267.0
1990-05-07;21.75;22.0;21.75;21.75;8867.0
1990-05-08;21.75;22.0;21.75;21.75;41600.0
1990-05-09;21.75;22.0;21.75;22.0;6867.0
1990-05-10;22.0;23.0;21.75;22.88;21067.0
1990-05-11;23.0;23.0;22.62;22.75;147600.0
1990-05-14;22.75;23.0;22.25;22.25;72200.0
1990-05-15;22.5;22.5;22.25;22.5;20000.0
1990-05-16;22.5;22.5;22.25;22.38;42800.0
1990-05-17;22.25;22.5;22.25;22.25;84000.0
1990-05-18;22.25;22.5;22.0;22.5;10867.0
1990-05-21;22.0;22.5;20.75;21.25;68467.0
1990-05-22;20.75;21.25;20.75;21.0;10600.0
1990-05-23;20.75;21.25;20.75;21.25;32000.0
1990-05-24;21.25;21.75;21.12;21.75;47400.0
1990-05-25;21.5;21.75;21.25;21.5;25467.0
1990-05-29;21.25;21.75;21.25;21.25;41267.0
1990-05-30;21.75;22.0;21.25;21.5;31867.0
1990-05-31;21.5;22.25;21.5;22.0;85200.0
1990-06-01;22.25;24.0;22.0;23.5;124467.0
1990-06-04;23.5;23.75;22.75;23.0;76267.0
1990-06-05;23.5;23.5;22.75;23.25;30400.0
1990-06-06;22.75;23.25;22.75;22.88;74267.0
1990-06-07;23.25;24.75;23.25;24.0;110600.0
1990-06-08;24.0;24.25;23.5;24.0;100400.0
1990-06-11;23.75;24.5;23.75;24.25;14600.0
1990-06-12;24.5;24.75;24.25;24.5;32467.0
1990-06-13;24.75;26.37;24.5;26.0;128867.0
1990-06-14;26.0;26.0;25.5;26.0;45067.0
1990-06-15;25.5;26.0;25.25;25.75;99800.0
1990-06-18;25.25;25.75;24.5;24.75;37667.0
1990-06-19;24.5;25.0;24.25;24.75;27267.0
1990-06-20;24.5;25.0;24.5;24.75;52600.0
1990-06-21;25.0;25.0;24.5;24.75;6267.0
1990-06-22;25.0;25.0;24.5;24.75;10467.0
1990-06-25;24.5;25.25;24.5;25.25;62667.0
1990-06-26;25.0;25.5;25.0;25.0;46600.0
1990-06-27;25.5;27.25;25.5;27.25;165467.0
1990-06-28;27.25;28.75;27.25;27.87;137267.0
1990-06-29;27.5;28.0;27.5;27.5;77067.0
1990-07-02;27.5;28.0;27.5;28.0;178800.0
1990-07-03;27.75;28.0;27.5;28.0;36867.0
1990-07-05;27.75;28.0;27.5;28.0;47667.0
1990-07-06;27.5;27.75;27.0;27.63;80067.0
1990-07-09;27.25;28.5;27.25;28.25;109867.0
1990-07-10;28.0;28.5;27.75;28.0;52267.0
1990-07-11;27.75;27.75;27.25;27.5;25067.0
1990-07-12;27.5;27.75;27.5;27.75;15667.0
1990-07-13;27.75;28.0;27.5;27.5;69067.0
1990-07-16;27.5;28.0;27.5;27.63;22200.0
1990-07-17;27.5;28.0;27.25;27.25;16600.0
1990-07-18;27.25;27.75;27.25;27.5;7000.0
1990-07-19;26.75;27.25;26.5;27.0;32400.0
1990-07-20;27.0;27.0;26.5;27.0;14067.0
1990-07-23;27.0;27.5;26.5;27.0;47867.0
1990-07-24;27.5;28.38;27.25;27.75;64200.0
1990-07-25;27.75;28.0;27.75;28.0;14067.0
1990-07-26;27.75;28.0;27.25;27.25;39600.0
1990-07-27;27.5;27.5;27.0;27.0;32667.0
1990-07-30;27.0;27.0;26.5;27.0;8867.0
1990-07-31;26.75;27.0;26.5;27.0;6800.0
1990-08-01;26.5;27.25;25.75;27.25;51267.0
1990-08-02;26.5;26.5;25.75;26.0;32667.0
1990-08-03;25.75;25.75;24.5;24.5;28267.0
1990-08-06;24.25;24.25;23.25;23.75;13067.0
1990-08-07;24.25;24.75;24.0;24.0;22400.0
1990-08-08;24.0;25.0;24.0;25.0;14400.0
1990-08-09;24.5;25.75;24.5;25.25;31600.0
1990-08-10;24.75;25.25;24.5;24.5;78200.0
1990-08-13;24.75;25.75;24.25;25.25;51400.0
1990-08-14;25.75;25.75;24.63;24.75;43000.0
1990-08-15;25.25;25.25;24.75;25.25;10000.0
1990-08-16;24.75;25.25;24.5;24.75;27467.0
1990-08-17;24.0;24.5;23.75;24.5;15067.0
1990-08-20;24.0;24.25;24.0;24.0;13667.0
1990-08-21;24.0;24.25;23.25;23.88;29200.0
1990-08-22;24.0;24.5;24.0;24.0;4867.0
1990-08-23;23.25;23.5;22.5;22.5;19867.0
1990-08-24;23.0;23.25;22.0;22.0;50800.0
1990-08-27;22.5;23.0;22.25;22.5;19467.0
1990-08-28;22.5;22.75;22.25;22.5;8000.0
1990-08-29;22.25;22.75;22.25;22.75;31067.0
1990-08-30;23.0;23.25;22.75;23.0;43867.0
1990-08-31;23.25;23.25;22.75;22.75;5067.0
1990-09-04;22.5;22.75;22.25;22.62;24000.0
1990-09-05;23.0;23.25;22.75;23.25;18267.0
1990-09-06;22.75;23.25;22.62;23.13;33000.0
1990-09-07;23.25;24.25;23.0;24.25;60867.0
1990-09-10;24.5;25.0;24.0;24.5;27800.0
1990-09-11;24.5;24.5;24.0;24.5;29667.0
1990-09-12;24.0;24.5;24.0;24.25;3600.0
1990-09-13;24.5;24.75;24.5;24.63;60400.0
1990-09-14;24.63;25.0;24.63;25.0;7400.0
1990-09-17;24.87;25.0;24.5;24.75;38467.0
1990-09-18;24.5;25.0;24.5;24.5;10467.0
1990-09-19;25.0;25.25;24.5;25.0;23400.0
1990-09-20;25.0;25.5;24.75;25.0;46067.0
1990-09-21;25.0;25.5;25.0;25.0;21067.0
1990-09-24;24.75;25.0;24.75;24.75;76200.0
1990-09-25;25.25;26.0;25.0;25.75;28867.0
