date;open;high;low;close;volume
1990-03-26;20.0;20.0;19.25;19.25;2458.0
1990-03-27;19.25;20.0;19.25;20.0;3645.0
1990-03-28;19.75;19.75;19.25;19.25;2458.0
1990-03-29;19.38;19.75;19.38;19.75;3645.0
1990-03-30;19.13;19.5;19.0;19.0;21053.0
1990-04-02;19.0;19.5;19.0;19.5;5366.0
1990-04-03;19.5;19.5;19.25;19.25;2621.0
1990-04-04;19.25;19.5;18.75;18.75;10281.0
1990-04-05;18.75;19.5;18.75;19.5;2130.0
1990-04-06;19.5;19.5;18.75;19.25;2703.0
1990-04-09;19.25;19.25;18.5;18.75;5284.0
1990-04-10;18.75;18.75;18.0;18.75;5816.0
1990-04-11;18.75;18.75;18.0;18.63;2458.0
1990-04-12;18.63;18.75;18.0;18.75;12493.0
1990-04-16;18.75;18.75;18.0;18.75;50340.0
1990-04-17;18.75;18.75;18.38;18.75;2621.0
1990-04-18;18.75;18.75;18.0;18.0;9134.0
1990-04-19;18.0;18.5;17.25;18.0;10158.0
1990-04-20;18.0;18.0;17.25;17.75;15155.0
1990-04-23;17.75;18.0;17.0;17.0;6513.0
1990-04-24;17.0;17.75;17.0;17.0;8888.0
1990-04-25;17.0;17.5;16.5;16.88;3645.0
1990-04-26;16.88;17.5;16.88;16.88;492.0
1990-04-27;16.88;17.5;16.88;17.5;3645.0
1990-04-30;17.5;17.5;16.5;16.88;4751.0
1990-05-01;16.88;17.5;16.5;16.5;1720.0
1990-05-02;16.5;17.5;16.5;17.38;7414.0
1990-05-03;17.38;17.5;16.5;16.5;16015.0
1990-05-04;16.5;17.0;16.5;16.75;21340.0
1990-05-07;16.75;17.0;16.5;17.0;2990.0
1990-05-08;17.0;17.0;16.5;17.0;2621.0
1990-05-09;17.0;17.0;16.5;16.5;23839.0
1990-05-10;16.63;17.0;16.63;17.0;30761.0
1990-05-11;17.0;17.0;16.75;16.75;901.0
1990-05-14;16.75;17.0;16.5;17.0;3932.0
1990-05-15;17.0;17.0;16.5;17.0;2335.0
1990-05-16;17.0;17.0;16.5;17.0;4833.0
1990-05-17;17.0;17.0;17.0;17.0;1720.0
1990-05-18;17.0;17.0;16.5;17.0;10363.0
1990-05-21;17.0;17.0;16.38;16.38;34652.0
1990-05-22;16.38;17.0;16.25;17.0;3850.0
1990-05-23;16.88;16.88;16.25;16.75;13967.0
1990-05-24;16.75;16.75;16.75;16.75;655.0
1990-05-25;16.75;16.88;16.25;16.88;19579.0
1990-05-29;16.88;17.0;16.5;16.75;3686.0
1990-05-30;16.75;17.0;16.5;16.5;7578.0
1990-05-31;16.5;17.0;16.5;17.0;34939.0
1990-06-01;17.0;17.0;16.75;17.0;5407.0
1990-06-04;17.0;17.0;16.5;16.75;4342.0
1990-06-05;16.75;17.0;16.5;17.0;17736.0
1990-06-06;17.0;17.0;17.0;17.0;901.0
1990-06-07;17.0;17.0;16.5;17.0;5284.0
1990-06-08;17.0;17.0;17.0;17.0;1270.0
1990-06-11;17.0;17.0;17.0;17.0;2335.0
1990-06-12;17.0;17.0;16.5;17.0;14664.0
1990-06-13;17.0;17.0;17.0;17.0;82.0
1990-06-14;17.0;17.0;16.63;17.0;8397.0
1990-06-15;17.0;17.0;17.0;17.0;901.0
1990-06-18;17.0;17.0;16.25;16.75;5816.0
1990-06-19;16.75;16.75;16.25;16.25;6554.0
1990-06-20;16.25;16.75;16.0;16.75;75325.0
1990-06-21;16.75;16.75;16.0;16.63;4833.0
