date;open;high;low;close;volume
1973-05-03;12.0;12.0;11.87;11.87;667.0
1973-05-04;12.0;12.0;12.0;12.0;0.0
1973-05-07;12.0;12.0;11.75;11.87;2444.0
1973-05-08;11.87;11.87;11.75;11.75;2000.0
1973-05-09;11.75;11.75;11.75;11.75;667.0
1973-05-10;11.75;11.87;11.75;11.87;1556.0
1973-05-11;11.87;11.87;11.75;11.87;2000.0
1973-05-14;11.75;11.75;11.75;11.75;222.0
1973-05-15;11.75;12.0;11.75;12.0;10444.0
1973-05-16;11.87;11.87;11.5;11.5;2222.0
1973-05-17;11.75;11.75;11.75;11.75;0.0
1973-05-18;11.5;11.5;11.37;11.37;222.0
1973-05-21;11.37;11.5;11.37;11.37;1111.0
1973-05-22;11.37;11.37;11.12;11.12;8000.0
1973-05-23;11.12;11.37;11.12;11.25;2889.0
1973-05-24;11.37;12.0;11.37;11.5;3333.0
1973-05-25;11.5;11.87;11.37;11.37;1111.0
1973-05-29;11.5;11.75;11.5;11.75;5333.0
1973-05-30;11.75;11.75;11.25;11.37;2889.0
1973-05-31;11.37;11.5;11.37;11.5;222.0
1973-06-01;11.5;11.5;11.5;11.5;222.0
1973-06-04;11.5;11.75;11.37;11.75;1556.0
1973-06-05;11.75;11.75;11.37;11.37;667.0
1973-06-06;11.5;11.75;11.5;11.75;2889.0
1973-06-07;11.75;11.75;11.37;11.75;1111.0
1973-06-08;11.75;11.75;11.5;11.75;444.0
1973-06-11;11.75;11.75;11.37;11.75;3111.0
1973-06-12;11.75;11.75;11.37;11.75;3111.0
1973-06-13;11.37;11.37;11.37;11.37;1333.0
1973-06-14;11.37;11.75;11.37;11.75;444.0
1973-06-15;11.37;11.37;11.37;11.37;2889.0
1973-06-18;11.37;11.75;11.37;11.5;444.0
1973-06-19;11.75;11.75;11.75;11.75;0.0
1973-06-20;11.75;11.75;11.37;11.37;1111.0
1973-06-21;11.37;11.37;11.37;11.37;2000.0
1973-06-22;11.37;11.75;11.37;11.37;5111.0
1973-06-25;11.37;11.75;11.37;11.37;2000.0
1973-06-26;11.37;11.75;11.37;11.37;222.0
1973-06-27;11.37;11.37;11.37;11.37;444.0
1973-06-28;11.37;11.75;11.37;11.75;444.0
1973-06-29;11.75;11.75;11.37;11.37;667.0
1973-07-02;11.5;11.75;11.5;11.75;3333.0
1973-07-03;11.75;11.87;11.75;11.87;444.0
1973-07-05;11.75;11.75;11.75;11.75;0.0
1973-07-06;11.75;11.87;11.5;11.75;1333.0
1973-07-09;11.75;11.87;11.37;11.87;667.0
1973-07-10;11.75;11.75;11.5;11.75;444.0
1973-07-11;11.75;11.75;11.75;11.75;444.0
1973-07-12;11.75;11.87;11.5;11.87;3333.0
1973-07-13;11.87;11.87;11.5;11.75;2000.0
1973-07-16;11.87;12.0;11.87;12.0;1556.0
1973-07-17;12.0;12.0;11.75;11.75;444.0
1973-07-18;11.75;11.87;11.5;11.87;2667.0
1973-07-19;11.75;11.75;11.75;11.75;444.0
1973-07-20;11.75;12.0;11.75;12.0;889.0
1973-07-23;12.0;12.0;11.87;11.87;889.0
1973-07-24;11.87;11.87;11.75;11.87;667.0
1973-07-25;11.87;12.0;11.87;12.0;2000.0
1973-07-26;11.87;11.87;11.87;11.87;222.0
1973-07-27;11.87;12.0;11.75;11.87;444.0
1973-07-30;11.87;11.87;11.75;11.87;1556.0
1973-07-31;11.87;11.87;11.87;11.87;1333.0
1973-08-01;11.87;12.0;11.87;12.0;4000.0
1973-08-02;12.0;12.0;11.75;11.75;1556.0
1973-08-03;11.87;12.0;11.87;11.87;2667.0
1973-08-06;11.75;11.75;11.75;11.75;1111.0
1973-08-07;11.75;11.87;11.37;11.5;3333.0
1973-08-08;11.5;11.5;11.5;11.5;0.0
1973-08-09;11.5;11.5;11.5;11.5;1556.0
1973-08-10;11.5;11.5;11.37;11.5;1556.0
1973-08-13;11.5;11.5;11.37;11.5;667.0
1973-08-14;11.37;11.37;11.37;11.37;222.0
1973-08-15;11.37;11.75;11.25;11.75;2222.0
1973-08-16;11.87;11.87;11.87;11.87;0.0
1973-08-17;11.5;11.5;11.5;11.5;0.0
1973-08-20;11.5;12.0;11.5;11.5;5556.0
1973-08-21;11.5;11.87;11.5;11.75;3556.0
1973-08-22;11.75;11.75;11.75;11.75;0.0
1973-08-23;11.75;11.75;11.5;11.5;1556.0
1973-08-24;11.37;11.37;11.12;11.12;5778.0
1973-08-27;11.25;11.5;11.25;11.25;2000.0
1973-08-28;11.75;12.0;11.75;11.75;4667.0
1973-08-29;11.37;11.37;11.37;11.37;0.0
1973-08-30;11.37;11.37;10.62;10.62;10667.0
1973-08-31;10.62;10.87;10.62;10.62;3333.0
1973-09-04;10.87;10.87;10.87;10.87;0.0
1973-09-05;10.87;10.87;10.62;10.87;1111.0
1973-09-06;10.87;11.0;10.87;11.0;2444.0
1973-09-07;10.87;10.87;10.87;10.87;667.0
1973-09-10;10.87;10.87;10.87;10.87;1556.0
1973-09-11;10.87;10.87;10.87;10.87;667.0
1973-09-12;10.87;10.87;10.87;10.87;1556.0
1973-09-13;10.87;10.87;10.87;10.87;2889.0
1973-09-14;10.87;10.87;10.62;10.87;3333.0
1973-09-17;10.87;10.87;10.62;10.87;1556.0
1973-09-18;10.87;11.0;10.87;10.87;2889.0
1973-09-19;10.87;11.37;10.87;11.25;2222.0
1973-09-20;11.25;11.25;11.25;11.25;0.0
1973-09-21;11.12;11.12;11.0;11.0;2000.0
1973-09-24;11.0;11.5;11.0;11.0;2889.0
1973-09-25;11.0;11.12;11.0;11.0;8444.0
1973-09-26;11.12;11.12;11.12;11.12;1556.0
1973-09-27;11.12;11.25;11.12;11.12;5111.0
1973-09-28;11.25;11.25;11.25;11.25;0.0
1973-10-01;11.37;11.75;11.37;11.37;4444.0
1973-10-02;11.37;11.5;11.25;11.5;2667.0
1973-10-03;11.5;11.87;11.5;11.75;3778.0
1973-10-04;11.75;11.75;11.5;11.75;2222.0
1973-10-05;11.75;12.0;11.75;12.0;2000.0
1973-10-08;12.0;12.0;12.0;12.0;2000.0
1973-10-09;12.12;12.12;12.12;12.12;444.0
1973-10-10;12.0;12.0;12.0;12.0;3333.0
1973-10-11;12.0;12.0;11.87;12.0;1111.0
1973-10-12;12.0;12.25;12.0;12.0;2222.0
1973-10-15;12.0;12.12;11.75;12.0;3556.0
1973-10-16;11.87;11.87;11.5;11.75;3333.0
1973-10-17;11.75;11.75;11.75;11.75;1556.0
1973-10-18;11.75;11.75;11.75;11.75;222.0
1973-10-19;11.75;11.75;11.5;11.5;889.0
1973-10-22;11.5;11.87;11.5;11.87;1556.0
1973-10-23;11.87;11.87;11.75;11.87;1111.0
1973-10-24;11.87;12.0;11.5;11.87;2000.0
1973-10-25;11.87;12.0;11.5;11.87;2000.0
1973-10-26;11.87;12.0;11.87;11.87;667.0
1973-10-29;12.0;12.0;12.0;12.0;2000.0
1973-10-30;11.87;11.87;11.75;11.87;2444.0
1973-10-31;11.87;11.87;11.75;11.75;1556.0
1973-11-01;11.75;12.0;11.5;11.87;5778.0
1973-11-02;11.87;12.0;11.87;12.0;444.0
1973-11-05;12.0;12.0;11.87;11.87;444.0
1973-11-06;11.75;11.75;11.5;11.5;2222.0
1973-11-07;11.5;12.0;11.5;11.5;1111.0
1973-11-08;11.5;11.87;11.5;11.5;889.0
1973-11-09;11.5;11.5;11.37;11.5;3333.0
1973-11-12;11.5;11.5;11.37;11.37;2000.0
1973-11-13;11.37;11.37;11.25;11.25;889.0
1973-11-14;11.25;11.25;11.12;11.25;2222.0
