date;open;high;low;close;volume
1993-11-16;15.25;16.25;14.75;16.0;1934600.0
1993-11-17;16.25;17.63;16.0;17.25;630289.0
1993-11-18;17.5;18.25;17.0;17.0;363889.0
1993-11-19;17.0;17.37;16.75;16.88;252089.0
1993-11-22;16.75;17.0;16.0;16.25;170489.0
1993-11-23;16.25;17.63;16.25;17.25;93800.0
1993-11-24;17.25;17.63;17.25;17.63;24800.0
1993-11-26;17.5;17.5;17.25;17.5;4289.0
1993-11-29;17.25;18.0;17.25;17.63;47600.0
1993-11-30;17.75;18.75;17.75;18.5;53800.0
1993-12-01;19.0;19.25;18.5;18.63;75200.0
1993-12-02;18.5;18.87;18.25;18.25;30289.0
1993-12-03;18.63;18.75;18.37;18.75;11089.0
1993-12-06;18.37;18.75;18.37;18.63;6800.0
1993-12-07;18.37;18.75;18.37;18.63;22889.0
1993-12-08;18.75;19.0;18.37;19.0;45800.0
1993-12-09;19.12;19.75;18.87;19.75;123200.0
1993-12-10;19.75;19.75;19.38;19.5;30000.0
1993-12-13;19.38;19.75;19.38;19.75;34489.0
1993-12-14;19.75;20.25;19.0;19.75;75600.0
1993-12-15;19.0;19.5;19.0;19.5;13600.0
1993-12-16;18.75;19.5;18.75;19.0;30400.0
1993-12-17;18.5;19.25;18.5;19.25;27289.0
1993-12-20;19.0;19.12;18.0;18.0;218600.0
1993-12-21;18.0;19.0;18.0;18.63;85400.0
1993-12-22;18.25;19.25;18.25;19.25;46889.0
1993-12-23;18.5;18.5;18.5;18.5;1089.0
1993-12-27;19.5;20.0;19.25;20.0;8289.0
1993-12-28;19.5;20.75;19.5;20.5;144600.0
1993-12-29;20.25;21.5;20.25;21.5;50889.0
1993-12-30;20.5;21.5;20.5;21.0;49600.0
1993-12-31;20.75;21.0;20.5;20.5;9600.0
1994-01-03;20.5;21.0;20.5;20.75;52600.0
1994-01-04;20.0;20.12;20.0;20.12;92600.0
1994-01-05;19.5;21.38;19.5;21.0;20889.0
1994-01-06;21.0;22.5;21.0;22.0;93800.0
1994-01-07;21.5;22.75;21.5;22.75;99089.0
