date;open;high;low;close;volume
2013-03-27;15.0;15.01;14.75;15.0;600100.0
2013-03-28;15.0;15.25;14.99;15.13;132500.0
2013-04-01;15.19;15.19;15.0;15.0;26900.0
2013-04-02;15.05;15.2;15.0;15.15;131800.0
2013-04-03;15.0;15.2;14.91;15.05;47800.0
2013-04-04;15.0;15.15;14.95;15.1;32300.0
2013-04-05;15.19;15.19;14.95;15.15;14900.0
2013-04-08;15.2;15.2;15.0;15.2;56800.0
2013-04-09;15.21;15.29;15.05;15.29;44000.0
2013-04-10;15.25;15.29;15.06;15.2383;78300.0
2013-04-11;15.29;15.29;15.2;15.29;74200.0
2013-04-12;15.2896;15.29;15.01;15.25;43100.0
2013-04-15;15.14;15.24;15.09;15.18;6700.0
2013-04-16;15.24;15.29;15.051;15.29;23900.0
2013-04-17;15.26;15.28;15.041;15.2;42500.0
2013-04-18;15.05;15.15;15.01;15.12;28900.0
2013-04-19;15.1;15.29;15.092;15.15;20000.0
2013-04-22;15.18;15.28;15.121;15.16;20200.0
2013-04-23;15.16;15.26;15.06;15.15;24100.0
2013-04-24;15.05;15.19;15.0;15.18;41400.0
2013-04-25;15.1944;15.29;15.03;15.21;41400.0
2013-04-26;15.2;15.29;15.08;15.29;25400.0
2013-04-29;15.27;15.28;15.07;15.18;33900.0
2013-04-30;15.08;15.2;15.04;15.19;35400.0
2013-05-01;15.18;15.19;15.08;15.17;15500.0
2013-05-02;15.18;15.26;15.07;15.26;31800.0
2013-05-03;15.29;15.29;15.15;15.16;43500.0
2013-05-06;15.2;15.27;15.06;15.06;50400.0
2013-05-07;15.15;15.25;15.07;15.24;34700.0
2013-05-08;15.2145;15.25;15.11;15.15;32200.0
2013-05-09;15.22;15.29;15.11;15.29;31700.0
2013-05-10;15.2;15.29;15.2;15.29;47200.0
2013-05-13;15.198;15.78;15.198;15.5;67600.0
2013-05-14;15.31;15.58;15.086;15.45;34600.0
2013-05-15;15.5;15.69;15.348;15.5;112300.0
2013-05-16;15.37;15.86;15.37;15.59;41100.0
2013-05-17;15.73;15.75;15.366;15.72;58500.0
2013-05-20;15.72;15.75;15.386;15.65;20400.0
2013-05-21;15.7;15.7;15.2127;15.69;72800.0
2013-05-22;15.65;15.75;15.36;15.55;77200.0
2013-05-23;15.4;15.5;15.23;15.35;29100.0
2013-05-24;15.34;15.5;15.15;15.4;28500.0
2013-05-28;15.4;15.5;15.21;15.27;29900.0
2013-05-29;15.25;15.35;15.2;15.35;30300.0
2013-05-30;15.32;15.34;15.03;15.23;46100.0
2013-05-31;15.21;15.48;15.08;15.47;17800.0
2013-06-03;15.41;15.5;15.175;15.5;11600.0
2013-06-04;15.46;15.71;15.21;15.57;23100.0
2013-06-05;15.49;15.52;15.1;15.19;31700.0
2013-06-06;15.11;15.3;15.11;15.29;23100.0
2013-06-07;15.25;15.43;15.095;15.28;15000.0
2013-06-10;15.28;15.28;15.12;15.16;31500.0
2013-06-11;14.95;15.0;14.61;14.78;57800.0
2013-06-12;14.8;15.05;14.76;14.91;44500.0
2013-06-13;14.6;14.95;14.26;14.87;42200.0
2013-06-14;14.73;14.95;14.73;14.92;15400.0
2013-06-17;14.93;15.05;14.57;14.88;41400.0
2013-06-18;14.81;15.13;14.81;15.08;38900.0
2013-06-19;15.05;15.18;14.69;15.16;33100.0
2013-06-20;15.03;15.18;14.763;15.18;62900.0
2013-06-21;15.18;15.18;14.62;14.7;133700.0
2013-06-24;14.94;15.15;14.4512;14.99;65400.0
2013-06-25;15.03;15.035;14.47;14.94;41700.0
2013-06-26;14.93;15.09;14.9;14.93;16900.0
2013-06-27;15.29;15.29;14.66;14.97;36300.0
2013-06-28;15.12;15.56;14.71;15.42;857600.0
2013-07-01;15.5;15.75;15.02;15.35;47200.0
2013-07-02;15.31;15.48;14.94;15.39;23300.0
2013-07-03;15.46;15.49;15.05;15.24;9800.0
2013-07-05;15.45;15.45;14.83;14.99;14600.0
2013-07-08;14.93;15.43;14.75;15.08;44300.0
2013-07-09;15.08;15.22;14.76;15.07;53000.0
2013-07-10;15.11;15.37;15.07;15.32;17300.0
2013-07-11;15.3;15.4;15.2;15.38;79100.0
2013-07-12;15.36;15.58;14.76;14.84;33700.0
2013-07-15;15.15;15.2;14.8;14.94;30200.0
2013-07-16;14.87;15.0661;14.76;14.89;15800.0
2013-07-17;14.99;15.0;14.84;14.88;4700.0
2013-07-18;14.95;15.08;14.85;15.02;9200.0
2013-07-19;14.98;15.19;14.9001;15.07;15300.0
2013-07-22;15.07;15.18;14.8001;14.88;47200.0
2013-07-23;14.88;15.15;14.775;15.09;35800.0
2013-07-24;14.91;15.19;14.85;15.02;21700.0
2013-07-25;14.99;15.14;14.92;15.09;12400.0
2013-07-26;15.01;15.09;14.76;15.04;17800.0
2013-07-29;15.08;15.09;14.99;15.0;9000.0
2013-07-30;14.75;15.18;14.75;15.15;15800.0
2013-07-31;15.15;15.15;14.78;14.9;28700.0
2013-08-01;14.9;15.13;14.9;15.13;7500.0
2013-08-02;15.09;15.15;14.75;15.15;19300.0
2013-08-05;15.11;15.15;14.9601;15.1;11500.0
2013-08-06;15.05;15.15;14.83;15.0;13600.0
2013-08-07;15.16;15.16;14.83;15.0;4200.0
2013-08-08;14.96;15.16;14.86;14.94;14600.0
2013-08-09;14.89;15.0;14.85;14.91;11600.0
2013-08-12;14.94;14.98;14.67;14.8;29700.0
2013-08-13;14.84;15.15;14.7001;14.99;41400.0
2013-08-14;14.99;14.99;14.85;14.93;15000.0
2013-08-15;15.0;15.05;14.78;14.8;10100.0
2013-08-16;14.81;14.9;14.69;14.75;20700.0
2013-08-19;14.87;15.02;14.83;14.89;13100.0
2013-08-20;14.94;14.94;14.59;14.86;18400.0
2013-08-21;14.9;14.9;14.7;14.71;12200.0
2013-08-22;14.75;15.08;14.75;15.05;28100.0
2013-08-23;14.94;15.18;14.83;15.1;23700.0
2013-08-26;15.1;15.17;14.8;15.13;32900.0
2013-08-27;15.04;15.19;14.96;14.99;28700.0
2013-08-28;15.0;15.14;14.8;14.96;29000.0
2013-08-29;15.139;15.14;14.96;15.1;11100.0
2013-08-30;15.05;15.15;14.8548;15.02;27200.0
2013-09-03;15.05;15.05;14.9;15.05;24900.0
2013-09-04;15.05;15.15;15.0;15.11;20200.0
2013-09-05;15.1584;15.16;15.05;15.07;8200.0
2013-09-06;15.01;15.17;14.83;15.1;40100.0
2013-09-09;15.0;15.2;14.9301;15.2;71500.0
2013-09-10;14.85;14.95;14.51;14.82;43700.0
2013-09-11;14.8;14.96;14.57;14.7;21000.0
2013-09-12;14.7;14.85;14.07;14.6;27400.0
2013-09-13;14.63;14.79;13.92;14.43;27900.0
2013-09-16;14.42;14.5;14.38;14.44;11400.0
2013-09-17;14.4;14.54;13.97;14.15;68500.0
2013-09-18;14.16;14.55;14.16;14.39;17000.0
2013-09-19;14.5;14.78;14.24;14.68;36300.0
2013-09-20;14.66;15.0;14.32;15.0;100500.0
2013-09-23;14.9;14.9;14.514;14.77;27200.0
2013-09-24;14.89;15.085;14.57;14.96;59200.0
2013-09-25;14.92;15.0;14.75;14.82;20300.0
2013-09-26;15.15;15.15;14.64;14.78;16300.0
2013-09-27;14.68;14.79;14.51;14.73;21000.0
2013-09-30;14.65;14.799;14.53;14.78;12800.0
2013-10-01;14.73;14.77;14.56;14.69;34000.0
2013-10-02;14.68;14.71;14.58;14.6;5800.0
2013-10-03;14.54;14.644;14.45;14.53;18200.0
2013-10-04;14.52;14.52;14.29;14.48;33400.0
2013-10-07;14.42;14.65;14.311;14.35;14200.0
2013-10-08;14.41;14.41;14.221;14.28;13700.0
2013-10-09;14.35;14.65;14.301;14.42;9600.0
2013-10-10;14.49;14.54;14.3;14.5;16800.0
2013-10-11;14.45;14.54;14.31;14.49;12200.0
2013-10-14;14.49;14.55;14.301;14.53;15300.0
2013-10-15;14.55;14.75;14.3101;14.4;26200.0
2013-10-16;14.49;14.6299;14.32;14.51;13100.0
2013-10-17;14.63;14.64;14.33;14.41;32100.0
2013-10-18;14.46;14.62;14.35;14.57;40900.0
2013-10-21;14.5401;14.63;14.5;14.51;12300.0
2013-10-22;14.52;14.7;14.52;14.6;15100.0
2013-10-23;14.57;14.81;14.49;14.63;31600.0
2013-10-24;14.7;14.89;14.58;14.75;16200.0
2013-10-25;14.8;14.9;14.6;14.8;7800.0
2013-10-28;14.8;14.98;14.8;14.93;16800.0
2013-10-29;14.83;15.05;14.61;15.05;29500.0
2013-10-30;14.99;15.0;14.67;14.73;28500.0
2013-10-31;14.79;14.97;14.67;14.73;22600.0
2013-11-01;14.68;14.68;14.39;14.53;29500.0
2013-11-04;14.41;14.86;14.34;14.42;30100.0
2013-11-05;14.39;14.597;14.3;14.4;16500.0
2013-11-06;14.54;14.66;14.47;14.47;7800.0
2013-11-07;14.51;14.58;14.35;14.38;19700.0
2013-11-08;14.42;14.94;14.33;14.75;24100.0
2013-11-11;14.52;14.64;14.43;14.5;26100.0
2013-11-12;14.63;14.63;14.38;14.48;12500.0
2013-11-13;14.4;14.5;14.2;14.29;34200.0
2013-11-14;14.21;14.3;14.2;14.23;33000.0
2013-11-15;14.21;14.3;14.2;14.27;24900.0
2013-11-18;14.28;14.3;14.1;14.12;53800.0
2013-11-19;14.2999;14.2999;14.1;14.2;15100.0
2013-11-20;14.2;14.3;14.1501;14.25;16500.0
2013-11-21;14.2769;14.55;14.27;14.44;36800.0
2013-11-22;14.44;14.44;14.0;14.02;116400.0
2013-11-25;14.01;14.28;13.92;13.97;35400.0
2013-11-26;13.98;14.29;13.98;14.25;44000.0
2013-11-27;14.3;14.3;14.1;14.28;27200.0
2013-11-29;14.3;14.71;14.18;14.6;26300.0
2013-12-02;14.6;14.62;14.497;14.58;40300.0
2013-12-03;14.53;14.8501;14.53;14.7;33100.0
2013-12-04;14.63;14.77;14.44;14.56;24600.0
2013-12-05;14.52;14.8;14.31;14.55;33700.0
2013-12-06;14.6;14.79;14.3;14.55;32800.0
2013-12-09;14.4;14.78;14.4;14.55;35200.0
2013-12-10;14.58;14.75;14.46;14.55;54000.0
2013-12-11;14.79;14.79;14.06;14.09;45200.0
2013-12-12;14.14;14.25;13.72;13.99;43100.0
2013-12-13;13.93;14.21;13.93;14.08;30200.0
2013-12-16;14.15;14.17;13.78;13.85;69700.0
2013-12-17;13.92;14.2;13.78;14.14;50500.0
2013-12-18;14.21;14.21;13.9;14.01;56700.0
2013-12-19;14.06;14.21;13.86;13.86;27000.0
2013-12-20;13.91;14.06;13.82;13.86;65700.0
2013-12-23;13.97;14.02;13.73;13.76;95700.0
2013-12-24;13.72;13.98;13.7;13.89;38500.0
2013-12-26;13.92;13.92;13.68;13.78;28700.0
2013-12-27;13.85;14.05;13.81;14.03;56400.0
2013-12-30;14.05;14.29;13.841;14.13;59400.0
2013-12-31;14.19;14.19;13.86;13.88;56000.0
2014-01-02;13.9;14.05;13.79;13.82;35800.0
2014-01-03;13.75;14.04;13.68;13.71;42600.0
2014-01-06;13.73;13.88;13.73;13.81;18700.0
2014-01-07;13.87;14.0;13.82;13.96;13500.0
2014-01-08;13.91;14.18;13.82;14.12;27200.0
2014-01-09;14.13;14.2;13.97;14.11;16000.0
2014-01-10;14.17;14.28;14.09;14.27;27300.0
2014-01-13;14.26;14.3;14.07;14.28;33400.0
2014-01-14;14.34;14.42;14.051;14.34;35800.0
2014-01-15;14.33;14.61;14.31;14.61;45300.0
2014-01-16;14.54;14.84;14.54;14.69;23500.0
2014-01-17;14.7;14.72;14.51;14.66;12700.0
2014-01-21;14.67;14.67;14.39;14.49;16500.0
2014-01-22;14.36;14.52;14.25;14.35;9300.0
2014-01-23;14.45;14.55;14.44;14.45;5300.0
2014-01-24;14.37;14.529;14.17;14.29;16400.0
2014-01-27;14.26;14.4;14.08;14.31;18100.0
2014-01-28;14.39;14.39;14.16;14.28;16500.0
2014-01-29;14.22;14.37;13.99;14.13;23700.0
2014-01-30;14.21;14.39;14.14;14.37;25300.0
2014-01-31;14.22;14.39;14.16;14.34;22100.0
2014-02-03;14.166;14.33;14.0;14.33;25000.0
2014-02-04;14.32;14.38;14.07;14.38;17500.0
2014-02-05;14.18;14.63;13.89;14.26;38800.0
2014-02-06;14.4604;14.4604;13.95;14.07;30700.0
2014-02-07;14.06;14.25;14.06;14.23;24600.0
2014-02-10;14.48;14.53;14.0001;14.52;27400.0
2014-02-11;14.49;14.49;14.0901;14.4;19300.0
2014-02-12;14.49;14.6;14.29;14.4;34700.0
2014-02-13;14.32;14.599;14.32;14.51;11100.0
2014-02-14;14.52;14.52;14.27;14.44;17300.0
2014-02-18;14.46;14.56;14.4;14.47;26700.0
2014-02-19;14.49;14.49;14.26;14.32;22900.0
2014-02-20;14.32;14.689;14.221;14.49;41900.0
2014-02-21;14.56;14.59;14.305;14.5;28300.0
2014-02-24;14.5;14.5;14.33;14.49;14100.0
2014-02-25;14.42;14.69;14.2601;14.6;62700.0
2014-02-26;14.54;14.54;14.26;14.35;27900.0
2014-02-27;14.32;14.41;14.25;14.39;16900.0
2014-02-28;14.34;14.37;14.11;14.37;27900.0
2014-03-03;14.3;14.41;14.28;14.37;13200.0
2014-03-04;14.44;14.5;14.12;14.27;63600.0
2014-03-05;14.2;14.28;14.11;14.16;31500.0
2014-03-06;14.2;14.3;14.2;14.26;22700.0
2014-03-07;14.27;14.3;14.11;14.23;27700.0
2014-03-10;14.29;14.45;14.1;14.29;92100.0
2014-03-11;14.32;14.49;14.17;14.19;29300.0
2014-03-12;14.29;14.6;14.19;14.54;42000.0
2014-03-13;14.6;14.6;14.24;14.46;14200.0
2014-03-14;14.46;14.72;14.26;14.7;30500.0
2014-03-17;14.72;14.959;14.51;14.67;44100.0
2014-03-18;14.68;14.9299;14.52;14.81;65900.0
2014-03-19;14.52;14.6;14.18;14.43;65900.0
2014-03-20;14.35;14.35;14.19;14.28;28200.0
2014-03-21;14.3;14.3;14.0;14.11;114000.0
2014-03-24;14.09;14.25;14.06;14.23;22900.0
2014-03-25;14.31;14.34;14.06;14.21;63900.0
2014-03-26;14.28;14.29;14.1;14.12;29800.0
2014-03-27;14.08;14.15;14.01;14.15;34100.0
2014-03-28;14.23;14.23;14.04;14.19;19500.0
2014-03-31;14.28;14.35;14.07;14.13;56100.0
2014-04-01;14.2;14.2;14.09;14.12;32300.0
2014-04-02;14.12;14.16;14.03;14.11;37300.0
2014-04-03;14.16;14.2;14.03;14.19;43700.0
2014-04-04;14.22;14.22;14.06;14.16;49500.0
2014-04-07;14.055;14.27;14.055;14.18;50900.0
2014-04-08;14.09;14.34;14.09;14.33;37400.0
2014-04-09;14.4;14.43;14.2;14.32;38300.0
2014-04-10;14.32;14.45;14.07;14.12;50000.0
2014-04-11;14.1;14.355;14.1;14.12;20900.0
2014-04-14;14.24;14.299;14.12;14.17;15500.0
2014-04-15;14.25;14.25;14.05;14.2;38500.0
2014-04-16;14.22;14.22;14.12;14.19;15500.0
2014-04-17;14.12;14.19;14.12;14.13;16400.0
2014-04-21;14.2;14.25;14.131;14.16;16700.0
2014-04-22;14.14;14.2;14.12;14.19;19200.0
2014-04-23;14.15;14.24;14.122;14.15;22100.0
2014-04-24;14.17;14.21;14.12;14.16;5900.0
2014-04-25;14.13;14.21;14.12;14.12;29200.0
2014-04-28;14.13;14.19;14.12;14.12;25500.0
2014-04-29;14.14;14.23;14.12;14.14;19800.0
2014-04-30;14.14;14.18;14.1;14.1;29000.0
2014-05-01;14.1;14.187;13.96;14.1;52600.0
2014-05-02;14.15;14.19;14.07;14.13;34400.0
2014-05-05;14.06;14.24;14.05;14.21;19400.0
2014-05-06;14.2;14.25;14.08;14.09;39900.0
2014-05-07;14.1;14.18;14.09;14.09;67500.0
2014-05-08;14.09;14.25;14.08;14.13;22100.0
2014-05-09;14.07;14.1899;14.0;14.08;70300.0
2014-05-12;14.15;14.77;14.01;14.4;62400.0
2014-05-13;14.17;14.55;14.17;14.24;50300.0
2014-05-14;14.27;14.5;14.16;14.19;37300.0
2014-05-15;14.15;14.27;14.11;14.18;32200.0
2014-05-16;14.25;14.45;14.1604;14.4;35900.0
2014-05-19;14.26;14.55;14.26;14.55;29700.0
2014-05-20;14.55;14.55;14.27;14.29;29700.0
2014-05-21;14.35;14.5;14.1;14.15;44200.0
