date;open;high;low;close;volume
2010-04-15;14.5;14.95;14.3;14.71;1801200.0
2010-04-16;14.5;14.75;14.5;14.7;247400.0
2010-04-19;14.7;14.854;14.57;14.72;231600.0
2010-04-20;14.8;14.85;14.66;14.85;171200.0
2010-04-21;14.83;14.83;14.61;14.8;118300.0
2010-04-22;14.595;14.79;14.595;14.72;86200.0
2010-04-23;14.7;14.8;14.55;14.8;159500.0
2010-04-26;14.71;14.73;14.57;14.66;123400.0
2010-04-27;14.605;14.7;14.5;14.55;195100.0
2010-04-28;14.56;14.74;14.5;14.7;146600.0
2010-04-29;14.7;14.72;14.51;14.7;133100.0
2010-04-30;14.6;14.65;14.5;14.5;195700.0
2010-05-03;14.64;14.64;14.5;14.51;114100.0
2010-05-04;14.51;14.6;14.5;14.6;190400.0
2010-05-05;14.51;14.564;14.5;14.55;154000.0
2010-05-06;14.55;14.6;14.5;14.5;667600.0
2010-05-07;14.51;15.0;14.5;14.54;118000.0
2010-05-10;14.7;14.7;14.5;14.52;95900.0
2010-05-11;14.55;14.6;14.5;14.53;58400.0
2010-05-12;14.51;14.6865;14.5;14.5;75800.0
2010-05-13;14.56;14.56;14.5;14.5;35300.0
2010-05-14;14.5;14.52;14.5;14.5;106800.0
2010-05-17;14.5;14.5;14.02;14.19;147700.0
2010-05-18;14.32;14.43;13.25;13.47;131500.0
2010-05-19;13.59;13.79;12.57;13.4;223200.0
2010-05-20;13.19;13.55;12.56;13.5;170800.0
2010-05-21;13.37;13.56;12.75;12.85;84500.0
2010-05-24;12.81;13.42;12.56;13.27;43800.0
2010-05-25;13.02;13.35;12.5;13.35;94100.0
2010-05-26;13.45;13.98;13.27;13.65;56000.0
2010-05-27;13.73;14.22;13.33;13.95;49200.0
2010-05-28;14.2;14.44;13.38;14.14;54600.0
2010-06-01;14.14;14.4;14.0;14.03;40800.0
2010-06-02;14.14;14.2;14.0;14.14;12800.0
2010-06-03;14.08;14.1;13.38;13.8;35800.0
2010-06-04;14.21;14.21;13.55;13.93;17000.0
2010-06-07;13.88;14.14;13.83;13.975;53200.0
2010-06-08;13.75;13.75;13.31;13.67;57400.0
2010-06-09;13.97;13.97;13.355;13.87;18200.0
2010-06-10;13.98;14.17;13.87;13.96;16600.0
2010-06-11;13.95;14.38;13.85;14.38;41800.0
2010-06-14;14.3;14.54;14.05;14.39;45600.0
2010-06-15;14.44;14.6;14.25;14.59;56000.0
2010-06-16;14.29;14.55;14.27;14.51;44600.0
2010-06-17;14.42;14.55;14.15;14.55;41200.0
2010-06-18;14.45;14.501;14.28;14.4;69200.0
2010-06-21;14.5;14.6;14.0;14.48;153400.0
2010-06-22;14.25;14.58;14.18;14.49;151600.0
2010-06-23;14.43;14.62;14.21;14.49;135200.0
2010-06-24;14.37;14.65;14.37;14.63;70000.0
2010-06-25;14.69;14.77;14.44;14.65;898000.0
2010-06-28;14.66;14.66;14.33;14.36;38200.0
2010-06-29;14.28;14.47;14.25;14.33;38200.0
2010-06-30;14.39;14.73;14.25;14.42;36800.0
2010-07-01;14.4;14.5;14.02;14.08;69800.0
2010-07-02;14.19;14.1999;14.0;14.01;23600.0
2010-07-06;14.14;14.32;13.65;13.83;72000.0
2010-07-07;13.91;14.55;13.86;14.48;44000.0
2010-07-08;14.5;14.53;14.13;14.4;30600.0
2010-07-09;14.43;14.43;14.09;14.13;29100.0
2010-07-12;14.16;14.4;13.96;14.01;25000.0
2010-07-13;14.17;14.54;14.0;14.39;116600.0
2010-07-14;14.44;14.44;13.91;14.15;52000.0
2010-07-15;14.21;14.21;14.0;14.07;13300.0
2010-07-16;13.97;14.05;13.9;13.92;19800.0
2010-07-19;14.01;14.47;13.92;14.11;39900.0
2010-07-20;14.03;14.34;13.92;14.34;19400.0
2010-07-21;14.37;14.37;14.13;14.21;63900.0
2010-07-22;14.35;14.35;14.14;14.25;33500.0
2010-07-23;14.2;14.295;13.94;14.25;36200.0
2010-07-26;14.32;14.32;13.93;14.14;45400.0
2010-07-27;14.2;14.32;14.03;14.31;22200.0
2010-07-28;14.3;14.3;14.04;14.09;28300.0
2010-07-29;14.15;14.21;13.95;14.03;17500.0
2010-07-30;13.92;14.21;13.92;14.03;26100.0
2010-08-02;14.17;14.21;14.04;14.14;25700.0
2010-08-03;14.101;14.31;14.101;14.25;24300.0
2010-08-04;14.28;14.5;14.16;14.48;40500.0
2010-08-05;14.41;14.49;14.25;14.39;23600.0
2010-08-06;14.31;14.41;13.62;14.12;69500.0
2010-08-09;14.15;14.25;13.81;14.25;43000.0
2010-08-10;14.14;14.29;13.62;14.09;32200.0
2010-08-11;13.91;14.4599;13.9;14.26;108200.0
2010-08-12;14.11;14.66;14.11;14.64;81100.0
2010-08-13;14.64;14.7;14.4355;14.49;31300.0
2010-08-16;14.57;14.73;14.5;14.68;51400.0
2010-08-17;14.61;14.72;14.5;14.58;43900.0
2010-08-18;14.52;14.559;14.25;14.41;44100.0
2010-08-19;14.33;14.74;14.27;14.5;36700.0
2010-08-20;14.44;14.71;14.4;14.5;40400.0
2010-08-23;14.58;14.6999;14.47;14.53;28800.0
2010-08-24;14.43;14.701;14.4;14.4;33200.0
2010-08-25;14.4;14.566;14.4;14.49;15900.0
2010-08-26;14.49;14.52;14.29;14.41;23500.0
2010-08-27;14.49;14.52;14.3401;14.52;34900.0
2010-08-30;14.41;14.47;14.26;14.26;18800.0
2010-08-31;14.32;14.52;14.25;14.31;41300.0
2010-09-01;14.48;14.72;14.42;14.66;66500.0
2010-09-02;14.7;14.7;14.56;14.61;22700.0
2010-09-03;14.72;14.72;14.56;14.61;33800.0
2010-09-07;14.62;14.74;14.62;14.67;66400.0
2010-09-08;14.6;14.61;14.36;14.5;47600.0
2010-09-09;14.64;14.64;14.3;14.45;16300.0
2010-09-10;14.45;14.74;14.4101;14.74;38400.0
2010-09-13;14.74;14.87;14.53;14.84;51600.0
2010-09-14;14.84;14.87;14.62;14.81;39200.0
2010-09-15;14.74;14.79;14.58;14.72;15400.0
2010-09-16;14.62;14.8;14.57;14.78;28400.0
2010-09-17;14.8;14.8;14.57;14.65;29600.0
2010-09-20;14.7999;14.84;14.7;14.84;43200.0
2010-09-21;14.79;14.91;14.7201;14.87;96900.0
2010-09-22;14.87;14.95;14.86;14.89;53500.0
2010-09-23;14.85;14.9;14.53;14.72;96700.0
2010-09-24;14.8;14.95;14.74;14.94;59300.0
2010-09-27;14.96;14.96;14.9;14.93;22200.0
2010-09-28;14.96;15.05;14.7;15.02;78500.0
2010-09-29;15.0;15.19;14.95;15.19;51400.0
2010-09-30;15.19;15.51;15.13;15.3;60700.0
2010-10-01;15.39;15.83;15.26;15.82;65900.0
2010-10-04;15.82;15.82;15.48;15.54;33600.0
2010-10-05;15.66;15.83;15.33;15.72;71200.0
2010-10-06;15.72;16.06;15.64;16.01;36800.0
2010-10-07;16.12;16.718;15.62;15.62;89800.0
2010-10-08;15.6;15.69;15.45;15.5;72100.0
2010-10-11;15.53;15.564;15.23;15.44;34300.0
2010-10-12;15.33;15.55;15.25;15.53;13300.0
2010-10-13;15.55;16.251;15.3307;16.14;31600.0
2010-10-14;16.14;16.29;15.706;16.25;22000.0
2010-10-15;16.32;16.32;15.71;15.97;39200.0
2010-10-18;16.07;16.33;15.6698;16.33;24200.0
2010-10-19;16.2;16.76;15.99;16.05;35200.0
2010-10-20;16.09;16.3884;16.09;16.15;21200.0
2010-10-21;16.1;16.74;15.76;15.89;46200.0
2010-10-22;15.89;16.138;15.84;15.91;27400.0
2010-10-25;16.03;16.03;15.8608;15.91;35200.0
2010-10-26;15.93;16.33;15.9282;16.32;22200.0
2010-10-27;16.06;16.45;16.05;16.41;40000.0
2010-10-28;16.47;16.47;16.04;16.16;33000.0
2010-10-29;16.0;16.0;15.61;15.91;82300.0
2010-11-01;15.8;15.96;15.57;15.61;30600.0
2010-11-02;15.75;15.9;15.65;15.79;36800.0
2010-11-03;15.75;15.93;15.57;15.9;26900.0
2010-11-04;15.9;16.41;15.79;16.39;70700.0
2010-11-05;16.42;16.42;16.05;16.26;28100.0
