date;open;high;low;close;volume
1977-01-03;54.0;54.75;54.0;54.5;30528.0
1977-01-04;54.5;54.75;53.62;53.75;7319.0
1977-01-05;53.75;53.88;53.0;53.0;5696.0
1977-01-06;53.0;53.5;53.0;53.12;10537.0
1977-01-07;53.0;53.0;52.0;52.63;6892.0
1977-01-10;52.37;52.37;52.0;52.13;2990.0
1977-01-11;52.0;52.0;50.75;50.75;6892.0
1977-01-12;50.75;50.75;49.25;49.75;21558.0
1977-01-13;49.75;49.75;49.0;49.38;11106.0
1977-01-14;49.38;52.25;49.25;52.25;19650.0
1977-01-17;52.13;52.13;51.75;52.0;4984.0
1977-01-18;52.0;53.75;51.75;53.75;10537.0
1977-01-19;54.25;56.5;54.25;56.5;45622.0
1977-01-20;56.5;57.87;56.25;57.0;67977.0
1977-01-21;57.0;58.0;56.5;56.5;41008.0
1977-01-24;56.5;56.5;55.75;56.0;15948.0
1977-01-25;56.25;57.25;56.25;56.25;18995.0
1977-01-26;56.25;56.5;55.75;56.0;33319.0
1977-01-27;56.0;56.25;55.5;55.75;11021.0
1977-01-28;55.75;56.25;55.75;56.0;7746.0
1977-01-31;56.5;57.87;56.5;57.87;29047.0
1977-02-01;57.87;59.12;57.87;58.62;20276.0
1977-02-02;58.75;60.25;58.75;59.63;31240.0
1977-02-03;59.63;59.63;58.75;59.63;13726.0
1977-02-04;59.87;61.0;59.87;60.25;25772.0
1977-02-07;60.25;60.75;59.25;59.87;12730.0
1977-02-08;59.87;59.87;58.5;59.5;11818.0
1977-02-09;59.12;59.12;56.75;58.12;23637.0
1977-02-10;58.12;58.25;57.25;57.75;28051.0
1977-02-11;57.75;57.75;56.38;56.62;22213.0
1977-02-14;56.62;57.37;56.0;57.13;12302.0
1977-02-15;57.25;57.87;57.25;57.25;7319.0
1977-02-16;57.5;59.0;57.5;58.5;17656.0
1977-02-17;58.62;59.0;58.62;58.62;22839.0
1977-02-18;58.5;58.5;58.0;58.5;16005.0
1977-02-22;58.5;58.5;58.0;58.5;17428.0
1977-02-23;58.38;58.38;57.25;57.25;8259.0
1977-02-24;57.25;57.25;55.88;55.88;17799.0
1977-02-25;55.88;56.0;55.0;55.75;32892.0
1977-02-28;55.75;56.5;55.75;56.5;5838.0
1977-03-01;56.75;58.25;56.75;58.0;20504.0
1977-03-02;58.0;58.25;57.87;58.0;6749.0
1977-03-03;58.0;59.5;58.0;58.0;17571.0
1977-03-04;57.75;57.75;57.25;57.25;7974.0
1977-03-07;57.25;57.5;56.88;57.0;11249.0
1977-03-08;57.0;57.25;56.75;56.75;13242.0
1977-03-09;56.25;56.25;55.75;56.12;10309.0
1977-03-10;56.12;56.5;55.75;56.25;16517.0
1977-03-11;56.25;56.75;56.25;56.75;2905.0
1977-03-14;57.0;58.12;57.0;58.0;14381.0
1977-03-15;58.0;58.0;57.63;58.0;4699.0
1977-03-16;58.0;58.0;57.75;58.0;14097.0
1977-03-17;58.0;58.0;57.5;57.5;3560.0
1977-03-18;57.5;57.75;57.37;57.75;8885.0
1977-03-21;57.75;57.75;57.25;57.75;8885.0
1977-03-22;57.75;59.0;57.5;59.0;16432.0
1977-03-23;59.0;59.0;57.5;57.87;7746.0
1977-03-24;57.75;57.75;57.25;57.5;12587.0
1977-03-25;57.5;57.75;56.62;56.62;5696.0
1977-03-28;56.38;56.38;56.0;56.38;8971.0
1977-03-29;56.38;56.62;56.25;56.62;6977.0
1977-03-30;56.62;56.62;55.75;55.88;8828.0
1977-03-31;55.88;57.25;55.88;56.75;14239.0
1977-04-01;56.75;57.5;56.5;57.5;11591.0
1977-04-04;57.5;57.75;57.25;57.5;24064.0
1977-04-05;57.37;57.37;53.75;54.5;114680.0
1977-04-06;54.5;54.63;51.25;52.5;31610.0
1977-04-07;52.5;54.5;52.0;54.25;36651.0
1977-04-11;54.25;54.25;54.0;54.25;13869.0
1977-04-12;54.25;56.38;54.0;56.12;35797.0
1977-04-13;56.0;56.0;52.75;54.5;29816.0
1977-04-14;54.5;55.0;53.0;53.25;36793.0
1977-04-15;53.25;54.25;53.12;54.25;9455.0
1977-04-18;54.0;54.0;53.5;53.5;8885.0
1977-04-19;53.5;53.88;53.25;53.25;2990.0
1977-04-20;53.25;53.38;52.75;52.75;7547.0
1977-04-21;52.5;52.5;52.0;52.0;9170.0
1977-04-22;52.0;52.13;50.75;51.12;6180.0
1977-04-25;50.75;50.75;50.25;50.37;11106.0
1977-04-26;50.5;51.25;50.5;50.62;12388.0
1977-04-27;50.88;52.25;50.88;51.75;19422.0
1977-04-28;51.75;52.25;51.25;51.62;16289.0
1977-04-29;51.62;52.0;51.25;52.0;5041.0
1977-05-02;52.0;52.37;51.38;51.75;17514.0
1977-05-03;52.0;53.25;52.0;53.25;25829.0
1977-05-04;53.62;55.25;53.62;55.0;21273.0
1977-05-05;55.0;56.25;54.63;55.13;21558.0
1977-05-06;55.13;55.75;54.87;55.5;13869.0
1977-05-09;55.5;55.5;55.25;55.25;4613.0
1977-05-10;55.25;55.88;55.0;55.37;23124.0
1977-05-11;55.37;55.5;54.5;54.5;8173.0
1977-05-12;54.25;54.25;53.75;54.0;7034.0
1977-05-13;54.0;54.25;53.5;54.25;3617.0
1977-05-16;54.63;55.25;54.63;55.25;12530.0
1977-05-17;55.25;55.5;54.25;54.5;5980.0
1977-05-18;54.5;55.5;54.5;54.87;12160.0
1977-05-19;54.87;55.5;54.63;54.75;10110.0
1977-05-20;54.75;54.87;53.88;54.25;8971.0
1977-05-23;54.0;54.0;53.12;53.12;7689.0
1977-05-24;53.0;53.0;52.5;52.75;9170.0
1977-05-25;52.75;53.5;52.5;53.0;7888.0
1977-05-26;53.0;54.0;53.0;54.0;6607.0
1977-05-27;54.0;54.38;53.25;53.25;13014.0
1977-05-31;53.0;53.0;52.5;52.75;11534.0
1977-06-01;52.75;53.75;52.63;53.62;4898.0
1977-06-02;53.75;54.25;53.75;53.75;13385.0
1977-06-03;53.75;54.5;53.75;53.75;11448.0
1977-06-06;54.0;54.38;54.0;54.12;11676.0
1977-06-07;54.12;55.0;54.0;54.87;7404.0
1977-06-08;54.87;55.37;54.5;54.5;34088.0
1977-06-09;54.63;55.13;54.63;55.0;23494.0
1977-06-10;55.0;56.0;54.87;56.0;14097.0
1977-06-13;56.0;58.0;56.0;56.38;52684.0
1977-06-14;56.38;57.0;56.25;56.25;28051.0
1977-06-15;56.12;56.12;55.0;55.13;18795.0
1977-06-16;55.13;56.5;55.13;56.25;43571.0
1977-06-17;56.25;56.25;55.75;56.0;20219.0
1977-06-20;56.0;56.88;55.88;56.5;12018.0
1977-06-21;56.75;57.0;56.75;56.88;20703.0
1977-06-22;56.88;57.0;56.62;56.75;9113.0
1977-06-23;56.75;58.75;56.75;58.75;30756.0
