date;open;high;low;close;volume
2010-07-22;43.15;44.93;41.13;43.99;4940400.0
2010-07-23;43.79;44.2;41.88;44.2;619000.0
2010-07-26;44.16;44.56;43.0;44.05;165800.0
2010-07-27;44.8;44.89;43.0;43.0;210500.0
2010-07-28;42.8;43.58;42.17;43.01;99600.0
2010-07-29;43.3;43.9;42.82;42.95;79200.0
2010-07-30;42.0042;43.529;41.33;43.5;111000.0
2010-08-02;44.28;44.28;43.35;43.52;45700.0
2010-08-03;43.4;43.52;42.67;43.0;22000.0
2010-08-04;42.9;43.635;42.801;43.31;20400.0
2010-08-05;43.7;43.7;43.14;43.32;38800.0
2010-08-06;43.31;44.0;43.2401;43.65;46900.0
2010-08-09;43.8123;46.6701;43.75;46.3;130700.0
2010-08-10;46.17;47.9799;46.01;47.06;98900.0
2010-08-11;46.84;47.3;45.81;46.93;45600.0
2010-08-12;46.25;47.0;46.15;46.56;58700.0
2010-08-13;46.3;46.47;44.82;45.01;46100.0
2010-08-16;45.01;45.01;44.1501;44.5;122600.0
2010-08-17;44.25;45.3;44.25;44.8;78900.0
2010-08-18;44.95;45.75;44.48;44.6;44000.0
2010-08-19;44.31;46.25;44.31;45.01;44500.0
2010-08-20;44.4;47.6;44.045;46.0;136500.0
2010-08-23;46.3;46.404;45.0;45.25;33700.0
2010-08-24;45.02;45.51;44.5;44.82;35400.0
2010-08-25;44.56;45.22;44.56;45.08;26500.0
2010-08-26;45.0;45.5;44.93;45.37;32200.0
2010-08-27;45.5;46.48;44.6;46.46;13400.0
2010-08-30;46.62;46.62;45.5;45.58;33200.0
2010-08-31;45.3;45.39;45.0;45.26;33300.0
2010-09-01;45.47;47.41;45.26;47.0;121500.0
2010-09-02;47.4;49.35;47.29;49.0;37200.0
2010-09-03;49.5;50.2199;49.5;49.85;68400.0
2010-09-07;50.45;51.4699;49.51;50.22;70300.0
2010-09-08;50.89;52.05;49.6;50.49;93700.0
2010-09-09;50.26;51.78;49.7;51.61;76500.0
2010-09-10;51.45;52.99;51.45;51.91;73100.0
2010-09-13;52.17;53.22;52.17;52.65;105100.0
2010-09-14;52.95;54.24;52.45;53.68;77900.0
2010-09-15;53.72;54.22;52.5101;53.0;53600.0
2010-09-16;53.1;53.35;51.6;52.69;88400.0
2010-09-17;52.63;53.72;52.34;52.71;78800.0
2010-09-20;52.61;52.62;51.285;52.07;35800.0
2010-09-21;52.3;53.5;51.33;51.68;37800.0
2010-09-22;51.25;51.5;49.62;49.74;66200.0
2010-09-23;49.3;51.6;49.3;51.49;119200.0
2010-09-24;51.99;53.97;51.51;52.0;60400.0
2010-09-27;52.27;52.83;51.85;52.24;97800.0
2010-09-28;52.47;52.47;50.54;51.14;77000.0
2010-09-29;50.74;53.33;50.51;51.63;116100.0
2010-09-30;51.45;51.59;48.47;48.48;405700.0
2010-10-01;48.73;50.0;48.3;48.85;101500.0
2010-10-04;48.63;48.63;45.435;46.1;246400.0
2010-10-05;46.59;47.0;44.5;45.08;507700.0
2010-10-06;46.9;46.925;44.86;46.15;294000.0
2010-10-07;46.1;48.5;46.1;48.22;339600.0
2010-10-08;48.02;48.85;47.41;48.47;162100.0
2010-10-11;48.76;48.845;47.8;48.34;80600.0
2010-10-12;48.25;48.77;47.46;47.7;133600.0
2010-10-13;47.8;48.16;47.355;48.16;142600.0
2010-10-14;48.46;49.1;47.7;48.08;101700.0
2010-10-15;48.85;49.85;48.29;49.01;109500.0
2010-10-18;49.4;51.5;49.4;50.94;115500.0
2010-10-19;50.53;51.0;47.948;48.32;262400.0
2010-10-20;48.33;49.72;48.32;48.64;54900.0
2010-10-21;48.77;49.25;48.56;49.22;29400.0
2010-10-22;49.39;49.969;48.82;49.82;51100.0
2010-10-25;50.0;51.0;49.9;50.6;59100.0
2010-10-26;50.27;51.189;49.48;49.87;83500.0
2010-10-27;49.53;50.1;49.1225;50.01;40100.0
2010-10-28;50.1;50.1;49.16;49.17;31900.0
2010-10-29;48.98;50.88;47.01;50.8;46200.0
2010-11-01;51.0;52.65;49.7;52.3;38300.0
2010-11-02;53.48;55.35;51.92;54.43;110500.0
2010-11-03;54.45;55.5;54.45;55.5;104200.0
2010-11-04;54.05;54.6;51.8;53.12;224700.0
2010-11-05;53.25;53.42;52.22;52.98;121100.0
2010-11-08;52.66;53.99;52.35;53.96;64200.0
2010-11-09;50.52;55.185;49.46;54.35;213400.0
2010-11-10;54.46;55.0;53.23;54.58;40300.0
2010-11-11;54.02;54.93;53.76;54.36;75700.0
2010-11-12;53.3;55.02;53.0;54.22;65900.0
2010-11-15;54.4;54.4;53.8;54.0;51800.0
2010-11-16;53.74;53.74;52.25;52.71;49800.0
2010-11-17;52.83;53.49;51.92;52.87;55700.0
2010-11-18;53.35;53.72;52.48;53.35;57600.0
2010-11-19;53.39;54.45;52.93;53.51;28600.0
2010-11-22;53.36;53.51;51.85;52.49;38400.0
2010-11-23;50.5;53.83;50.5;52.84;49500.0
2010-11-24;53.48;53.85;53.18;53.5;36100.0
2010-11-26;53.5;54.23;53.31;53.88;31500.0
2010-11-29;53.9;57.0;53.15;55.28;76000.0
2010-11-30;54.7;57.88;54.7;57.88;83100.0
2010-12-01;57.69;59.8;57.69;59.65;79800.0
2010-12-02;59.5;59.71;58.95;59.71;83200.0
2010-12-03;57.95;62.94;56.46;62.89;157500.0
2010-12-06;62.57;64.68;62.0;64.68;111900.0
2010-12-07;64.4;65.1;62.34;62.66;143200.0
2010-12-08;59.53;59.8;53.75;54.61;4387600.0
2010-12-09;55.14;55.44;52.63;54.03;1006700.0
2010-12-10;54.05;54.6;53.4401;54.01;292700.0
2010-12-13;55.02;55.75;54.25;54.8;305200.0
2010-12-14;54.51;54.7;51.23;51.7;511500.0
2010-12-15;52.96;53.05;51.71;51.84;266700.0
2010-12-16;51.7;53.0;51.5301;52.64;259300.0
2010-12-17;53.41;54.7;53.01;53.95;442300.0
2010-12-20;53.9;53.9;50.59;51.39;310700.0
2010-12-21;51.15;51.97;50.31;50.8;256600.0
2010-12-22;50.92;51.71;50.46;51.07;174300.0
2010-12-23;51.35;51.35;50.34;50.98;199800.0
2010-12-27;50.69;51.15;49.74;50.86;186100.0
2010-12-28;51.02;51.15;49.86;50.62;202300.0
2010-12-29;50.66;54.0;50.66;53.94;258900.0
2010-12-30;53.68;55.65;53.61;55.1;281900.0
2010-12-31;55.1;56.96;54.74;56.74;298600.0
2011-01-03;56.59;56.59;54.59;55.52;360500.0
2011-01-04;55.71;55.85;54.65;54.77;282800.0
2011-01-05;54.87;55.23;54.375;55.18;212000.0
2011-01-06;55.29;56.2;54.505;55.99;201300.0
2011-01-07;55.87;57.19;55.7;57.16;224700.0
2011-01-10;56.71;58.45;56.69;58.14;198000.0
2011-01-11;58.46;58.46;57.49;57.72;187300.0
2011-01-12;58.03;58.95;57.82;58.92;164200.0
2011-01-13;59.74;62.7;58.1003;60.9;668200.0
2011-01-14;60.93;61.86;60.55;61.06;663700.0
2011-01-18;60.59;62.63;60.5;61.63;590900.0
2011-01-19;61.88;63.24;61.61;61.91;621200.0
2011-01-20;61.36;61.86;60.65;60.92;296700.0
2011-01-21;62.16;62.97;60.92;62.32;163200.0
2011-01-24;62.2;62.67;61.7;62.12;362100.0
2011-01-25;61.64;63.43;61.385;63.2;222200.0
2011-01-26;64.01;64.97;63.6;64.29;528800.0
2011-01-27;64.83;65.0;63.84;64.14;265600.0
2011-01-28;64.04;64.16;62.8;63.16;175200.0
2011-01-31;62.98;63.76;62.2614;62.91;109100.0
2011-02-01;63.34;63.41;62.79;63.22;70600.0
2011-02-02;62.39;63.64;62.13;62.29;96600.0
2011-02-03;61.84;62.12;58.3;58.87;138300.0
2011-02-04;59.19;59.64;58.28;59.04;268000.0
2011-02-07;59.0;60.62;58.43;59.62;200800.0
2011-02-08;59.9;60.6;59.7;60.42;128900.0
2011-02-09;60.7;60.97;60.13;60.33;304100.0
2011-02-10;60.06;60.26;58.17;58.31;291400.0
2011-02-11;52.0;55.6;49.61;54.8;2132000.0
2011-02-14;55.15;55.15;52.76;53.02;560100.0
2011-02-15;52.51;52.86;51.46;52.39;302000.0
2011-02-16;55.0;56.99;52.39;56.42;384300.0
2011-02-17;55.97;58.14;54.89;56.16;247800.0
2011-02-18;55.98;57.5;54.67;57.05;292200.0
2011-02-22;56.24;56.37;53.88;54.14;233400.0
2011-02-23;54.09;54.35;53.5;54.03;119100.0
2011-02-24;54.01;54.54;53.6;53.75;158300.0
2011-02-25;54.22;54.58;52.6301;53.28;182300.0
2011-02-28;53.25;53.84;51.66;52.21;153700.0
2011-03-01;51.55;51.99;44.67;48.98;1365500.0
2011-03-02;52.63;52.63;47.08;47.17;405400.0
2011-03-03;47.17;49.34;47.17;48.97;274000.0
2011-03-04;48.645;48.93;47.27;47.4;193300.0
2011-03-07;47.2;47.42;43.05;43.25;736100.0
2011-03-08;43.76;46.3;43.26;45.17;815800.0
2011-03-09;44.98;46.02;44.38;45.65;346700.0
2011-03-10;45.04;45.22;43.99;44.4;369900.0
2011-03-11;43.88;45.87;43.88;45.5;361600.0
2011-03-14;43.35;45.05;43.33;44.92;305600.0
2011-03-15;43.5;46.19;43.34;46.0;244900.0
2011-03-16;45.8;46.47;45.68;45.94;283500.0
2011-03-17;46.72;46.83;45.66;46.17;202700.0
2011-03-18;46.5;46.83;46.33;46.5;241100.0
2011-03-21;46.75;47.125;46.06;46.53;151700.0
2011-03-22;45.93;46.4;41.85;42.9;968100.0
2011-03-23;43.05;43.654;42.73;43.14;166600.0
2011-03-24;43.24;43.34;42.54;42.83;260600.0
2011-03-25;43.0;44.5;42.06;42.32;208900.0
2011-03-28;41.9;43.17;41.86;42.31;377700.0
2011-03-29;42.01;42.61;41.09;41.25;152300.0
2011-03-30;41.33;42.25;39.0;42.07;917900.0
2011-03-31;41.53;43.32;41.19;42.91;387200.0
2011-04-01;43.07;45.31;42.66;45.31;281200.0
2011-04-04;45.77;45.77;44.85;45.3;340500.0
2011-04-05;45.17;45.72;44.86;45.5;197900.0
2011-04-06;45.6;45.6;44.6;45.31;203900.0
2011-04-07;45.35;45.65;44.56;44.67;151800.0
2011-04-08;44.9;45.01;43.6101;43.76;144700.0
2011-04-11;43.65;44.15;43.12;43.31;95400.0
2011-04-12;43.19;43.98;43.0;43.05;80200.0
2011-04-13;43.05;43.26;43.0;43.05;126600.0
2011-04-14;42.75;43.31;42.2;43.09;96600.0
2011-04-15;43.21;43.66;42.93;43.01;48800.0
2011-04-18;42.62;43.21;42.26;42.74;170800.0
2011-04-19;42.55;42.55;41.65;42.0;260900.0
2011-04-20;42.62;44.43;42.45;44.42;313800.0
2011-04-21;44.57;46.27;44.1;45.69;133000.0
2011-04-25;45.5;45.95;45.05;45.61;270000.0
2011-04-26;46.17;46.17;45.56;45.79;347500.0
2011-04-27;46.11;47.5;45.7;47.34;435500.0
2011-04-28;47.49;49.0;47.14;48.36;272800.0
2011-04-29;48.25;49.93;42.82;43.16;1335300.0
2011-05-02;43.67;44.73;43.09;43.3;315500.0
2011-05-03;43.08;43.1197;41.0;41.31;602200.0
2011-05-04;41.37;41.95;39.12;39.93;581900.0
2011-05-05;39.2;39.37;35.8;37.97;1297300.0
2011-05-06;38.38;39.8;38.38;39.19;426700.0
2011-05-09;39.16;39.37;38.99;39.25;174000.0
2011-05-10;39.31;41.87;39.31;41.28;340700.0
2011-05-11;41.3;41.33;39.66;40.22;187400.0
2011-05-12;40.04;40.58;39.54;40.53;158000.0
2011-05-13;40.49;41.07;39.82;40.09;192500.0
2011-05-16;39.95;39.95;38.41;38.54;145500.0
2011-05-17;38.42;39.32;38.28;38.95;182200.0
2011-05-18;38.91;40.55;38.62;40.42;162900.0
2011-05-19;40.39;40.635;37.11;38.56;1095300.0
2011-05-20;38.61;40.43;37.8703;38.14;287100.0
2011-05-23;37.87;38.0299;37.15;37.48;106400.0
2011-05-24;37.48;37.92;37.16;37.49;161900.0
2011-05-25;37.54;38.48;37.01;38.03;160000.0
2011-05-26;38.0;38.97;37.69;38.1;278200.0
2011-05-27;38.47;39.0;38.23;38.65;191600.0
2011-05-31;39.0;39.0;38.15;38.74;737300.0
2011-06-01;38.47;38.79;36.94;37.08;174400.0
2011-06-02;37.11;37.63;35.75;35.84;285200.0
2011-06-03;35.49;35.77;34.94;35.03;266400.0
2011-06-06;35.07;35.42;34.53;34.6;146100.0
2011-06-07;34.72;34.73;34.14;34.26;257100.0
2011-06-08;34.21;34.2501;32.63;32.69;373200.0
2011-06-09;32.86;34.47;32.75;33.56;584900.0
2011-06-10;33.32;34.6;33.01;34.36;353700.0
2011-06-13;34.61;35.62;34.38;35.09;330600.0
2011-06-14;34.87;35.86;33.71;35.45;331100.0
2011-06-15;35.09;35.09;33.75;33.82;379200.0
2011-06-16;33.9;34.24;33.56;34.19;333300.0
2011-06-17;34.59;34.96;32.8;32.85;321500.0
2011-06-20;32.67;33.06;31.22;31.61;256000.0
2011-06-21;31.65;33.17;31.65;32.54;469800.0
2011-06-22;32.44;33.34;32.44;32.85;428700.0
2011-06-23;32.38;33.04;32.33;32.84;166500.0
2011-06-24;32.97;33.08;32.25;32.49;1138700.0
2011-06-27;32.42;32.62;32.1;32.35;149100.0
2011-06-28;32.23;32.62;31.66;32.11;186300.0
2011-06-29;32.21;33.4;32.21;33.23;325800.0
2011-06-30;33.64;34.42;33.35;33.98;271400.0
2011-07-01;33.98;34.3;33.43;34.21;193400.0
2011-07-05;34.09;34.29;33.32;33.34;176800.0
2011-07-06;33.63;35.69;33.63;35.24;564000.0
2011-07-07;35.58;35.64;34.8;35.11;123200.0
2011-07-08;34.71;35.22;34.71;35.2;96800.0
2011-07-11;34.73;35.23;34.68;34.94;165500.0
2011-07-12;35.16;35.21;34.59;34.92;145100.0
2011-07-13;35.24;35.24;33.55;33.79;201500.0
2011-07-14;34.23;34.29;30.98;31.22;267100.0
2011-07-15;31.22;31.44;29.66;30.23;289900.0
2011-07-18;30.22;30.72;29.68;29.91;147400.0
2011-07-19;30.02;30.71;29.75;29.98;160600.0
2011-07-20;30.33;30.33;29.3805;29.72;99900.0
2011-07-21;30.02;30.75;29.69;30.66;155500.0
2011-07-22;30.92;30.925;29.92;30.03;144400.0
2011-07-25;29.79;29.96;29.455;29.92;191800.0
2011-07-26;29.83;33.44;29.81;32.6;516500.0
2011-07-27;32.53;32.6;31.23;31.62;202400.0
2011-07-28;31.61;32.59;31.15;32.28;160400.0
2011-07-29;31.7;33.0;29.55;32.43;570300.0
2011-08-01;32.57;32.85;30.59;31.22;324000.0
2011-08-02;31.07;31.46;30.49;30.5;212500.0
2011-08-03;30.5;31.65;30.15;31.38;302100.0
2011-08-04;30.89;30.9;27.88;29.01;460600.0
2011-08-05;29.36;29.96;27.5;29.44;368600.0
2011-08-08;28.5;29.01;24.94;26.42;540900.0
2011-08-09;26.43;28.46;26.43;28.45;441800.0
2011-08-10;27.72;28.13;26.85;27.16;214300.0
2011-08-11;27.48;30.64;27.48;30.0;326200.0
2011-08-12;30.44;30.6;29.47;29.95;102600.0
2011-08-15;31.0;32.82;31.0;31.59;266600.0
2011-08-16;31.23;32.61;30.7;31.72;137700.0
2011-08-17;31.79;32.54;30.9;31.06;209900.0
2011-08-18;30.73;31.06;28.69;30.01;272300.0
2011-08-19;29.56;30.67;29.56;30.02;167400.0
2011-08-22;31.01;31.18;29.93;30.58;174600.0
2011-08-23;30.75;31.51;30.265;31.42;197400.0
2011-08-24;31.31;32.59;30.85;31.15;257300.0
2011-08-25;31.55;31.81;30.88;31.58;163000.0
2011-08-26;31.47;33.43;31.13;32.75;191800.0
2011-08-29;33.23;34.2325;32.84;34.21;372300.0
2011-08-30;33.71;34.62;33.11;34.04;289500.0
2011-08-31;34.46;34.92;32.5;32.7;475900.0
2011-09-01;32.82;33.27;30.665;30.91;181800.0
2011-09-02;30.47;30.55;29.78;29.99;113700.0
2011-09-06;29.21;31.45;29.21;31.34;284900.0
2011-09-07;31.84;32.79;31.35;32.5;209600.0
2011-09-08;32.25;32.89;31.62;32.03;100300.0
2011-09-09;31.58;31.78;30.06;30.66;158800.0
2011-09-12;30.65;32.72;30.18;32.67;242700.0
2011-09-13;32.82;34.25;32.12;34.12;207800.0
2011-09-14;34.39;35.5;34.01;34.75;252300.0
2011-09-15;35.12;35.14;33.54;33.64;309200.0
2011-09-16;33.89;35.4;33.66;35.25;346400.0
2011-09-19;34.62;35.53;34.07;35.25;169500.0
2011-09-20;35.92;36.45;35.49;36.06;217600.0
2011-09-21;36.29;36.59;34.76;34.78;131000.0
2011-09-22;33.56;34.52;32.6;34.3;207600.0
2011-09-23;34.39;34.39;32.99;33.24;241700.0
2011-09-26;33.49;33.78;32.72;33.38;330500.0
