date;open;high;low;close;volume
1994-07-28;9.38;9.38;9.0;9.25;98600.0
1994-07-29;9.38;9.38;9.12;9.12;105400.0
1994-08-01;9.38;9.87;9.12;9.63;96400.0
1994-08-02;9.87;9.87;9.38;9.5;70600.0
1994-08-03;9.5;9.75;9.5;9.5;56500.0
1994-08-04;9.75;9.87;9.5;9.75;83500.0
1994-08-05;9.87;9.87;9.5;9.75;21700.0
1994-08-08;9.5;9.87;9.5;9.5;3200.0
1994-08-09;9.5;10.0;9.5;10.0;66400.0
1994-08-10;9.75;10.25;9.5;10.25;84300.0
1994-08-11;10.25;10.25;9.87;9.87;31300.0
1994-08-12;9.87;10.25;9.87;10.25;79700.0
1994-08-15;10.25;10.62;9.87;10.5;25900.0
1994-08-16;10.25;11.25;10.25;11.25;90700.0
1994-08-17;11.37;11.37;11.0;11.13;46800.0
1994-08-18;11.37;11.37;11.0;11.0;14100.0
1994-08-19;11.0;11.37;11.0;11.37;24900.0
1994-08-22;11.37;11.37;11.0;11.37;36700.0
1994-08-23;11.37;12.0;11.25;12.0;121000.0
1994-08-24;12.75;14.0;12.38;13.88;137500.0
1994-08-25;14.0;14.0;12.75;13.12;102000.0
1994-08-26;13.25;13.62;13.0;13.62;56300.0
1994-08-29;13.62;13.62;13.38;13.38;18200.0
1994-08-30;13.62;14.25;13.62;14.0;86000.0
1994-08-31;14.25;14.25;13.75;14.0;62700.0
1994-09-01;14.25;14.25;14.0;14.25;14100.0
1994-09-02;14.25;14.25;14.0;14.25;10000.0
1994-09-06;14.0;14.25;14.0;14.13;42800.0
1994-09-07;14.13;14.13;13.5;13.5;37000.0
1994-09-08;13.88;13.88;13.5;13.5;8500.0
1994-09-09;13.5;13.62;13.25;13.5;19400.0
1994-09-12;13.25;13.5;13.25;13.25;9400.0
1994-09-13;13.25;13.5;13.25;13.5;7800.0
1994-09-14;13.5;13.5;13.25;13.5;37100.0
1994-09-15;13.25;13.5;13.25;13.5;1400.0
1994-09-16;13.25;13.5;13.25;13.5;19300.0
1994-09-19;13.25;13.5;13.25;13.5;2000.0
1994-09-20;13.25;13.25;12.75;12.87;7400.0
1994-09-21;12.63;13.0;12.63;12.63;8900.0
1994-09-22;13.0;13.0;12.63;13.0;25300.0
1994-09-23;13.0;13.0;12.63;13.0;6400.0
1994-09-26;12.63;12.87;12.38;12.75;19400.0
1994-09-27;12.75;12.75;12.12;12.12;7900.0
1994-09-28;12.12;12.12;12.12;12.12;18600.0
1994-09-29;12.12;13.5;12.12;13.38;63500.0
1994-09-30;13.5;13.5;13.12;13.5;24600.0
1994-10-03;13.5;13.5;13.25;13.5;7600.0
1994-10-04;13.5;13.5;13.25;13.25;20100.0
1994-10-05;13.5;13.5;13.12;13.5;10500.0
1994-10-06;13.25;13.5;13.25;13.5;1500.0
1994-10-07;13.5;13.5;13.25;13.5;7500.0
1994-10-10;13.25;13.5;13.25;13.5;1400.0
1994-10-11;13.25;13.5;13.25;13.5;4300.0
1994-10-12;13.5;13.5;13.25;13.25;1700.0
1994-10-13;13.25;13.5;13.25;13.5;23000.0
1994-10-14;13.5;13.5;13.25;13.38;1000.0
1994-10-17;13.25;13.5;13.0;13.0;33300.0
1994-10-18;13.0;13.25;12.75;13.12;5300.0
1994-10-19;12.75;12.87;12.5;12.87;6600.0
1994-10-20;12.38;12.63;12.38;12.63;4800.0
1994-10-21;12.38;12.38;12.0;12.06;17200.0
1994-10-24;12.0;12.19;12.0;12.0;3800.0
1994-10-25;12.38;12.38;12.0;12.38;69500.0
1994-10-26;12.38;13.0;12.38;12.75;18800.0
1994-10-27;13.0;13.0;12.75;13.0;8700.0
1994-10-28;13.0;15.25;13.0;14.75;133800.0
1994-10-31;14.75;15.0;14.75;15.0;214700.0
1994-11-01;15.0;15.25;15.0;15.0;26600.0
1994-11-02;15.0;16.12;15.0;15.63;125700.0
1994-11-03;15.75;15.75;15.5;15.63;36500.0
1994-11-04;15.75;15.75;15.5;15.75;9500.0
1994-11-07;15.75;15.75;15.12;15.38;42500.0
1994-11-08;14.75;15.0;14.37;14.88;9900.0
1994-11-09;14.62;14.62;13.62;13.88;25200.0
1994-11-10;13.88;14.0;13.38;13.75;9200.0
1994-11-11;13.38;13.75;13.38;13.75;3100.0
1994-11-14;13.75;13.75;13.38;13.62;4700.0
1994-11-15;13.62;13.62;13.5;13.5;8400.0
1994-11-16;13.75;13.75;13.38;13.5;35800.0
1994-11-17;13.62;15.38;13.62;14.25;127200.0
1994-11-18;14.62;14.62;14.25;14.62;24700.0
1994-11-21;15.0;15.12;14.25;14.37;35100.0
1994-11-22;13.88;14.37;13.5;14.0;31200.0
1994-11-23;13.62;14.13;13.62;14.0;66800.0
1994-11-25;14.25;14.25;14.0;14.0;7300.0
1994-11-28;14.25;14.5;14.0;14.5;9600.0
1994-11-29;14.5;14.5;14.0;14.25;18300.0
1994-11-30;14.25;14.75;13.75;14.62;32700.0
1994-12-01;14.62;14.62;14.25;14.5;18900.0
1994-12-02;14.5;15.38;14.25;15.38;93200.0
1994-12-05;15.0;15.38;14.75;15.12;32900.0
1994-12-06;15.12;15.12;14.75;15.0;32700.0
1994-12-07;15.12;15.38;15.0;15.38;57500.0
1994-12-08;15.38;16.38;15.25;15.5;119700.0
1994-12-09;15.63;15.63;14.75;15.0;37600.0
1994-12-12;15.0;15.0;14.37;14.62;13100.0
1994-12-13;14.75;14.75;14.13;14.25;28000.0
1994-12-14;14.5;14.62;14.13;14.62;44400.0
1994-12-15;14.62;16.0;14.62;15.75;58900.0
1994-12-16;16.5;16.88;16.0;16.5;71100.0
1994-12-19;16.62;16.62;16.12;16.62;75700.0
1994-12-20;16.62;16.62;16.12;16.5;27900.0
1994-12-21;16.5;16.5;16.12;16.12;20200.0
1994-12-22;16.5;16.62;16.12;16.62;15800.0
1994-12-23;16.38;16.62;16.38;16.62;3600.0
1994-12-27;16.62;16.62;16.38;16.62;9800.0
1994-12-28;16.5;16.62;16.38;16.62;4400.0
1994-12-29;16.38;16.62;16.38;16.62;10200.0
1994-12-30;16.88;16.88;16.5;16.88;5600.0
1995-01-03;16.88;17.25;16.5;17.25;30500.0
1995-01-04;17.25;17.5;17.0;17.13;55000.0
1995-01-05;17.5;17.5;17.13;17.5;47800.0
1995-01-06;17.5;17.5;16.75;17.0;27800.0
1995-01-09;17.13;18.12;16.75;18.12;45200.0
1995-01-10;18.38;19.25;18.0;19.12;102800.0
1995-01-11;19.88;20.0;18.75;19.12;95700.0
1995-01-12;19.12;19.12;18.87;19.0;15500.0
1995-01-13;19.12;19.12;18.87;18.87;24200.0
1995-01-16;19.12;19.12;18.75;19.0;25600.0
1995-01-17;19.25;19.25;18.87;19.12;10900.0
1995-01-18;18.87;19.25;18.75;19.12;17400.0
1995-01-19;19.12;19.12;18.63;19.0;21800.0
1995-01-20;19.0;19.0;18.38;18.5;16300.0
1995-01-23;17.88;18.38;17.75;18.38;21300.0
1995-01-24;18.25;19.5;18.12;19.5;208300.0
1995-01-25;19.5;20.75;19.0;20.0;159900.0
1995-01-26;20.0;21.87;19.75;21.75;84300.0
1995-01-27;21.38;22.0;21.25;21.87;52500.0
1995-01-30;21.87;21.87;20.0;20.0;75000.0
