date;open;high;low;close;volume
1990-03-26;11.88;12.25;11.88;12.25;467.0
1990-03-27;12.12;12.12;11.88;12.12;6400.0
1990-03-28;12.25;12.25;12.25;12.25;467.0
1990-03-29;12.38;12.63;12.38;12.63;5800.0
1990-03-30;12.5;12.63;12.25;12.25;3467.0
1990-04-02;12.25;12.25;12.0;12.0;3400.0
1990-04-03;12.12;12.12;12.0;12.12;14467.0
1990-04-04;12.0;12.12;12.0;12.0;13067.0
1990-04-05;11.88;11.88;11.62;11.88;50400.0
1990-04-06;11.75;12.0;11.75;12.0;25400.0
1990-04-09;11.88;12.38;11.88;12.25;78067.0
1990-04-10;12.5;12.5;12.5;12.5;800.0
1990-04-11;12.5;12.5;12.12;12.5;98800.0
1990-04-12;12.5;12.5;12.5;12.5;200.0
1990-04-16;12.5;12.5;12.12;12.12;400.0
1990-04-17;12.5;12.5;12.5;12.5;200.0
1990-04-18;12.5;12.5;12.5;12.5;267.0
1990-04-19;12.5;12.5;12.5;12.5;67.0
1990-04-20;12.5;12.5;12.5;12.5;0.0
1990-04-23;12.5;12.5;12.0;12.0;13400.0
1990-04-24;12.12;12.5;12.0;12.5;20200.0
1990-04-25;12.5;12.63;12.38;12.38;22667.0
1990-04-26;12.63;12.63;12.38;12.63;35067.0
1990-04-27;12.5;12.5;12.5;12.5;3000.0
1990-04-30;12.25;12.25;12.25;12.25;1867.0
1990-05-01;12.63;12.63;12.38;12.38;1867.0
1990-05-02;12.5;12.75;12.5;12.5;114000.0
1990-05-03;12.75;12.87;12.5;12.87;58400.0
1990-05-04;12.87;12.87;12.87;12.87;0.0
1990-05-07;12.87;12.87;12.5;12.75;9600.0
1990-05-08;12.87;13.0;12.75;13.0;50867.0
1990-05-09;13.0;13.0;13.0;13.0;0.0
1990-05-10;13.0;13.0;12.75;12.75;4467.0
1990-05-11;13.0;13.0;12.75;12.75;25867.0
1990-05-14;13.0;13.38;12.75;13.38;140000.0
1990-05-15;13.12;13.38;13.0;13.38;15467.0
1990-05-16;13.38;13.38;13.38;13.38;667.0
1990-05-17;13.38;13.38;13.12;13.12;27200.0
1990-05-18;13.12;13.5;13.12;13.5;41800.0
1990-05-21;13.5;13.62;13.25;13.62;35400.0
1990-05-22;13.25;14.13;13.25;14.0;28467.0
1990-05-23;14.0;14.62;14.0;14.62;29667.0
1990-05-24;14.62;14.88;14.5;14.5;2667.0
1990-05-25;14.5;15.0;14.5;14.75;8067.0
1990-05-29;14.75;15.0;14.75;15.0;4867.0
1990-05-30;15.0;15.0;14.75;15.0;3600.0
1990-05-31;15.0;15.0;14.75;14.75;1867.0
1990-06-01;15.0;15.0;14.75;15.0;9000.0
1990-06-04;15.0;15.0;14.75;14.75;1000.0
1990-06-05;15.0;15.0;15.0;15.0;867.0
1990-06-06;15.0;15.0;14.75;14.75;11267.0
1990-06-07;15.0;15.0;14.75;14.75;2667.0
1990-06-08;15.0;15.0;15.0;15.0;1067.0
1990-06-11;14.75;15.0;14.75;15.0;18800.0
1990-06-12;14.88;15.63;14.88;15.5;75667.0
1990-06-13;15.63;15.63;15.38;15.5;11867.0
1990-06-14;15.63;15.63;15.63;15.63;1067.0
1990-06-15;15.25;15.63;15.25;15.63;600.0
1990-06-18;15.63;15.63;15.25;15.63;5000.0
1990-06-19;15.63;15.63;15.25;15.5;6600.0
1990-06-20;15.63;15.63;15.38;15.63;6267.0
1990-06-21;15.63;15.63;15.63;15.63;867.0
1990-06-22;15.63;15.63;15.38;15.63;2467.0
1990-06-25;15.38;15.63;15.38;15.63;11267.0
1990-06-26;15.63;15.63;14.88;14.88;57000.0
1990-06-27;15.12;15.12;14.88;14.88;2667.0
1990-06-28;15.12;16.12;15.0;16.12;32467.0
1990-06-29;15.87;16.12;15.87;16.12;2800.0
1990-07-02;16.0;16.5;15.87;16.5;31000.0
1990-07-03;16.5;16.5;16.5;16.5;267.0
1990-07-05;16.25;16.25;15.0;15.12;57200.0
