date;open;high;low;close;volume
2002-08-02;17.25;17.57;17.2;17.34;21600.0
2002-08-05;17.21;17.5;17.21;17.4;13900.0
2002-08-06;17.35;17.48;17.1;17.2;156200.0
2002-08-07;17.3;17.48;16.95;17.48;96600.0
2002-08-08;17.34;17.8;17.25;17.8;10200.0
2002-08-09;17.8;18.1;17.51;18.1;46800.0
2002-08-12;17.91;18.15;17.75;18.15;15500.0
2002-08-13;18.0;18.1;17.18;17.18;27200.0
2002-08-14;17.21;17.6;17.15;17.55;46400.0
2002-08-15;17.45;17.69;16.91;17.46;81400.0
2002-08-16;17.41;18.1;17.2;17.4;156300.0
2002-08-19;17.25;17.9;17.25;17.9;14000.0
2002-08-20;17.9;17.9;17.2;17.25;21600.0
2002-08-21;17.2;17.4;17.15;17.34;67000.0
2002-08-22;17.21;17.4;17.21;17.4;26200.0
2002-08-23;17.01;17.5;17.01;17.47;115700.0
2002-08-26;17.2;17.49;17.16;17.36;27900.0
2002-08-27;17.19;17.25;16.85;17.0;38000.0
2002-08-28;16.98;17.17;16.35;16.65;75400.0
2002-08-29;16.74;16.99;16.49;16.89;55000.0
2002-08-30;16.51;17.52;16.51;17.25;74600.0
2002-09-03;17.45;17.45;16.65;16.98;21700.0
2002-09-04;16.91;17.19;16.9;17.19;39100.0
2002-09-05;17.01;17.07;16.93;16.95;13800.0
2002-09-06;17.0;17.4;17.0;17.39;15600.0
2002-09-09;17.24;17.24;16.91;16.93;17300.0
2002-09-10;16.93;17.15;16.88;17.15;19300.0
2002-09-11;17.01;17.09;16.9;17.0;11500.0
2002-09-12;16.95;17.16;16.95;17.11;16600.0
2002-09-13;17.1;17.13;16.92;17.05;47100.0
2002-09-16;17.05;17.05;16.95;16.95;4800.0
2002-09-17;16.95;17.02;16.85;16.85;8400.0
2002-09-18;16.77;17.0;16.68;16.91;71100.0
2002-09-19;16.88;16.88;16.73;16.75;22300.0
2002-09-20;17.0;17.25;16.9;16.94;48000.0
2002-09-23;16.83;16.98;16.7;16.85;14100.0
2002-09-24;16.89;17.0;16.7;16.84;46300.0
2002-09-25;16.67;16.94;16.65;16.84;50100.0
2002-09-26;16.8;17.09;16.7;16.99;28700.0
2002-09-27;17.0;17.26;16.59;16.75;21400.0
2002-09-30;16.65;16.94;16.56;16.88;13400.0
2002-10-01;16.73;16.85;16.59;16.79;33500.0
2002-10-02;16.79;16.79;16.37;16.37;27700.0
2002-10-03;16.35;16.36;15.5;15.78;34800.0
2002-10-04;15.78;16.0;14.79;15.13;47600.0
2002-10-07;15.26;15.34;14.6;14.9;63400.0
2002-10-08;14.88;15.13;14.48;14.9;28300.0
2002-10-09;14.75;14.94;14.66;14.9;22200.0
2002-10-10;14.75;15.45;14.51;15.45;54200.0
2002-10-11;15.31;15.8;14.93;15.1;90200.0
2002-10-14;15.1;15.8;15.0;15.75;34200.0
2002-10-15;15.78;16.8;15.78;16.79;30900.0
2002-10-16;16.46;17.1;16.39;16.92;27400.0
2002-10-17;17.17;17.18;16.87;16.91;17000.0
2002-10-18;16.87;16.88;16.06;16.07;12800.0
2002-10-21;16.06;16.09;15.73;15.73;18100.0
2002-10-22;15.69;15.75;15.15;15.53;34200.0
2002-10-23;15.53;16.05;15.5;16.05;23700.0
2002-10-24;16.0;17.0;16.0;16.5;60000.0
2002-10-25;16.44;17.0;16.32;17.0;16800.0
2002-10-28;17.0;17.0;16.05;16.06;39900.0
2002-10-29;16.06;16.44;15.8;16.13;16200.0
2002-10-30;16.13;16.2;15.9;16.09;8300.0
2002-10-31;16.07;16.57;15.9;16.56;37400.0
2002-11-01;16.55;16.6;16.36;16.55;14800.0
2002-11-04;16.6;16.7;15.81;15.99;51200.0
2002-11-05;15.88;16.5;15.75;16.0;44200.0
2002-11-06;16.1;16.25;16.0;16.14;14900.0
2002-11-07;16.0;16.5;15.96;16.0;19300.0
2002-11-08;16.02;16.42;15.91;16.17;12100.0
2002-11-11;15.94;16.05;15.81;15.83;5500.0
2002-11-12;16.11;16.11;15.76;15.95;8400.0
2002-11-13;15.78;15.88;15.36;15.45;33800.0
2002-11-14;15.45;15.71;15.4;15.59;24800.0
2002-11-15;15.4;15.59;15.33;15.46;15300.0
2002-11-18;15.6;15.6;15.2;15.27;26400.0
2002-11-19;15.24;15.41;15.23;15.3;5200.0
2002-11-20;15.25;15.48;15.05;15.39;16200.0
2002-11-21;15.3;15.85;15.3;15.5;30100.0
2002-11-22;15.4;15.87;15.39;15.64;30800.0
2002-11-25;15.9;16.16;15.47;16.0;32200.0
2002-11-26;15.99;16.2;15.8;15.94;28800.0
2002-11-27;15.95;16.13;15.86;16.13;26100.0
2002-11-29;16.15;16.4;16.07;16.38;20000.0
2002-12-02;16.69;16.72;16.33;16.72;6700.0
2002-12-03;16.7;16.83;16.37;16.65;9400.0
2002-12-04;16.52;16.72;16.22;16.53;12400.0
2002-12-05;16.45;16.63;16.45;16.58;12400.0
2002-12-06;16.5;16.64;15.68;16.21;16200.0
2002-12-09;16.25;16.25;15.49;15.81;15900.0
2002-12-10;15.93;16.2;15.75;16.08;12300.0
2002-12-11;15.89;16.17;15.75;16.1;9000.0
2002-12-12;16.05;16.31;16.0;16.1;19800.0
2002-12-13;16.01;16.01;15.57;15.65;11800.0
2002-12-16;15.65;16.09;15.65;16.09;15700.0
2002-12-17;16.19;16.6;16.1;16.41;21100.0
2002-12-18;16.58;16.95;16.3;16.95;15300.0
2002-12-19;16.84;16.84;16.15;16.34;19000.0
2002-12-20;16.7;16.75;16.11;16.7;29400.0
2002-12-23;16.53;16.75;15.92;16.56;18700.0
2002-12-24;16.6;16.62;16.17;16.17;3000.0
