date;open;high;low;close;volume
2002-07-30;12.4;12.6;12.4;12.6;28200.0
2002-07-31;12.73;12.84;12.73;12.8;2000.0
2002-08-01;12.8;12.9;12.8;12.9;700.0
2002-08-02;12.9;13.05;12.9;13.0;1600.0
2002-08-05;13.05;13.05;13.05;13.05;600.0
2002-08-06;13.08;13.08;13.08;13.08;1000.0
2002-08-07;13.09;13.15;13.09;13.15;9700.0
2002-08-08;13.1;13.1;13.0;13.0;300.0
2002-08-09;12.81;13.23;12.81;13.1;5900.0
2002-08-12;13.3;13.47;13.3;13.45;15100.0
2002-08-13;13.37;13.45;13.32;13.44;47200.0
2002-08-14;13.4;13.5;13.15;13.2;105700.0
2002-08-15;13.18;13.65;13.18;13.65;70800.0
2002-08-16;13.7;13.8;13.6;13.6;48100.0
2002-08-19;13.5;13.65;13.35;13.5;122700.0
2002-08-20;13.7;13.7;13.7;13.7;8600.0
2002-08-21;13.84;13.84;13.84;13.84;500.0
2002-08-22;13.61;13.84;13.6;13.84;43500.0
2002-08-23;13.98;14.3;13.98;14.28;5900.0
2002-08-26;14.34;15.05;14.34;14.7;65600.0
2002-08-27;14.75;15.99;14.75;15.0;93900.0
2002-08-28;15.28;15.39;15.0;15.39;18300.0
2002-08-29;15.4;15.5;15.31;15.49;29200.0
2002-08-30;15.6;15.6;15.15;15.25;18000.0
2002-09-03;15.75;16.69;15.7;16.4;44100.0
2002-09-04;16.5;16.62;16.4;16.45;70900.0
2002-09-05;16.68;16.85;16.55;16.7;37500.0
2002-09-06;16.85;17.1;16.8;17.1;61300.0
2002-09-09;17.3;18.75;17.29;18.33;49600.0
2002-09-10;18.1;18.25;17.81;18.0;25900.0
2002-09-11;17.85;18.0;17.85;18.0;3100.0
2002-09-12;18.1;18.35;17.85;18.15;83200.0
2002-09-13;18.1;18.48;18.1;18.4;15900.0
2002-09-16;18.6;19.5;18.59;19.5;18900.0
2002-09-17;19.1;19.21;18.9;19.05;63200.0
2002-09-18;19.08;19.21;18.85;18.85;22600.0
2002-09-19;19.03;19.24;19.0;19.24;3400.0
2002-09-20;19.05;19.05;18.81;19.0;11500.0
2002-09-23;19.0;19.0;18.95;19.0;7200.0
2002-09-24;19.0;19.05;18.75;18.75;11100.0
2002-09-25;18.65;18.65;18.05;18.35;18900.0
2002-09-26;18.26;18.3;16.4;17.2;67900.0
2002-09-27;17.05;18.25;17.05;17.85;40800.0
2002-09-30;18.2;18.4;17.9;18.08;19300.0
2002-10-01;18.09;18.1;17.5;17.5;33900.0
2002-10-02;17.4;17.4;17.4;17.4;1900.0
2002-10-03;17.44;17.44;17.4;17.4;2500.0
2002-10-04;17.3;17.3;16.65;16.65;6900.0
2002-10-07;16.5;17.0;16.4;16.45;7800.0
2002-10-08;16.26;16.26;14.86;15.25;18800.0
2002-10-09;15.25;15.55;15.25;15.4;12500.0
2002-10-10;15.26;15.26;15.02;15.02;3700.0
2002-10-11;15.0;15.05;14.6;14.6;6400.0
2002-10-14;14.99;15.0;14.99;15.0;400.0
2002-10-15;15.0;15.0;14.81;15.0;79500.0
2002-10-16;14.95;15.75;14.95;15.5;25700.0
2002-10-17;15.42;16.0;15.42;16.0;5700.0
2002-10-18;16.1;16.2;16.1;16.2;2200.0
2002-10-21;15.98;16.19;15.8;16.0;11600.0
2002-10-22;16.25;17.0;16.25;16.99;4300.0
2002-10-23;17.14;17.18;17.0;17.0;13500.0
2002-10-24;17.15;17.2;16.8;17.2;12700.0
2002-10-25;17.25;17.38;17.25;17.38;200.0
2002-10-28;17.41;17.41;17.22;17.25;16500.0
2002-10-29;17.5;17.5;17.25;17.25;10500.0
2002-10-30;17.0;17.0;16.79;16.79;8900.0
2002-10-31;16.75;17.0;16.75;16.8;6100.0
2002-11-01;16.8;17.02;16.8;17.0;10700.0
2002-11-04;17.2;17.45;17.2;17.45;17500.0
2002-11-05;17.5;17.62;17.0;17.01;83700.0
2002-11-06;17.4;17.62;17.25;17.62;9100.0
2002-11-07;17.45;17.75;17.45;17.5;11700.0
2002-11-08;17.75;17.75;17.41;17.41;24100.0
2002-11-11;17.6;17.6;17.4;17.4;16200.0
2002-11-12;17.3;17.81;17.15;17.65;140200.0
2002-11-13;17.67;17.67;17.25;17.25;24700.0
2002-11-14;17.5;17.5;17.5;17.5;6000.0
2002-11-15;17.06;17.48;17.06;17.48;1100.0
2002-11-18;17.05;17.5;17.05;17.25;3700.0
2002-11-19;17.25;17.25;17.25;17.25;0.0
2002-11-20;17.0;17.0;16.75;16.75;10600.0
2002-11-21;16.9;17.0;16.81;16.85;35300.0
2002-11-22;16.84;17.35;16.75;17.35;107200.0
2002-11-25;17.17;17.19;16.85;17.14;6500.0
2002-11-26;17.13;17.13;17.13;17.13;600.0
