date;open;high;low;close;volume
2009-06-04;19.4;19.4;19.11;19.15;434300.0
2009-06-05;19.06;19.61;19.06;19.5;402000.0
2009-06-08;19.47;19.52;19.3;19.33;140000.0
2009-06-09;19.18;19.23;17.76;18.82;841800.0
2009-06-10;18.9;19.17;18.42;18.59;413400.0
2009-06-11;18.64;18.93;18.28;18.8;355300.0
2009-06-12;18.27;18.67;18.15;18.6;161400.0
2009-06-15;18.95;19.09;18.5;18.95;291400.0
2009-06-16;19.24;19.41;19.07;19.3;178700.0
2009-06-17;18.9;19.37;18.83;19.3;105200.0
2009-06-18;19.15;19.48;19.15;19.4;108100.0
2009-06-19;19.59;19.94;19.36;19.67;155600.0
2009-06-22;19.54;19.97;19.54;19.95;409700.0
2009-06-23;19.98;20.1;19.8;19.88;387700.0
2009-06-24;19.94;20.03;19.83;20.02;116600.0
2009-06-25;20.0;20.05;19.97;20.04;227700.0
2009-06-26;20.05;20.3;19.96;20.25;103100.0
2009-06-29;20.29;20.49;19.95;20.4;206000.0
2009-06-30;20.4;20.53;20.06;20.53;261200.0
2009-07-01;20.5;20.5;20.2;20.43;54900.0
2009-07-02;20.06;20.31;19.96;20.0;126800.0
2009-07-06;19.91;20.0;19.5;19.71;108600.0
2009-07-07;19.71;20.45;19.52;20.03;191200.0
2009-07-08;19.75;20.0;19.72;19.75;101800.0
2009-07-09;19.82;19.86;19.5;19.53;63500.0
2009-07-10;19.48;19.52;19.25;19.52;99000.0
2009-07-13;19.52;19.52;19.16;19.24;72200.0
2009-07-14;19.28;19.39;19.07;19.25;45000.0
2009-07-15;19.24;19.53;19.12;19.3;86300.0
2009-07-16;19.06;19.25;19.01;19.22;41700.0
2009-07-17;19.31;19.83;19.31;19.6;58400.0
2009-07-20;19.5;19.83;19.5;19.69;87500.0
2009-07-21;19.69;19.93;19.67;19.81;102000.0
2009-07-22;19.7;19.75;19.05;19.4;293100.0
2009-07-23;19.33;19.55;18.76;19.46;216200.0
2009-07-24;19.36;20.21;19.32;20.1;217300.0
2009-07-27;20.0;20.19;19.65;19.73;205000.0
2009-07-28;19.4;20.1;19.33;19.7;69900.0
2009-07-29;19.76;19.76;19.17;19.35;65300.0
2009-07-30;19.55;19.83;19.26;19.6;90300.0
2009-07-31;19.51;19.69;19.39;19.63;54200.0
2009-08-03;19.72;19.75;19.44;19.6;245800.0
2009-08-04;19.67;19.84;19.57;19.77;143200.0
2009-08-05;19.83;20.07;19.74;20.07;65700.0
2009-08-06;20.06;20.1;19.91;20.06;106500.0
2009-08-07;20.13;20.13;19.95;20.1;74500.0
2009-08-10;20.05;20.45;20.0;20.37;84900.0
2009-08-11;20.31;20.75;20.15;20.51;140800.0
