date;open;high;low;close;volume
2004-08-02;15.0;15.01;15.0;15.01;87200.0
2004-08-03;15.0;15.01;15.0;15.0;113500.0
2004-08-04;15.0;15.0;15.0;15.0;169000.0
2004-08-05;15.0;15.01;15.0;15.0;111800.0
2004-08-06;15.0;15.01;15.0;15.0;48000.0
2004-08-09;15.0;15.0;14.2;14.3;230500.0
2004-08-10;14.25;14.3;13.8;14.25;181700.0
2004-08-11;14.15;14.4;14.0;14.1;50900.0
2004-08-12;14.0;14.1;14.0;14.0;17300.0
2004-08-13;14.01;14.2;14.0;14.2;15100.0
2004-08-16;14.1;14.16;14.02;14.05;24100.0
2004-08-17;14.15;14.55;14.05;14.45;21400.0
2004-08-18;14.35;14.62;14.35;14.61;17400.0
2004-08-19;14.6;14.75;14.6;14.68;26200.0
2004-08-20;14.74;14.98;14.68;14.7;43200.0
2004-08-23;14.6;14.83;14.6;14.6;13000.0
2004-08-24;14.6;14.85;14.6;14.77;21100.0
2004-08-25;14.7;14.99;14.65;14.99;61400.0
2004-08-26;14.89;15.01;14.8;14.9;19500.0
2004-08-27;14.82;15.0;14.82;14.98;19900.0
2004-08-30;14.9;14.99;14.9;14.95;17700.0
2004-08-31;14.95;15.05;14.8;15.05;45400.0
2004-09-01;15.14;15.25;14.99;15.2;57400.0
2004-09-02;15.15;15.21;15.02;15.02;20800.0
2004-09-03;15.0;15.17;14.98;15.01;29000.0
2004-09-07;15.16;15.4;15.05;15.35;74200.0
2004-09-08;15.47;15.7;15.25;15.33;113700.0
2004-09-09;15.5;15.7;15.1;15.47;162500.0
2004-09-10;15.55;16.2;15.49;16.0;226700.0
2004-09-13;16.15;16.2;15.75;16.0;108500.0
2004-09-14;16.08;16.1;15.5;15.92;71600.0
2004-09-15;16.0;16.0;15.4;15.9;112900.0
2004-09-16;15.98;16.05;15.75;15.9;87600.0
2004-09-17;16.05;16.05;15.9;16.05;149800.0
2004-09-20;16.15;16.5;16.01;16.11;72500.0
2004-09-21;16.16;16.2;15.85;16.2;137500.0
2004-09-22;16.3;16.3;16.05;16.2;56200.0
2004-09-23;16.3;16.3;15.9;15.92;84800.0
2004-09-24;16.05;16.08;15.31;15.98;36600.0
2004-09-27;16.0;16.1;15.4;16.0;53400.0
2004-09-28;16.1;16.1;15.85;16.02;57800.0
2004-09-29;15.98;16.0;15.6;15.88;90600.0
2004-09-30;15.95;16.0;15.37;15.6;345300.0
2004-10-01;15.8;15.99;15.48;15.85;74100.0
2004-10-04;15.95;16.0;15.25;15.33;43800.0
2004-10-05;15.6;15.6;14.9;15.2;83100.0
2004-10-06;15.44;15.89;15.35;15.88;24200.0
2004-10-07;15.9;15.9;15.4;15.7;32300.0
2004-10-08;15.75;16.02;15.7;16.02;58900.0
2004-10-11;16.02;16.28;15.99;16.15;46200.0
2004-10-12;16.2;16.35;15.8;15.92;194200.0
2004-10-13;16.1;16.3;15.75;15.91;269300.0
