date;open;high;low;close;volume
1970-01-02;30.75;31.75;30.25;31.5;32300.0
1970-01-05;31.38;31.38;30.5;30.88;23600.0
1970-01-06;30.38;30.38;29.5;30.0;61000.0
1970-01-07;29.88;29.88;29.25;29.62;22800.0
1970-01-08;29.62;29.88;29.25;29.5;25200.0
1970-01-09;29.5;29.5;29.0;29.0;15100.0
1970-01-12;29.0;29.38;28.88;29.25;7500.0
1970-01-13;29.25;29.62;28.75;28.88;18400.0
1970-01-14;28.88;29.38;28.62;29.0;17400.0
1970-01-15;29.0;29.0;28.5;28.75;25600.0
1970-01-16;28.75;29.5;28.5;28.62;21300.0
1970-01-19;28.62;29.0;28.12;28.38;17500.0
1970-01-20;28.38;28.75;28.12;28.75;33200.0
1970-01-21;28.75;29.25;28.25;28.62;28600.0
1970-01-22;28.62;29.25;28.5;28.88;21300.0
1970-01-23;28.88;29.0;28.25;28.5;162800.0
1970-01-26;28.5;28.88;28.38;28.5;36500.0
1970-01-27;28.62;29.12;28.62;28.62;25800.0
1970-01-28;28.62;29.0;28.5;28.62;52300.0
1970-01-29;28.62;28.62;27.38;27.38;26600.0
1970-01-30;27.38;27.38;26.12;26.12;31500.0
1970-02-02;26.12;27.75;25.62;27.0;59900.0
1970-02-03;27.0;28.12;26.5;28.12;53600.0
1970-02-04;28.12;28.38;27.12;27.5;18200.0
1970-02-05;27.5;27.88;27.25;27.25;14300.0
1970-02-06;27.25;28.0;27.0;27.88;37500.0
1970-02-09;27.88;28.38;27.0;27.0;31600.0
1970-02-10;27.0;27.0;25.88;26.12;45400.0
1970-02-11;26.12;26.62;25.5;26.5;57600.0
1970-02-12;26.5;26.75;26.25;26.5;18900.0
1970-02-13;26.5;26.75;26.12;26.75;12000.0
1970-02-16;26.75;26.88;26.0;26.25;36800.0
1970-02-17;26.25;26.25;25.5;26.0;13100.0
1970-02-18;26.0;26.38;25.75;26.0;23800.0
1970-02-19;26.0;26.38;25.62;25.62;32500.0
1970-02-20;25.62;26.5;25.5;26.5;54500.0
1970-02-24;26.5;26.88;26.25;26.75;15900.0
1970-02-25;26.75;27.0;26.25;26.88;18800.0
1970-02-26;26.88;26.88;25.88;26.62;22800.0
1970-02-27;26.62;27.5;26.38;27.5;22900.0
1970-03-02;27.5;28.38;27.5;27.88;51400.0
1970-03-03;28.0;28.75;28.0;28.5;46000.0
1970-03-04;28.5;29.0;28.25;29.0;47100.0
1970-03-05;29.0;29.0;28.25;28.25;31200.0
1970-03-06;28.25;28.62;27.75;28.0;34000.0
1970-03-09;27.75;27.75;26.88;27.12;32300.0
1970-03-10;27.12;27.88;27.12;27.38;18500.0
1970-03-11;27.38;27.88;26.88;26.88;23200.0
1970-03-12;26.88;27.5;26.62;27.0;37700.0
1970-03-13;27.0;27.25;26.5;26.5;32900.0
1970-03-16;26.5;26.5;25.88;25.88;43600.0
1970-03-17;25.88;26.75;25.62;26.75;133500.0
1970-03-18;26.75;27.12;26.5;26.5;20800.0
1970-03-19;26.5;27.0;26.5;27.0;26400.0
1970-03-20;27.0;27.0;26.38;26.38;17900.0
1970-03-23;26.38;26.75;26.25;26.62;69800.0
1970-03-24;26.75;27.38;26.75;27.25;72400.0
1970-03-25;27.25;28.38;27.0;28.0;37600.0
1970-03-26;28.0;28.38;27.88;28.12;71900.0
1970-03-30;28.12;28.12;26.75;27.12;32400.0
1970-03-31;27.12;27.38;26.62;27.0;26000.0
1970-04-01;27.0;27.5;26.88;27.25;19600.0
1970-04-02;27.25;27.38;27.12;27.12;14700.0
1970-04-03;27.12;27.38;26.75;27.38;33700.0
1970-04-06;27.25;27.25;26.5;26.75;34600.0
1970-04-07;26.75;27.0;26.5;26.88;31100.0
1970-04-08;26.88;27.0;26.5;27.0;14600.0
1970-04-09;27.0;27.0;26.0;26.0;61700.0
1970-04-10;26.0;26.62;26.0;26.25;17600.0
1970-04-13;26.25;26.38;25.88;25.88;28800.0
1970-04-14;25.88;26.25;25.75;26.25;28800.0
1970-04-15;26.25;26.5;26.0;26.0;12900.0
1970-04-16;26.0;26.38;25.25;25.25;37200.0
1970-04-17;25.25;25.5;25.12;25.25;61800.0
1970-04-20;25.25;25.88;25.25;25.75;16600.0
1970-04-21;25.62;25.62;24.88;25.12;29100.0
1970-04-22;25.12;25.38;24.75;25.0;17900.0
1970-04-23;24.88;24.88;24.12;24.38;31300.0
1970-04-24;24.38;24.38;23.75;23.75;31400.0
1970-04-27;23.75;24.25;23.12;23.12;31700.0
1970-04-28;23.12;23.75;22.88;22.88;24600.0
1970-04-29;22.88;23.25;22.5;23.25;36000.0
1970-04-30;23.25;23.75;22.75;23.38;29100.0
1970-05-01;23.38;24.0;22.75;23.25;24000.0
1970-05-04;23.25;23.38;22.5;23.0;39300.0
1970-05-05;23.0;23.25;22.5;22.75;65200.0
1970-05-06;22.75;23.88;22.62;22.88;44900.0
1970-05-07;22.88;23.62;22.88;23.62;29900.0
1970-05-08;23.62;23.75;23.12;23.38;20800.0
1970-05-11;23.38;23.75;23.12;23.5;21300.0
1970-05-12;23.5;24.25;23.25;24.0;22400.0
1970-05-13;23.88;23.88;23.25;23.38;19400.0
1970-05-14;23.38;23.38;22.62;23.25;74000.0
1970-05-15;23.25;23.38;22.62;23.25;46300.0
1970-05-18;23.25;23.38;23.0;23.25;21400.0
1970-05-19;23.25;23.5;23.12;23.12;15500.0
1970-05-20;23.12;23.12;22.5;22.62;49500.0
1970-05-21;22.62;23.0;22.12;22.25;39800.0
1970-05-22;22.25;22.62;22.12;22.62;27700.0
1970-05-25;22.62;22.75;22.0;22.12;34700.0
1970-05-26;22.12;22.12;21.0;21.5;44600.0
1970-05-27;21.5;22.88;21.38;22.75;43900.0
1970-05-28;22.75;23.5;22.25;23.0;44200.0
1970-05-29;23.0;23.62;22.38;23.62;51000.0
1970-06-01;23.62;24.12;23.38;24.12;33800.0
1970-06-02;24.12;24.75;24.0;24.75;48300.0
1970-06-03;24.75;25.38;24.25;25.0;65500.0
1970-06-04;25.0;25.75;24.62;24.62;67500.0
1970-06-05;24.62;24.75;23.75;24.38;44700.0
1970-06-08;24.38;25.38;24.25;25.0;64300.0
1970-06-09;25.0;25.0;24.38;24.62;16700.0
1970-06-10;24.5;24.5;23.88;24.0;56600.0
1970-06-11;24.0;24.88;24.0;24.25;41200.0
1970-06-12;24.25;24.5;23.75;24.38;16200.0
1970-06-15;24.38;25.0;24.25;24.75;16300.0
1970-06-16;24.75;25.38;24.5;24.88;25700.0
1970-06-17;24.88;25.25;24.5;24.88;14300.0
1970-06-18;24.88;25.25;24.62;24.75;20600.0
1970-06-19;24.88;25.5;24.88;25.12;11300.0
1970-06-22;25.12;26.38;25.12;26.0;57600.0
1970-06-23;26.0;26.0;25.25;25.25;35400.0
