date;open;high;low;close;volume
1984-12-18;58.71;59.2;57.97;59.2;27680.0
1984-12-19;59.2;60.68;59.2;60.19;25476.0
1984-12-20;59.94;60.19;59.69;60.06;23597.0
1984-12-21;59.69;59.94;59.2;59.2;15396.0
1984-12-24;59.69;60.19;59.69;60.19;5197.0
1984-12-26;60.43;60.93;60.19;60.43;12077.0
1984-12-27;60.19;60.68;55.25;55.25;47876.0
1984-12-28;55.75;57.23;55.75;56.24;113997.0
1984-12-31;55.99;56.24;52.29;53.53;57600.0
1985-01-02;53.9;56.24;53.9;55.13;44000.0
1985-01-03;55.5;56.24;55.5;56.24;7793.0
1985-01-04;56.49;56.73;56.24;56.49;17393.0
1985-01-07;56.49;56.49;55.25;55.62;9197.0
1985-01-08;55.5;55.99;55.5;55.75;25873.0
1985-01-09;55.99;57.1;55.99;56.98;20273.0
1985-01-10;57.1;57.1;57.1;57.1;10993.0
1985-01-11;57.23;57.35;56.73;56.98;18673.0
1985-01-14;56.98;57.23;56.98;57.23;12000.0
1985-01-15;57.47;57.72;56.86;57.35;22797.0
1985-01-16;56.73;57.23;56.73;57.23;27680.0
1985-01-17;56.98;57.1;55.87;56.61;20877.0
1985-01-18;57.1;57.23;56.86;57.1;8273.0
1985-01-21;57.23;57.6;57.23;57.47;22797.0
1985-01-22;57.23;57.23;56.24;56.98;18993.0
1985-01-23;56.98;57.23;56.73;56.98;8480.0
1985-01-24;57.23;57.84;57.23;57.72;18080.0
1985-01-25;57.72;57.84;57.1;57.23;12000.0
1985-01-28;22.82;24.05;22.82;23.8;42513.0
1985-01-29;24.17;24.54;24.05;24.42;156681.0
1985-01-30;23.68;23.68;23.19;23.68;116000.0
1985-01-31;23.68;23.68;23.31;23.56;50193.0
1985-02-01;23.56;24.17;23.43;23.68;57689.0
1985-02-04;23.93;24.67;23.93;24.67;74993.0
1985-02-05;25.16;25.53;25.16;25.41;82593.0
1985-02-06;25.16;26.64;25.16;26.52;124800.0
1985-02-07;26.64;28.0;26.27;28.0;239481.0
1985-02-08;27.13;27.63;26.89;27.13;190400.0
1985-02-11;27.01;27.01;26.15;26.64;114593.0
1985-02-12;26.64;28.12;26.39;27.87;122993.0
1985-02-13;28.37;28.37;27.38;27.75;132889.0
1985-02-14;27.87;29.23;27.75;29.23;304089.0
1985-02-15;29.35;29.6;28.61;28.61;153793.0
1985-02-19;28.37;29.35;28.0;29.35;57481.0
1985-02-20;29.6;30.46;29.35;29.6;142889.0
1985-02-21;29.48;29.6;28.86;29.23;62281.0
1985-02-22;29.11;29.23;28.49;28.61;44681.0
1985-02-25;28.37;28.37;27.38;28.37;50593.0
1985-02-26;28.37;28.98;28.37;28.61;84593.0
1985-02-27;28.74;29.11;28.74;28.98;57600.0
1985-02-28;29.23;30.59;28.98;30.59;84993.0
1985-03-01;30.34;30.46;29.97;30.34;86089.0
1985-03-04;30.34;30.34;29.6;30.09;43081.0
1985-03-05;29.85;30.59;29.85;30.34;31393.0
1985-03-06;30.22;30.22;30.09;30.22;33481.0
1985-03-07;29.85;29.97;29.11;29.85;68681.0
1985-03-08;29.85;29.85;29.48;29.6;20800.0
1985-03-11;28.61;28.61;28.12;28.61;36681.0
1985-03-12;28.37;28.61;28.12;28.61;14889.0
1985-03-13;28.37;28.49;27.5;27.63;22593.0
1985-03-14;27.5;27.63;27.38;27.5;18889.0
1985-03-15;27.5;27.63;27.38;27.63;11793.0
1985-03-18;27.63;27.87;27.38;27.5;18089.0
1985-03-19;27.5;27.75;26.89;27.38;92489.0
1985-03-20;27.5;27.63;27.26;27.63;63081.0
1985-03-21;27.5;28.74;27.5;28.74;25289.0
1985-03-22;28.74;28.98;28.0;28.0;27481.0
1985-03-25;28.0;28.24;27.5;27.63;30400.0
1985-03-26;27.75;28.12;27.5;28.0;77481.0
1985-03-27;27.63;27.75;27.38;27.63;53793.0
1985-03-28;27.63;28.24;27.63;27.75;49881.0
1985-03-29;28.0;28.12;27.63;27.87;84993.0
1985-04-01;27.87;28.0;27.5;27.75;42089.0
1985-04-02;27.75;28.49;27.75;28.12;350000.0
1985-04-03;28.24;28.24;27.75;27.87;240000.0
1985-04-04;27.87;27.87;27.63;27.63;191689.0
1985-04-08;27.63;27.87;27.63;27.75;70993.0
1985-04-09;27.75;28.12;27.63;28.0;112000.0
1985-04-10;28.0;28.61;28.0;28.37;74193.0
1985-04-11;28.61;28.74;28.37;28.61;78089.0
1985-04-12;28.86;28.98;28.37;28.86;112993.0
1985-04-15;28.86;29.35;28.86;28.98;60089.0
1985-04-16;28.98;29.11;28.74;29.11;51600.0
1985-04-17;29.11;29.23;28.86;29.11;46593.0
1985-04-18;29.23;29.72;29.11;29.48;120281.0
1985-04-19;29.48;30.59;29.35;29.97;104889.0
1985-04-22;29.97;29.97;29.11;29.72;117481.0
1985-04-23;29.6;30.22;29.48;30.22;242889.0
1985-04-24;30.22;30.34;29.48;29.6;96993.0
1985-04-25;29.85;30.71;29.72;30.59;81393.0
1985-04-26;30.83;31.33;30.83;31.33;53081.0
1985-04-29;31.2;31.2;30.59;30.71;54993.0
1985-04-30;30.34;30.46;30.09;30.34;48400.0
1985-05-01;30.34;30.46;29.72;29.72;88681.0
1985-05-02;29.35;29.72;29.23;29.6;92993.0
1985-05-03;29.72;30.22;29.72;29.97;104800.0
1985-05-06;30.09;30.09;29.48;29.48;38000.0
1985-05-07;29.48;29.6;29.23;29.48;38993.0
1985-05-08;29.35;30.09;29.35;29.85;62593.0
1985-05-09;30.09;30.96;30.09;30.71;103289.0
1985-05-10;31.08;32.19;31.08;31.57;113793.0
1985-05-13;31.57;32.56;31.57;32.07;97481.0
1985-05-14;31.94;32.93;31.94;32.56;50681.0
1985-05-15;32.56;32.93;32.56;32.81;38400.0
1985-05-16;33.05;33.42;32.81;33.05;70593.0
1985-05-17;33.55;34.16;33.42;33.79;101289.0
1985-05-20;34.29;34.41;33.67;33.67;103393.0
1985-05-21;33.92;34.53;33.18;34.53;92400.0
1985-05-22;34.78;35.15;34.53;34.53;91689.0
1985-05-23;34.66;34.78;34.41;34.53;24000.0
1985-05-24;34.41;35.27;34.41;35.27;58993.0
1985-05-28;35.52;36.38;35.4;36.01;87289.0
1985-05-29;36.26;37.49;36.01;37.49;74993.0
1985-05-30;37.74;37.99;35.89;36.51;88193.0
1985-05-31;36.51;37.0;36.01;36.63;46993.0
1985-06-03;36.75;36.88;36.14;36.26;38993.0
1985-06-04;36.75;37.25;36.51;37.12;51793.0
1985-06-05;37.49;37.99;37.12;37.12;108000.0
1985-06-06;37.0;37.0;36.01;36.26;63081.0
1985-06-07;36.38;36.51;35.77;36.14;59289.0
1985-06-10;36.01;36.01;35.77;36.01;15689.0
1985-06-11;36.01;36.38;36.01;36.38;54000.0
1985-06-12;36.26;36.38;36.14;36.14;40400.0
1985-06-13;36.14;36.14;34.29;35.15;170281.0
1985-06-14;35.15;35.27;34.41;34.66;40489.0
1985-06-17;34.9;35.4;34.66;35.03;46400.0
1985-06-18;35.03;35.27;34.66;34.78;12400.0
1985-06-19;34.78;34.78;34.04;34.29;80400.0
1985-06-20;34.53;36.38;32.93;33.3;197200.0
1985-06-21;32.93;34.04;32.93;33.79;79289.0
1985-06-24;34.16;34.66;34.04;34.53;65881.0
1985-06-25;34.53;35.52;34.41;35.15;86489.0
1985-06-26;35.15;36.26;35.15;36.26;124800.0
1985-06-27;36.38;37.12;36.38;37.0;94489.0
1985-06-28;37.49;38.36;37.25;38.23;148489.0
1985-07-01;38.36;38.36;36.75;37.49;123481.0
1985-07-02;37.62;37.74;37.0;37.0;72800.0
1985-07-03;37.25;37.49;36.38;36.51;60489.0
1985-07-05;36.51;36.63;36.26;36.63;36281.0
