date;open;high;low;close;volume
2007-03-21;68.8;68.8;67.5;67.86;92000.0
2007-03-22;71.64;71.67;70.25;70.68;840900.0
2007-03-23;71.5;72.05;70.51;71.0;409300.0
2007-03-26;71.99;74.05;70.52;73.03;320800.0
2007-03-27;74.0;74.0;72.02;73.99;139900.0
2007-03-28;74.4;74.4;71.01;71.23;196700.0
2007-03-29;73.18;73.18;71.51;71.71;179700.0
2007-03-30;73.14;73.14;72.25;72.93;221400.0
2007-04-02;73.95;73.95;71.71;72.5;137500.0
2007-04-03;73.39;73.39;71.01;71.09;97200.0
2007-04-04;71.29;74.7;69.74;74.59;170800.0
2007-04-05;74.83;75.74;74.0;74.4;158900.0
2007-04-09;74.95;76.94;74.0;76.63;91700.0
2007-04-10;76.98;77.66;75.2;76.99;133400.0
2007-04-11;76.45;78.65;75.08;75.82;289000.0
2007-04-12;75.2;77.5;75.1;77.3;160100.0
2007-04-13;77.49;77.5;76.25;77.42;78700.0
2007-04-16;79.18;80.0;78.52;79.81;128400.0
2007-04-17;81.0;81.0;79.5;80.0;143700.0
2007-04-18;79.75;80.74;79.52;79.75;186300.0
2007-04-19;79.48;80.0;77.33;78.82;175200.0
2007-04-20;78.88;80.96;77.5201;78.6;258200.0
2007-04-23;79.11;79.38;77.33;77.5;192100.0
2007-04-24;77.5;78.0;75.94;76.96;80200.0
2007-04-25;77.0;79.349;74.32;78.55;135300.0
2007-04-26;79.33;79.49;76.8001;78.118;91300.0
2007-04-27;77.99;79.45;77.29;79.14;152700.0
2007-04-30;78.3;80.0;77.96;77.96;164500.0
2007-05-01;77.75;77.77;75.03;76.89;142600.0
2007-05-02;74.54;78.81;74.54;78.43;113400.0
2007-05-03;78.11;78.11;76.0501;77.21;151400.0
2007-05-04;76.14;78.16;76.14;77.97;64000.0
2007-05-07;78.56;79.46;78.56;78.95;184100.0
2007-05-08;85.35;86.5;82.26;84.48;399800.0
2007-05-09;86.5;91.0;86.46;91.0;554800.0
2007-05-10;91.0;92.0;89.3488;90.27;431800.0
2007-05-11;90.76;91.66;89.42;89.66;147600.0
2007-05-14;90.56;90.99;88.61;89.68;184800.0
2007-05-15;88.6;89.73;86.8;88.69;158600.0
2007-05-16;87.65;89.22;87.65;88.705;293000.0
2007-05-17;88.65;88.9;86.5;87.86;157600.0
2007-05-18;87.64;89.0;87.2;89.0;163900.0
2007-05-21;89.17;92.23;89.17;89.94;108900.0
2007-05-22;89.5;89.5;87.97;88.25;122100.0
2007-05-23;88.96;88.98;86.47;86.55;183100.0
2007-05-24;86.8;87.77;82.71;83.72;182300.0
2007-05-25;85.0;86.03;83.91;85.2;141500.0
2007-05-29;86.94;88.2;86.94;87.13;134100.0
2007-05-30;86.9;87.1;85.1;87.0;118300.0
2007-05-31;86.75;89.08;86.75;88.66;136400.0
2007-06-01;89.9;91.35;89.66;89.75;76800.0
2007-06-04;89.75;89.86;88.26;88.34;45600.0
2007-06-05;89.9;90.05;87.45;87.86;60700.0
2007-06-06;88.2;88.2;85.95;87.09;70400.0
2007-06-07;86.19;87.44;85.05;86.45;57600.0
2007-06-08;86.14;87.81;84.91;87.38;76100.0
2007-06-11;87.33;87.33;85.68;85.89;115000.0
2007-06-12;85.85;85.85;81.84;82.5;206800.0
2007-06-13;82.38;83.49;80.77;82.25;162000.0
2007-06-14;82.68;83.55;82.41;82.5;165000.0
2007-06-15;82.68;83.44;82.36;82.6;219300.0
2007-06-18;82.6;84.24;82.1;83.84;185400.0
2007-06-19;83.63;88.37;83.63;87.86;209200.0
2007-06-20;88.17;89.82;87.0;87.86;176700.0
2007-06-21;88.46;90.65;86.03;89.08;258400.0
2007-06-22;89.08;90.53;88.71;90.0;1281600.0
2007-06-25;89.92;89.99;86.3;87.01;154000.0
2007-06-26;87.63;89.03;86.9;87.35;140800.0
2007-06-27;86.68;87.5;83.87;87.5;194800.0
2007-06-28;87.86;87.89;85.58;86.0;190300.0
2007-06-29;86.13;86.8;84.33;84.43;324700.0
2007-07-02;85.25;87.75;85.14;86.56;246900.0
2007-07-03;87.38;87.86;84.94;85.56;36200.0
2007-07-05;85.32;87.55;85.06;86.1;182300.0
2007-07-06;89.11;92.79;89.11;91.3;632700.0
2007-07-09;94.19;95.47;89.65;90.99;444000.0
2007-07-10;90.95;91.07;86.5;89.7;365500.0
2007-07-11;90.02;90.4;88.88;90.0;218900.0
2007-07-12;91.14;96.6;90.79;95.25;546900.0
2007-07-13;97.5;97.79;94.0;97.17;318200.0
2007-07-16;97.0;97.55;95.13;95.64;175900.0
2007-07-17;96.13;96.98;95.05;95.41;139800.0
2007-07-18;95.83;97.6;93.79;97.05;225400.0
2007-07-19;98.43;100.1;96.38;97.24;264400.0
2007-07-20;97.03;97.78;95.35;96.79;142900.0
2007-07-23;97.0;98.48;96.58;97.84;212100.0
2007-07-24;96.67;96.78;91.13;92.88;189100.0
2007-07-25;94.36;94.78;86.52;90.33;366400.0
2007-07-26;88.08;92.33;83.86;87.27;448800.0
2007-07-27;83.8;87.52;83.8;86.54;245600.0
2007-07-30;87.0;90.62;86.18;89.2;195100.0
2007-07-31;91.06;92.78;89.3;89.81;292400.0
2007-08-01;92.06;92.06;83.35;84.9;345300.0
2007-08-02;85.46;87.39;84.5;87.39;187700.0
2007-08-03;88.09;88.09;85.0;85.65;193700.0
2007-08-06;88.58;88.62;78.6701;82.02;547900.0
2007-08-07;77.34;80.5;74.26;77.0;1293200.0
2007-08-08;76.8;81.84;73.9901;74.74;666400.0
2007-08-09;73.2;76.12;68.76;72.51;536100.0
2007-08-10;71.02;78.47;69.5;76.92;293000.0
2007-08-13;78.4;79.0;75.13;76.88;262100.0
2007-08-14;77.0;77.0;74.6;75.1;197100.0
2007-08-15;74.23;75.41;70.75;71.51;246400.0
