date;open;high;low;close;volume
1981-09-22;10.25;10.25;10.25;10.25;21760.0
1981-09-23;10.25;10.25;10.25;10.25;21597.0
1981-09-24;10.25;10.25;10.25;10.25;14824.0
1981-09-25;10.25;10.25;10.25;10.25;21382.0
1981-09-28;10.25;10.25;10.25;10.25;16957.0
1981-09-29;10.25;10.25;10.25;10.25;11568.0
1981-09-30;10.25;10.25;10.25;10.25;15360.0
1981-10-01;10.25;10.25;10.25;10.25;12800.0
1981-10-02;10.25;13.62;10.25;10.25;10183.0
1981-10-05;10.25;13.62;10.25;10.25;5168.0
1981-10-06;10.25;13.62;10.25;10.25;7359.0
1981-10-07;10.25;13.62;10.25;10.25;12264.0
1981-10-08;10.25;13.62;10.25;10.25;370.0
1981-10-09;10.25;13.62;10.25;10.25;16425.0
1981-10-12;10.25;13.62;10.25;10.25;1065.0
1981-10-13;10.25;13.62;10.25;10.25;3356.0
1981-10-14;10.25;13.62;10.25;10.25;1065.0
1981-10-15;10.25;13.62;10.25;10.25;9065.0
1981-10-16;10.25;13.62;10.25;10.25;853.0
1981-10-19;10.25;13.62;10.25;10.25;3571.0
1981-10-20;13.62;13.62;13.62;13.62;4372.0
1981-10-21;13.62;13.62;13.62;13.62;20797.0
1981-10-22;13.62;13.62;13.62;13.62;18664.0
1981-10-23;13.62;17.12;13.62;13.62;11463.0
1981-10-26;13.62;17.12;13.62;13.62;12585.0
1981-10-27;13.62;17.12;13.62;13.62;3625.0
1981-10-28;13.62;17.12;13.62;13.62;10025.0
1981-10-29;13.62;17.12;13.62;13.62;1755.0
1981-10-30;13.62;17.12;13.62;13.62;1223.0
1981-11-02;17.12;17.12;17.12;17.12;2450.0
1981-11-03;17.12;17.12;17.12;17.12;3198.0
1981-11-04;17.12;17.12;17.12;17.12;3250.0
1981-11-05;17.12;17.12;17.12;17.12;12422.0
1981-11-06;17.12;17.12;17.12;17.12;370.0
1981-11-09;17.12;17.12;13.62;13.62;12958.0
1981-11-10;13.62;17.12;13.62;13.62;8155.0
1981-11-11;13.62;17.12;13.62;13.62;1065.0
1981-11-12;13.62;17.12;13.62;13.62;1970.0
1981-11-13;13.62;17.12;13.62;13.62;853.0
1981-11-16;13.62;17.12;13.62;13.62;8370.0
1981-11-17;17.12;17.12;17.12;17.12;427.0
1981-11-18;17.12;17.12;17.12;17.12;1065.0
1981-11-19;17.12;17.12;17.12;17.12;427.0
1981-11-20;17.12;17.12;17.12;17.12;7785.0
1981-11-23;17.12;17.12;17.12;17.12;2665.0
1981-11-24;17.12;17.12;17.12;17.12;959.0
1981-11-25;17.12;17.12;17.12;17.12;585.0
1981-11-27;17.12;17.12;17.12;17.12;427.0
1981-11-30;17.12;17.12;17.12;17.12;263.0
1981-12-01;17.12;17.12;17.12;17.12;427.0
1981-12-02;17.12;17.12;17.12;17.12;1065.0
1981-12-03;17.12;17.12;17.12;17.12;4957.0
1981-12-04;17.12;20.5;17.12;17.12;13970.0
1981-12-07;20.5;20.5;20.5;20.5;11568.0
1981-12-08;20.5;20.5;20.5;20.5;8370.0
1981-12-09;20.5;20.5;20.5;20.5;3571.0
1981-12-10;20.5;20.5;20.5;20.5;2182.0
1981-12-11;20.5;20.5;20.5;20.5;796.0
1981-12-14;20.5;20.5;17.12;17.12;4851.0
1981-12-15;17.12;17.12;17.12;17.12;8370.0
1981-12-16;17.12;17.12;17.12;17.12;427.0
1981-12-17;17.12;17.12;17.12;17.12;5595.0
1981-12-18;17.12;17.12;17.12;17.12;1597.0
1981-12-21;17.12;17.12;17.12;17.12;2450.0
1981-12-22;17.12;17.12;17.12;17.12;4052.0
1981-12-23;17.12;17.12;17.12;17.12;3356.0
1981-12-24;17.12;17.12;17.12;17.12;5168.0
1981-12-28;17.12;17.12;17.12;17.12;1223.0
1981-12-29;17.12;17.12;17.12;17.12;1170.0
1981-12-30;17.12;20.5;17.12;17.12;1223.0
1981-12-31;17.12;20.5;17.12;17.12;796.0
1982-01-04;17.12;20.5;17.12;17.12;370.0
