date;open;high;low;close;volume
1983-04-06;23.75;23.75;23.25;23.5;187700.0
1983-04-07;23.62;24.0;23.25;23.87;218000.0
1983-04-08;24.5;24.88;24.0;24.75;429300.0
1983-04-11;25.0;25.63;24.88;25.25;446700.0
1983-04-12;25.37;25.37;25.0;25.25;301300.0
1983-04-13;25.25;25.25;24.5;24.88;149800.0
1983-04-14;25.0;25.75;25.0;25.75;733800.0
1983-04-15;25.88;25.88;25.5;25.75;206200.0
1983-04-18;25.75;25.88;25.12;25.75;348600.0
1983-04-19;25.37;25.75;25.0;25.12;189700.0
1983-04-20;24.88;25.5;24.88;25.12;243800.0
1983-04-21;25.25;25.25;24.38;24.5;222500.0
1983-04-22;24.5;24.62;24.13;24.25;121600.0
1983-04-25;24.75;25.0;24.5;25.0;171100.0
1983-04-26;25.63;26.5;24.75;26.12;494700.0
1983-04-27;26.38;26.87;25.88;26.12;605900.0
1983-04-28;26.38;26.62;26.12;26.38;306700.0
1983-04-29;27.0;27.5;26.38;27.13;874700.0
1983-05-02;26.87;27.13;26.5;26.5;305100.0
1983-05-03;26.38;26.75;26.12;26.62;335700.0
1983-05-04;27.13;27.5;26.75;26.87;323700.0
1983-05-05;25.75;26.87;24.5;25.0;278300.0
1983-05-06;25.5;26.75;25.5;26.25;234200.0
1983-05-09;25.88;26.12;25.5;25.88;251500.0
1983-05-10;25.75;26.5;25.75;26.25;138600.0
1983-05-11;26.25;27.0;26.25;26.62;204700.0
1983-05-12;26.62;26.87;26.25;26.5;304900.0
1983-05-13;26.5;27.0;26.5;26.62;331200.0
1983-05-16;26.62;27.13;26.25;27.0;179500.0
1983-05-17;27.25;27.5;26.87;27.25;251000.0
1983-05-18;27.5;27.5;26.5;27.0;324000.0
1983-05-19;27.0;27.13;26.38;26.5;180300.0
1983-05-20;26.5;26.87;26.25;26.62;161900.0
1983-05-23;26.75;27.75;26.12;27.75;242000.0
1983-05-24;27.88;27.88;26.75;27.5;223500.0
1983-05-25;27.5;27.62;27.0;27.62;181900.0
1983-05-26;27.5;27.5;26.75;27.13;86900.0
1983-05-27;27.0;27.13;26.87;27.0;82900.0
1983-05-31;26.62;27.13;26.62;26.62;129500.0
1983-06-01;26.25;26.75;26.25;26.62;138000.0
1983-06-02;26.5;26.75;25.88;26.25;188900.0
1983-06-03;26.25;26.62;26.0;26.38;143000.0
1983-06-06;26.5;26.62;26.0;26.0;122000.0
1983-06-07;25.63;25.88;25.25;25.25;239200.0
1983-06-08;25.37;25.88;25.25;25.63;196700.0
1983-06-09;25.63;26.0;25.5;25.63;107300.0
1983-06-10;25.75;26.38;25.75;26.12;192900.0
1983-06-13;26.38;26.5;25.88;26.25;238100.0
1983-06-14;26.5;27.5;26.25;27.13;246400.0
1983-06-15;27.0;28.5;26.75;28.25;264000.0
1983-06-16;29.0;29.0;28.37;28.88;760600.0
1983-06-17;28.75;29.12;28.0;29.0;474700.0
1983-06-20;29.38;29.62;28.88;29.12;367100.0
1983-06-21;29.0;30.25;29.0;30.25;448200.0
1983-06-22;30.0;30.38;29.5;30.0;594500.0
1983-06-23;30.0;30.5;29.62;30.5;233000.0
1983-06-24;29.62;30.0;29.62;29.62;167300.0
1983-06-27;29.62;29.62;28.75;28.88;149500.0
1983-06-28;28.88;29.12;27.88;28.12;88700.0
1983-06-29;28.0;28.88;28.0;28.75;112400.0
1983-06-30;29.0;29.5;28.88;29.38;183300.0
1983-07-01;29.38;30.0;29.38;29.87;184400.0
1983-07-05;29.38;29.75;29.12;29.62;245600.0
1983-07-06;29.75;31.25;29.5;30.88;476500.0
1983-07-07;30.88;31.25;30.13;30.25;488500.0
1983-07-08;30.5;30.62;29.75;30.0;174000.0
1983-07-11;30.25;31.0;30.25;30.75;267100.0
1983-07-12;30.62;30.75;29.75;29.87;268300.0
1983-07-13;29.5;29.62;29.25;29.38;163200.0
1983-07-14;29.38;30.13;29.25;29.25;137000.0
1983-07-15;29.0;29.12;28.63;28.75;99300.0
1983-07-18;28.75;29.75;28.12;29.25;373900.0
1983-07-19;29.5;30.62;29.5;30.25;299500.0
1983-07-20;31.0;31.63;30.25;31.5;531200.0
1983-07-21;31.5;31.63;30.25;30.88;488900.0
1983-07-22;30.81;31.0;30.62;30.75;160800.0
1983-07-25;30.5;31.12;30.5;30.75;172900.0
1983-07-26;30.75;31.0;30.62;30.88;359900.0
1983-07-27;31.0;31.37;30.13;30.38;859800.0
1983-07-28;30.38;30.62;29.38;29.87;474700.0
1983-07-29;29.62;30.25;29.0;30.0;304200.0
1983-08-01;29.62;30.0;29.0;29.38;227300.0
1983-08-02;29.25;29.87;29.25;29.25;218000.0
1983-08-03;29.25;29.75;29.0;29.62;268200.0
1983-08-04;29.5;29.62;28.63;29.0;242400.0
1983-08-05;29.0;30.38;29.0;30.38;283300.0
1983-08-08;30.5;31.25;29.87;30.88;329200.0
1983-08-09;30.62;30.88;29.87;30.75;401200.0
1983-08-10;30.62;31.5;30.5;31.0;223500.0
1983-08-11;31.5;32.12;31.5;32.12;663500.0
1983-08-12;32.62;34.75;32.62;34.63;1035100.0
1983-08-15;34.37;34.37;33.25;33.38;450300.0
1983-08-16;33.38;34.37;33.0;34.12;367300.0
1983-08-17;33.88;34.75;33.62;34.25;430500.0
1983-08-18;34.75;34.75;33.38;33.62;475400.0
1983-08-19;33.62;34.12;33.38;33.88;144300.0
1983-08-22;33.75;34.37;33.75;33.88;270800.0
1983-08-23;34.12;34.12;32.75;32.87;486300.0
1983-08-24;32.75;32.87;31.75;32.0;370200.0
1983-08-25;32.0;32.5;31.63;32.25;224400.0
1983-08-26;32.12;32.87;31.88;32.87;181900.0
1983-08-29;32.62;32.62;32.25;32.62;101000.0
1983-08-30;32.62;33.38;32.62;33.0;320100.0
1983-08-31;33.0;33.75;33.0;33.75;361400.0
1983-09-01;33.88;34.0;33.5;33.75;176000.0
1983-09-02;33.5;34.25;33.5;34.25;233200.0
1983-09-06;34.5;34.63;34.25;34.5;410700.0
1983-09-07;34.5;34.5;33.75;33.75;391900.0
1983-09-08;34.0;34.0;32.87;33.88;553200.0
1983-09-09;33.75;33.88;33.0;33.25;662300.0
1983-09-12;33.75;33.75;30.5;31.0;485300.0
1983-09-13;30.5;31.0;30.25;30.62;441200.0
1983-09-14;30.38;31.37;30.38;31.0;159100.0
1983-09-15;30.88;32.38;30.75;31.63;194300.0
1983-09-16;32.12;32.75;32.0;32.12;202200.0
1983-09-19;32.12;32.75;32.12;32.5;234400.0
1983-09-20;32.62;33.13;32.62;33.0;330400.0
1983-09-21;32.62;32.87;32.12;32.25;95300.0
1983-09-22;32.0;32.5;32.0;32.12;91200.0
1983-09-23;32.12;32.25;31.63;31.88;173600.0
1983-09-26;31.75;32.0;31.5;31.75;62700.0
1983-09-27;31.88;32.12;31.75;31.88;157500.0
1983-09-28;32.12;33.0;32.0;33.0;398100.0
1983-09-29;32.87;33.25;32.5;32.5;157900.0
1983-09-30;32.25;32.25;31.0;31.25;580800.0
1983-10-03;31.12;31.12;30.13;30.38;341700.0
1983-10-04;29.75;30.0;28.5;28.75;1069100.0
1983-10-05;28.75;29.0;28.12;28.63;469900.0
1983-10-06;28.75;30.13;28.75;30.0;265400.0
1983-10-07;29.87;30.13;29.62;29.87;328500.0
1983-10-10;29.75;32.12;29.38;32.12;217600.0
1983-10-11;31.37;31.75;30.5;30.5;398400.0
1983-10-12;30.75;31.25;30.38;31.0;213900.0
1983-10-13;31.12;31.25;30.5;30.75;89800.0
1983-10-14;30.38;30.5;29.62;30.38;129100.0
1983-10-17;30.5;31.37;30.5;30.75;193500.0
1983-10-18;30.5;30.5;30.0;30.25;143200.0
1983-10-19;30.25;30.75;30.13;30.25;160600.0
1983-10-20;30.5;30.62;29.5;29.75;95700.0
1983-10-21;29.87;29.87;28.37;29.12;116000.0
1983-10-24;28.75;29.87;28.63;29.87;170700.0
1983-10-25;29.87;29.87;28.63;29.0;441500.0
1983-10-26;29.12;29.25;28.0;28.0;979500.0
1983-10-27;28.0;28.0;26.75;27.5;981500.0
1983-10-28;27.25;27.38;26.62;27.13;341400.0
1983-10-31;27.0;28.0;27.0;28.0;303100.0
1983-11-01;28.25;28.25;27.25;28.0;229400.0
1983-11-02;27.88;29.25;27.75;28.88;206500.0
1983-11-03;28.63;29.12;28.5;28.88;254300.0
1983-11-04;28.5;28.63;28.25;28.5;73100.0
1983-11-07;28.25;28.63;28.12;28.37;78300.0
1983-11-08;28.5;28.5;27.75;27.75;75800.0
1983-11-09;27.88;28.25;27.75;28.12;190300.0
1983-11-10;28.0;28.37;27.38;27.62;366400.0
1983-11-11;27.5;27.88;27.13;27.75;126000.0
1983-11-14;28.0;28.25;27.75;28.0;272600.0
1983-11-15;27.88;28.37;27.75;28.0;139200.0
1983-11-16;28.12;28.5;28.0;28.12;177400.0
1983-11-17;28.0;28.37;27.13;27.38;167200.0
1983-11-18;27.5;27.5;26.5;26.75;333100.0
1983-11-21;26.5;27.0;26.5;26.75;347600.0
1983-11-22;26.87;27.25;26.62;26.87;228900.0
1983-11-23;27.62;28.12;27.5;27.75;384500.0
1983-11-25;27.5;27.88;27.38;27.75;38000.0
1983-11-28;27.62;27.62;27.25;27.38;92700.0
