date;open;high;low;close;volume
2004-12-16;14.0;14.89;14.0;14.72;6060000.0
2004-12-17;14.6;14.73;14.36;14.7;477200.0
2004-12-20;14.6;15.2;14.6;14.6;169200.0
2004-12-21;14.6;15.61;14.4;15.6;448900.0
2004-12-22;15.35;16.1;14.9;15.95;304800.0
2004-12-23;16.2;16.85;16.1;16.5;504900.0
2004-12-27;16.72;16.75;15.75;15.98;351800.0
2004-12-28;15.93;16.24;15.85;15.98;156400.0
2004-12-29;16.0;16.08;15.55;15.71;53300.0
2004-12-30;15.75;15.79;15.07;15.75;217100.0
2004-12-31;15.85;16.4;15.75;16.25;431700.0
2005-01-03;16.25;16.45;15.6;16.03;103900.0
2005-01-04;16.35;16.35;15.8;15.99;101900.0
2005-01-05;16.15;16.15;15.55;15.6;115300.0
2005-01-06;15.5;15.8;15.4;15.65;301400.0
2005-01-07;15.95;15.95;15.65;15.65;71300.0
2005-01-10;15.65;16.01;15.65;16.0;72000.0
2005-01-11;16.05;16.05;15.85;15.9;63300.0
2005-01-12;15.9;16.0;15.6;15.75;114000.0
2005-01-13;15.9;16.08;15.8;15.96;181300.0
2005-01-14;16.0;16.1;15.9;16.0;53600.0
2005-01-18;16.15;16.2;15.95;16.08;78100.0
2005-01-19;16.2;16.4;16.15;16.15;117000.0
2005-01-20;16.3;16.32;16.1;16.1;101500.0
2005-01-21;16.25;16.27;16.0;16.1;70400.0
2005-01-24;16.22;16.24;16.05;16.1;84900.0
2005-01-25;16.2;16.25;16.05;16.1;184000.0
2005-01-26;16.1;16.16;15.75;15.8;466000.0
2005-01-27;15.9;16.05;15.7;15.8;374500.0
2005-01-28;15.9;15.99;15.4;15.8;705000.0
2005-01-31;15.9;16.05;15.82;16.05;32100.0
2005-02-01;16.05;16.35;15.8;16.35;67500.0
2005-02-02;16.35;16.35;16.1;16.13;124700.0
2005-02-03;16.1;16.15;15.85;16.0;66100.0
2005-02-04;16.0;16.2;15.95;16.1;300000.0
2005-02-07;16.15;16.3;16.15;16.3;30300.0
2005-02-08;16.3;16.65;16.3;16.63;46200.0
2005-02-09;16.63;16.65;16.25;16.44;15900.0
2005-02-10;16.44;16.6;16.37;16.51;42600.0
2005-02-11;16.45;16.67;16.4;16.48;38800.0
2005-02-14;16.48;16.48;15.9;15.9;91600.0
2005-02-15;15.95;16.1;15.3;15.86;77600.0
2005-02-16;15.8;16.0;15.72;16.0;139600.0
2005-02-17;16.05;16.5;16.0;16.5;39100.0
2005-02-18;16.45;16.7;16.4;16.5;53400.0
2005-02-22;16.6;16.7;16.36;16.4;71600.0
2005-02-23;16.4;16.4;16.2;16.25;49200.0
2005-02-24;16.24;16.24;15.91;15.95;53300.0
2005-02-25;15.95;15.97;15.75;15.76;54600.0
2005-02-28;15.75;15.82;15.66;15.78;34000.0
2005-03-01;15.73;15.85;15.6;15.85;62000.0
2005-03-02;15.85;15.85;15.7;15.85;29000.0
2005-03-03;15.85;15.87;15.7;15.8;55500.0
2005-03-04;15.85;16.01;15.8;15.9;59300.0
2005-03-07;15.9;16.15;15.75;16.0;201500.0
2005-03-08;16.0;16.05;15.95;16.0;227700.0
2005-03-09;16.0;16.29;15.9;16.15;139700.0
2005-03-10;16.15;16.15;15.98;15.99;158700.0
2005-03-11;16.0;16.15;16.0;16.15;97200.0
2005-03-14;16.15;16.29;16.15;16.15;204400.0
2005-03-15;16.15;16.2;16.0;16.0;99600.0
2005-03-16;16.0;16.05;15.89;15.99;145700.0
2005-03-17;16.0;16.1;15.99;16.0;179200.0
2005-03-18;16.1;16.1;16.0;16.06;235200.0
2005-03-21;16.15;16.15;16.0;16.05;21000.0
