date;open;high;low;close;volume
1990-03-26;35.5;36.0;35.5;36.0;300.0
1990-03-27;35.5;36.0;35.5;35.5;6100.0
1990-03-28;36.0;36.5;36.0;36.25;65500.0
1990-03-29;36.5;37.25;36.0;36.75;16100.0
1990-03-30;36.75;36.75;36.75;36.75;4600.0
1990-04-02;37.5;37.5;37.25;37.25;4900.0
1990-04-03;37.25;38.25;37.25;37.75;9500.0
1990-04-04;38.25;38.25;37.75;37.88;32000.0
1990-04-05;38.25;38.25;38.25;38.25;10600.0
1990-04-06;37.75;38.75;37.75;38.5;13400.0
1990-04-09;39.0;39.0;38.25;38.25;4600.0
1990-04-10;38.5;38.75;38.25;38.25;8700.0
1990-04-11;38.5;39.0;38.25;38.25;900.0
1990-04-12;38.25;38.75;38.25;38.25;7900.0
1990-04-16;38.75;38.75;38.25;38.75;4200.0
1990-04-17;38.25;38.75;38.25;38.75;2000.0
1990-04-18;38.25;38.75;38.25;38.25;67600.0
1990-04-19;38.25;39.0;38.25;39.0;1100.0
1990-04-20;38.5;39.0;38.5;39.0;7200.0
1990-04-23;38.5;39.0;38.5;38.88;5300.0
1990-04-24;38.5;38.5;38.5;38.5;4000.0
1990-04-25;39.0;39.0;38.5;38.5;1100.0
1990-04-26;39.0;39.0;39.0;39.0;1100.0
1990-04-27;39.0;39.0;38.5;39.0;6600.0
1990-04-30;38.88;38.88;38.5;38.5;6300.0
1990-05-01;39.0;39.0;38.5;39.0;6700.0
1990-05-02;39.0;39.0;38.75;39.0;1900.0
1990-05-03;39.25;39.25;38.5;39.0;11900.0
1990-05-04;39.0;39.0;38.5;38.5;4700.0
1990-05-07;39.0;39.0;38.5;39.0;3600.0
1990-05-08;38.5;39.0;38.25;38.25;800.0
1990-05-09;38.75;38.88;38.25;38.88;10900.0
1990-05-10;39.0;39.0;38.5;38.5;3000.0
1990-05-11;39.0;39.0;38.5;39.0;10300.0
1990-05-14;39.0;39.0;38.5;38.5;8600.0
1990-05-15;39.25;39.25;38.5;39.25;1100.0
1990-05-16;39.25;39.75;39.0;39.75;10600.0
1990-05-17;40.0;40.0;39.5;39.62;8200.0
1990-05-18;40.25;40.25;39.75;40.25;1500.0
1990-05-21;39.75;40.5;39.5;40.5;24700.0
1990-05-22;40.0;42.0;40.0;42.0;11400.0
1990-05-23;41.5;42.5;41.5;41.5;30600.0
1990-05-24;42.62;43.0;42.0;42.75;52800.0
1990-05-25;42.5;42.75;42.25;42.75;42300.0
1990-05-29;42.75;42.75;42.25;42.75;6900.0
1990-05-30;42.75;43.0;42.25;42.25;9400.0
1990-05-31;42.75;43.0;42.25;43.0;1500.0
1990-06-01;42.25;42.75;42.25;42.25;22000.0
1990-06-04;42.5;43.0;42.25;42.75;8500.0
1990-06-05;42.25;42.75;42.25;42.75;10500.0
1990-06-06;42.25;42.75;42.25;42.25;2500.0
1990-06-07;42.75;42.75;42.25;42.25;34800.0
1990-06-08;42.25;42.75;42.0;42.25;21300.0
1990-06-11;42.0;42.25;41.75;42.0;7700.0
1990-06-12;42.25;42.25;41.75;42.25;4400.0
1990-06-13;42.25;42.25;41.75;42.25;4400.0
1990-06-14;41.75;42.25;41.75;41.75;12900.0
1990-06-15;41.75;42.25;41.75;41.75;3700.0
1990-06-18;42.25;42.25;41.75;41.75;9700.0
1990-06-19;42.12;42.25;42.12;42.25;20800.0
1990-06-20;42.25;42.25;41.75;41.75;1900.0
1990-06-21;41.75;42.0;41.75;42.0;2300.0
1990-06-22;42.25;42.25;41.25;42.25;3200.0
1990-06-25;41.75;41.88;41.75;41.88;40300.0
1990-06-26;41.75;41.75;41.75;41.75;500.0
1990-06-27;41.75;41.75;41.75;41.75;2100.0
1990-06-28;41.5;42.0;41.25;42.0;31500.0
1990-06-29;41.5;42.0;41.5;41.75;7500.0
1990-07-02;41.5;42.0;41.5;41.75;3200.0
1990-07-03;21.0;21.5;20.62;21.0;19100.0
1990-07-05;20.5;21.0;20.5;20.5;8400.0
1990-07-06;20.5;20.5;20.0;20.5;69800.0
1990-07-09;20.75;20.75;20.0;20.75;6000.0
1990-07-10;21.5;21.5;20.25;21.0;13300.0
1990-07-11;20.25;21.25;20.25;21.25;13700.0
1990-07-12;21.25;21.25;20.75;21.25;1900.0
1990-07-13;21.25;21.25;20.75;21.0;19500.0
1990-07-16;21.25;23.0;21.0;22.75;46300.0
1990-07-17;22.25;22.75;21.75;22.5;23500.0
1990-07-18;22.25;22.5;21.0;22.25;54600.0
1990-07-19;21.75;22.5;21.75;22.0;41100.0
1990-07-20;22.5;22.5;22.0;22.25;8400.0
1990-07-23;22.5;22.5;21.75;21.75;66300.0
1990-07-24;22.0;22.0;21.25;21.75;8800.0
1990-07-25;21.25;22.0;21.25;22.0;14000.0
1990-07-26;22.0;22.0;20.75;21.25;43000.0
1990-07-27;21.25;21.25;20.5;20.5;25100.0
1990-07-30;20.5;21.0;20.5;21.0;3400.0
1990-07-31;20.5;20.5;20.12;20.5;27100.0
1990-08-01;20.5;20.5;20.25;20.5;2300.0
1990-08-02;20.0;20.25;19.25;20.0;16600.0
1990-08-03;19.5;19.5;18.0;18.75;40100.0
1990-08-06;18.25;18.25;17.5;18.0;11400.0
1990-08-07;18.25;18.25;17.75;18.25;12700.0
1990-08-08;18.25;19.5;18.0;19.25;34100.0
1990-08-09;19.25;20.25;18.75;20.25;18500.0
1990-08-10;20.25;20.25;19.25;19.75;28800.0
1990-08-13;19.25;20.0;19.25;20.0;3300.0
1990-08-14;20.0;20.0;19.5;19.75;12400.0
1990-08-15;19.88;20.5;19.5;20.38;25100.0
1990-08-16;19.75;20.0;18.62;19.25;47300.0
1990-08-17;18.5;18.75;18.0;18.75;89800.0
1990-08-20;19.0;19.0;18.25;19.0;11100.0
1990-08-21;18.0;18.5;17.75;17.75;23100.0
1990-08-22;18.5;18.5;17.75;17.88;42000.0
1990-08-23;17.5;17.75;17.0;17.5;56300.0
1990-08-24;17.5;17.75;17.0;17.25;6100.0
1990-08-27;17.75;18.5;17.75;18.5;8300.0
1990-08-28;18.5;18.75;17.88;18.0;55700.0
1990-08-29;18.5;18.5;17.75;18.0;16100.0
1990-08-30;18.25;18.25;17.5;18.0;76400.0
1990-08-31;17.5;17.62;17.25;17.5;32500.0
1990-09-04;17.75;17.75;17.25;17.5;69200.0
1990-09-05;17.25;17.25;17.25;17.25;1000.0
1990-09-06;17.0;17.5;16.75;17.25;14200.0
1990-09-07;16.75;17.25;16.75;16.75;60600.0
1990-09-10;17.25;17.25;16.75;16.75;8100.0
1990-09-11;17.0;17.0;16.5;16.5;1200.0
1990-09-12;17.0;17.0;16.0;16.0;102700.0
1990-09-13;16.75;16.75;15.5;15.5;18400.0
1990-09-14;15.75;16.0;15.5;16.0;15800.0
1990-09-17;15.5;16.5;15.5;16.0;10900.0
1990-09-18;16.0;16.5;16.0;16.5;10600.0
1990-09-19;16.5;16.5;16.0;16.38;26900.0
1990-09-20;16.5;16.5;16.0;16.5;1700.0
1990-09-21;16.25;16.75;16.0;16.75;24800.0
1990-09-24;16.75;16.75;16.25;16.25;1100.0
1990-09-25;16.75;16.75;16.0;16.75;9600.0
1990-09-26;16.25;16.75;16.25;16.5;80400.0
1990-09-27;17.0;17.0;16.25;16.75;24300.0
1990-09-28;16.0;16.25;15.5;16.0;48800.0
1990-10-01;16.25;17.25;16.0;17.25;32900.0
1990-10-02;17.25;17.5;16.75;17.0;8300.0
1990-10-03;16.75;17.0;16.62;17.0;167000.0
1990-10-04;16.5;17.0;16.5;16.5;1800.0
1990-10-05;16.25;16.75;16.25;16.75;15500.0
1990-10-08;16.75;17.0;16.5;17.0;6600.0
1990-10-09;17.0;17.0;16.25;16.25;12100.0
1990-10-10;16.0;16.0;15.0;15.0;11200.0
1990-10-11;15.5;15.5;15.0;15.0;18400.0
1990-10-12;15.5;15.5;14.75;14.75;8500.0
1990-10-15;15.25;15.25;14.88;15.25;15000.0
1990-10-16;15.25;15.25;14.75;15.25;14100.0
1990-10-17;15.25;15.25;14.75;14.75;8300.0
1990-10-18;15.25;15.25;15.0;15.12;266600.0
1990-10-19;14.75;15.5;14.75;15.0;4300.0
1990-10-22;15.5;15.5;15.0;15.0;8800.0
1990-10-23;15.5;15.5;15.0;15.0;15100.0
1990-10-24;15.25;15.25;15.25;15.25;11800.0
1990-10-25;15.25;15.25;15.0;15.25;108100.0
1990-10-26;15.0;15.25;15.0;15.25;47800.0
1990-10-29;15.25;15.25;15.0;15.25;7300.0
1990-10-30;15.25;15.25;15.0;15.0;4500.0
1990-10-31;15.25;15.25;15.0;15.25;27400.0
1990-11-01;15.25;15.25;15.0;15.25;3800.0
1990-11-02;15.0;15.25;15.0;15.25;200.0
1990-11-05;15.5;15.5;15.0;15.5;28400.0
1990-11-06;15.5;15.5;15.0;15.5;2400.0
1990-11-07;15.25;15.5;14.75;14.75;26900.0
1990-11-08;14.75;15.0;14.5;14.88;8000.0
1990-11-09;15.0;15.0;14.75;15.0;12500.0
1990-11-12;14.75;15.0;14.75;15.0;6500.0
1990-11-13;15.25;15.25;14.75;15.25;10300.0
1990-11-14;14.75;15.25;14.75;15.25;4000.0
1990-11-15;14.75;15.25;14.75;15.25;800.0
1990-11-16;15.25;15.25;15.0;15.12;3800.0
1990-11-19;14.75;15.25;14.75;15.0;129200.0
1990-11-20;15.0;15.0;14.25;14.5;9400.0
1990-11-21;14.5;14.5;14.0;14.5;7200.0
1990-11-23;14.0;14.25;13.75;14.25;4700.0
1990-11-26;13.75;14.25;13.5;14.12;13700.0
1990-11-27;14.0;14.25;13.75;14.25;7600.0
1990-11-28;14.25;14.75;14.25;14.75;8100.0
1990-11-29;14.75;14.75;14.62;14.62;6000.0
1990-11-30;14.5;14.75;14.5;14.75;6000.0
1990-12-03;14.75;14.75;14.5;14.75;4000.0
1990-12-04;14.75;14.75;14.5;14.75;28400.0
1990-12-05;14.5;14.75;14.5;14.75;9500.0
1990-12-06;15.25;15.75;14.75;15.0;35900.0
1990-12-07;14.75;15.25;14.75;15.0;1600.0
1990-12-10;14.75;15.0;14.75;14.75;5300.0
1990-12-11;15.0;15.0;14.75;14.75;2600.0
1990-12-12;14.75;15.25;14.75;15.25;72800.0
1990-12-13;15.25;15.25;14.75;15.25;4400.0
1990-12-14;15.25;15.25;14.75;15.0;2400.0
1990-12-17;15.25;15.25;14.75;15.25;1900.0
1990-12-18;14.75;15.25;14.75;15.25;9200.0
1990-12-19;14.75;15.25;14.75;14.75;17100.0
1990-12-20;15.25;15.25;14.75;15.25;27400.0
1990-12-21;15.25;15.25;14.5;15.0;25200.0
1990-12-24;14.5;14.75;13.75;14.25;18000.0
1990-12-26;14.25;14.25;13.75;14.12;17000.0
1990-12-27;14.25;14.75;13.75;14.5;32000.0
1990-12-28;14.0;14.75;14.0;14.75;10300.0
1990-12-31;14.5;15.0;14.5;14.5;12700.0
1991-01-02;14.75;15.0;14.25;14.25;15000.0
1991-01-03;14.25;14.5;14.25;14.25;6100.0
1991-01-04;14.25;14.75;14.25;14.25;23200.0
1991-01-07;14.25;15.25;14.25;15.25;28600.0
1991-01-08;14.75;14.88;14.5;14.88;6800.0
1991-01-09;14.75;15.25;14.5;14.5;19600.0
1991-01-10;14.25;14.5;14.0;14.0;20600.0
1991-01-11;14.25;14.25;14.0;14.0;19800.0
1991-01-14;13.5;13.75;13.25;13.75;15500.0
1991-01-15;13.5;14.0;13.5;14.0;17500.0
1991-01-16;14.0;14.0;13.75;13.75;4900.0
1991-01-17;14.25;14.75;14.25;14.5;11900.0
1991-01-18;14.0;14.5;14.0;14.0;1900.0
1991-01-21;14.25;14.5;14.0;14.5;67300.0
1991-01-22;14.25;14.75;14.25;14.75;2700.0
1991-01-23;14.5;14.75;14.25;14.5;30300.0
1991-01-24;15.25;15.5;15.0;15.5;4900.0
1991-01-25;15.5;15.5;15.0;15.0;67000.0
1991-01-28;15.0;15.5;15.0;15.25;8400.0
1991-01-29;15.5;15.75;15.25;15.75;9500.0
1991-01-30;15.75;16.75;15.5;16.75;74700.0
1991-01-31;16.0;16.75;16.0;16.75;1500.0
1991-02-01;16.0;18.5;16.0;18.25;162900.0
1991-02-04;18.5;18.5;18.0;18.12;88300.0
1991-02-05;18.25;18.75;18.25;18.5;289300.0
1991-02-06;18.75;19.12;18.25;18.75;61600.0
1991-02-07;18.5;19.0;17.0;17.5;60600.0
1991-02-08;17.0;17.5;16.75;17.0;23600.0
1991-02-11;17.5;18.25;17.5;18.0;67700.0
1991-02-12;18.25;18.25;17.5;17.5;3900.0
1991-02-13;17.75;18.25;17.75;17.75;48200.0
1991-02-14;18.25;18.25;17.62;18.0;5100.0
1991-02-15;18.0;18.25;17.5;18.12;48300.0
1991-02-19;18.0;18.5;18.0;18.0;45000.0
1991-02-20;18.0;18.25;17.75;18.0;4500.0
1991-02-21;18.25;18.25;17.75;17.75;1700.0
1991-02-22;18.0;18.25;18.0;18.25;14000.0
1991-02-25;18.25;18.25;17.5;17.5;900.0
1991-02-26;17.5;18.25;17.5;18.25;7500.0
1991-02-27;18.12;18.25;18.0;18.25;2200.0
1991-02-28;18.25;18.25;18.25;18.25;500.0
1991-03-01;18.0;18.25;17.5;18.25;4800.0
1991-03-04;18.25;18.25;17.75;18.25;30900.0
1991-03-05;18.25;18.25;17.75;17.75;21100.0
1991-03-06;18.25;18.25;17.5;17.5;39600.0
1991-03-07;18.0;18.0;17.5;17.75;42900.0
1991-03-08;17.5;17.75;17.25;17.25;54200.0
1991-03-11;17.5;17.5;16.5;16.5;23400.0
1991-03-12;16.25;16.75;16.25;16.25;10500.0
1991-03-13;16.88;17.0;16.88;17.0;12200.0
1991-03-14;17.0;17.25;17.0;17.0;44000.0
1991-03-15;17.25;17.25;16.75;16.75;14300.0
1991-03-18;16.75;17.0;16.25;16.25;12200.0
1991-03-19;16.25;16.75;16.25;16.25;4200.0
1991-03-20;16.75;16.75;16.25;16.25;7800.0
1991-03-21;16.25;16.25;16.25;16.25;3000.0
1991-03-22;16.75;16.75;16.25;16.75;400.0
1991-03-25;16.25;16.75;16.25;16.75;6900.0
1991-03-26;16.25;16.75;16.25;16.5;3500.0
1991-03-27;16.5;17.0;16.5;16.75;700.0
1991-03-28;16.5;17.25;16.5;16.88;18000.0
1991-04-01;17.0;17.0;16.5;16.88;11200.0
1991-04-02;16.88;17.0;16.75;17.0;4500.0
1991-04-03;16.75;17.25;16.75;17.25;10400.0
1991-04-04;16.75;17.75;16.75;17.5;31900.0
1991-04-05;17.75;18.25;17.25;18.0;22600.0
1991-04-08;18.25;18.25;17.5;17.5;3400.0
1991-04-09;17.5;18.0;17.0;17.0;47100.0
1991-04-10;17.5;17.5;16.75;16.75;6000.0
1991-04-11;16.75;17.25;16.75;17.25;23900.0
1991-04-12;17.0;17.5;17.0;17.25;3500.0
1991-04-15;17.5;17.5;17.0;17.5;4100.0
1991-04-16;17.5;17.5;17.0;17.5;136400.0
1991-04-17;17.0;17.5;16.75;17.25;144600.0
1991-04-18;17.25;17.25;16.75;17.0;5100.0
1991-04-19;16.75;17.0;16.5;16.5;12200.0
1991-04-22;16.75;16.75;16.0;16.0;18400.0
1991-04-23;16.0;16.5;16.0;16.0;4500.0
1991-04-24;16.5;16.5;16.0;16.5;4700.0
1991-04-25;16.25;17.0;16.25;16.25;35100.0
1991-04-26;16.25;16.62;16.0;16.0;34700.0
1991-04-29;15.75;16.25;15.75;15.75;14100.0
1991-04-30;16.25;16.25;16.0;16.0;14000.0
1991-05-01;16.25;17.5;16.0;17.38;74100.0
1991-05-02;17.5;17.5;17.0;17.0;13100.0
1991-05-03;17.5;17.5;17.0;17.25;64000.0
1991-05-06;17.0;17.75;17.0;17.5;189100.0
1991-05-07;17.5;18.0;17.5;17.5;36600.0
1991-05-08;17.5;17.75;17.5;17.5;54100.0
1991-05-09;17.5;17.75;17.5;17.75;25700.0
1991-05-10;18.0;18.0;17.75;17.75;5700.0
1991-05-13;17.5;18.0;17.5;17.5;4600.0
1991-05-14;17.5;18.0;17.5;17.5;1100.0
1991-05-15;18.0;18.0;17.5;17.75;14500.0
1991-05-16;17.5;17.88;17.5;17.5;215400.0
1991-05-17;17.38;17.5;17.25;17.5;47200.0
1991-05-20;17.0;17.5;17.0;17.0;4500.0
1991-05-21;17.0;17.75;17.0;17.75;16600.0
1991-05-22;17.25;17.5;17.25;17.25;1500.0
1991-05-23;17.25;17.75;17.25;17.75;47000.0
1991-05-24;17.25;17.75;17.25;17.25;17200.0
1991-05-28;17.75;17.75;17.25;17.25;3700.0
1991-05-29;17.25;17.75;17.25;17.62;11300.0
1991-05-30;17.75;18.0;17.25;17.38;24700.0
1991-05-31;17.25;18.0;17.25;17.25;900.0
1991-06-03;18.0;18.0;17.25;18.0;7600.0
1991-06-04;18.0;18.12;17.5;17.5;12700.0
1991-06-05;17.62;18.0;17.62;18.0;14300.0
1991-06-06;17.5;18.0;17.5;18.0;4000.0
1991-06-07;18.0;18.0;17.5;17.62;18500.0
1991-06-10;17.5;18.0;17.5;17.75;2800.0
1991-06-11;17.5;18.0;17.5;17.75;17400.0
1991-06-12;18.0;18.0;17.5;17.5;6100.0
1991-06-13;17.5;18.0;17.5;17.62;1900.0
1991-06-14;17.5;18.25;17.5;18.0;65400.0
1991-06-17;17.75;18.0;17.75;17.75;33200.0
1991-06-18;17.75;18.25;17.75;18.25;16100.0
1991-06-19;17.75;18.25;17.75;18.0;213200.0
1991-06-20;18.0;18.25;17.75;17.75;9400.0
1991-06-21;17.5;17.75;17.5;17.75;23200.0
1991-06-24;17.5;17.75;17.5;17.5;5000.0
1991-06-25;17.5;17.62;17.5;17.5;10300.0
1991-06-26;17.5;17.75;17.25;17.62;21900.0
1991-06-27;17.38;17.75;17.25;17.75;6200.0
1991-06-28;17.75;17.75;17.25;17.25;23900.0
1991-07-01;17.75;17.75;17.25;17.25;9500.0
1991-07-02;17.0;17.5;17.0;17.0;6900.0
1991-07-03;17.0;17.0;16.5;16.62;18600.0
1991-07-05;16.25;17.0;16.25;16.25;3800.0
1991-07-08;16.75;16.75;16.25;16.25;2600.0
1991-07-09;17.0;17.0;15.25;16.0;28200.0
1991-07-10;15.25;15.75;14.75;15.5;22900.0
1991-07-11;15.0;15.5;14.75;14.75;10000.0
1991-07-12;15.5;15.5;14.75;15.25;9900.0
1991-07-15;14.75;15.5;14.75;15.5;140700.0
1991-07-16;15.5;15.5;14.75;15.12;3800.0
1991-07-17;14.75;15.5;14.75;15.5;33300.0
1991-07-18;15.0;15.25;14.75;15.12;14500.0
1991-07-19;15.5;15.5;14.75;14.75;900.0
1991-07-22;15.5;15.5;14.75;15.5;1400.0
1991-07-23;15.25;15.25;14.75;14.75;36900.0
