date;open;high;low;close;volume
1987-11-05;15.0;15.25;15.0;15.13;12500.0
1987-11-06;15.13;15.13;14.75;14.87;15100.0
1987-11-09;14.25;14.25;13.38;13.5;45000.0
1987-11-10;13.25;13.25;12.62;12.62;113800.0
1987-11-11;12.87;13.0;12.13;12.13;39700.0
1987-11-12;12.25;13.0;12.25;12.87;34400.0
1987-11-13;12.87;13.0;12.62;12.75;29900.0
1987-11-16;13.0;13.0;12.0;12.5;484400.0
1987-11-17;12.62;12.62;12.13;12.13;50400.0
1987-11-18;12.25;12.5;12.13;12.5;25200.0
1987-11-19;12.25;12.75;12.25;12.62;14500.0
1987-11-20;12.38;12.38;12.13;12.13;17000.0
1987-11-23;11.87;12.13;11.87;12.13;18200.0
1987-11-24;12.0;12.25;11.87;12.25;12500.0
1987-11-25;12.13;12.38;11.75;12.0;23500.0
1987-11-27;11.87;12.0;11.75;11.75;56000.0
1987-11-30;11.62;11.62;10.0;11.0;37200.0
1987-12-01;11.0;11.13;10.25;10.75;26700.0
1987-12-02;10.5;10.87;10.38;10.75;12100.0
1987-12-03;10.62;10.87;10.0;10.25;17500.0
1987-12-04;10.13;10.38;9.62;9.87;17900.0
1987-12-07;10.13;10.13;9.25;9.62;32700.0
1987-12-08;9.75;10.5;9.75;10.5;46200.0
1987-12-09;10.75;12.0;10.75;11.87;22100.0
1987-12-10;11.62;12.5;11.13;12.38;26900.0
1987-12-11;12.5;12.62;12.25;12.25;41200.0
1987-12-14;12.13;12.13;11.62;12.0;19300.0
1987-12-15;12.0;12.13;11.87;12.13;79800.0
1987-12-16;12.13;12.75;11.87;12.75;61000.0
1987-12-17;13.0;13.75;12.87;13.25;49000.0
1987-12-18;13.25;13.25;12.87;13.0;32100.0
1987-12-21;13.0;13.5;13.0;13.25;13000.0
1987-12-22;13.0;13.38;13.0;13.38;23700.0
1987-12-23;13.62;13.62;13.25;13.62;20900.0
1987-12-24;13.75;13.87;13.62;13.75;3400.0
1987-12-28;13.5;13.5;12.87;13.25;11100.0
1987-12-29;12.75;13.0;12.5;12.75;20000.0
1987-12-30;12.75;13.13;12.62;12.75;18400.0
1987-12-31;12.75;13.13;12.75;13.0;19400.0
1988-01-04;13.25;14.0;13.13;14.0;19000.0
1988-01-05;14.0;14.38;14.0;14.0;41700.0
1988-01-06;14.0;14.0;13.62;14.0;16600.0
1988-01-07;14.13;14.62;14.0;14.62;29500.0
1988-01-08;14.5;14.62;14.0;14.0;14800.0
1988-01-11;13.25;13.62;13.13;13.62;14800.0
1988-01-12;13.75;13.87;13.0;13.38;40600.0
1988-01-13;13.13;13.25;13.0;13.25;4300.0
1988-01-14;13.13;13.25;13.0;13.0;4300.0
1988-01-15;13.5;13.87;13.5;13.75;12600.0
1988-01-18;13.62;13.87;13.62;13.87;3200.0
1988-01-19;13.75;13.75;13.62;13.75;1700.0
1988-01-20;13.62;13.62;13.0;13.25;17100.0
1988-01-21;13.13;13.13;12.5;12.62;28700.0
1988-01-22;12.62;12.75;12.5;12.62;18700.0
1988-01-25;12.62;12.62;12.0;12.13;72200.0
1988-01-26;12.38;12.38;12.0;12.13;10600.0
1988-01-27;12.25;12.25;12.13;12.25;12600.0
1988-01-28;12.25;12.25;12.13;12.25;4700.0
1988-01-29;12.25;12.38;12.13;12.25;9400.0
1988-02-01;12.13;12.25;11.87;12.13;91400.0
