date;open;high;low;close;volume
1970-01-02;24.63;25.5;24.63;25.12;13500.0
1970-01-05;25.38;26.0;25.38;26.0;27700.0
1970-01-06;26.0;26.5;25.75;26.0;22200.0
1970-01-07;26.0;26.37;25.88;25.88;16200.0
1970-01-08;26.0;26.5;26.0;26.5;14100.0
1970-01-09;26.5;26.62;26.0;26.25;18900.0
1970-01-12;26.25;26.25;25.88;26.13;14200.0
1970-01-13;26.13;26.13;25.25;25.25;26200.0
1970-01-14;25.25;25.88;25.25;25.88;11200.0
1970-01-15;25.62;25.62;25.12;25.25;16500.0
1970-01-16;25.25;25.62;25.0;25.25;11100.0
1970-01-19;25.25;25.62;25.0;25.38;10800.0
1970-01-20;25.38;25.5;24.75;25.25;12300.0
1970-01-21;25.5;28.0;25.5;27.25;35100.0
1970-01-22;27.25;27.5;26.25;26.37;38500.0
1970-01-23;26.37;26.5;25.75;25.88;15300.0
1970-01-26;25.75;25.75;24.5;25.0;23400.0
1970-01-27;25.0;25.0;24.38;25.0;13500.0
1970-01-28;24.75;24.75;23.75;23.75;26500.0
1970-01-29;23.62;23.62;22.88;23.37;55000.0
1970-01-30;23.37;23.5;23.0;23.5;40600.0
1970-02-02;23.5;23.75;23.25;23.75;33000.0
1970-02-03;23.75;24.0;23.13;24.0;34800.0
1970-02-04;24.0;24.0;23.0;23.37;36900.0
1970-02-05;23.37;23.37;22.88;23.0;19000.0
1970-02-06;23.0;23.13;22.75;23.0;27400.0
1970-02-09;23.0;23.0;22.75;23.0;29800.0
1970-02-10;23.0;23.0;22.75;23.0;15600.0
1970-02-11;23.0;23.25;22.88;23.25;18700.0
1970-02-12;23.25;23.25;22.88;23.0;16800.0
1970-02-13;23.0;23.25;22.88;23.0;12000.0
1970-02-16;23.0;23.13;22.75;23.13;17100.0
1970-02-17;23.0;23.0;22.5;22.5;20700.0
1970-02-18;22.62;23.13;22.62;22.75;20100.0
1970-02-19;22.75;23.25;22.62;22.62;25600.0
1970-02-20;22.75;23.5;22.75;22.88;45000.0
1970-02-24;22.88;23.13;22.88;23.0;39900.0
1970-02-25;23.0;23.25;22.75;23.0;48100.0
1970-02-26;23.0;23.13;22.75;22.88;45900.0
1970-02-27;22.88;24.0;22.62;23.5;53100.0
1970-03-02;23.75;24.63;23.75;24.0;50400.0
1970-03-03;24.0;24.63;23.75;24.63;29700.0
1970-03-04;24.63;25.12;24.5;24.75;39300.0
1970-03-05;24.75;25.0;24.38;24.63;25800.0
1970-03-06;24.63;24.75;24.0;24.12;19300.0
1970-03-09;24.12;24.25;23.88;24.0;16000.0
1970-03-10;24.0;24.38;23.88;24.25;9400.0
1970-03-11;24.25;24.38;24.12;24.12;13900.0
1970-03-12;24.12;24.12;23.75;23.88;13200.0
1970-03-13;23.88;24.12;23.62;24.12;14100.0
1970-03-16;24.12;24.25;23.5;23.88;12300.0
1970-03-17;23.88;24.0;23.5;23.88;13900.0
1970-03-18;23.88;24.38;23.5;23.75;48000.0
1970-03-19;23.75;23.75;23.25;23.5;13900.0
1970-03-20;23.5;23.62;23.0;23.5;43800.0
1970-03-23;23.5;23.75;23.25;23.37;12000.0
1970-03-24;23.5;23.88;23.5;23.88;11800.0
1970-03-25;23.88;24.38;23.62;24.25;41500.0
1970-03-26;24.25;24.38;24.0;24.25;21700.0
1970-03-30;24.25;24.5;23.88;24.0;20500.0
1970-03-31;24.0;24.12;23.75;23.75;16500.0
1970-04-01;23.88;24.25;23.88;24.0;18000.0
1970-04-02;24.0;24.25;23.88;23.88;26800.0
1970-04-03;23.88;24.12;23.62;24.12;45900.0
1970-04-06;24.12;24.25;23.75;23.75;29500.0
1970-04-07;23.75;24.12;23.62;24.12;18600.0
1970-04-08;24.12;24.12;23.88;23.88;10000.0
1970-04-09;23.88;24.0;23.62;23.75;10200.0
1970-04-10;23.62;23.62;23.25;23.25;29700.0
1970-04-13;23.25;23.5;23.0;23.37;35400.0
1970-04-14;23.37;23.5;22.75;23.25;31900.0
1970-04-15;23.25;23.62;23.0;23.13;9600.0
1970-04-16;23.13;23.37;21.63;21.63;38200.0
1970-04-17;21.12;21.12;20.25;21.0;62100.0
1970-04-20;21.0;21.5;20.62;20.75;27400.0
1970-04-21;20.75;21.25;20.62;20.62;19800.0
1970-04-22;20.62;21.0;20.62;20.75;19800.0
1970-04-23;20.75;20.75;20.25;20.75;23800.0
1970-04-24;20.75;21.0;20.5;20.62;24600.0
1970-04-27;21.0;21.0;20.37;20.75;18000.0
1970-04-28;20.37;20.37;19.75;19.88;62100.0
1970-04-29;20.0;21.0;20.0;21.0;24600.0
1970-04-30;21.0;21.25;20.0;20.5;32500.0
1970-05-01;20.5;20.62;20.0;20.0;28300.0
1970-05-04;20.0;20.37;19.5;19.62;19000.0
1970-05-05;19.62;20.0;19.5;19.5;16800.0
1970-05-06;19.5;20.13;19.12;19.5;39700.0
1970-05-07;19.5;19.62;19.0;19.25;38800.0
1970-05-08;19.25;19.5;18.75;19.0;24900.0
1970-05-11;19.0;19.25;18.0;18.63;212200.0
1970-05-12;18.63;18.87;17.88;18.5;51400.0
1970-05-13;18.5;18.5;18.0;18.25;43300.0
1970-05-14;18.25;18.25;17.75;18.0;36300.0
1970-05-15;18.0;18.38;17.88;18.25;50700.0
1970-05-18;18.25;18.63;18.0;18.25;31000.0
1970-05-19;18.25;18.25;17.5;17.5;27100.0
1970-05-20;17.5;17.75;16.75;17.0;37000.0
1970-05-21;17.0;17.5;16.75;17.5;32700.0
1970-05-22;17.5;17.62;17.13;17.37;21900.0
1970-05-25;17.13;17.13;16.12;16.12;63600.0
1970-05-26;16.12;16.62;16.12;16.25;55200.0
1970-05-27;16.25;18.0;16.25;17.62;41200.0
1970-05-28;18.25;19.25;18.25;19.12;82000.0
1970-05-29;19.12;20.0;19.0;19.75;41500.0
1970-06-01;19.75;20.62;19.5;19.5;26400.0
1970-06-02;19.5;19.75;18.75;19.12;45100.0
1970-06-03;19.12;19.38;18.75;19.38;19900.0
1970-06-04;19.38;19.5;18.75;18.75;16600.0
1970-06-05;18.63;18.63;18.25;18.38;20200.0
1970-06-08;18.38;18.87;18.25;18.38;19900.0
1970-06-09;18.38;18.75;18.0;18.0;17400.0
1970-06-10;18.0;18.38;17.62;17.75;14500.0
1970-06-11;17.75;18.0;17.37;17.5;18300.0
1970-06-12;17.5;17.75;17.37;17.5;13000.0
1970-06-15;17.5;17.88;17.25;17.5;22500.0
1970-06-16;17.5;18.0;17.5;17.75;25800.0
1970-06-17;17.75;18.25;17.75;17.88;17100.0
1970-06-18;17.88;18.0;17.5;17.75;12900.0
1970-06-19;17.75;18.12;17.5;17.88;33600.0
1970-06-22;17.62;17.62;17.13;17.25;25500.0
1970-06-23;17.25;17.5;16.88;17.0;26700.0
1970-06-24;17.0;17.0;16.62;16.62;30300.0
1970-06-25;16.62;17.37;16.62;17.13;48700.0
1970-06-26;17.13;17.5;17.13;17.5;37900.0
1970-06-29;17.5;17.75;16.75;16.75;25300.0
1970-06-30;16.75;17.25;16.75;17.0;8800.0
1970-07-01;17.0;17.88;17.0;17.62;12400.0
1970-07-02;17.62;18.0;17.5;17.5;16000.0
1970-07-06;17.25;17.25;16.88;16.88;13600.0
1970-07-07;16.88;17.25;16.62;17.0;15900.0
1970-07-08;17.0;17.25;16.75;16.88;19500.0
1970-07-09;16.88;17.5;16.88;17.5;28800.0
1970-07-10;17.88;18.25;17.88;18.25;15000.0
1970-07-13;18.38;19.88;18.38;19.62;42400.0
1970-07-14;19.5;19.5;19.12;19.25;9700.0
1970-07-15;19.25;19.38;18.63;19.38;14800.0
1970-07-16;19.38;20.0;19.0;19.12;28500.0
1970-07-17;19.12;19.62;19.0;19.25;31900.0
1970-07-20;19.25;19.38;18.12;18.38;38100.0
1970-07-21;18.0;18.0;17.5;18.0;20700.0
1970-07-22;18.0;19.5;18.0;18.38;22900.0
1970-07-23;18.75;19.38;18.75;19.38;41500.0
1970-07-24;19.38;19.5;18.87;19.12;14200.0
1970-07-27;19.12;19.38;18.75;19.12;8100.0
1970-07-28;19.12;19.38;18.75;18.87;12100.0
1970-07-29;18.87;19.25;18.75;19.0;9700.0
1970-07-30;18.75;18.75;18.25;18.38;17200.0
1970-07-31;18.5;18.87;18.5;18.75;9300.0
1970-08-03;18.75;18.75;18.25;18.25;16200.0
1970-08-04;18.25;18.38;18.12;18.12;13000.0
1970-08-05;18.12;18.38;18.0;18.0;12000.0
1970-08-06;18.0;18.12;17.75;17.75;13000.0
1970-08-07;17.75;18.25;17.75;18.0;46500.0
1970-08-10;18.0;18.25;17.62;17.88;10300.0
1970-08-11;17.88;18.0;17.5;18.0;13900.0
1970-08-12;18.0;18.0;17.75;18.0;8200.0
1970-08-13;18.0;18.0;17.62;17.75;8100.0
1970-08-14;17.75;18.0;17.75;17.88;6000.0
1970-08-17;17.88;18.0;17.62;17.62;10900.0
1970-08-18;17.75;18.0;17.75;17.88;13300.0
1970-08-19;17.88;18.12;17.75;18.0;20200.0
1970-08-20;18.0;18.25;17.75;18.25;21300.0
1970-08-21;18.25;19.38;18.25;19.38;63700.0
1970-08-24;19.62;20.25;19.62;19.75;72300.0
1970-08-25;19.75;20.75;19.5;20.5;50500.0
1970-08-26;20.5;21.12;20.37;21.12;49500.0
1970-08-27;21.12;21.5;20.75;21.12;59100.0
1970-08-28;21.25;21.5;21.25;21.5;24700.0
1970-08-31;21.5;22.0;21.25;22.0;37800.0
1970-09-01;21.63;21.63;20.75;21.0;22200.0
1970-09-02;21.0;21.25;20.75;21.25;14100.0
1970-09-03;21.25;21.38;20.75;21.25;20400.0
1970-09-04;21.25;21.38;20.75;20.75;23700.0
1970-09-08;20.75;21.0;20.5;20.5;13000.0
1970-09-09;20.5;21.0;20.25;20.5;18900.0
1970-09-10;20.5;20.5;20.13;20.25;15100.0
1970-09-11;20.25;21.12;20.13;20.5;30900.0
1970-09-14;20.5;20.75;20.25;20.25;21900.0
1970-09-15;20.13;20.13;19.75;19.75;14700.0
1970-09-16;19.75;20.37;19.62;20.37;15300.0
1970-09-17;20.37;20.88;20.0;20.0;18400.0
1970-09-18;20.0;20.62;20.0;20.25;12900.0
1970-09-21;20.25;20.25;19.88;20.0;25300.0
1970-09-22;20.0;20.0;19.88;19.88;13900.0
1970-09-23;19.88;20.0;19.5;19.5;14500.0
1970-09-24;19.62;20.13;19.62;19.75;35500.0
1970-09-25;19.75;20.13;19.5;19.5;27300.0
1970-09-28;19.5;19.5;19.12;19.12;24600.0
1970-09-29;19.12;19.75;18.75;19.5;35800.0
1970-09-30;19.5;19.75;19.38;19.62;19300.0
1970-10-01;19.38;19.38;19.0;19.38;10300.0
1970-10-02;19.38;19.75;19.12;19.62;18600.0
1970-10-05;19.62;20.25;19.5;20.0;30300.0
1970-10-06;20.0;20.5;20.0;20.37;33300.0
1970-10-07;20.37;20.75;20.0;20.5;40000.0
1970-10-08;20.37;20.37;20.13;20.13;23500.0
1970-10-09;20.13;20.13;19.62;19.62;23700.0
1970-10-12;19.62;19.62;19.25;19.38;15900.0
1970-10-13;19.38;19.5;18.87;19.0;75600.0
1970-10-14;19.0;19.0;18.5;18.5;22000.0
1970-10-15;18.5;19.0;18.5;18.87;23500.0
1970-10-16;18.87;19.0;18.5;18.87;20400.0
1970-10-19;18.87;18.87;18.12;18.63;18300.0
1970-10-20;18.63;18.63;18.25;18.38;17500.0
1970-10-21;18.38;18.75;18.25;18.38;14200.0
1970-10-22;18.38;18.5;18.0;18.0;19200.0
1970-10-23;18.0;18.38;18.0;18.25;17200.0
1970-10-26;18.25;18.63;18.25;18.63;17700.0
1970-10-27;18.38;18.38;18.25;18.25;49300.0
1970-10-28;18.25;18.25;18.0;18.12;20700.0
1970-10-29;18.12;18.25;18.0;18.25;19600.0
1970-10-30;18.25;18.25;18.0;18.25;102600.0
1970-11-02;18.25;18.25;17.88;18.0;16600.0
1970-11-03;18.12;18.5;18.12;18.38;17500.0
1970-11-04;18.38;18.38;17.75;18.0;22900.0
1970-11-05;18.0;18.0;17.62;18.0;22600.0
1970-11-06;17.88;17.88;17.25;17.5;41800.0
1970-11-09;17.5;17.88;17.5;17.88;38800.0
1970-11-10;17.88;18.0;17.75;17.88;26500.0
1970-11-11;17.88;18.25;17.62;18.0;25000.0
1970-11-12;18.0;18.0;17.5;17.5;18600.0
1970-11-13;17.5;17.88;17.5;17.5;13900.0
