date;open;high;low;close;volume
1987-11-05;24.87;25.37;24.87;25.12;69400.0
1987-11-06;25.25;26.37;25.25;26.37;24800.0
1987-11-09;26.12;26.25;26.0;26.0;102000.0
1987-11-10;26.0;26.0;24.5;25.0;62100.0
1987-11-11;25.25;25.37;25.0;25.0;21600.0
1987-11-12;24.87;25.87;24.87;25.87;29400.0
1987-11-13;25.87;25.87;25.75;25.75;7800.0
1987-11-16;25.87;25.87;25.37;25.37;96500.0
1987-11-17;25.12;25.5;25.12;25.37;4600.0
1987-11-18;25.62;26.0;25.37;26.0;50100.0
1987-11-19;25.75;26.37;25.75;25.87;57500.0
1987-11-20;26.0;26.0;25.5;25.5;97100.0
1987-11-23;25.0;25.5;25.0;25.5;18200.0
1987-11-24;25.5;26.25;25.5;26.12;15900.0
1987-11-25;26.25;26.37;26.12;26.37;5300.0
1987-11-27;26.5;26.5;26.25;26.25;38200.0
1987-11-30;26.37;26.37;26.12;26.25;55200.0
1987-12-01;26.25;26.62;26.25;26.37;40900.0
1987-12-02;26.12;26.5;26.12;26.37;14700.0
1987-12-03;26.62;26.62;25.0;25.37;16400.0
1987-12-04;25.25;25.25;23.62;24.25;48700.0
1987-12-07;24.25;24.25;23.87;24.12;53900.0
1987-12-08;23.62;24.12;23.62;23.87;52600.0
1987-12-09;23.87;24.5;23.87;24.0;32000.0
1987-12-10;23.75;23.87;23.62;23.75;15200.0
1987-12-11;23.62;23.75;23.5;23.5;58000.0
1987-12-14;23.5;25.0;23.5;24.62;29200.0
1987-12-15;24.87;26.75;24.75;26.5;50700.0
1987-12-16;26.75;27.62;26.62;27.12;67000.0
1987-12-17;27.12;27.25;26.87;26.87;17300.0
1987-12-18;27.0;27.5;26.87;27.25;13900.0
1987-12-21;27.25;27.75;27.12;27.5;26800.0
1987-12-22;27.25;27.37;27.0;27.37;26800.0
1987-12-23;27.25;28.12;27.12;27.75;143600.0
1987-12-24;27.87;27.87;27.62;27.75;4200.0
1987-12-28;27.62;27.62;27.25;27.25;64600.0
1987-12-29;27.5;27.5;27.25;27.25;112900.0
1987-12-30;27.37;27.75;27.25;27.62;15800.0
1987-12-31;27.5;27.87;27.37;27.62;18400.0
1988-01-04;27.87;27.87;27.25;27.87;29900.0
1988-01-05;28.75;29.0;28.25;28.5;131200.0
1988-01-06;28.75;29.25;28.25;28.75;28300.0
1988-01-07;28.5;28.75;28.25;28.75;38300.0
1988-01-08;28.5;28.75;27.5;27.5;30300.0
1988-01-11;27.12;27.75;26.75;27.5;33100.0
1988-01-12;27.75;28.0;27.0;27.25;27300.0
1988-01-13;27.37;27.5;27.25;27.5;5700.0
1988-01-14;28.0;28.0;27.5;27.87;51100.0
1988-01-15;28.25;29.0;28.25;28.87;37200.0
1988-01-18;28.87;29.0;28.62;29.0;13800.0
