date;open;high;low;close;volume
1981-12-31;35.38;35.75;35.0;35.0;67800.0
1982-01-04;35.88;36.38;35.25;36.25;106500.0
1982-01-05;36.0;36.62;35.38;35.5;240600.0
1982-01-06;35.38;35.75;34.87;35.25;238900.0
1982-01-07;35.12;35.25;35.0;35.25;162600.0
1982-01-08;35.38;35.62;35.12;35.5;210900.0
1982-01-11;35.38;35.75;34.87;34.87;218100.0
1982-01-12;34.75;34.87;34.5;34.63;198100.0
1982-01-13;34.63;34.75;34.5;34.63;465000.0
1982-01-14;34.13;34.37;33.75;34.13;288100.0
1982-01-15;34.0;34.13;33.87;33.87;408100.0
1982-01-18;33.63;33.87;33.25;33.37;623400.0
1982-01-19;33.25;33.75;32.75;32.87;420600.0
1982-01-20;32.5;32.87;32.12;32.75;345700.0
1982-01-21;32.62;32.75;32.38;32.5;339900.0
1982-01-22;32.38;32.5;32.25;32.25;257700.0
1982-01-25;32.5;32.75;32.12;32.25;269200.0
1982-01-26;31.88;32.38;31.38;31.5;187200.0
1982-01-27;31.62;31.75;31.38;31.62;236800.0
1982-01-28;33.13;34.25;31.88;34.25;448600.0
1982-01-29;35.5;35.88;35.0;35.62;432100.0
1982-02-01;23.13;23.5;22.62;22.75;315000.0
1982-02-02;22.75;22.88;22.5;22.88;206500.0
1982-02-03;23.13;23.37;22.88;23.37;153400.0
1982-02-04;22.62;23.13;22.0;22.5;201600.0
1982-02-05;23.25;23.63;22.75;23.5;310200.0
1982-02-08;23.88;24.75;23.0;23.63;374400.0
1982-02-09;23.63;24.25;23.0;23.13;225600.0
1982-02-10;23.63;24.0;23.13;23.75;233400.0
1982-02-11;23.75;24.12;23.25;23.63;239400.0
1982-02-12;24.12;24.5;23.63;24.25;180000.0
1982-02-16;23.88;24.12;23.63;23.88;340600.0
1982-02-17;24.38;24.63;24.0;24.38;212700.0
1982-02-18;24.87;25.25;24.5;25.0;199300.0
1982-02-19;25.38;26.0;24.75;25.5;434800.0
1982-02-22;25.38;26.13;24.5;24.5;430200.0
1982-02-23;24.38;24.87;23.88;24.5;280000.0
1982-02-24;24.5;25.0;24.0;25.0;235000.0
1982-02-25;25.25;25.75;24.75;25.0;208900.0
1982-02-26;24.75;25.38;24.0;24.5;200200.0
1982-03-01;25.13;25.5;24.75;24.87;157800.0
1982-03-02;24.87;24.87;24.75;24.75;69400.0
1982-03-03;24.5;24.75;24.12;24.25;171600.0
1982-03-04;23.63;24.0;23.13;23.75;269400.0
1982-03-05;23.13;23.63;22.5;23.13;148500.0
1982-03-08;22.5;23.37;21.5;21.63;444100.0
1982-03-09;22.38;23.5;21.25;23.0;366700.0
1982-03-10;22.88;23.13;22.5;22.5;103000.0
1982-03-11;22.13;22.5;21.63;21.87;471600.0
1982-03-12;21.5;22.25;20.75;20.88;321000.0
1982-03-15;21.0;21.25;20.63;21.12;185100.0
1982-03-16;21.5;21.87;21.12;21.38;317700.0
1982-03-17;20.88;21.5;20.13;20.5;852600.0
1982-03-18;20.88;21.12;20.5;21.12;355600.0
1982-03-19;22.0;22.25;21.63;21.75;191100.0
1982-03-22;22.38;22.75;21.87;22.75;245400.0
1982-03-23;23.13;23.37;22.75;23.25;362100.0
1982-03-24;24.25;24.75;23.75;24.0;270000.0
1982-03-25;24.0;24.12;23.75;24.0;157200.0
1982-03-26;23.63;24.0;23.25;23.5;435000.0
1982-03-29;23.13;23.25;23.0;23.25;49000.0
1982-03-30;23.5;23.75;23.13;23.5;134100.0
1982-03-31;23.75;23.88;23.5;23.63;149800.0
1982-04-01;23.5;23.88;23.0;23.5;689800.0
1982-04-02;24.25;25.0;23.5;25.0;615700.0
1982-04-05;25.13;25.38;24.75;24.75;353800.0
1982-04-06;24.87;25.13;24.5;24.87;213400.0
1982-04-07;25.13;25.38;24.87;25.13;215400.0
1982-04-08;25.38;25.5;25.13;25.5;288000.0
1982-04-12;25.5;25.88;25.13;25.13;46900.0
1982-04-13;25.75;26.0;25.38;25.5;186000.0
1982-04-14;25.25;25.38;25.0;25.0;187300.0
1982-04-15;25.38;25.75;25.0;25.5;184900.0
1982-04-16;26.37;26.88;25.75;26.5;375400.0
1982-04-19;26.25;26.75;25.75;25.75;133800.0
1982-04-20;25.62;26.0;25.25;25.38;219700.0
1982-04-21;25.25;25.38;25.0;25.0;164400.0
1982-04-22;25.25;25.38;25.13;25.25;91800.0
1982-04-23;25.62;25.88;25.38;25.62;123300.0
1982-04-26;26.0;26.63;25.38;26.63;235500.0
1982-04-27;26.75;26.88;26.5;26.5;322800.0
1982-04-28;26.5;26.63;26.25;26.37;112600.0
1982-04-29;25.88;26.0;25.62;25.88;110400.0
1982-04-30;25.88;26.13;25.62;25.88;94200.0
1982-05-03;26.0;26.25;25.62;26.25;171000.0
1982-05-04;26.25;26.37;26.0;26.13;103900.0
1982-05-05;26.0;26.13;25.75;25.88;318900.0
1982-05-06;26.13;26.37;25.88;25.88;186000.0
1982-05-07;25.88;26.0;25.62;25.75;47800.0
1982-05-10;25.38;25.62;25.13;25.38;69900.0
1982-05-11;25.38;25.5;25.25;25.5;68700.0
1982-05-12;25.38;25.62;25.13;25.25;141700.0
1982-05-13;25.25;25.5;25.0;25.38;82900.0
1982-05-14;25.25;25.38;25.0;25.0;114000.0
1982-05-17;25.25;25.38;25.13;25.38;55300.0
1982-05-18;25.0;25.38;24.5;24.87;105900.0
1982-05-19;24.87;25.0;24.75;24.75;40200.0
1982-05-20;24.63;24.87;24.25;24.5;85000.0
1982-05-21;24.63;24.75;24.38;24.75;256900.0
1982-05-24;24.5;24.75;24.12;24.25;194500.0
1982-05-25;24.38;24.5;24.25;24.5;90300.0
1982-05-26;24.25;24.38;24.0;24.12;111900.0
1982-05-27;23.75;24.12;23.37;23.75;328900.0
1982-05-28;23.5;23.75;23.25;23.5;173100.0
1982-06-01;23.0;23.37;22.62;22.75;234600.0
1982-06-02;22.38;22.75;22.0;22.62;661800.0
1982-06-03;22.75;22.88;22.5;22.75;122400.0
1982-06-04;22.5;22.88;22.13;22.25;84300.0
1982-06-07;22.0;22.38;21.63;22.13;273900.0
1982-06-08;22.0;22.13;21.87;22.0;132400.0
1982-06-09;22.0;22.25;21.75;22.0;208900.0
1982-06-10;22.13;22.25;21.87;22.25;211200.0
1982-06-11;23.63;24.12;23.0;24.0;511300.0
1982-06-14;23.88;24.0;23.63;23.75;229200.0
1982-06-15;24.0;24.25;23.63;24.25;102900.0
1982-06-16;24.0;24.25;23.63;23.63;245800.0
1982-06-17;23.5;23.63;23.37;23.63;225600.0
1982-06-18;23.5;23.63;23.37;23.5;108000.0
1982-06-21;23.88;24.25;23.5;23.88;124600.0
1982-06-22;24.25;24.5;23.88;24.25;58900.0
1982-06-23;23.88;24.25;23.5;24.25;315600.0
1982-06-24;24.63;24.87;24.25;24.38;269400.0
1982-06-25;24.38;24.75;24.0;24.38;89200.0
1982-06-28;24.5;24.87;24.12;24.63;126900.0
1982-06-29;24.38;24.5;24.25;24.5;90900.0
1982-06-30;24.75;25.13;24.38;25.0;722400.0
1982-07-01;24.63;24.75;24.5;24.63;267300.0
1982-07-02;24.5;24.63;24.25;24.38;206700.0
1982-07-06;24.25;24.63;23.88;24.0;171300.0
1982-07-07;23.75;24.0;23.5;23.75;232800.0
1982-07-08;23.5;23.75;23.25;23.63;76500.0
1982-07-09;23.75;23.88;23.63;23.88;486600.0
1982-07-12;25.13;26.37;23.88;25.88;270900.0
1982-07-13;25.88;26.37;25.13;26.13;332100.0
1982-07-14;26.13;26.37;23.88;25.88;270900.0
1982-07-15;25.88;26.0;25.62;25.75;236100.0
1982-07-16;25.88;26.25;25.38;26.0;317800.0
1982-07-19;26.75;27.0;26.5;27.0;291100.0
1982-07-20;27.12;27.5;26.75;27.5;366000.0
1982-07-21;27.75;28.0;27.38;27.5;415300.0
1982-07-22;27.63;28.0;27.12;27.75;267900.0
1982-07-23;27.5;27.75;27.25;27.63;135600.0
1982-07-26;27.5;27.75;27.25;27.25;255700.0
1982-07-27;27.0;27.38;26.5;26.75;213300.0
1982-07-28;26.25;26.75;25.62;25.75;307000.0
1982-07-29;26.5;27.0;26.0;27.0;372600.0
1982-07-30;26.88;27.25;26.5;26.5;86700.0
1982-08-02;26.88;27.0;26.63;27.0;330000.0
1982-08-03;26.75;27.5;26.0;26.25;462300.0
1982-08-04;26.0;26.25;25.62;25.75;168000.0
1982-08-05;25.38;25.88;24.75;25.25;230700.0
1982-08-06;25.38;25.62;25.0;25.0;72600.0
1982-08-09;24.38;24.63;24.0;24.5;196200.0
1982-08-10;24.63;25.13;24.12;24.75;290400.0
1982-08-11;24.75;25.0;24.5;24.75;117600.0
1982-08-12;25.25;25.62;24.75;25.5;176500.0
1982-08-13;25.75;26.13;25.38;26.0;337800.0
1982-08-16;26.5;26.88;26.13;26.13;195400.0
1982-08-17;26.75;27.25;26.13;27.25;436500.0
1982-08-18;27.87;28.25;27.5;27.5;599400.0
1982-08-19;27.5;27.75;27.12;27.63;410700.0
1982-08-20;28.25;28.5;27.87;28.5;422700.0
1982-08-23;28.25;28.5;27.87;28.5;1043200.0
1982-08-24;29.25;29.75;28.75;29.0;745200.0
1982-08-25;29.75;30.25;29.13;30.0;629500.0
1982-08-26;31.25;32.25;30.12;30.63;593500.0
1982-08-27;30.5;30.75;30.12;30.38;171400.0
1982-08-30;30.12;30.63;29.5;30.63;115200.0
1982-08-31;31.62;32.0;31.13;31.88;438600.0
1982-09-01;31.5;31.88;31.0;31.25;231400.0
1982-09-02;31.13;31.5;30.63;31.5;399100.0
1982-09-03;32.5;33.12;31.75;32.25;1023900.0
1982-09-07;31.13;31.88;30.38;31.0;209400.0
1982-09-08;31.0;31.25;30.63;30.75;192900.0
1982-09-09;30.87;31.0;30.63;30.75;122700.0
1982-09-10;30.38;30.63;30.0;30.25;93600.0
1982-09-13;29.88;30.38;29.25;30.0;235800.0
1982-09-14;30.75;31.38;30.12;30.38;297000.0
1982-09-15;32.25;32.75;31.62;32.37;704800.0
1982-09-16;32.63;32.88;32.25;32.25;200200.0
1982-09-17;31.75;32.37;31.0;31.0;261000.0
1982-09-20;31.13;31.5;30.75;31.0;73300.0
1982-09-21;31.75;33.0;30.5;32.63;443400.0
1982-09-22;33.0;33.63;32.25;32.25;1336200.0
1982-09-23;32.37;33.0;31.62;33.0;500700.0
1982-09-24;32.88;33.25;32.5;32.88;283800.0
1982-09-27;32.5;33.0;31.88;33.0;524100.0
1982-09-28;33.0;33.38;32.5;32.63;379800.0
1982-09-29;32.25;32.75;31.62;32.13;177300.0
1982-09-30;31.88;32.13;31.5;32.0;272200.0
1982-10-01;32.63;33.38;31.75;33.0;320400.0
1982-10-04;32.88;33.12;32.5;32.88;216600.0
1982-10-05;33.5;33.87;33.12;33.63;227800.0
1982-10-06;34.5;35.5;33.38;35.5;565300.0
1982-10-07;36.63;37.13;36.0;36.5;1122400.0
1982-10-08;37.75;38.5;37.0;38.13;953500.0
1982-10-11;39.12;39.87;38.25;38.63;644700.0
1982-10-12;38.63;38.63;37.88;38.37;396600.0
1982-10-13;38.63;38.88;38.25;38.37;439300.0
1982-10-14;38.13;38.63;37.5;38.5;680700.0
1982-10-15;38.13;38.63;37.62;38.13;326100.0
1982-10-18;39.12;39.87;38.25;39.63;410500.0
1982-10-19;39.63;40.25;39.0;40.13;311800.0
1982-10-20;39.38;40.13;38.63;39.25;504000.0
1982-10-21;39.5;39.87;39.12;39.87;465700.0
1982-10-22;40.13;40.5;39.75;40.0;407100.0
