date;open;high;low;close;volume
1995-04-10;12.88;13.12;12.88;13.0;729040.0
1995-04-11;13.12;13.75;13.0;13.75;788880.0
1995-04-12;13.75;13.88;13.37;13.37;236880.0
1995-04-13;13.75;13.75;13.25;13.44;132160.0
1995-04-17;13.25;13.62;13.0;13.0;171680.0
1995-04-18;13.06;13.5;13.0;13.5;153200.0
1995-04-19;13.12;13.5;13.0;13.06;106240.0
1995-04-20;13.25;13.25;13.0;13.25;57280.0
1995-04-21;13.25;13.37;13.0;13.12;54640.0
1995-04-24;13.37;13.37;13.12;13.25;31600.0
1995-04-25;13.37;13.62;13.25;13.62;107680.0
1995-04-26;13.37;13.62;13.37;13.37;208640.0
1995-04-27;13.37;13.62;13.25;13.37;81760.0
1995-04-28;13.25;13.5;13.12;13.12;36640.0
1995-05-01;13.12;13.12;13.12;13.12;14960.0
1995-05-02;13.25;13.5;13.25;13.5;50800.0
1995-05-03;13.5;13.75;13.37;13.75;294480.0
1995-05-04;13.62;13.88;13.62;13.75;147200.0
1995-05-05;13.62;13.88;13.62;13.62;127600.0
1995-05-08;13.62;13.75;13.62;13.75;36480.0
1995-05-09;13.62;13.75;13.62;13.62;44800.0
1995-05-10;13.75;13.75;13.62;13.62;27440.0
1995-05-11;13.62;13.75;13.62;13.75;153680.0
1995-05-12;13.62;13.75;13.62;13.75;42400.0
1995-05-15;13.62;13.88;13.62;13.75;87040.0
1995-05-16;13.75;13.88;13.75;13.75;110560.0
1995-05-17;13.88;13.88;13.62;13.62;15040.0
1995-05-18;13.88;13.88;13.5;13.75;47360.0
1995-05-19;13.5;13.62;13.5;13.62;57040.0
1995-05-22;13.62;14.0;13.5;13.75;201280.0
1995-05-23;13.88;14.38;13.88;14.0;119840.0
1995-05-24;14.38;14.38;14.0;14.13;23280.0
1995-05-25;14.0;14.06;14.0;14.06;51360.0
1995-05-26;14.0;14.13;14.0;14.0;7680.0
1995-05-30;14.0;14.25;14.0;14.0;20960.0
1995-05-31;14.13;14.25;14.13;14.25;6880.0
1995-06-01;14.13;14.25;14.0;14.0;61040.0
1995-06-02;14.0;14.25;14.0;14.0;49360.0
1995-06-05;14.0;14.38;14.0;14.25;13760.0
1995-06-06;14.25;14.38;14.0;14.0;322000.0
1995-06-07;14.25;14.25;14.0;14.13;21280.0
1995-06-08;14.0;14.25;14.0;14.13;86000.0
1995-06-09;14.13;14.25;14.13;14.13;82000.0
1995-06-12;14.25;14.25;14.0;14.25;11840.0
1995-06-13;14.0;14.25;14.0;14.25;12080.0
1995-06-14;14.13;14.25;14.0;14.06;44240.0
1995-06-15;14.25;14.25;14.0;14.25;26160.0
1995-06-16;14.0;14.13;14.0;14.06;8560.0
1995-06-19;14.0;14.13;14.0;14.13;16160.0
1995-06-20;14.0;14.13;13.88;14.0;196480.0
1995-06-21;14.13;14.13;13.88;14.06;131360.0
1995-06-22;14.0;14.25;13.88;14.25;87040.0
1995-06-23;14.13;14.25;14.13;14.19;22160.0
1995-06-26;14.25;14.38;14.0;14.38;381600.0
1995-06-27;14.38;14.62;14.0;14.62;107840.0
1995-06-28;14.38;15.0;14.38;14.87;63040.0
1995-06-29;14.75;15.0;14.75;15.0;20240.0
1995-06-30;14.87;15.0;14.75;15.0;130160.0
1995-07-03;15.0;15.0;14.75;15.0;16080.0
1995-07-05;15.0;15.0;14.75;14.87;79280.0
1995-07-06;14.75;15.0;14.75;15.0;96000.0
1995-07-07;15.0;15.0;14.75;14.87;39760.0
1995-07-10;15.0;15.25;14.75;15.25;68080.0
1995-07-11;15.25;15.25;15.0;15.0;63040.0
1995-07-12;15.25;15.38;15.0;15.38;8000.0
1995-07-13;15.38;15.5;15.0;15.38;77040.0
1995-07-14;15.25;15.62;15.25;15.62;96640.0
1995-07-17;15.5;15.62;15.25;15.62;142240.0
1995-07-18;15.62;15.62;15.13;15.25;79600.0
1995-07-19;15.25;15.25;14.87;15.13;148400.0
1995-07-20;15.13;15.13;14.87;15.0;36480.0
1995-07-21;15.13;15.25;14.87;14.87;15360.0
1995-07-24;15.25;15.25;14.87;15.25;34800.0
1995-07-25;14.87;15.5;14.87;15.31;54960.0
1995-07-26;15.5;15.5;15.13;15.5;8800.0
1995-07-27;15.5;15.5;15.0;15.31;58800.0
1995-07-28;15.0;15.38;15.0;15.38;9360.0
1995-07-31;15.38;15.38;15.0;15.38;71440.0
1995-08-01;15.38;15.38;15.0;15.0;32880.0
1995-08-02;15.25;15.25;14.87;15.13;14480.0
1995-08-03;15.13;15.13;14.75;14.75;11360.0
1995-08-04;15.0;15.0;14.62;15.0;15760.0
1995-08-07;14.75;15.0;14.75;14.75;10080.0
1995-08-08;14.87;14.94;14.62;14.87;6560.0
1995-08-09;14.62;15.0;14.62;15.0;297840.0
1995-08-10;15.0;15.0;14.75;14.94;49040.0
1995-08-11;15.0;15.0;14.75;15.0;19840.0
1995-08-14;14.75;15.0;14.75;14.87;56080.0
1995-08-15;14.94;15.0;14.94;15.0;13840.0
1995-08-16;15.0;15.13;14.75;15.13;39680.0
