date;open;high;low;close;volume
1990-03-27;6.0;7.0;6.0;7.0;1100.0
1990-03-28;7.0;7.0;7.0;7.0;0.0
1990-03-29;7.0;7.0;7.0;7.0;0.0
1990-03-30;7.0;7.0;7.0;7.0;0.0
1990-04-02;6.0;7.0;6.0;7.0;1000.0
1990-04-03;6.0;6.0;6.0;6.0;800.0
1990-04-04;6.0;6.25;6.0;6.25;2800.0
1990-04-05;5.875;6.375;5.75;5.875;9900.0
1990-04-06;5.625;6.375;5.625;5.75;10100.0
1990-04-09;5.75;5.75;5.75;5.75;0.0
1990-04-10;6.0;6.0;6.0;6.0;500.0
1990-04-11;5.75;5.75;5.5;5.5;16700.0
1990-04-12;5.5;5.5;5.5;5.5;500.0
1990-04-16;6.0;6.0;6.0;6.0;100.0
1990-04-17;6.0;6.0;6.0;6.0;0.0
1990-04-18;6.0;6.0;6.0;6.0;0.0
1990-04-19;6.0;6.0;5.25;5.25;1500.0
1990-04-20;5.375;5.5;5.25;5.5;7700.0
1990-04-23;5.0;5.5;4.75;5.25;22700.0
1990-04-24;5.5;5.5;5.125;5.5;22600.0
1990-04-25;5.125;5.5;5.0;5.0;17000.0
1990-04-26;5.5;5.5;5.375;5.5;3100.0
1990-04-27;5.5;5.5;5.5;5.5;2100.0
1990-04-30;5.25;5.25;5.0;5.0;5000.0
1990-05-01;5.0;5.0;5.0;5.0;0.0
1990-05-02;4.75;5.25;4.75;5.25;2100.0
1990-05-03;5.25;5.25;5.25;5.25;2000.0
1990-05-04;5.25;5.25;5.25;5.25;0.0
1990-05-07;5.5;5.5;5.5;5.5;200.0
1990-05-08;5.5;5.5;5.5;5.5;200.0
1990-05-09;4.75;4.75;4.75;4.75;200.0
1990-05-10;4.75;4.75;4.75;4.75;0.0
1990-05-11;5.5;5.5;5.5;5.5;200.0
1990-05-14;5.5;5.5;5.5;5.5;800.0
1990-05-15;5.5;5.5;5.5;5.5;0.0
1990-05-16;5.5;5.5;5.5;5.5;200.0
1990-05-17;5.5;5.5;5.5;5.5;0.0
1990-05-18;5.0;5.0;5.0;5.0;1000.0
1990-05-21;5.0;5.0;5.0;5.0;0.0
1990-05-22;5.0;5.0;5.0;5.0;0.0
1990-05-23;5.0;5.0;5.0;5.0;0.0
1990-05-24;5.125;5.125;5.125;5.125;1000.0
1990-05-25;5.12;5.12;5.12;5.12;0.0
1990-05-29;5.5;5.5;5.0;5.0;2100.0
1990-05-30;4.5;4.5;4.5;4.5;8700.0
1990-05-31;5.0;5.0;4.875;4.875;3100.0
1990-06-01;4.88;4.88;4.88;4.88;0.0
1990-06-04;4.88;4.88;4.88;4.88;0.0
1990-06-05;4.88;4.88;4.88;4.88;0.0
1990-06-06;4.88;4.88;4.88;4.88;0.0
1990-06-07;4.88;4.88;4.88;4.88;0.0
1990-06-08;5.125;5.375;5.125;5.375;8000.0
1990-06-11;5.38;5.38;5.38;5.38;0.0
1990-06-12;5.38;5.38;5.38;5.38;0.0
1990-06-13;5.38;5.38;5.38;5.38;0.0
1990-06-14;5.38;5.38;5.38;5.38;0.0
1990-06-15;5.0;5.25;4.75;5.0;1500.0
1990-06-18;5.0;5.0;5.0;5.0;0.0
1990-06-19;5.0;5.0;5.0;5.0;0.0
1990-06-20;4.375;5.0;4.375;5.0;3000.0
1990-06-21;4.375;4.375;4.375;4.375;200.0
1990-06-22;4.375;5.0;4.375;4.5;3000.0
1990-06-25;4.75;4.75;4.0;4.5;11100.0
1990-06-26;4.5;4.5;4.0;4.5;3200.0
1990-06-27;4.5;5.0;4.0;4.25;10600.0
1990-06-28;4.75;4.75;4.0;4.0;2200.0
1990-06-29;4.0;4.0;4.0;4.0;0.0
1990-07-02;4.0;4.0;4.0;4.0;0.0
1990-07-03;4.0;4.0;4.0;4.0;0.0
1990-07-05;4.25;4.5;4.0;4.25;34300.0
1990-07-06;4.0;4.25;4.0;4.0;1900.0
1990-07-09;4.0;4.25;4.0;4.25;2400.0
1990-07-10;5.0;5.0;5.0;5.0;100.0
1990-07-11;4.0;4.5;4.0;4.5;20500.0
1990-07-12;4.5;4.5;4.5;4.5;0.0
1990-07-13;4.0;4.5;4.0;4.25;18900.0
1990-07-16;4.25;4.25;4.25;4.25;0.0
1990-07-17;4.0;4.0;4.0;4.0;200.0
1990-07-18;4.125;4.5;4.0;4.5;13000.0
1990-07-19;4.5;4.5;4.5;4.5;0.0
1990-07-20;4.5;4.5;4.5;4.5;0.0
1990-07-23;4.5;4.5;4.5;4.5;0.0
1990-07-24;3.75;4.25;3.75;4.25;2900.0
1990-07-25;4.25;4.25;4.25;4.25;0.0
1990-07-26;4.0;4.5;4.0;4.5;4000.0
1990-07-27;4.5;4.5;4.5;4.5;0.0
1990-07-30;3.75;3.75;3.75;3.75;200.0
1990-07-31;4.0;5.0;4.0;5.0;1200.0
1990-08-01;3.75;3.75;3.75;3.75;400.0
1990-08-02;3.75;3.75;3.75;3.75;500.0
1990-08-03;3.75;3.75;3.75;3.75;1800.0
1990-08-06;4.0;4.5;4.0;4.0;3100.0
1990-08-07;4.0;4.0;4.0;4.0;0.0
1990-08-08;3.75;4.0;3.75;4.0;3500.0
1990-08-09;4.0;4.0;4.0;4.0;0.0
1990-08-10;3.75;3.875;3.75;3.875;2100.0
1990-08-13;3.625;3.813;3.625;3.813;45000.0
1990-08-14;3.81;3.81;3.81;3.81;0.0
1990-08-15;3.625;3.75;3.625;3.75;20000.0
1990-08-16;3.75;3.75;3.75;3.75;0.0
1990-08-17;3.75;3.75;3.75;3.75;0.0
1990-08-20;3.75;3.75;3.5;3.5;2400.0
1990-08-21;4.0;4.0;3.5;3.5;10500.0
1990-08-22;3.5;4.0;3.5;3.5;1100.0
1990-08-23;4.0;4.0;3.25;3.25;6700.0
1990-08-24;3.25;3.25;3.25;3.25;2500.0
