symbol;name;start;end;period;id
A;Agilent Technologies Inc. (A) Prices and Trading Volume;1999-11-18;2018-03-27;daily;9775550
AA;Alcoa Inc. (AA) Prices and Trading Volume;2016-11-01;2018-03-27;daily;9775486
AAL;American Airlines Group Inc. (AAL) Prices and Trading Volume;2005-09-27;2018-03-27;daily;10983096
AAMC;Altisource Asset Management (AAMC) Prices and Trading Volume;2012-12-13;2018-03-27;daily;10982114
AAN;Aaron's Inc. (AAN) Prices and Trading Volume;1984-09-07;2018-03-27;daily;10973311
AAOI;Applied Optoelectronics Inc (AAOI) Prices and Trading Volume;2013-09-26;2018-03-27;daily;10987754
AAON;AAON Inc. (AAON) Prices and Trading Volume;1992-12-16;2018-03-27;daily;10973161
AAP;Advance Auto Parts Inc (AAP) Prices and Trading Volume;2001-11-29;2018-03-27;daily;10975981
AAPL;Apple Inc (AAPL) Prices and Trading Volume;1980-12-12;2018-03-27;daily;9775409
AAT;American Assets Trust Inc. (AAT) Prices and Trading Volume;2011-01-13;2018-03-27;daily;11251317
AAWW;Atlas Air Worldwide Holdings NEW (AAWW) Prices and Trading Volume;2005-11-09;2018-03-27;daily;10991536
ABAX;Abaxis Inc. (ABAX) Prices and Trading Volume;1992-01-23;2018-03-27;daily;10973464
ABBV;AbbVie Inc. (ABBV) Prices and Trading Volume;2013-01-02;2018-03-27;daily;9775487
ABC;AmerisourceBergen Corp. (ABC) Prices and Trading Volume;1995-04-04;2018-03-27;daily;9775488
ABCB;Ameris Bancorp (ABCB) Prices and Trading Volume;1994-05-19;2018-03-27;daily;10984966
ABCO;Advisory Board Company (ABCO) Prices and Trading Volume;2001-11-13;2017-11-17;daily;10976878
ABG;Asbury Automotive Group Inc. (ABG) Prices and Trading Volume;2002-03-21;2018-03-27;daily;10989936
ABM;ABM Industries Inc. (ABM) Prices and Trading Volume;1984-07-19;2018-03-27;daily;10973669
ABMD;ABIOMED Inc. (ABMD) Prices and Trading Volume;1987-07-30;2018-03-27;daily;10973599
ABT;Abbott Laboratories (ABT) Prices and Trading Volume;1983-04-06;2018-03-27;daily;9775489
ACAD;ACADIA Pharmaceuticals Inc. (ACAD) Prices and Trading Volume;2004-05-27;2018-03-27;daily;10973860
ACAS;American Capital Ltd. (ACAS) Prices and Trading Volume;1997-09-02;2017-01-03;daily;10983314
ACAT;Arctic Cat Inc (ACAT) Prices and Trading Volume;1990-06-27;2017-03-06;daily;10988388
ACC;American Campus Communities Inc (ACC) Prices and Trading Volume;2004-08-16;2018-03-27;daily;11251318
ACCL;Accelrys, Inc. (ACCL) Prices and Trading Volume;1995-12-06;2014-04-29;daily;10973975
ACCO;ACCO Brands (ACCO) Prices and Trading Volume;2005-08-17;2018-03-27;daily;10974088
ACET;Aceto Corp (ACET) Prices and Trading Volume;1990-03-26;2018-03-27;daily;10974317
ACFN;Acorn Energy Inc (ACFN) Prices and Trading Volume;1992-02-11;2015-07-23;daily;10974702
ACGL;Arch Capital Group Ltd. (ACGL) Prices and Trading Volume;1995-09-14;2018-03-27;daily;10988290
ACHC;Acadia Healthcare Company Inc. (ACHC) Prices and Trading Volume;1994-03-04;2018-03-27;daily;10973832
ACHN;Achillion Pharmaceuticals Inc. (ACHN) Prices and Trading Volume;2006-11-09;2018-03-27;daily;10974369
ACI;Arch Coal Inc. (ACI) Prices and Trading Volume;1988-08-12;2016-01-11;daily;10988295
ACIW;ACI Worldwide Inc (ACIW) Prices and Trading Volume;1995-02-27;2018-03-27;daily;10974433
ACLS;Axcelis Technologies Inc. (ACLS) Prices and Trading Volume;2000-07-11;2018-03-27;daily;10993865
ACM;AECOM (ACM) Prices and Trading Volume;2007-05-10;2018-03-27;daily;10976950
ACN;Accenture plc (ACN) Prices and Trading Volume;2001-07-19;2018-03-27;daily;9775491
ACO;Amcol International Corporation (ACO) Prices and Trading Volume;1987-08-13;2014-05-08;daily;10982708
ACOR;Acorda Therapeutics Inc. (ACOR) Prices and Trading Volume;2006-02-10;2018-03-27;daily;10974692
ACRE;Ares Commercial Real Estate Corp (ACRE) Prices and Trading Volume;2012-04-27;2018-03-27;daily;11251332
ACRX;AcelRx Pharmaceuticals Inc. (ACRX) Prices and Trading Volume;2011-02-11;2018-03-27;daily;10974271
ACTG;Acacia Research Corp. (ACTG) Prices and Trading Volume;2002-12-16;2018-03-27;daily;10973803
ACW;Accuride Corp. (ACW) Prices and Trading Volume;2010-03-03;2016-11-17;daily;10974251
ACXM;Acxiom Corporation (ACXM) Prices and Trading Volume;1984-09-07;2018-03-27;daily;10975183
ADBE;Adobe Systems Incorporated (ADBE) Prices and Trading Volume;1986-08-14;2018-03-27;daily;9775493
ADC;Agree Realty Corp. (ADC) Prices and Trading Volume;1994-04-15;2018-03-27;daily;11251314
ADES;ADA-ES Inc (ADES) Prices and Trading Volume;2016-05-26;2018-03-27;daily;10976176
ADI;Analog Devices Inc. (ADI) Prices and Trading Volume;1984-07-19;2018-03-27;daily;9775494
ADM;Archer Daniels Midland Co. (ADM) Prices and Trading Volume;1983-04-05;2018-03-27;daily;9775495
ADMS;Adamas Pharmaceuticals Inc (ADMS) Prices and Trading Volume;2014-04-10;2018-03-27;daily;13693027
ADNC;Audience Inc. (ADNC) Prices and Trading Volume;2012-05-11;2015-06-30;daily;10992134
ADP;Automatic Data Processing Inc. (ADP) Prices and Trading Volume;1983-04-06;2018-03-27;daily;9775496
ADSK;Autodesk Inc. (ADSK) Prices and Trading Volume;1985-07-01;2018-03-27;daily;9775498
ADT;ADT Corp (ADT) Prices and Trading Volume;2012-10-01;2018-03-07;daily;9775499
ADTN;Adtran Inc. (ADTN) Prices and Trading Volume;1994-08-10;2018-03-27;daily;10975956
ADUS;Addus HomeCare Corporation (ADUS) Prices and Trading Volume;2009-10-28;2018-03-27;daily;10975435
ADVS;Advent Software Inc. (ADVS) Prices and Trading Volume;1995-11-16;2015-07-07;daily;10976816
AE;Adams Resources & Energy Inc. (AE) Prices and Trading Volume;1984-09-07;2018-03-27;daily;10975274
AEC;Associated Estates Realty Corporation (AEC) Prices and Trading Volume;1993-11-11;2015-08-06;daily;11251337
AEE;Ameren Corp. (AEE) Prices and Trading Volume;1998-01-02;2018-03-27;daily;9775500
AEGN;Aegion Corp (AEGN) Prices and Trading Volume;1989-04-24;2018-03-27;daily;10977061
AEGR;Aegerion Pharmaceuticals Inc. (AEGR) Prices and Trading Volume;2010-10-22;2016-11-29;daily;10977008
AEIS;Advanced Energy Industries Inc. (AEIS) Prices and Trading Volume;1995-11-17;2018-03-27;daily;10976219
AEL;American Equity Investment Life Holding Co (AEL) Prices and Trading Volume;2003-12-04;2018-03-27;daily;10983554
AEO;American Eagle Outfitters Inc. (AEO) Prices and Trading Volume;1994-04-14;2018-03-27;daily;10983490
AEP;American Electric Power Company (AEP) Prices and Trading Volume;1970-01-02;2018-03-27;daily;9775501
AEPI;AEP Industries Inc. (AEPI) Prices and Trading Volume;1986-01-31;2017-01-20;daily;10977309
AERI;Aerie Pharmaceuticals Inc (AERI) Prices and Trading Volume;2013-10-25;2018-03-27;daily;10977386
AES;AES Corp. (AES) Prices and Trading Volume;1991-06-26;2018-03-27;daily;9775502
AET;Aetna Inc. (AET) Prices and Trading Volume;1977-01-03;2018-03-27;daily;9775503
AF;Astoria Financial Corp. (AF) Prices and Trading Volume;1993-11-18;2017-09-29;daily;10990823
AFAM;Almost Family Inc (AFAM) Prices and Trading Volume;1993-02-19;2018-03-27;daily;10981519
AFFX;Affymetrix Inc. (AFFX) Prices and Trading Volume;1996-06-06;2016-03-31;daily;10977752
AFG;American Financial Group Inc (AFG) Prices and Trading Volume;1983-04-06;2018-03-27;daily;10983605
AFH;Atlas Financial Holdings Inc. (AFH) Prices and Trading Volume;2013-02-12;2018-03-27;daily;10991568
AFL;American Family Life Assurance Co. of Columbus (AFL) Prices and Trading Volume;1984-07-19;2018-03-27;daily;9775504
AFOP;Alliance Fiber Optic Products Inc. (AFOP) Prices and Trading Volume;2000-11-30;2016-06-06;daily;10980920
AFSI;AmTrust Financial Services Inc (AFSI) Prices and Trading Volume;2006-11-28;2018-03-27;daily;10985684
AGCO;AGCO Corp. (AGCO) Prices and Trading Volume;1992-04-20;2018-03-27;daily;10978062
AGEN;Agenus Inc. (AGEN) Prices and Trading Volume;2000-02-08;2018-03-27;daily;10978081
AGII;Argo Group International Holdings Ltd (AGII) Prices and Trading Volume;1986-11-14;2018-03-27;daily;10988671
AGIO;Agios Pharmaceuticals Inc (AGIO) Prices and Trading Volume;2013-07-24;2018-03-27;daily;10978177
AGM;Federal Agricultural Mortgage Corp (AGM) Prices and Trading Volume;1995-08-18;2018-03-27;daily;11095997
AGN;Allergan Inc. (AGN) Prices and Trading Volume;1989-06-22;2018-03-27;daily;9775492
AGNC;American Capital Agency Corp (AGNC) Prices and Trading Volume;2008-05-15;2018-03-27;daily;11251320
AGO;Assured Guaranty Ltd (AGO) Prices and Trading Volume;2004-04-23;2018-03-27;daily;10990636
AGTC;Applied Genetic Technologies Corp (AGTC) Prices and Trading Volume;2014-03-27;2018-03-27;daily;13693059
AGX;Argan Inc. (AGX) Prices and Trading Volume;1995-08-18;2018-03-27;daily;10988608
AGYS;Agilysys Inc. (AGYS) Prices and Trading Volume;1990-03-26;2018-03-27;daily;10978153
AHC;A.H. Belo Corp (AHC) Prices and Trading Volume;2008-02-11;2018-03-27;daily;10978452
AHH;Armada Hoffler Properties Inc (AHH) Prices and Trading Volume;2013-05-08;2018-03-27;daily;11251333
AHL;Aspen Insurance Holdings Ltd (AHL) Prices and Trading Volume;2003-12-05;2018-03-27;daily;10990484
AHP;Ashford Hospitality Prime Inc (AHP) Prices and Trading Volume;2013-11-06;2018-03-27;daily;13693068
AHT;Ashford Hospitality Trust Inc (AHT) Prices and Trading Volume;2003-08-26;2018-03-27;daily;11251335
AI;Arlington Asset Investment Corp (AI) Prices and Trading Volume;1997-12-23;2018-03-27;daily;10988989
AIG;American International Group Inc (AIG) Prices and Trading Volume;1984-09-07;2018-03-27;daily;9775506
AIMC;Altra Industrial Motion Corp (AIMC) Prices and Trading Volume;2006-12-15;2018-03-27;daily;10982172
AIN;Albany International Corp (AIN) Prices and Trading Volume;1987-09-30;2018-03-27;daily;10979734
AINV;Apollo Investment Corp (AINV) Prices and Trading Volume;2004-05-05;2018-03-27;daily;10987366
AIQ;Alliance HealthCare Services Inc. (AIQ) Prices and Trading Volume;2001-07-31;2017-08-18;daily;10980958
AIR;AAR Corp (AIR) Prices and Trading Volume;1984-07-19;2018-03-27;daily;10973236
AIRM;Air Methods Corporation (AIRM) Prices and Trading Volume;1987-08-31;2017-04-20;daily;10978592
AIT;Applied Industrial Technologies Inc. (AIT) Prices and Trading Volume;1984-09-07;2018-03-27;daily;10987579
AIV;Apartment Investment & Management Co. (AIV) Prices and Trading Volume;1994-07-22;2018-03-27;daily;9775507
AIZ;Assurant Inc. (AIZ) Prices and Trading Volume;2004-02-05;2018-03-27;daily;9775508
AJG;Gallagher (Arthur J.) & Co. (AJG) Prices and Trading Volume;1984-09-07;2018-03-27;daily;10989624
AKAM;Akamai Technologies Inc. (AKAM) Prices and Trading Volume;1999-10-29;2018-03-27;daily;9775509
AKAO;Achaogen Inc (AKAO) Prices and Trading Volume;2014-03-12;2018-03-27;daily;13693026
AKBA;Akebia Therapeutics Inc  (AKBA) Prices and Trading Volume;2014-03-20;2018-03-27;daily;13693033
AKR;Acadia Realty Trust (AKR) Prices and Trading Volume;1993-05-27;2018-03-27;daily;11251309
AKRX;Akorn Inc. (AKRX) Prices and Trading Volume;2002-08-02;2018-03-27;daily;10979171
AKS;AK Steel Holding (AKS) Prices and Trading Volume;1994-03-30;2018-03-27;daily;10979016
AL;Air Lease Corp (AL) Prices and Trading Volume;2011-04-19;2018-03-27;daily;10978576
ALB;Albemarle Corp. (ALB) Prices and Trading Volume;1994-02-22;2018-03-27;daily;10979850
ALCO;Alico Inc. (ALCO) Prices and Trading Volume;1973-05-03;2018-03-27;daily;10980356
ALDR;Alder Biopharmaceuticals Inc (ALDR) Prices and Trading Volume;2014-05-08;2018-03-27;daily;13693034
ALE;Allete Inc. (ALE) Prices and Trading Volume;1973-05-03;2018-03-27;daily;10980801
ALEX;Alexander & Baldwin Inc. (ALEX) Prices and Trading Volume;2012-06-14;2018-03-27;daily;10980155
ALG;Alamo Group Inc. (ALG) Prices and Trading Volume;1993-03-19;2018-03-27;daily;10979292
ALGN;Align Technology Inc. (ALGN) Prices and Trading Volume;2001-01-30;2018-03-27;daily;10980398
ALGT;Allegiant Travel Company (ALGT) Prices and Trading Volume;2006-12-08;2018-03-27;daily;10980748
ALIM;Alimera Sciences Inc. (ALIM) Prices and Trading Volume;2010-04-22;2018-03-27;daily;10980437
ALJ;Alon USA Energy Inc (ALJ) Prices and Trading Volume;2005-07-28;2017-06-30;daily;10981529
ALK;Alaska Air Group Inc. (ALK) Prices and Trading Volume;1983-01-03;2018-03-27;daily;10979511
ALKS;Alkermes plc (ALKS) Prices and Trading Volume;1991-07-16;2018-03-27;daily;10980586
ALL;Allstate Corp. (ALL) Prices and Trading Volume;1993-06-03;2018-03-27;daily;9775510
ALLE;Allegion Plc (ALLE) Prices and Trading Volume;2013-11-18;2018-03-27;daily;9775511
ALNY;Alnylam Pharmaceuticals Inc. (ALNY) Prices and Trading Volume;2004-06-01;2018-03-27;daily;10981526
ALOG;Analogic Corp (ALOG) Prices and Trading Volume;1984-09-07;2018-03-27;daily;10985919
ALR;Alere (ALR) Prices and Trading Volume;1996-08-06;2017-10-02;daily;10980090
