date;open;high;low;close;volume
2011-02-09;9.9;9.97;9.61;9.69;1.6637E7
2011-02-10;9.45;9.9;9.26;9.85;1611900.0
2011-02-11;9.88;9.88;9.6;9.8;622000.0
2011-02-14;10.3;10.4;9.83;9.83;352700.0
2011-02-15;9.94;9.94;9.61;9.8;145600.0
2011-02-16;9.99;9.99;9.75;9.78;153300.0
2011-02-17;9.66;9.82;9.59;9.7;164000.0
2011-02-18;9.7;9.82;9.62;9.67;260200.0
2011-02-22;9.72;9.77;9.6;9.62;155000.0
2011-02-23;9.63;9.68;9.55;9.56;180900.0
2011-02-24;9.61;9.74;9.37;9.58;84200.0
2011-02-25;9.5;9.86;9.5;9.8;235900.0
2011-02-28;9.8;9.87;9.6;9.75;183100.0
2011-03-01;9.75;9.85;9.68;9.85;191000.0
2011-03-02;9.69;9.9;9.68;9.85;67000.0
2011-03-03;9.9;9.9;9.73;9.8;63500.0
2011-03-04;9.76;9.89;9.76;9.87;72300.0
2011-03-07;9.87;9.88;9.65;9.86;202800.0
2011-03-08;9.82;9.9;9.8;9.9;127000.0
2011-03-09;9.9;9.9;9.7;9.9;65200.0
2011-03-10;9.77;9.87;9.62;9.72;107100.0
2011-03-11;9.64;9.83;9.64;9.77;76300.0
2011-03-14;9.74;9.85;9.68;9.73;63800.0
2011-03-15;9.71;9.9;9.56;9.82;132000.0
2011-03-16;9.88;9.9;9.76;9.85;313900.0
2011-03-17;9.85;9.93;9.7;9.86;161400.0
2011-03-18;9.9;9.96;9.8;9.86;281800.0
2011-03-21;9.99;10.2;9.72;9.96;253800.0
2011-03-22;10.0;10.11;9.88;10.08;192500.0
2011-03-23;10.1;10.1;9.81;9.98;125600.0
2011-03-24;10.04;10.04;9.82;9.95;133500.0
2011-03-25;9.96;10.05;9.88;9.99;96200.0
2011-03-28;9.99;10.0;9.82;9.87;163000.0
2011-03-29;9.91;9.96;9.81;9.86;229900.0
2011-03-30;9.91;9.91;9.56;9.87;165600.0
2011-03-31;9.85;9.97;9.69;9.94;2520500.0
2011-04-01;9.95;10.04;9.9;10.0;216400.0
2011-04-04;10.0;10.05;9.95;10.01;290300.0
2011-04-05;9.96;10.1;9.96;10.1;243600.0
2011-04-06;10.1;10.75;9.99;10.4;298600.0
2011-04-07;10.45;10.45;10.16;10.36;90200.0
2011-04-08;10.42;10.54;10.25;10.32;100700.0
2011-04-11;10.49;10.65;10.12;10.22;244200.0
2011-04-12;10.2;10.41;10.17;10.25;317000.0
2011-04-13;10.26;10.38;9.95;9.99;324800.0
2011-04-14;9.94;10.39;9.9;10.23;142100.0
2011-04-15;10.21;10.42;10.06;10.3;212100.0
2011-04-18;10.21;10.34;10.16;10.27;52400.0
2011-04-19;10.32;10.4;10.22;10.25;48300.0
2011-04-20;10.36;10.4;10.22;10.23;56600.0
2011-04-21;10.29;10.4;10.22;10.25;69500.0
