date;open;high;low;close;volume
1993-03-22;30.0;30.5;28.5;28.5;145800.0
1993-03-23;29.0;30.5;28.0;30.5;166700.0
1993-03-24;30.0;30.5;29.0;29.75;84100.0
1993-03-25;29.75;29.75;28.5;28.5;86300.0
1993-03-26;29.0;29.0;28.5;28.5;110500.0
1993-03-29;29.0;29.5;28.0;28.38;43200.0
1993-03-30;29.0;29.0;28.0;28.5;54100.0
1993-03-31;28.5;28.5;27.75;27.75;138800.0
1993-04-01;27.75;28.5;27.5;27.75;26400.0
1993-04-02;27.75;27.75;25.75;26.5;151700.0
1993-04-05;26.75;27.5;25.75;27.0;120900.0
1993-04-06;28.0;28.0;27.0;27.0;90400.0
1993-04-07;26.5;27.25;26.0;26.0;101400.0
1993-04-08;25.75;26.75;25.25;25.5;82500.0
1993-04-12;25.0;25.5;24.75;25.25;102700.0
1993-04-13;25.0;25.5;24.25;24.5;167100.0
1993-04-14;25.0;25.5;24.5;25.5;251900.0
1993-04-15;25.5;25.5;24.75;24.75;34400.0
1993-04-16;24.75;25.5;24.75;24.75;15700.0
1993-04-19;25.25;25.25;24.5;24.5;52400.0
1993-04-20;24.5;25.0;24.5;24.5;17900.0
1993-04-21;25.0;25.0;24.0;24.25;49000.0
1993-04-22;24.75;25.5;24.25;25.5;31900.0
1993-04-23;25.75;25.75;24.75;25.75;9900.0
1993-04-26;25.75;25.75;24.75;24.75;15600.0
1993-04-27;25.25;27.5;24.5;27.5;86700.0
1993-04-28;27.5;27.5;26.75;27.25;29000.0
1993-04-29;26.75;26.75;26.25;26.75;26600.0
1993-04-30;26.5;28.25;26.5;27.5;99500.0
1993-05-03;27.5;29.0;27.5;29.0;41600.0
1993-05-04;29.0;29.0;28.25;29.0;20200.0
1993-05-05;28.25;31.5;28.25;30.5;101300.0
1993-05-06;30.5;31.0;29.25;29.75;49900.0
1993-05-07;29.75;31.0;29.75;30.25;39400.0
1993-05-10;30.25;31.75;30.25;31.0;29100.0
1993-05-11;31.5;31.5;30.75;30.75;32600.0
1993-05-12;30.75;31.25;30.75;30.75;12100.0
1993-05-13;31.25;31.25;30.5;31.0;25300.0
1993-05-14;31.0;31.25;30.5;30.75;17000.0
1993-05-17;31.25;31.5;30.75;31.0;11900.0
1993-05-18;31.5;31.5;31.0;31.0;66900.0
1993-05-19;31.5;32.25;31.5;32.0;109400.0
1993-05-20;31.75;32.5;31.75;32.5;22100.0
1993-05-21;31.75;32.25;31.75;31.75;18600.0
1993-05-24;32.0;32.0;31.75;31.75;18500.0
1993-05-25;32.0;32.0;31.0;31.5;31000.0
1993-05-26;30.75;31.0;30.0;30.38;70400.0
1993-05-27;30.75;30.75;29.75;29.75;16700.0
1993-05-28;29.75;30.0;28.5;29.0;56400.0
1993-06-01;29.0;29.0;28.5;28.5;7900.0
1993-06-02;28.75;29.0;28.5;29.0;37700.0
1993-06-03;28.75;29.0;28.5;29.0;55900.0
1993-06-04;28.5;29.25;28.5;28.5;72900.0
1993-06-07;28.25;29.0;27.0;28.13;95300.0
1993-06-08;27.5;27.88;26.25;27.0;100600.0
1993-06-09;26.25;27.0;25.75;26.25;40900.0
1993-06-10;26.25;27.5;26.25;26.75;48900.0
1993-06-11;27.5;31.0;27.38;30.5;175800.0
1993-06-14;30.75;31.5;30.25;30.75;79100.0
1993-06-15;31.25;31.25;30.25;30.5;61700.0
1993-06-16;30.25;30.75;30.25;30.75;25100.0
1993-06-17;30.5;30.75;30.25;30.25;6100.0
1993-06-18;30.75;30.75;30.25;30.25;5600.0
1993-06-21;30.75;32.25;30.25;32.25;55300.0
1993-06-22;32.25;32.25;31.5;31.5;5400.0
1993-06-23;31.25;31.75;31.25;31.75;9000.0
1993-06-24;32.0;33.75;31.25;33.5;105500.0
1993-06-25;33.25;34.25;32.75;32.75;83100.0
1993-06-28;32.75;33.25;32.75;33.0;25700.0
1993-06-29;32.75;33.0;31.5;32.0;22100.0
1993-06-30;31.5;32.5;31.5;32.5;8300.0
1993-07-01;31.75;32.5;31.25;31.25;32400.0
1993-07-02;31.75;32.0;31.25;32.0;24100.0
1993-07-06;31.5;32.0;31.5;31.5;12300.0
1993-07-07;32.0;32.0;31.5;31.5;30000.0
1993-07-08;31.5;32.25;31.0;32.13;76300.0
1993-07-09;32.5;32.5;32.0;32.0;4200.0
1993-07-12;32.5;32.5;32.0;32.0;87500.0
1993-07-13;32.0;32.5;32.0;32.5;6500.0
1993-07-14;32.5;32.5;31.75;31.88;63300.0
