date;open;high;low;close;volume
2006-11-02;12.0;12.5;11.5;12.07;1595200.0
2006-11-03;12.06;12.43;11.91;12.35;263400.0
2006-11-06;12.49;13.84;12.41;13.75;174000.0
2006-11-07;13.41;14.1;13.1;13.54;184100.0
2006-11-08;13.21;13.89;13.17;13.65;131600.0
2006-11-09;13.64;13.66;13.32;13.36;24600.0
2006-11-10;13.89;13.89;13.25;13.46;24000.0
2006-11-13;13.8;14.12;13.35;14.1;293800.0
2006-11-14;13.8;14.3;13.8;14.06;102400.0
2006-11-15;14.06;14.2;13.98;14.06;233500.0
2006-11-16;14.06;14.39;13.95;14.3;40500.0
2006-11-17;14.251;14.4;14.0;14.07;116400.0
2006-11-20;14.17;14.45;13.93;14.0;45200.0
2006-11-21;14.09;14.09;14.0;14.0;77100.0
2006-11-22;14.0;14.06;13.92;13.95;64500.0
2006-11-24;13.91;13.95;13.9;13.95;2600.0
2006-11-27;13.91;13.95;13.75;13.75;27700.0
2006-11-28;13.628;13.75;13.33;13.51;11200.0
2006-11-29;13.59;14.0;13.49;13.65;34000.0
2006-11-30;13.8;13.8;13.41;13.65;38800.0
2006-12-01;13.3;13.66;13.267;13.55;58400.0
2006-12-04;13.08;13.9;13.08;13.6;80100.0
2006-12-05;13.5;13.9;13.5;13.84;29500.0
2006-12-06;13.84;14.0;13.16;13.67;18800.0
2006-12-07;13.62;13.66;13.38;13.5;3600.0
2006-12-08;13.06;13.54;13.06;13.54;3600.0
2006-12-11;13.4;13.71;13.4;13.7;13300.0
2006-12-12;13.6;13.85;13.28;13.44;44800.0
2006-12-13;13.8;13.8;13.27;13.5;38800.0
2006-12-14;13.4;13.7;13.4;13.56;5700.0
2006-12-15;13.56;13.949;13.5;13.84;423100.0
2006-12-18;13.84;14.37;13.42;14.32;86400.0
2006-12-19;14.0;14.05;13.6;13.86;41500.0
2006-12-20;13.73;13.73;13.58;13.68;14000.0
2006-12-21;13.41;13.8;13.29;13.68;33400.0
