date;open;high;low;close;volume
2007-11-02;18.0;20.9;18.0;20.28;5097300.0
2007-11-05;19.07;20.49;19.0;20.15;450800.0
2007-11-06;20.14;20.47;19.53;20.03;276900.0
2007-11-07;19.65;19.98;19.01;19.75;196500.0
2007-11-08;19.02;19.5;18.27;19.13;322200.0
2007-11-09;18.65;19.69;17.5;19.06;240600.0
2007-11-12;18.89;20.0;18.69;19.878;92100.0
2007-11-13;19.88;19.88;19.45;19.77;62000.0
2007-11-14;18.74;20.29;18.74;19.01;136200.0
2007-11-15;18.97;19.4;18.51;18.96;96200.0
2007-11-16;18.5;19.0;18.46;18.5;202500.0
2007-11-19;18.29;18.83;18.29;18.3;98400.0
2007-11-20;18.29;18.41;18.01;18.1;48500.0
2007-11-21;18.0;18.0;17.25;17.5;53800.0
2007-11-23;17.49;17.6;17.31;17.42;17900.0
2007-11-26;17.35;18.33;17.27;17.81;111900.0
2007-11-27;17.531;18.38;17.531;18.0;59600.0
2007-11-28;18.06;18.94;18.06;18.5;82900.0
2007-11-29;18.5;18.96;18.25;18.48;63400.0
2007-11-30;18.5;18.99;18.25;18.29;57200.0
2007-12-03;19.0;19.62;18.17;19.62;35300.0
2007-12-04;18.35;19.25;17.86;19.19;71400.0
2007-12-05;19.0;19.58;18.75;19.0;120100.0
2007-12-06;18.78;19.03;18.69;18.93;81100.0
2007-12-07;18.83;18.83;18.11;18.61;80800.0
2007-12-10;18.28;19.24;18.2;18.95;88900.0
2007-12-11;18.96;20.02;18.95;20.02;119100.0
2007-12-12;19.05;20.38;18.96;19.32;186800.0
2007-12-13;19.06;19.5;19.0;19.3;37900.0
2007-12-14;19.32;19.5;18.95;19.15;72100.0
2007-12-17;18.64;19.34;18.64;19.0;73800.0
2007-12-18;19.0;19.94;18.85;19.0;35000.0
2007-12-19;19.0;19.26;18.77;18.77;122000.0
2007-12-20;18.76;19.17;18.6;18.73;92000.0
2007-12-21;18.815;19.25;18.04;18.04;462900.0
2007-12-24;18.05;19.46;17.25;19.46;31900.0
2007-12-26;19.4;19.67;19.04;19.5;29100.0
2007-12-27;19.44;19.44;18.64;18.76;42300.0
2007-12-28;18.76;19.19;18.35;19.05;23300.0
2007-12-31;18.99;19.07;18.47;19.02;27700.0
2008-01-02;18.96;19.5;18.75;19.5;52100.0
2008-01-03;19.5;19.61;18.9;19.13;39200.0
2008-01-04;19.05;19.5;18.9;18.98;42200.0
2008-01-07;19.03;19.03;18.1;18.22;48900.0
2008-01-08;18.23;18.84;16.76;17.29;76300.0
2008-01-09;17.24;17.86;16.51;17.55;181600.0
2008-01-10;17.48;17.97;16.75;17.85;105000.0
2008-01-11;17.79;17.99;17.75;17.79;40100.0
2008-01-14;17.97;19.11;17.048;18.81;158900.0
2008-01-15;18.71;20.67;18.12;20.44;295300.0
2008-01-16;20.37;20.7;19.921;20.35;163600.0
2008-01-17;20.28;21.0;20.11;20.58;66100.0
2008-01-18;20.48;22.12;20.31;21.67;211500.0
2008-01-22;20.86;21.99;20.25;20.91;109100.0
2008-01-23;20.18;21.24;19.0;20.46;197900.0
2008-01-24;20.49;21.73;20.09;20.63;31100.0
2008-01-25;20.71;21.27;20.0;20.52;42600.0
2008-01-28;20.46;20.46;19.64;20.11;92700.0
2008-01-29;19.64;20.28;19.64;20.06;129300.0
2008-01-30;20.0;20.38;19.7;19.73;31000.0
2008-01-31;19.66;20.14;19.53;20.0;59700.0
2008-02-01;20.0;20.98;19.91;20.98;219000.0
2008-02-04;21.0;21.05;20.09;20.37;59900.0
2008-02-05;21.27;21.65;20.81;21.06;353000.0
2008-02-06;21.87;22.65;21.06;22.17;112000.0
2008-02-07;22.05;22.3;21.4;22.03;143200.0
2008-02-08;21.52;22.1;21.33;22.01;120000.0
2008-02-11;22.24;22.24;21.53;22.01;132700.0
2008-02-12;22.09;22.39;21.66;22.29;177800.0
2008-02-13;22.37;22.47;22.2;22.35;36400.0
2008-02-14;22.42;22.69;22.24;22.6;99500.0
2008-02-15;22.53;22.55;22.0;22.37;37900.0
2008-02-19;22.27;22.58;22.1;22.58;36700.0
2008-02-20;22.46;22.99;22.3;22.9;40700.0
2008-02-21;22.84;23.0;22.3;22.31;22400.0
2008-02-22;22.38;22.45;22.09;22.19;60000.0
2008-02-25;22.26;22.26;20.92;21.37;79200.0
2008-02-26;21.3;22.03;21.3;21.76;31300.0
2008-02-27;21.68;22.21;20.97;21.6;120800.0
2008-02-28;21.66;22.48;21.57;21.85;65700.0
2008-02-29;21.44;21.7;20.59;20.59;174300.0
2008-03-03;20.65;21.29;18.44;18.57;166000.0
2008-03-04;18.5;19.11;18.43;19.11;85400.0
2008-03-05;19.05;19.19;18.13;18.22;127700.0
2008-03-06;18.17;19.03;18.17;18.85;56100.0
2008-03-07;18.78;19.83;18.78;19.6;71400.0
2008-03-10;19.54;19.62;19.26;19.52;65600.0
2008-03-11;19.62;20.9;19.62;20.53;111700.0
2008-03-12;20.59;20.59;20.09;20.18;118500.0
2008-03-13;19.6;19.6;16.63;18.43;443300.0
2008-03-14;18.5;18.5;17.36;18.25;115600.0
2008-03-17;18.27;18.75;17.07;18.23;41900.0
2008-03-18;18.38;19.13;18.14;19.13;36300.0
2008-03-19;19.24;19.9;19.24;19.65;56100.0
2008-03-20;19.58;20.44;19.43;20.02;129400.0
2008-03-24;20.11;21.0;20.11;20.67;107400.0
2008-03-25;20.83;21.75;20.55;20.64;119600.0
2008-03-26;20.54;20.54;19.05;19.28;236500.0
2008-03-27;19.17;19.6472;18.83;18.98;181000.0
2008-03-28;18.69;18.8;18.0;18.01;1786500.0
2008-03-31;18.0;18.1;18.0;18.01;176300.0
2008-04-01;18.18;18.36;18.0;18.06;125300.0
2008-04-02;18.04;18.2;18.0;18.0;124600.0
2008-04-03;17.95;18.16;17.34;17.75;199900.0
2008-04-04;17.75;18.05;17.7;17.95;108600.0
2008-04-07;18.07;18.12;17.44;17.52;64400.0
2008-04-08;17.39;17.62;16.87;17.2;307900.0
2008-04-09;17.13;17.31;17.0;17.15;138700.0
2008-04-10;17.08;17.5;17.08;17.4;56400.0
2008-04-11;17.25;17.25;17.12;17.15;72000.0
2008-04-14;17.11;18.18;17.05;18.0;308300.0
2008-04-15;18.11;18.11;17.8;17.83;114300.0
2008-04-16;17.87;18.07;17.6;17.93;146300.0
2008-04-17;18.0;18.0;17.5;17.55;112000.0
2008-04-18;17.78;18.61;17.62;18.17;153100.0
2008-04-21;18.09;18.21;17.91;18.01;35000.0
2008-04-22;17.89;18.28;17.35;17.9;90400.0
2008-04-23;17.89;18.04;17.65;17.87;68800.0
2008-04-24;17.95;18.2;17.492;18.15;57700.0
2008-04-25;17.71;18.89;17.71;18.81;55800.0
2008-04-28;18.76;18.87;18.348;18.73;50500.0
2008-04-29;18.75;19.43;18.05;18.96;103000.0
2008-04-30;19.03;19.75;18.88;19.23;171000.0
2008-05-01;19.0;19.54;18.95;19.32;83800.0
2008-05-02;19.12;19.5;18.97;19.29;69300.0
2008-05-05;19.07;19.2;18.45;19.17;45900.0
2008-05-06;19.2;19.97;18.75;18.96;201100.0
2008-05-07;19.14;19.67;19.08;19.29;131800.0
2008-05-08;19.38;19.72;19.3;19.63;52200.0
2008-05-09;19.5;19.74;19.39;19.53;68600.0
2008-05-12;19.52;19.78;19.362;19.75;49200.0
2008-05-13;19.8;20.0;19.4;19.61;80600.0
2008-05-14;19.61;19.89;19.61;19.7;48500.0
2008-05-15;19.65;19.93;19.65;19.86;56700.0
2008-05-16;19.88;19.99;19.55;19.85;83300.0
2008-05-19;19.81;20.46;19.57;19.84;100600.0
2008-05-20;19.74;19.97;19.7;19.76;69700.0
2008-05-21;19.81;19.91;19.6;19.7;123400.0
2008-05-22;19.68;19.69;19.5;19.6;161800.0
2008-05-23;19.62;20.67;19.42;20.46;155500.0
2008-05-27;20.49;20.49;19.15;19.6;97100.0
2008-05-28;19.5;19.52;18.45;19.04;90400.0
2008-05-29;18.99;19.47;18.96;19.03;168500.0
2008-05-30;19.08;19.98;19.08;19.35;238400.0
2008-06-02;19.23;19.27;17.85;17.91;139400.0
2008-06-03;17.9;18.98;17.64;17.98;104000.0
2008-06-04;17.91;18.6;17.54;17.81;196600.0
2008-06-05;17.87;18.6;17.7;18.6;156300.0
2008-06-06;18.48;19.0;18.48;18.76;163900.0
2008-06-09;18.77;18.91;18.51;18.69;81900.0
2008-06-10;18.6;18.88;18.6;18.81;59400.0
2008-06-11;18.71;18.8;18.26;18.73;141600.0
2008-06-12;18.82;19.35;18.72;19.13;91700.0
2008-06-13;19.27;19.46;18.9;19.35;44700.0
2008-06-16;19.24;19.41;18.62;19.19;52400.0
2008-06-17;19.15;19.15;18.85;18.93;90000.0
2008-06-18;18.82;18.97;18.76;18.78;92700.0
2008-06-19;18.7;19.23;18.61;19.11;222900.0
2008-06-20;19.21;19.4;18.95;19.34;145400.0
2008-06-23;19.38;19.38;18.97;19.06;50500.0
2008-06-24;18.92;19.26;18.73;19.0;121400.0
2008-06-25;19.13;19.37;18.9;19.21;77100.0
2008-06-26;19.22;19.22;17.28;17.55;776800.0
2008-06-27;17.46;18.31;17.35;18.25;1793000.0
2008-06-30;18.06;18.08;15.89;17.5;406200.0
2008-07-01;17.32;18.17;17.08;18.14;218500.0
2008-07-02;18.07;18.07;16.9;17.44;386100.0
2008-07-03;17.43;17.5;17.25;17.31;48200.0
2008-07-07;17.46;17.55;17.25;17.5;183300.0
2008-07-08;17.59;18.81;17.18;18.56;167900.0
2008-07-09;18.6;18.6;17.87;18.0;192900.0
2008-07-10;17.94;18.22;17.51;17.78;96400.0
2008-07-11;17.63;18.345;17.43;18.14;166000.0
2008-07-14;17.63;18.3;17.61;17.77;124000.0
2008-07-15;17.65;18.0;17.3;17.94;110400.0
2008-07-16;17.93;18.49;17.9;18.25;67200.0
2008-07-17;18.39;18.39;17.76;18.24;145700.0
2008-07-18;18.19;18.24;17.69;17.69;73300.0
2008-07-21;17.72;17.95;17.17;17.92;81600.0
2008-07-22;17.69;18.35;17.21;18.35;119000.0
2008-07-23;18.36;18.48;17.86;17.95;94600.0
2008-07-24;18.03;18.15;17.27;17.4;111400.0
2008-07-25;17.5;17.56;17.17;17.24;96300.0
2008-07-28;17.14;17.85;16.5;16.86;155800.0
2008-07-29;16.89;17.99;16.89;17.62;125900.0
2008-07-30;17.76;17.79;17.0;17.24;138100.0
2008-07-31;17.05;17.52;17.04;17.28;92900.0
2008-08-01;17.35;17.35;16.95;17.17;133900.0
2008-08-04;17.0;17.27;16.63;16.96;104600.0
2008-08-05;18.0;20.0;17.01;18.4;553100.0
2008-08-06;18.45;19.01;18.34;18.98;394700.0
2008-08-07;18.88;19.3;18.44;19.16;291900.0
2008-08-08;19.08;20.0;19.02;19.66;260000.0
2008-08-11;19.74;19.93;19.15;19.69;186800.0
2008-08-12;19.57;19.92;19.48;19.89;335500.0
2008-08-13;19.95;20.0;19.54;19.88;337900.0
2008-08-14;19.84;20.63;19.572;20.46;191800.0
2008-08-15;20.63;20.86;20.34;20.55;170400.0
2008-08-18;20.7;20.72;19.75;19.78;392900.0
2008-08-19;18.49;19.08;17.25;18.86;589700.0
2008-08-20;18.44;19.54;18.41;19.5;251200.0
2008-08-21;19.29;19.57;19.01;19.47;175500.0
2008-08-22;19.53;19.6;18.9;19.59;71800.0
2008-08-25;19.51;19.6;19.24;19.54;118300.0
2008-08-26;19.5;20.06;19.39;20.0;249700.0
2008-08-27;20.06;20.93;19.59;20.8;153800.0
2008-08-28;20.8;20.98;19.97;20.49;281500.0
2008-08-29;20.22;20.72;20.1;20.5;156200.0
2008-09-02;20.75;20.75;19.79;20.22;135000.0
2008-09-03;20.2;20.98;19.87;20.84;206900.0
2008-09-04;20.65;20.65;19.77;20.11;266000.0
2008-09-05;19.92;20.74;19.88;20.45;291600.0
2008-09-08;20.5;20.86;18.4;20.29;496100.0
2008-09-09;20.23;20.84;19.58;19.68;90800.0
2008-09-10;19.93;20.0;19.2;19.43;238100.0
2008-09-11;19.23;19.52;18.98;19.38;421200.0
2008-09-12;19.13;19.41;19.03;19.2;304000.0
2008-09-15;18.74;19.06;18.54;18.65;56600.0
2008-09-16;18.76;18.98;17.61;18.85;215300.0
2008-09-17;18.65;19.19;17.85;17.86;137600.0
2008-09-18;18.21;19.3;17.95;19.0;296800.0
2008-09-19;19.54;20.0;18.89;19.27;498600.0
2008-09-22;19.25;19.8999;18.83;19.49;105600.0
2008-09-23;18.5;18.55;17.12;18.2;538600.0
2008-09-24;18.23;18.23;17.35;17.68;214500.0
2008-09-25;17.74;18.13;17.09;18.07;234600.0
2008-09-26;17.69;18.18;16.5;18.14;213600.0
2008-09-29;17.26;18.99;17.0;17.63;269200.0
2008-09-30;17.42;18.75;16.71;18.54;361100.0
2008-10-01;18.29;18.29;17.5;17.98;151800.0
2008-10-02;17.89;17.93;17.14;17.61;187000.0
2008-10-03;17.91;18.0;16.93;17.11;250700.0
2008-10-06;16.81;16.81;15.95;16.19;435900.0
2008-10-07;16.49;16.49;15.64;15.69;288300.0
2008-10-08;15.29;15.99;14.5;15.03;352000.0
2008-10-09;15.16;16.11;14.73;14.98;286900.0
2008-10-10;14.54;15.18;13.13;14.99;324000.0
2008-10-13;14.86;15.98;14.86;15.87;92800.0
2008-10-14;16.25;16.81;14.92;15.45;255500.0
2008-10-15;15.23;15.34;14.5;14.61;125900.0
2008-10-16;14.71;15.76;14.225;15.53;306400.0
2008-10-17;15.1;16.63;14.83;16.07;220000.0
2008-10-20;16.28;16.94;16.28;16.9;111300.0
2008-10-21;16.65;16.93;16.15;16.15;55400.0
2008-10-22;16.0;16.85;14.94;15.06;106100.0
2008-10-23;15.05;15.16;14.16;14.54;93900.0
2008-10-24;13.52;14.67;13.26;14.06;95700.0
2008-10-27;14.0;14.58;13.81;13.91;141700.0
2008-10-28;14.32;15.6;14.1288;15.45;209600.0
2008-10-29;15.59;17.82;15.46;17.17;366300.0
2008-10-30;17.64;18.08;17.5;17.6;420200.0
2008-10-31;17.36;18.12;16.85;17.42;359100.0
2008-11-03;17.42;17.97;17.4;17.53;129700.0
2008-11-04;17.91;18.16;17.19;17.28;116700.0
2008-11-05;17.24;17.87;16.36;16.46;138400.0
2008-11-06;16.42;16.87;15.87;15.96;94800.0
2008-11-07;15.9;16.94;15.9;16.89;71500.0
2008-11-10;17.25;17.39;16.78;17.32;61200.0
2008-11-11;17.12;17.4999;16.78;17.13;75800.0
2008-11-12;16.82;16.9;16.225;16.23;79900.0
2008-11-13;16.21;16.218;15.0;16.13;147000.0
2008-11-14;15.27;15.43;13.82;15.05;430500.0
2008-11-17;15.0;15.22;14.33;14.97;141400.0
2008-11-18;15.09;15.38;14.62;14.98;158400.0
2008-11-19;15.0;15.15;13.92;13.93;260400.0
2008-11-20;13.72;14.47;13.0;13.85;198700.0
2008-11-21;14.11;14.16;11.8;12.86;345400.0
2008-11-24;12.87;13.72;12.7;13.46;245700.0
2008-11-25;13.72;13.72;12.85;13.1;109300.0
2008-11-26;12.87;15.2;12.78;15.0;242300.0
2008-11-28;14.86;15.08;14.45;14.71;85900.0
2008-12-01;14.42;14.88;13.69;14.11;236900.0
2008-12-02;14.31;14.31;12.71;13.93;761600.0
2008-12-03;13.62;14.48;13.62;14.2;218600.0
2008-12-04;14.02;14.77;13.74;14.16;176000.0
2008-12-05;14.0;14.99;13.33;14.99;107500.0
2008-12-08;15.02;16.02;14.52;15.42;289900.0
2008-12-09;14.77;15.1;14.4;14.6;217900.0
2008-12-10;14.74;15.25;14.22;14.95;111200.0
2008-12-11;14.43;15.5199;14.42;15.0;197100.0
2008-12-12;14.77;15.74;14.77;15.55;126200.0
2008-12-15;16.17;16.25;15.49;15.68;199600.0
2008-12-16;15.68;16.88;15.655;16.68;168300.0
2008-12-17;16.53;16.96;16.13;16.69;135100.0
2008-12-18;16.59;16.96;15.6;15.83;155900.0
2008-12-19;16.0;16.52;14.93;15.7;243400.0
2008-12-22;15.68;16.31;14.57;15.18;194300.0
2008-12-23;15.23;15.6;14.43;14.97;133100.0
2008-12-24;14.92;14.97;14.52;14.91;61100.0
2008-12-26;14.9575;15.17;14.9575;15.08;58000.0
2008-12-29;15.1;15.1;14.89;14.98;75700.0
2008-12-30;15.06;15.29;14.96;15.25;157400.0
2008-12-31;15.25;16.82;15.05;16.22;231000.0
2009-01-02;16.24;17.01;15.99;16.8;170100.0
2009-01-05;16.8;16.99;16.47;16.85;127100.0
2009-01-06;17.0;17.0;16.47;16.87;238800.0
2009-01-07;16.6;17.0;16.14;16.41;93000.0
2009-01-08;16.76;17.0;16.15;16.89;102400.0
2009-01-09;16.9;16.96;16.27;16.47;111200.0
2009-01-12;16.43;16.52;16.19;16.36;95000.0
2009-01-13;16.38;17.25;16.26;17.03;286900.0
2009-01-14;16.75;17.49;16.32;16.95;350700.0
2009-01-15;16.95;16.95;16.05;16.47;128900.0
2009-01-16;16.51;16.93;16.1;16.25;247900.0
2009-01-20;16.07;16.08;14.58;14.63;146700.0
2009-01-21;14.69;17.23;14.6;17.06;216800.0
2009-01-22;16.85;16.85;16.07;16.39;176200.0
2009-01-23;16.13;16.4;15.81;16.12;88500.0
2009-01-26;16.09;16.7;15.77;16.28;120500.0
2009-01-27;16.31;16.7;16.06;16.09;99800.0
2009-01-28;16.23;16.455;16.07;16.25;72800.0
2009-01-29;16.0;16.426;16.0;16.14;61900.0
2009-01-30;16.21;16.42;15.67;15.84;75800.0
2009-02-02;15.74;16.03;15.45;15.81;106100.0
2009-02-03;15.71;16.19;15.58;15.99;301900.0
2009-02-04;15.9;16.28;15.34;15.97;173800.0
