date;open;high;low;close;volume
2000-02-25;37.0;58.0;36.98;54.0;2.63545E7
2000-02-28;56.47;56.5;47.0;47.75;4384400.0
2000-02-29;49.0;59.5;45.25;59.38;3399500.0
2000-03-01;59.88;67.31;55.0;63.5;3041700.0
2000-03-02;63.81;63.88;49.5;50.06;3217000.0
2000-03-03;54.75;54.75;49.0;53.31;2268600.0
2000-03-06;53.63;57.38;51.5;52.13;1167300.0
2000-03-07;54.75;55.0;48.5;50.19;1220500.0
2000-03-08;50.81;50.88;44.75;46.5;1521100.0
2000-03-09;49.13;51.94;46.5;50.31;1357400.0
2000-03-10;56.38;56.5;48.75;52.0;1946900.0
2000-03-13;47.63;52.75;47.06;48.5;1551500.0
2000-03-14;52.0;52.19;49.5;49.88;1564400.0
2000-03-15;49.88;50.19;45.0;46.5;945000.0
2000-03-16;50.0;50.25;44.63;48.25;1311900.0
2000-03-17;48.63;55.25;48.5;55.0;1591000.0
2000-03-20;54.88;58.63;50.88;52.0;1286200.0
2000-03-21;54.88;85.25;50.0;66.0;4550700.0
2000-03-22;66.88;72.0;61.0;63.38;1678400.0
2000-03-23;63.06;65.88;60.0;61.63;455300.0
2000-03-24;59.75;66.5;59.75;64.0;1325700.0
2000-03-27;64.75;64.88;55.13;55.13;1006000.0
2000-03-28;54.5;60.5;53.25;56.0;982200.0
2000-03-29;56.88;56.88;49.0;49.38;788600.0
2000-03-30;47.19;50.5;47.0;48.56;1321500.0
2000-03-31;49.63;53.25;47.25;51.69;1274700.0
2000-04-03;50.5;52.56;45.0;46.88;878900.0
2000-04-04;46.81;47.13;35.5;45.5;1950100.0
2000-04-05;41.13;46.75;40.75;41.94;800200.0
2000-04-06;44.88;50.75;43.5;49.88;1338700.0
2000-04-07;50.31;58.5;50.0;58.5;726300.0
2000-04-10;58.5;59.75;50.06;52.0;735000.0
2000-04-11;46.31;51.0;44.75;45.56;718100.0
2000-04-12;46.5;47.63;35.0;35.63;1855900.0
2000-04-13;36.88;39.81;33.75;36.88;1109200.0
2000-04-14;35.75;36.88;26.88;27.5;1790700.0
2000-04-17;24.63;29.13;24.63;28.5;1100900.0
2000-04-18;29.5;35.0;29.38;33.25;1273000.0
2000-04-19;33.13;36.0;31.5;33.13;632600.0
2000-04-20;34.75;35.81;32.88;34.0;883900.0
2000-04-24;30.0;32.0;29.5;31.0;653300.0
2000-04-25;33.31;35.0;31.63;32.38;584100.0
2000-04-26;31.63;32.0;29.0;29.88;604900.0
2000-04-27;28.88;30.38;27.25;28.06;1305200.0
2000-04-28;30.94;35.06;30.06;35.0;1865400.0
2000-05-01;37.63;40.94;37.19;40.63;845700.0
2000-05-02;39.25;44.19;38.88;41.75;922600.0
2000-05-03;40.5;41.38;38.63;39.0;1069400.0
2000-05-04;40.5;42.69;39.56;41.81;515400.0
2000-05-05;41.78;43.63;41.75;42.75;364100.0
2000-05-08;42.75;43.38;40.5;41.25;475800.0
