date;open;high;low;close;volume
2000-08-04;10.63;12.5;10.63;12.19;3668067.0
2000-08-07;12.03;12.69;12.0;12.25;268000.0
2000-08-08;12.09;12.19;12.0;12.0;194600.0
2000-08-09;12.03;12.19;11.88;12.13;43000.0
2000-08-10;12.09;12.13;11.88;12.13;33400.0
2000-08-11;12.0;12.13;11.94;12.0;28867.0
2000-08-14;12.03;12.63;12.0;12.25;23267.0
2000-08-15;12.38;13.06;12.13;13.0;44667.0
2000-08-16;13.06;13.56;12.88;13.25;26000.0
2000-08-17;13.0;13.31;12.88;13.13;173667.0
2000-08-18;13.06;13.31;12.88;13.02;35467.0
2000-08-21;13.16;13.31;13.0;13.31;16800.0
2000-08-22;13.22;13.88;13.13;13.88;35400.0
2000-08-23;13.84;14.0;13.75;14.0;75067.0
2000-08-24;14.06;14.25;13.88;13.88;81200.0
2000-08-25;14.0;14.06;13.75;13.81;7867.0
2000-08-28;13.81;13.81;13.56;13.56;4467.0
2000-08-29;13.81;14.38;13.69;13.94;174467.0
2000-08-30;14.06;14.5;14.0;14.38;126400.0
2000-08-31;14.31;14.88;14.25;14.38;103467.0
2000-09-01;14.31;14.5;14.31;14.5;18067.0
2000-09-05;14.44;14.44;14.25;14.25;12200.0
2000-09-06;14.25;14.31;13.63;13.75;49867.0
2000-09-07;13.69;13.69;13.0;13.5;32267.0
2000-09-08;13.5;13.56;13.38;13.5;7200.0
2000-09-11;13.13;13.19;13.13;13.14;2800.0
2000-09-12;13.13;13.75;13.13;13.38;11800.0
2000-09-13;13.88;14.63;13.5;14.13;23200.0
2000-09-14;14.0;14.13;13.75;13.75;11867.0
2000-09-15;13.5;14.25;13.5;14.25;78200.0
2000-09-18;14.0;14.56;14.0;14.5;65667.0
2000-09-19;14.63;14.63;14.5;14.5;1600.0
2000-09-20;14.5;15.38;14.38;14.5;92400.0
2000-09-21;14.63;14.88;14.5;14.88;12000.0
2000-09-22;14.75;14.88;14.25;14.63;13400.0
2000-09-25;14.88;15.75;14.88;15.63;24067.0
2000-09-26;15.5;16.5;15.5;16.5;20600.0
2000-09-27;16.81;17.25;15.25;15.25;74600.0
2000-09-28;15.13;16.13;15.0;16.13;32867.0
2000-09-29;16.0;18.5;15.75;17.13;97400.0
2000-10-02;18.25;18.75;18.0;18.63;53667.0
2000-10-03;18.63;20.0;18.5;19.0;36800.0
2000-10-04;19.86;19.88;18.38;18.38;49200.0
2000-10-05;18.38;18.75;17.75;18.63;119667.0
2000-10-06;18.75;19.13;17.5;17.75;22200.0
2000-10-09;17.52;17.73;16.13;17.25;71067.0
2000-10-10;17.25;17.25;16.0;16.94;8200.0
2000-10-11;16.5;17.13;16.25;17.0;32200.0
2000-10-12;17.0;17.25;16.88;17.0;70467.0
2000-10-13;17.11;17.5;16.63;17.5;96267.0
2000-10-16;17.48;18.25;17.48;18.25;78400.0
2000-10-17;18.25;18.5;17.63;17.88;17667.0
2000-10-18;18.23;18.38;17.5;17.75;10400.0
2000-10-19;18.36;18.38;17.44;17.44;20400.0
2000-10-20;18.0;18.75;17.5;18.75;42200.0
2000-10-23;19.0;19.5;18.75;19.38;44800.0
2000-10-24;19.5;19.5;18.25;18.25;15667.0
2000-10-25;18.5;18.5;17.75;18.25;6600.0
2000-10-26;18.5;18.5;17.75;18.13;7000.0
2000-10-27;18.0;18.25;17.5;17.88;16200.0
2000-10-30;18.13;18.13;17.38;17.88;9867.0
2000-10-31;18.23;18.25;17.75;18.0;17667.0
2000-11-01;17.98;18.0;17.13;17.25;82867.0
2000-11-02;17.44;18.0;17.38;17.38;27400.0
2000-11-03;17.75;17.75;16.75;17.13;8267.0
2000-11-06;17.0;17.25;16.5;17.0;65267.0
2000-11-07;17.25;17.25;15.25;15.94;33800.0
2000-11-08;15.77;15.88;15.5;15.63;22267.0
2000-11-09;15.72;16.13;15.5;15.63;32667.0
2000-11-10;15.64;15.75;15.0;15.0;33267.0
2000-11-13;15.0;15.25;14.13;15.25;7067.0
2000-11-14;15.25;15.25;15.0;15.13;10600.0
2000-11-15;15.0;15.06;15.0;15.0;7400.0
2000-11-16;15.0;15.38;15.0;15.0;47200.0
2000-11-17;15.0;15.0;14.38;14.5;9667.0
2000-11-20;14.5;14.75;14.31;14.38;23667.0
