date;open;high;low;close;volume
1995-02-03;17.5;20.0;16.75;19.0;4134400.0
1995-02-06;19.5;19.75;18.75;19.25;832900.0
1995-02-07;19.5;22.5;19.5;21.75;1110700.0
1995-02-08;22.5;25.25;21.69;24.25;535800.0
1995-02-09;25.0;26.25;23.25;24.0;928300.0
1995-02-10;24.0;25.0;21.75;24.5;455400.0
1995-02-13;24.25;25.5;24.25;24.25;173800.0
1995-02-14;24.25;27.5;24.25;27.25;502400.0
1995-02-15;27.25;30.0;26.25;28.75;415600.0
1995-02-16;29.0;29.25;27.5;28.75;324900.0
1995-02-17;29.0;29.0;27.25;27.5;114700.0
1995-02-21;27.25;28.0;26.13;26.5;153500.0
1995-02-22;26.0;26.75;26.0;26.25;88800.0
1995-02-23;26.0;29.5;26.0;28.25;240000.0
1995-02-24;28.25;28.25;27.0;27.0;105300.0
1995-02-27;27.0;28.5;27.0;27.5;92800.0
1995-02-28;27.75;28.75;27.25;28.5;78500.0
1995-03-01;29.0;31.0;29.0;30.5;330100.0
1995-03-02;31.0;31.0;29.75;29.75;129700.0
1995-03-03;29.75;34.5;29.0;33.25;344600.0
1995-03-06;33.0;33.25;31.0;32.0;370700.0
1995-03-07;33.0;33.25;31.75;32.25;401100.0
1995-03-08;33.0;33.25;32.5;33.25;220500.0
1995-03-09;33.0;33.75;32.0;32.5;144900.0
1995-03-10;32.25;33.25;32.25;32.81;113200.0
1995-03-13;33.5;35.5;33.0;34.75;112200.0
1995-03-14;35.75;37.0;35.25;36.75;157700.0
1995-03-15;37.0;37.0;36.25;37.0;41100.0
1995-03-16;36.75;37.0;35.5;37.0;177000.0
1995-03-17;36.5;37.25;35.0;36.0;114300.0
1995-03-20;36.0;36.0;35.38;35.69;228300.0
1995-03-21;34.75;34.75;34.13;34.44;230000.0
1995-03-22;35.5;38.5;35.5;37.5;290800.0
1995-03-23;38.0;40.5;37.5;40.5;166400.0
1995-03-24;41.25;43.5;40.75;42.25;349200.0
1995-03-27;42.0;43.0;41.0;41.5;162800.0
1995-03-28;41.25;41.25;38.25;39.75;249700.0
1995-03-29;39.0;40.5;37.5;37.5;298500.0
1995-03-30;37.5;38.0;34.0;34.38;707300.0
1995-03-31;33.5;36.25;31.75;35.0;403400.0
1995-04-03;35.0;35.0;33.25;33.75;212900.0
1995-04-04;33.75;35.75;33.5;34.5;310400.0
1995-04-05;34.25;36.25;33.5;35.25;147800.0
1995-04-06;36.25;36.25;34.25;35.25;149900.0
1995-04-07;35.75;37.75;34.0;36.25;119300.0
1995-04-10;37.0;37.0;36.0;36.38;55700.0
1995-04-11;37.5;38.0;36.75;37.5;263100.0
1995-04-12;37.5;38.0;36.75;38.0;148600.0
1995-04-13;38.0;38.25;37.5;37.5;138400.0
1995-04-17;38.0;38.0;35.75;36.25;86500.0
1995-04-18;36.25;36.5;32.0;33.0;398200.0
1995-04-19;32.75;33.75;31.75;32.88;142600.0
