date;open;high;low;close;volume
1995-12-18;23.0;23.0;21.62;22.0;1295900.0
1995-12-19;22.0;22.25;21.5;22.25;1454800.0
1995-12-20;22.25;22.5;21.88;21.88;1143800.0
1995-12-21;22.12;22.75;21.25;22.5;2781800.0
1995-12-22;22.5;23.25;22.5;23.0;1228300.0
1995-12-26;23.12;24.0;23.12;23.88;811800.0
1995-12-27;23.88;23.88;23.5;23.5;648200.0
1995-12-28;23.5;23.88;23.25;23.75;1301100.0
1995-12-29;23.62;24.0;23.5;24.0;285200.0
1996-01-02;23.75;24.25;23.62;24.12;435400.0
1996-01-03;24.0;24.5;23.62;23.62;1383300.0
1996-01-04;23.62;23.88;23.25;23.38;1014300.0
1996-01-05;23.25;23.25;22.75;23.0;966900.0
1996-01-08;23.0;23.38;23.0;23.12;277100.0
1996-01-09;23.25;23.75;23.25;23.45;4311200.0
1996-01-10;23.12;23.38;22.75;23.0;1612800.0
1996-01-11;23.0;23.12;22.25;22.62;1838400.0
1996-01-12;22.62;23.0;22.5;23.0;732000.0
1996-01-15;22.88;23.12;22.5;23.12;640400.0
1996-01-16;23.12;23.25;22.88;23.25;888800.0
1996-01-17;23.12;23.5;23.0;23.38;817600.0
1996-01-18;23.25;23.5;23.12;23.12;654800.0
1996-01-19;22.75;23.0;22.5;22.5;474600.0
1996-01-22;22.62;23.5;22.5;23.5;834800.0
1996-01-23;23.5;24.75;23.5;24.62;979600.0
1996-01-24;24.88;25.88;24.88;25.75;1110500.0
1996-01-25;25.5;25.62;24.88;24.88;811800.0
1996-01-26;24.75;25.12;24.5;25.12;403600.0
1996-01-29;25.12;25.88;25.12;25.88;392100.0
1996-01-30;25.62;26.0;25.5;26.0;602400.0
1996-01-31;25.75;26.12;25.75;26.0;662900.0
1996-02-01;25.88;26.5;25.88;26.38;435000.0
1996-02-02;26.38;26.5;25.5;25.88;445300.0
1996-02-05;25.75;26.25;25.75;25.88;413100.0
1996-02-06;25.75;25.88;25.0;25.25;512200.0
1996-02-07;25.25;25.5;25.12;25.38;793900.0
1996-02-08;25.5;25.75;25.25;25.75;529000.0
1996-02-09;25.88;26.38;25.75;26.12;375100.0
1996-02-12;26.0;26.38;25.62;26.25;312100.0
1996-02-13;25.75;26.5;25.75;26.25;181800.0
1996-02-14;26.25;26.5;25.88;25.88;273500.0
1996-02-15;25.75;26.0;25.25;25.25;565600.0
1996-02-16;25.0;25.5;24.62;25.38;724600.0
1996-02-20;25.0;25.88;25.0;25.75;286000.0
1996-02-21;25.25;27.0;25.25;26.75;315800.0
1996-02-22;27.0;27.75;26.62;26.62;521000.0
1996-02-23;26.38;26.75;26.38;26.5;292000.0
1996-02-26;26.5;26.62;26.12;26.5;381600.0
1996-02-27;26.5;26.75;26.38;26.5;763900.0
1996-02-28;26.5;26.88;26.5;26.5;295400.0
1996-02-29;26.38;26.5;26.25;26.25;203100.0
1996-03-01;26.5;26.5;25.62;26.5;224000.0
1996-03-04;26.62;26.62;26.25;26.62;281800.0
1996-03-05;26.5;26.75;26.25;26.62;125000.0
1996-03-06;26.62;26.75;25.88;26.0;137600.0
1996-03-07;26.0;26.0;25.5;26.0;503600.0
1996-03-08;25.5;25.75;25.0;25.5;280200.0
1996-03-11;25.12;25.38;24.88;25.38;271100.0
1996-03-12;25.0;25.5;24.88;25.38;408200.0
1996-03-13;25.25;26.0;25.25;25.75;475100.0
1996-03-14;25.75;26.5;25.62;26.38;320300.0
1996-03-15;25.75;25.88;25.25;25.38;753600.0
1996-03-18;25.12;25.38;24.88;25.38;409100.0
1996-03-19;25.75;27.0;25.75;26.88;1385900.0
1996-03-20;26.62;26.88;26.38;26.75;512300.0
1996-03-21;26.5;27.0;26.5;26.88;488100.0
1996-03-22;27.0;27.75;26.88;27.75;524800.0
1996-03-25;27.75;27.75;26.62;26.75;538100.0
1996-03-26;26.88;27.12;26.75;27.0;390800.0
1996-03-27;26.88;27.0;26.5;26.75;519800.0
1996-03-28;26.62;26.75;26.5;26.62;346500.0
1996-03-29;26.75;26.88;25.5;25.5;346200.0
1996-04-01;25.75;26.25;25.75;25.88;291700.0
1996-04-02;25.88;26.0;25.25;25.38;332900.0
1996-04-03;25.62;26.0;25.38;25.5;466400.0
1996-04-04;25.62;25.62;25.25;25.38;582700.0
1996-04-08;25.0;25.5;24.88;25.38;556800.0
1996-04-09;25.62;25.62;25.12;25.5;585100.0
1996-04-10;25.5;25.75;25.25;25.75;517600.0
1996-04-11;25.75;25.75;24.88;25.38;238800.0
1996-04-12;25.38;25.75;25.38;25.62;221200.0
1996-04-15;25.5;26.25;25.5;26.25;433300.0
1996-04-16;26.25;26.38;25.88;25.88;406700.0
1996-04-17;25.88;26.12;25.38;25.62;425300.0
1996-04-18;25.62;25.88;25.12;25.38;352200.0
1996-04-19;25.75;26.62;25.75;26.25;457600.0
1996-04-22;26.25;26.25;26.0;26.12;534000.0
1996-04-23;26.12;26.5;26.12;26.25;566300.0
1996-04-24;26.25;26.75;26.25;26.5;595400.0
