date;open;high;low;close;volume
1982-01-04;28.25;28.5;28.0;28.38;117200.0
1982-01-05;28.38;28.5;28.25;28.25;90700.0
1982-01-06;28.5;28.62;28.38;28.38;65900.0
1982-01-07;29.0;29.25;28.62;29.0;134600.0
1982-01-08;29.12;29.25;28.88;29.25;94200.0
1982-01-11;28.75;29.0;28.5;28.5;134000.0
1982-01-12;28.62;28.75;28.5;28.62;46200.0
1982-01-13;28.0;28.62;27.25;27.38;135000.0
1982-01-14;27.62;27.75;27.38;27.62;20800.0
1982-01-15;28.12;28.38;27.75;28.0;1827500.0
1982-01-18;28.0;28.25;27.62;28.12;182500.0
1982-01-19;28.38;28.62;28.0;28.0;133500.0
1982-01-20;28.12;28.38;27.88;28.25;88600.0
1982-01-21;28.75;29.25;28.25;28.88;45100.0
1982-01-22;28.88;29.12;28.62;28.75;98400.0
1982-01-25;28.5;28.88;28.12;28.25;46800.0
1982-01-26;28.88;29.25;28.5;28.75;67800.0
1982-01-27;29.25;29.75;28.62;29.25;58400.0
1982-01-28;29.75;30.25;29.25;29.75;66300.0
1982-01-29;30.5;31.0;30.0;30.62;189200.0
1982-02-01;29.88;30.25;29.38;29.62;113500.0
1982-02-02;30.0;30.25;29.62;30.25;92800.0
1982-02-03;30.12;30.25;29.88;30.12;41800.0
1982-02-04;30.12;30.25;30.0;30.0;42400.0
1982-02-05;30.38;30.62;30.0;30.62;75000.0
1982-02-08;30.12;30.5;29.62;29.62;149300.0
1982-02-09;29.5;29.75;29.25;29.5;69700.0
1982-02-10;29.5;29.62;29.25;29.25;67100.0
1982-02-11;29.25;29.5;29.0;29.25;48000.0
1982-02-12;29.38;29.5;29.25;29.25;33100.0
1982-02-16;29.25;29.38;29.0;29.25;50400.0
1982-02-17;29.5;29.88;29.12;29.75;157000.0
1982-02-18;30.12;30.62;29.5;30.0;125600.0
1982-02-19;30.38;30.75;29.88;30.12;86800.0
1982-02-22;30.62;31.0;30.25;30.5;135200.0
1982-02-23;30.62;31.0;30.25;31.0;100800.0
1982-02-24;31.75;32.75;30.75;32.75;216700.0
1982-02-25;32.62;33.25;32.0;32.0;179200.0
1982-02-26;31.88;32.25;31.5;31.88;108600.0
1982-03-01;32.62;33.25;31.88;33.25;359400.0
1982-03-02;32.88;33.25;32.5;32.62;372100.0
1982-03-03;32.38;32.75;32.0;32.62;207400.0
1982-03-04;32.38;32.62;32.0;32.38;216900.0
1982-03-05;32.38;32.75;32.0;32.12;209300.0
1982-03-08;31.88;32.5;31.25;31.25;246500.0
1982-03-09;31.5;32.0;30.88;31.62;548100.0
1982-03-10;32.38;32.88;31.88;32.62;219100.0
1982-03-11;32.5;33.0;31.88;32.75;123500.0
1982-03-12;32.62;33.0;32.25;32.38;82200.0
1982-03-15;32.5;32.75;32.25;32.25;94200.0
1982-03-16;32.5;32.62;32.25;32.25;68000.0
1982-03-17;32.38;32.5;32.12;32.25;68000.0
1982-03-18;33.0;33.5;32.5;33.5;91800.0
1982-03-19;34.0;34.38;33.62;34.0;127000.0
1982-03-22;34.5;34.88;34.0;34.62;282700.0
1982-03-23;34.88;35.0;34.62;35.0;196400.0
1982-03-24;34.5;34.88;34.12;34.25;169200.0
1982-03-25;34.62;35.0;34.12;34.5;159600.0
1982-03-26;34.0;34.38;33.62;33.62;181200.0
1982-03-29;33.5;33.62;33.25;33.62;91000.0
1982-03-30;32.38;32.5;32.25;32.38;37000.0
1982-03-31;34.38;34.75;33.88;34.38;371800.0
1982-04-01;34.88;35.25;34.5;35.25;127800.0
1982-04-02;35.12;35.38;34.88;34.88;212500.0
1982-04-05;34.38;34.75;34.0;34.38;151100.0
1982-04-06;34.38;34.75;34.0;34.75;100500.0
1982-04-07;35.0;35.25;34.75;35.0;171800.0
1982-04-08;35.12;35.25;35.0;35.0;37400.0
1982-04-12;35.38;35.5;35.12;35.12;69500.0
1982-04-13;35.25;35.38;35.12;35.12;62000.0
1982-04-14;35.12;35.25;35.0;35.25;105500.0
1982-04-15;35.12;35.25;35.0;35.12;62400.0
1982-04-16;35.25;35.5;35.0;35.38;49200.0
1982-04-19;35.62;35.88;35.25;35.62;146100.0
1982-04-20;35.75;35.88;35.5;35.75;87200.0
1982-04-21;36.0;36.38;35.62;36.38;145200.0
1982-04-22;36.5;36.62;36.25;36.38;132600.0
1982-04-23;37.12;37.38;36.88;37.0;326000.0
1982-04-26;37.0;37.25;36.62;36.75;195700.0
1982-04-27;36.75;36.88;36.5;36.5;115100.0
1982-04-28;36.25;36.5;36.0;36.0;217600.0
1982-04-29;35.88;36.12;35.5;35.62;251100.0
1982-04-30;35.75;35.88;35.5;35.5;83400.0
1982-05-03;35.88;36.12;35.5;35.75;102900.0
1982-05-04;36.25;36.5;36.0;36.25;209800.0
1982-05-05;36.38;36.5;36.25;36.25;71700.0
1982-05-06;36.25;36.5;36.0;36.12;353700.0
1982-05-07;36.25;36.38;36.0;36.12;233800.0
1982-05-10;36.25;36.25;36.12;36.12;116200.0
1982-05-11;36.25;36.25;36.12;36.25;102200.0
1982-05-12;36.0;36.25;35.62;35.88;212800.0
1982-05-13;35.62;35.88;35.38;35.38;94600.0
1982-05-14;35.5;35.62;35.38;35.38;53800.0
1982-05-17;35.62;35.75;35.5;35.62;98800.0
1982-05-18;35.75;35.88;35.5;35.5;113200.0
1982-05-19;35.75;35.88;35.5;35.62;228400.0
1982-05-20;35.75;35.88;35.62;35.62;137500.0
1982-05-21;36.0;36.12;35.75;36.12;185100.0
1982-05-24;35.75;35.88;35.62;35.62;137500.0
1982-05-25;36.12;36.25;36.0;36.0;34000.0
1982-05-26;35.38;35.88;34.88;34.88;93200.0
1982-05-27;35.0;35.12;34.75;34.88;39300.0
1982-05-28;35.12;35.25;34.88;34.88;40500.0
1982-06-01;35.12;35.38;34.88;35.38;80700.0
1982-06-02;35.62;35.88;35.25;35.75;83200.0
1982-06-03;35.62;36.38;34.75;34.88;254600.0
1982-06-04;35.25;35.38;35.0;35.12;78600.0
1982-06-07;35.12;35.25;35.0;35.25;47000.0
1982-06-08;35.0;35.25;34.75;34.88;98700.0
1982-06-09;34.38;34.75;34.0;34.5;70900.0
1982-06-10;34.5;34.62;34.25;34.5;77500.0
1982-06-11;35.75;36.25;35.25;36.12;364900.0
1982-06-14;36.25;36.62;35.88;36.12;53100.0
1982-06-15;36.62;37.0;36.25;37.0;115400.0
1982-06-16;37.5;38.0;36.88;37.0;229800.0
1982-06-17;37.0;37.12;36.88;37.0;164600.0
1982-06-18;37.5;37.75;37.12;37.75;108200.0
1982-06-21;37.88;38.5;37.12;37.88;159600.0
1982-06-22;38.62;39.12;38.0;38.62;267500.0
1982-06-23;38.12;38.5;37.75;38.5;410700.0
1982-06-24;38.5;38.75;38.12;38.62;220900.0
1982-06-25;38.38;38.62;38.12;38.25;227900.0
1982-06-28;37.88;38.12;37.5;37.5;164400.0
1982-06-29;37.25;37.5;36.88;37.0;397400.0
1982-06-30;37.25;37.5;37.0;37.5;286600.0
1982-07-01;37.75;38.0;37.38;37.75;103300.0
1982-07-02;37.38;37.62;37.12;37.62;169400.0
1982-07-06;37.5;37.75;37.12;37.38;133400.0
1982-07-07;37.25;37.38;37.0;37.25;65800.0
1982-07-08;36.62;37.38;35.75;36.62;153000.0
1982-07-09;37.12;37.5;36.75;37.38;76000.0
1982-07-12;38.25;38.5;38.0;38.38;169500.0
1982-07-13;38.5;38.75;38.25;38.38;198500.0
1982-07-14;38.38;38.75;38.0;38.75;160100.0
1982-07-15;39.0;39.25;38.75;39.25;90800.0
1982-07-16;39.62;40.0;39.12;39.75;195600.0
1982-07-19;40.12;40.38;39.75;40.12;170900.0
1982-07-20;40.75;41.5;40.0;41.25;234000.0
1982-07-21;41.12;41.62;40.5;40.62;268800.0
1982-07-22;39.88;40.25;39.5;40.0;121900.0
1982-07-23;39.5;39.88;39.0;39.12;153800.0
1982-07-26;39.12;39.25;39.0;39.25;59200.0
1982-07-27;39.5;39.88;39.12;39.25;209200.0
1982-07-28;39.12;39.25;38.88;39.12;78300.0
1982-07-29;39.0;39.12;38.75;39.0;46500.0
1982-07-30;39.12;39.25;38.88;39.12;43900.0
1982-08-02;39.62;40.0;39.12;39.38;82300.0
1982-08-03;39.5;39.62;39.38;39.5;55100.0
1982-08-04;38.75;38.88;38.62;38.62;84400.0
1982-08-05;37.5;38.5;36.5;36.75;212500.0
1982-08-06;35.88;36.5;35.25;35.25;151800.0
1982-08-09;34.75;35.12;34.38;34.62;165600.0
1982-08-10;35.25;35.62;34.75;35.12;163800.0
1982-08-11;35.12;35.38;34.88;35.0;80500.0
1982-08-12;35.12;35.38;34.88;35.12;111800.0
1982-08-13;35.38;35.62;35.0;35.38;73900.0
1982-08-16;36.5;37.38;35.5;36.75;113100.0
1982-08-17;38.5;39.5;37.5;39.38;211000.0
1982-08-18;40.75;41.5;39.88;40.12;357500.0
1982-08-19;40.12;40.62;39.5;40.0;334000.0
1982-08-20;41.38;42.38;40.38;42.0;245400.0
1982-08-23;42.75;43.5;42.0;43.5;336700.0
1982-08-24;43.25;43.88;42.62;42.75;331500.0
1982-08-25;42.75;43.25;42.12;42.75;267500.0
1982-08-26;43.5;44.25;42.75;42.88;229600.0
1982-08-27;42.38;43.0;41.75;41.75;89300.0
1982-08-30;41.5;41.88;41.0;41.5;93600.0
1982-08-31;42.25;43.0;41.38;42.62;242700.0
1982-09-01;43.12;43.5;42.75;43.0;125300.0
1982-09-02;43.75;44.88;42.5;44.12;163900.0
1982-09-03;44.75;46.0;43.5;46.0;495400.0
1982-09-07;45.12;45.75;44.38;44.5;217900.0
1982-09-08;44.12;44.75;43.5;43.75;185900.0
1982-09-09;43.0;43.38;42.62;42.62;287400.0
1982-09-10;42.12;42.88;41.25;41.62;167700.0
1982-09-13;42.0;43.0;41.0;42.88;92900.0
1982-09-14;43.62;44.0;43.12;43.38;95000.0
1982-09-15;43.12;43.38;42.75;43.38;195500.0
1982-09-16;43.88;44.5;43.12;43.88;114900.0
1982-09-17;43.88;44.12;43.5;43.88;136700.0
1982-09-20;43.38;43.88;42.88;43.38;139000.0
1982-09-21;44.0;44.5;43.38;44.5;168300.0
1982-09-22;45.38;45.88;44.75;45.0;124500.0
1982-09-23;44.62;45.0;44.25;44.5;204500.0
1982-09-24;44.75;45.0;44.38;44.5;88300.0
1982-09-27;45.62;46.75;44.5;46.75;101500.0
1982-09-28;46.12;46.75;45.5;45.62;92200.0
1982-09-29;45.5;46.0;44.88;45.62;110900.0
1982-09-30;45.62;45.88;45.25;45.75;62200.0
1982-10-01;46.0;46.75;45.25;46.75;121600.0
1982-10-04;45.62;46.0;45.25;45.75;82200.0
1982-10-05;46.0;46.38;45.62;45.75;118700.0
1982-10-06;47.12;48.25;45.88;48.25;146600.0
1982-10-07;49.38;50.0;48.75;49.0;531400.0
1982-10-08;49.75;50.25;49.25;50.25;287000.0
1982-10-11;51.12;52.25;50.0;51.88;150500.0
1982-10-12;51.88;52.25;51.38;51.5;223200.0
1982-10-13;51.25;52.0;50.5;50.5;166500.0
1982-10-14;49.5;50.5;48.5;48.5;301200.0
1982-10-15;47.75;48.25;47.12;47.5;319100.0
1982-10-18;48.38;48.88;47.75;48.75;100200.0
1982-10-19;49.25;49.88;48.5;48.75;90400.0
1982-10-20;49.0;49.5;48.38;49.25;109900.0
1982-10-21;50.25;50.88;49.5;50.75;296400.0
1982-10-22;51.25;51.88;50.5;51.12;175000.0
1982-10-25;50.0;51.0;49.0;49.5;175800.0
1982-10-26;48.75;49.38;48.0;49.25;190000.0
1982-10-27;49.88;50.88;48.88;50.75;213000.0
1982-10-28;50.5;50.88;50.0;50.0;126200.0
1982-10-29;49.5;50.0;49.0;49.0;129900.0
1982-11-01;49.25;49.88;48.5;49.75;127500.0
1982-11-02;51.25;51.88;50.5;51.25;133400.0
1982-11-03;52.75;53.5;52.0;53.5;143100.0
1982-11-04;55.0;55.62;54.25;55.5;332800.0
1982-11-05;56.38;57.25;55.38;56.38;296400.0
1982-11-08;55.25;55.75;54.62;55.38;115000.0
1982-11-09;56.62;58.0;55.12;57.12;144200.0
1982-11-10;57.12;57.62;56.5;56.5;112000.0
1982-11-11;56.38;56.62;56.0;56.5;129600.0
1982-11-12;55.62;56.75;54.38;54.75;259000.0
1982-11-15;53.12;54.5;51.75;52.0;192800.0
1982-11-16;49.62;51.0;48.25;49.5;355800.0
1982-11-17;49.62;50.62;48.5;49.0;392600.0
1982-11-18;49.62;50.25;49.0;49.62;210600.0
1982-11-19;49.38;49.75;48.88;48.88;217800.0
1982-11-22;48.75;49.25;48.25;48.5;227600.0
1982-11-23;47.62;48.5;46.75;47.0;209000.0
1982-11-24;47.0;47.5;46.5;47.12;190000.0
1982-11-26;48.12;48.88;47.25;48.5;221500.0
1982-11-29;48.62;49.0;48.12;48.88;141100.0
1982-11-30;50.25;51.75;48.75;51.75;213200.0
1982-12-01;52.75;53.5;52.0;53.12;229100.0
1982-12-02;52.88;53.5;52.12;53.12;79300.0
1982-12-03;52.88;53.5;52.12;52.25;74600.0
1982-12-06;53.38;54.75;52.0;54.75;91900.0
1982-12-07;54.75;55.38;54.12;54.62;156000.0
1982-12-08;54.0;54.62;53.38;53.38;242100.0
1982-12-09;52.25;53.62;50.75;51.0;290400.0
1982-12-10;50.25;50.62;49.75;50.12;217500.0
1982-12-13;49.62;50.12;49.0;50.12;321300.0
1982-12-14;49.5;50.75;48.25;48.62;268800.0
1982-12-15;47.62;48.25;47.0;47.0;106600.0
1982-12-16;47.62;48.12;47.0;47.38;108300.0
1982-12-17;48.0;48.38;47.62;48.12;218500.0
1982-12-20;47.75;48.25;47.25;47.62;153500.0
1982-12-21;47.0;47.5;46.5;47.25;81200.0
1982-12-22;47.75;48.25;47.12;48.0;170100.0
1982-12-23;48.12;48.5;47.75;48.38;61500.0
1982-12-27;49.12;50.0;48.25;49.88;59300.0
1982-12-28;49.75;50.38;49.0;49.12;56200.0
1982-12-29;49.0;49.38;48.62;49.12;40700.0
1982-12-30;48.88;49.75;48.0;48.5;57700.0
1982-12-31;48.38;48.5;48.12;48.38;36300.0
1983-01-03;48.88;49.38;48.25;48.5;128600.0
1983-01-04;48.0;48.38;47.62;48.38;61100.0
1983-01-05;47.5;48.38;46.62;46.75;112800.0
1983-01-06;46.0;46.5;45.38;45.38;424900.0
1983-01-07;43.75;44.75;42.75;43.88;553700.0
1983-01-10;44.5;45.75;43.25;45.25;515600.0
1983-01-11;45.62;46.62;44.62;45.0;342600.0
1983-01-12;45.62;46.25;44.88;44.88;174000.0
1983-01-13;44.38;44.88;43.75;44.38;213100.0
1983-01-14;44.75;45.0;44.38;45.0;132500.0
