date;open;high;low;close;volume
2005-07-28;7.01;7.01;7.01;7.01;2000.0
2005-07-29;7.0;7.0;7.0;7.0;20000.0
2005-08-01;7.0;7.0;7.0;7.0;0.0
2005-08-02;7.0;7.0;7.0;7.0;0.0
2005-08-03;7.0;7.0;7.0;7.0;0.0
2005-08-04;7.01;7.01;6.99;7.0;5500.0
2005-08-05;7.0;7.04;7.0;7.04;2500.0
2005-08-08;7.03;7.03;7.03;7.03;2000.0
2005-08-09;7.03;7.03;7.03;7.03;27000.0
2005-08-10;7.04;7.05;7.02;7.05;166500.0
2005-08-11;7.05;7.05;7.03;7.04;125000.0
2005-08-12;7.05;7.05;7.04;7.04;226000.0
2005-08-15;7.05;7.07;7.04;7.06;59000.0
2005-08-16;7.05;7.2;7.04;7.15;34500.0
2005-08-17;7.1;7.1;7.04;7.04;3500.0
2005-08-18;7.06;7.07;7.06;7.06;3500.0
2005-08-19;7.06;7.06;7.06;7.06;0.0
2005-08-22;7.05;7.08;7.03;7.04;59500.0
2005-08-23;7.05;7.1;7.05;7.06;2000.0
2005-08-24;7.06;7.07;7.06;7.06;5000.0
2005-08-25;7.06;7.06;7.06;7.06;0.0
2005-08-26;7.05;7.05;7.02;7.04;30000.0
2005-08-29;7.04;7.09;7.04;7.06;2500.0
2005-08-30;7.05;7.05;7.05;7.05;500.0
2005-08-31;7.03;7.19;7.03;7.1;25500.0
2005-09-01;7.06;7.06;7.06;7.06;1000.0
2005-09-02;7.05;7.05;7.05;7.05;0.0
2005-09-06;7.04;7.04;7.04;7.04;3000.0
2005-09-07;7.04;7.04;7.04;7.04;17000.0
2005-09-08;7.04;7.04;7.03;7.04;11500.0
2005-09-09;7.03;7.03;7.03;7.03;12000.0
2005-09-12;7.04;7.04;7.04;7.04;1000.0
2005-09-13;7.03;7.04;7.02;7.04;35500.0
2005-09-14;7.04;7.04;7.04;7.04;2000.0
2005-09-15;7.04;7.09;7.04;7.09;13000.0
2005-09-16;7.09;7.09;7.05;7.05;10000.0
2005-09-19;7.05;7.09;7.04;7.09;3000.0
2005-09-20;7.04;7.04;7.03;7.03;50500.0
