date;open;high;low;close;volume
1992-03-10;39.88;40.0;39.38;39.62;6400.0
1992-03-11;39.75;40.0;39.5;39.75;14200.0
1992-03-12;39.62;40.88;39.62;40.88;17800.0
1992-03-13;40.88;40.88;40.37;40.63;9600.0
1992-03-16;40.37;41.87;40.37;41.62;16800.0
1992-03-17;41.0;41.0;40.0;40.37;35500.0
1992-03-18;40.0;40.25;38.87;39.25;23700.0
1992-03-19;39.0;39.0;38.87;39.0;22900.0
1992-03-20;39.25;40.0;39.25;39.75;19100.0
1992-03-23;39.62;39.88;39.62;39.88;5600.0
1992-03-24;39.88;39.88;38.75;39.25;10600.0
1992-03-25;39.25;39.25;39.0;39.0;900.0
1992-03-26;39.13;39.38;38.5;38.5;18500.0
1992-03-27;38.38;38.38;37.25;37.25;12700.0
1992-03-30;36.25;37.0;36.25;36.88;43800.0
1992-03-31;36.88;37.25;36.88;37.25;1600.0
1992-04-01;37.0;38.0;37.0;38.0;12800.0
1992-04-02;37.75;38.0;37.63;37.63;2100.0
1992-04-03;37.75;37.75;37.37;37.5;14700.0
1992-04-06;37.63;37.75;37.63;37.75;1200.0
1992-04-07;37.75;37.75;37.0;37.0;2900.0
1992-04-08;37.0;37.25;36.75;36.75;8400.0
1992-04-09;36.75;37.37;36.75;37.37;4300.0
1992-04-10;37.63;37.63;37.5;37.63;4300.0
1992-04-13;37.75;37.88;37.63;37.63;2200.0
1992-04-14;37.63;37.88;37.5;37.5;8600.0
1992-04-15;37.75;38.12;37.63;37.75;7900.0
1992-04-16;38.12;38.12;37.75;37.75;6800.0
1992-04-20;38.0;38.0;37.5;37.88;4800.0
1992-04-21;37.63;37.88;37.63;37.88;1600.0
1992-04-22;38.0;38.0;37.63;37.75;3700.0
1992-04-23;37.63;37.75;37.5;37.75;8600.0
1992-04-24;37.5;37.88;37.5;37.5;3000.0
1992-04-27;37.5;37.88;37.5;37.88;3000.0
1992-04-28;37.88;37.88;37.5;37.5;1900.0
1992-04-29;37.75;37.75;37.37;37.5;26300.0
1992-04-30;37.5;37.75;37.5;37.75;8800.0
1992-05-01;38.0;38.0;38.0;38.0;1100.0
1992-05-04;37.75;37.88;37.75;37.88;700.0
1992-05-05;37.75;37.75;37.75;37.75;1900.0
1992-05-06;37.75;38.0;37.63;37.63;6200.0
1992-05-07;37.75;38.0;37.75;38.0;4300.0
1992-05-08;37.88;38.25;37.88;38.0;13800.0
1992-05-11;38.0;38.0;37.75;37.75;5400.0
1992-05-12;37.88;37.88;37.63;37.63;1700.0
1992-05-13;37.5;37.63;37.37;37.37;4800.0
1992-05-14;37.63;37.75;37.5;37.5;1000.0
1992-05-15;37.75;37.75;37.37;37.37;1900.0
1992-05-18;37.25;37.75;37.25;37.75;5800.0
1992-05-19;38.0;38.25;37.75;37.88;9400.0
1992-05-20;38.0;38.12;37.75;37.75;11600.0
1992-05-21;37.75;37.88;37.63;37.75;4500.0
1992-05-22;38.0;38.12;37.88;38.0;4100.0
1992-05-26;38.25;38.62;38.12;38.62;22400.0
1992-05-27;38.87;40.25;38.87;40.12;22100.0
1992-05-28;40.25;40.75;39.5;39.75;15600.0
1992-05-29;39.75;39.75;39.25;39.25;7300.0
1992-06-01;39.38;39.38;39.0;39.38;5300.0
1992-06-02;39.38;39.38;39.0;39.13;6100.0
1992-06-03;39.13;39.13;38.87;39.13;1800.0
1992-06-04;39.0;39.13;38.75;38.75;3100.0
1992-06-05;38.87;38.87;38.62;38.62;2100.0
1992-06-08;38.38;38.5;38.0;38.25;4700.0
1992-06-09;38.12;38.5;37.88;38.0;2500.0
1992-06-10;38.0;38.25;38.0;38.25;2000.0
1992-06-11;38.38;38.38;38.0;38.12;6000.0
1992-06-12;38.25;38.25;38.12;38.12;2700.0
1992-06-15;38.12;38.25;37.88;37.88;6500.0
1992-06-16;38.0;38.0;37.88;37.88;3600.0
1992-06-17;38.0;38.0;37.75;37.75;4400.0
1992-06-18;37.63;37.88;37.63;37.75;800.0
1992-06-19;37.75;37.88;37.75;37.88;500.0
1992-06-22;37.63;37.63;37.63;37.63;1700.0
1992-06-23;37.75;37.75;37.37;37.5;2900.0
1992-06-24;37.5;37.5;37.12;37.12;8300.0
1992-06-25;37.12;37.12;37.12;37.12;1700.0
1992-06-26;37.0;37.25;37.0;37.0;10700.0
1992-06-29;37.0;37.37;37.0;37.37;7900.0
1992-06-30;37.37;37.37;37.12;37.37;3600.0
1992-07-01;37.25;37.37;37.12;37.37;9600.0
1992-07-02;37.12;37.37;37.12;37.37;4300.0
1992-07-06;37.25;37.37;37.12;37.25;2500.0
1992-07-07;37.0;37.0;36.5;36.5;8400.0
1992-07-08;36.5;36.5;36.13;36.13;16800.0
1992-07-09;36.25;36.25;36.0;36.25;5000.0
1992-07-10;36.38;36.38;36.25;36.38;9400.0
1992-07-13;36.25;36.25;36.0;36.0;4100.0
1992-07-14;36.13;36.13;35.38;35.75;10200.0
1992-07-15;35.62;35.62;35.38;35.5;3700.0
1992-07-16;35.75;35.75;35.5;35.5;13400.0
1992-07-17;35.62;35.75;35.38;35.5;5000.0
1992-07-20;35.5;35.5;35.25;35.5;3700.0
1992-07-21;35.38;35.62;35.38;35.5;1900.0
1992-07-22;35.5;35.5;35.25;35.25;5200.0
1992-07-23;35.38;35.38;35.25;35.38;1400.0
1992-07-24;35.38;35.5;35.25;35.5;4100.0
1992-07-27;35.25;35.25;35.25;35.25;700.0
1992-07-28;35.38;35.75;35.25;35.75;27700.0
1992-07-29;35.87;36.75;35.87;36.62;8800.0
1992-07-30;36.62;36.62;36.5;36.5;17500.0
1992-07-31;36.5;36.5;36.13;36.38;1500.0
1992-08-03;36.25;36.25;35.87;35.87;11500.0
1992-08-04;36.0;36.0;34.75;34.88;21000.0
1992-08-05;34.88;35.0;34.75;35.0;3400.0
1992-08-06;35.25;35.62;35.0;35.62;7200.0
1992-08-07;35.62;35.62;35.5;35.5;2900.0
