date;open;high;low;close;volume
1983-12-30;44.0;44.5;43.5;44.0;47000.0
1984-01-03;43.94;44.25;43.62;44.0;85667.0
1984-01-04;44.84;45.87;44.25;45.87;65000.0
1984-01-05;46.81;47.38;46.25;47.38;76467.0
1984-01-06;46.88;47.38;46.38;46.88;43200.0
1984-01-09;47.0;47.38;46.62;47.0;48067.0
1984-01-10;47.69;48.25;47.12;47.88;31800.0
1984-01-11;47.88;49.0;47.38;48.87;88400.0
1984-01-12;48.87;49.63;48.63;49.37;66200.0
1984-01-13;49.87;50.25;49.5;49.63;131400.0
1984-01-16;49.37;49.63;49.13;49.13;23067.0
1984-01-17;49.13;49.13;48.0;48.25;29800.0
1984-01-18;48.94;49.5;48.38;49.37;300600.0
1984-01-19;49.37;49.63;49.13;49.37;54467.0
1984-01-20;49.37;49.37;48.75;49.0;37400.0
1984-01-23;49.44;49.75;49.13;49.63;54667.0
1984-01-24;49.94;50.25;49.63;50.25;65000.0
1984-01-25;50.94;51.25;50.62;50.75;54000.0
1984-01-26;50.75;50.88;50.13;50.25;47200.0
1984-01-27;50.25;50.25;49.63;50.0;40667.0
1984-01-30;49.75;49.87;49.63;49.75;22200.0
1984-01-31;49.75;51.25;49.75;50.5;78267.0
1984-02-01;50.5;51.0;49.63;49.75;50067.0
1984-02-02;49.75;49.87;49.37;49.37;51267.0
1984-02-03;50.0;50.5;49.5;49.75;71067.0
1984-02-06;48.94;49.63;48.25;48.63;15000.0
1984-02-07;48.0;48.38;47.62;48.0;47200.0
1984-02-08;48.0;48.87;47.62;48.25;87800.0
1984-02-09;48.25;48.5;47.75;48.0;43667.0
1984-02-10;48.0;48.63;48.0;48.63;51667.0
1984-02-13;48.63;49.0;48.5;48.5;72000.0
1984-02-14;48.5;49.5;48.38;49.5;30000.0
1984-02-15;49.5;50.5;49.25;50.25;120800.0
1984-02-16;50.25;51.38;50.0;51.0;80467.0
1984-02-17;51.0;51.12;50.13;50.13;145400.0
1984-02-21;50.13;50.37;49.63;49.63;24000.0
1984-02-22;49.63;49.87;48.25;48.25;43867.0
1984-02-23;48.25;48.38;47.12;47.75;103600.0
1984-02-24;47.75;48.25;47.5;48.0;14800.0
1984-02-27;48.0;48.63;47.12;48.63;136267.0
1984-02-28;48.19;48.5;47.62;48.0;65400.0
1984-02-29;48.0;48.87;47.88;48.25;46667.0
1984-03-01;47.75;48.0;47.5;47.75;60800.0
1984-03-02;47.75;49.5;47.75;49.0;45667.0
1984-03-05;49.0;49.25;48.0;48.25;118400.0
1984-03-06;48.25;48.5;47.75;47.75;48467.0
1984-03-07;47.75;47.75;47.0;47.0;33467.0
1984-03-08;47.0;47.75;47.0;47.75;26867.0
1984-03-09;46.75;47.0;46.5;46.5;84867.0
1984-03-12;46.5;46.88;45.25;45.25;95000.0
1984-03-13;45.81;46.25;45.37;46.12;62267.0
1984-03-14;45.56;46.0;45.13;45.5;72867.0
1984-03-15;45.5;46.12;45.25;46.0;79667.0
1984-03-16;47.5;48.0;47.0;47.38;51267.0
1984-03-19;46.69;47.25;46.12;46.62;43600.0
1984-03-20;47.0;47.5;46.5;47.5;50600.0
1984-03-21;47.5;48.0;47.5;48.0;20067.0
1984-03-22;48.0;48.38;47.5;47.5;27867.0
1984-03-23;47.5;47.88;47.12;47.12;11400.0
1984-03-26;47.12;47.38;46.88;47.12;16800.0
1984-03-27;47.12;47.25;46.62;47.0;117267.0
1984-03-28;47.0;47.25;46.88;47.0;21667.0
1984-03-29;47.0;47.25;46.5;46.5;27800.0
1984-03-30;46.5;46.5;45.37;45.37;46200.0
1984-04-02;45.75;46.12;45.37;45.37;56267.0
1984-04-03;45.37;45.87;44.5;44.5;23467.0
1984-04-04;44.5;44.87;44.25;44.25;62600.0
1984-04-05;44.25;44.5;43.38;43.38;64467.0
1984-04-06;43.38;43.38;42.75;42.88;14600.0
1984-04-09;42.88;43.25;42.25;42.62;47867.0
1984-04-10;43.0;43.25;42.75;42.75;12867.0
1984-04-11;43.0;43.12;42.88;43.12;19267.0
1984-04-12;43.12;44.87;42.38;44.87;82867.0
1984-04-13;44.87;45.25;44.87;44.87;30267.0
1984-04-16;29.5;29.87;29.25;29.62;16867.0
1984-04-17;29.62;30.25;29.62;30.0;45700.0
1984-04-18;30.0;30.25;29.87;29.87;18600.0
1984-04-19;29.87;30.25;29.87;30.0;37300.0
1984-04-23;30.0;30.0;29.25;30.0;24500.0
1984-04-24;30.0;30.75;30.0;30.38;62000.0
1984-04-25;30.88;31.25;30.5;31.0;61400.0
1984-04-26;31.0;31.5;30.62;31.25;67800.0
1984-04-27;31.25;31.88;31.0;31.5;68900.0
1984-04-30;31.5;31.75;31.25;31.63;29600.0
1984-05-01;31.63;32.12;31.5;32.12;75000.0
1984-05-02;33.06;33.25;32.87;32.87;46000.0
1984-05-03;32.87;33.25;32.62;32.87;37300.0
1984-05-04;32.87;32.87;32.12;32.25;34100.0
1984-05-07;32.25;32.75;32.25;32.25;15900.0
1984-05-08;32.75;33.0;32.5;32.62;110400.0
1984-05-09;32.62;32.62;31.0;31.25;96700.0
1984-05-10;31.25;31.63;31.0;31.25;94300.0
1984-05-11;30.56;31.0;29.5;29.75;91000.0
1984-05-14;29.44;29.62;29.25;29.38;80400.0
1984-05-15;29.38;30.13;29.38;30.0;82800.0
1984-05-16;30.0;30.0;29.62;29.87;38000.0
1984-05-17;29.87;30.0;29.38;29.5;62700.0
1984-05-18;29.5;30.0;29.5;29.87;20900.0
1984-05-21;29.87;29.87;29.38;29.38;207500.0
1984-05-22;28.88;29.12;27.5;28.25;35200.0
1984-05-23;28.25;28.63;27.38;27.38;73700.0
1984-05-24;27.88;29.25;27.5;27.62;1340000.0
1984-05-25;27.62;28.0;27.13;27.5;76700.0
1984-05-29;27.5;27.62;26.0;26.5;72500.0
1984-05-30;25.0;26.25;24.75;25.12;354400.0
1984-05-31;25.12;25.25;23.5;24.13;129600.0
1984-06-01;24.13;24.38;23.5;24.0;247000.0
1984-06-04;25.0;26.0;24.5;25.37;194900.0
1984-06-05;25.37;25.63;24.75;25.12;1790100.0
1984-06-06;25.12;25.63;25.12;25.63;121900.0
1984-06-07;25.63;25.75;25.37;25.63;301600.0
1984-06-08;25.75;26.0;25.5;26.0;236000.0
1984-06-11;25.37;25.37;24.5;24.75;66300.0
1984-06-12;24.5;24.5;23.75;24.5;230500.0
1984-06-13;24.62;24.88;24.25;24.38;141500.0
1984-06-14;24.25;24.25;23.5;23.87;204900.0
1984-06-15;24.0;24.38;23.75;24.0;119500.0
1984-06-18;24.25;25.25;24.0;25.25;78400.0
1984-06-19;25.25;25.75;25.12;25.63;56900.0
1984-06-20;25.37;26.5;25.12;26.5;113400.0
1984-06-21;26.5;27.25;26.25;27.0;141600.0
1984-06-22;26.75;26.75;26.25;26.38;59700.0
1984-06-25;26.12;26.62;26.0;26.12;41300.0
1984-06-26;25.88;25.88;25.63;25.75;115600.0
1984-06-27;25.5;25.75;25.12;25.25;33500.0
1984-06-28;25.25;25.25;24.5;24.88;65300.0
1984-06-29;23.87;24.38;23.5;24.0;241500.0
1984-07-02;24.0;24.62;23.75;24.38;177500.0
1984-07-03;24.62;25.5;24.62;25.25;176000.0
1984-07-05;25.25;25.63;25.25;25.63;29300.0
1984-07-06;25.37;25.5;25.12;25.25;37400.0
1984-07-09;25.12;26.5;25.12;26.5;53200.0
1984-07-10;26.38;26.75;26.0;26.38;79200.0
1984-07-11;26.25;26.38;26.0;26.12;118100.0
1984-07-12;26.12;26.12;25.37;25.75;35400.0
1984-07-13;25.75;26.0;25.5;26.0;41800.0
1984-07-16;25.88;26.0;25.63;25.88;21000.0
1984-07-17;26.12;27.13;26.0;27.0;94500.0
1984-07-18;27.0;27.25;26.25;26.25;75000.0
1984-07-19;26.25;26.25;24.88;25.12;95800.0
1984-07-20;25.12;25.75;24.75;24.88;109300.0
1984-07-23;24.75;25.0;24.5;24.88;86800.0
