date;open;high;low;close;volume
1987-11-05;8.38;8.5;8.13;8.25;27700.0
1987-11-06;8.25;8.63;8.25;8.5;44400.0
1987-11-09;8.63;8.63;8.5;8.5;99600.0
1987-11-10;8.5;8.5;8.13;8.5;16200.0
1987-11-11;8.25;8.5;8.25;8.5;300.0
1987-11-12;8.25;8.25;8.25;8.25;3400.0
1987-11-13;8.38;8.38;8.38;8.38;600.0
1987-11-16;8.38;8.38;8.25;8.25;2800.0
1987-11-17;8.38;8.75;8.25;8.25;32800.0
1987-11-18;7.75;8.25;7.75;8.25;266800.0
1987-11-19;8.0;8.0;7.88;7.88;1800.0
1987-11-20;8.0;8.0;7.88;7.88;600.0
1987-11-23;7.88;8.25;7.88;8.13;3900.0
1987-11-24;8.38;8.88;8.38;8.75;10600.0
1987-11-25;8.63;8.75;8.63;8.63;6300.0
1987-11-27;8.5;8.75;8.5;8.5;5200.0
1987-11-30;8.25;8.25;7.75;7.88;12100.0
1987-12-01;8.13;8.13;7.75;7.75;16000.0
1987-12-02;7.75;7.75;7.75;7.75;1200.0
1987-12-03;7.75;7.75;7.75;7.75;6100.0
1987-12-04;7.75;8.25;7.75;8.13;32400.0
1987-12-07;7.88;8.0;7.75;8.0;15600.0
1987-12-08;7.75;8.0;7.75;8.0;17400.0
1987-12-09;7.75;8.0;7.75;7.75;4800.0
1987-12-10;7.75;8.0;7.75;8.0;18000.0
1987-12-11;7.75;8.38;7.75;8.38;24900.0
1987-12-14;8.0;8.25;8.0;8.25;13800.0
1987-12-15;8.0;8.0;7.75;7.88;8700.0
1987-12-16;7.75;8.5;7.75;8.5;23200.0
1987-12-17;8.25;8.38;7.88;8.13;22500.0
1987-12-18;8.13;8.25;8.0;8.25;7500.0
1987-12-21;8.13;8.13;8.0;8.13;22600.0
1987-12-22;7.88;8.0;7.75;7.88;19200.0
1987-12-23;7.88;8.25;7.88;8.25;33400.0
1987-12-24;8.13;8.25;8.0;8.13;8800.0
1987-12-28;8.13;8.13;8.0;8.0;8800.0
1987-12-29;8.13;8.13;8.13;8.13;1200.0
1987-12-30;8.0;8.38;7.88;8.25;21400.0
1987-12-31;8.13;8.38;8.13;8.25;22800.0
1988-01-04;8.38;8.63;8.25;8.38;6900.0
1988-01-05;8.5;8.75;8.5;8.63;10800.0
1988-01-06;8.75;9.38;8.75;9.38;14500.0
1988-01-07;9.5;9.88;9.38;9.88;4200.0
1988-01-08;9.75;9.75;9.25;9.38;3400.0
1988-01-11;9.13;9.5;9.13;9.5;5700.0
1988-01-12;9.25;9.63;9.25;9.63;3600.0
1988-01-13;9.63;9.63;9.25;9.5;3400.0
1988-01-14;9.5;9.5;9.25;9.38;5500.0
1988-01-15;9.38;9.5;9.25;9.5;5800.0
1988-01-18;9.5;9.63;9.5;9.63;1300.0
1988-01-19;9.5;9.75;9.25;9.25;21900.0
1988-01-20;9.5;9.5;9.25;9.5;4900.0
1988-01-21;9.5;9.5;9.0;9.0;6400.0
1988-01-22;9.13;9.25;9.13;9.25;3100.0
1988-01-25;9.13;9.13;9.0;9.0;15600.0
1988-01-26;9.0;9.13;9.0;9.0;3100.0
1988-01-27;9.0;9.0;8.88;8.88;1500.0
1988-01-28;9.0;9.0;8.75;8.75;900.0
1988-01-29;8.88;9.5;8.88;9.5;6900.0
1988-02-01;9.5;9.63;9.13;9.13;24300.0
1988-02-02;9.38;10.38;9.38;10.38;21900.0
1988-02-03;10.38;11.13;10.38;10.63;16000.0
1988-02-04;10.63;10.63;10.13;10.38;12600.0
1988-02-05;10.5;10.5;10.13;10.5;4800.0
1988-02-08;10.25;10.25;10.0;10.25;5800.0
1988-02-09;10.25;10.75;10.25;10.75;4900.0
1988-02-10;10.88;10.88;10.5;10.63;8700.0
1988-02-11;10.75;10.75;10.38;10.38;3000.0
1988-02-12;10.38;10.38;10.25;10.25;2500.0
1988-02-16;10.13;10.25;10.13;10.25;7600.0
1988-02-17;10.38;10.75;10.38;10.75;7200.0
1988-02-18;10.5;10.88;10.5;10.88;7200.0
1988-02-19;10.63;11.25;10.63;11.13;19900.0
1988-02-22;11.0;11.38;11.0;11.0;14700.0
1988-02-23;10.75;10.88;10.5;10.88;3400.0
1988-02-24;10.88;10.88;10.5;10.5;26400.0
1988-02-25;10.5;10.5;10.25;10.38;3700.0
1988-02-26;10.25;10.25;10.0;10.0;1300.0
1988-02-29;9.75;10.0;9.63;10.0;10900.0
1988-03-01;9.75;9.75;9.5;9.63;4000.0
1988-03-02;9.63;9.63;9.5;9.63;10800.0
1988-03-03;9.5;9.5;9.25;9.25;46900.0
1988-03-04;9.25;9.25;9.13;9.25;4200.0
1988-03-07;9.0;9.5;9.0;9.5;5100.0
1988-03-08;9.5;10.0;9.5;9.75;4200.0
1988-03-09;9.75;9.75;9.5;9.63;6900.0
1988-03-10;9.38;9.5;9.38;9.5;15600.0
1988-03-11;9.5;9.63;9.38;9.63;1200.0
