date;open;high;low;close;volume
1995-08-18;49.75;49.75;49.75;49.75;0.0
1995-08-21;49.0;51.0;49.0;51.0;1300.0
1995-08-22;49.5;49.5;49.5;49.5;400.0
1995-08-23;49.25;50.0;49.25;50.0;5200.0
1995-08-24;49.25;50.0;49.25;50.0;0.0
1995-08-25;50.0;50.0;50.0;50.0;0.0
1995-08-28;50.0;50.0;50.0;50.0;0.0
1995-08-29;52.0;52.0;49.5;50.0;1700.0
1995-08-30;50.0;50.0;50.0;50.0;0.0
1995-08-31;50.0;50.0;50.0;50.0;0.0
1995-09-01;50.0;50.25;50.0;50.25;600.0
1995-09-05;49.5;49.5;49.5;49.5;700.0
1995-09-06;49.5;50.0;49.5;50.0;1500.0
1995-09-07;50.0;50.0;50.0;50.0;0.0
1995-09-08;51.0;51.0;51.0;51.0;1000.0
1995-09-11;50.75;50.75;50.75;50.75;600.0
1995-09-12;50.75;50.75;50.75;50.75;500.0
1995-09-13;49.75;50.5;49.75;50.5;400.0
1995-09-14;51.0;52.0;49.75;51.0;3100.0
1995-09-15;49.75;52.0;49.75;52.0;1000.0
1995-09-18;49.75;50.75;49.75;50.0;1900.0
1995-09-19;50.0;50.0;50.0;50.0;200.0
1995-09-20;50.0;50.0;50.0;50.0;0.0
1995-09-21;50.0;51.25;50.0;51.25;1300.0
1995-09-22;51.5;51.5;50.0;50.0;500.0
1995-09-25;50.0;50.0;50.0;50.0;0.0
1995-09-26;50.5;52.0;50.5;51.25;1300.0
1995-09-27;52.5;52.5;51.25;51.25;3300.0
1995-09-28;50.5;53.0;50.5;53.0;300.0
1995-09-29;53.0;53.0;53.0;53.0;100.0
1995-10-02;51.0;53.0;51.0;51.0;4700.0
1995-10-03;52.75;52.75;52.0;52.75;900.0
1995-10-04;53.0;53.0;51.0;51.0;2400.0
1995-10-05;53.0;53.0;51.5;52.0;3000.0
1995-10-06;51.5;51.5;51.5;51.5;1500.0
1995-10-09;52.0;52.0;52.0;52.0;500.0
1995-10-10;52.0;52.0;52.0;52.0;0.0
1995-10-11;51.5;51.5;51.5;51.5;1100.0
1995-10-12;51.5;51.5;51.5;51.5;0.0
1995-10-13;51.5;51.5;51.5;51.5;100.0
1995-10-16;51.5;51.5;51.5;51.5;200.0
1995-10-17;51.5;51.5;51.5;51.5;0.0
1995-10-18;54.0;54.0;54.0;54.0;100.0
1995-10-19;51.5;54.0;51.5;51.63;4800.0
1995-10-20;54.0;54.0;54.0;54.0;100.0
1995-10-23;51.5;51.5;51.5;51.5;100.0
1995-10-24;51.5;51.5;51.5;51.5;0.0
1995-10-25;51.5;51.5;51.5;51.5;200.0
1995-10-26;51.5;51.5;51.0;51.0;5200.0
1995-10-27;51.0;52.0;50.0;50.25;22100.0
1995-10-30;52.5;52.5;50.75;51.0;13000.0
1995-10-31;51.0;51.0;51.0;51.0;400.0
1995-11-01;50.5;50.75;50.5;50.75;1000.0
1995-11-02;51.0;51.0;51.0;51.0;200.0
1995-11-03;51.0;51.0;51.0;51.0;0.0
1995-11-06;51.5;51.5;51.5;51.5;800.0
1995-11-07;51.5;51.5;51.5;51.5;0.0
1995-11-08;51.5;51.63;51.5;51.5;7100.0
1995-11-09;51.75;51.75;51.75;51.75;100.0
1995-11-10;51.63;51.63;51.63;51.63;2500.0
1995-11-13;51.5;53.13;51.5;53.13;3400.0
1995-11-14;52.0;53.13;52.0;52.0;6300.0
1995-11-15;52.5;52.5;52.5;52.5;200.0
1995-11-16;53.75;53.75;53.75;53.75;200.0
1995-11-17;53.75;53.75;53.75;53.75;0.0
1995-11-20;51.5;51.5;51.5;51.5;300.0
1995-11-21;53.75;53.75;51.5;51.5;500.0
1995-11-22;54.0;54.0;54.0;54.0;200.0
1995-11-24;54.0;54.0;54.0;54.0;0.0
1995-11-27;54.0;54.0;54.0;54.0;0.0
1995-11-28;54.0;54.0;54.0;54.0;0.0
1995-11-29;51.5;52.88;51.5;51.5;2500.0
1995-11-30;51.5;51.5;51.5;51.5;0.0
1995-12-01;51.5;54.0;51.5;54.0;200.0
1995-12-04;51.5;54.0;51.5;52.0;600.0
1995-12-05;54.0;54.0;52.0;52.0;1000.0
1995-12-06;51.75;51.75;51.75;51.75;100.0
1995-12-07;52.25;52.25;51.75;52.0;500.0
1995-12-08;51.75;51.75;51.75;51.75;200.0
1995-12-11;51.75;51.75;51.75;51.75;100.0
1995-12-12;52.5;52.5;52.5;52.5;200.0
1995-12-13;51.75;52.88;51.75;52.0;300.0
1995-12-14;54.0;54.0;53.0;53.0;900.0
1995-12-15;54.0;54.0;54.0;54.0;900.0
1995-12-18;52.0;53.0;52.0;53.0;500.0
1995-12-19;53.75;53.75;53.0;53.0;900.0
1995-12-20;52.0;52.5;52.0;52.0;500.0
1995-12-21;52.0;52.0;52.0;52.0;0.0
1995-12-22;52.0;52.0;52.0;52.0;0.0
1995-12-26;53.0;53.0;52.0;53.0;600.0
1995-12-27;52.0;53.0;52.0;52.38;800.0
1995-12-28;52.0;52.0;52.0;52.0;200.0
1995-12-29;53.0;53.0;52.0;52.5;1300.0
1996-01-02;54.0;54.0;53.0;53.0;300.0
1996-01-03;53.0;53.0;53.0;53.0;0.0
1996-01-04;54.0;54.0;53.0;53.0;400.0
1996-01-05;52.0;54.0;52.0;54.0;700.0
1996-01-08;54.0;54.0;54.0;54.0;0.0
1996-01-09;54.0;54.0;51.25;51.25;200.0
1996-01-10;51.75;53.0;51.75;51.75;3200.0
1996-01-11;54.0;54.0;51.25;51.25;0.0
1996-01-12;51.75;53.0;51.75;51.75;200.0
1996-01-15;51.75;51.75;51.75;51.75;3400.0
1996-01-16;52.0;52.0;52.0;52.0;200.0
1996-01-17;51.75;51.75;51.75;51.75;200.0
