date;open;high;low;close;volume
2013-09-23;19.25;19.5;19.25;19.4;87200.0
2013-09-24;21.0;23.0;21.0;22.9;65000.0
2013-09-25;24.0;24.0;21.95;23.05;118400.0
2013-09-26;23.1;24.5;23.1;24.5;192400.0
2013-09-27;24.75;26.25;24.65;25.5;193700.0
2013-09-30;26.5;26.5;25.0;25.0;32200.0
2013-10-01;25.5;25.75;25.25;25.65;160800.0
2013-10-02;25.65;26.05;25.5;25.65;27800.0
2013-10-03;25.5;28.0;25.5;28.0;22200.0
2013-10-04;27.0;28.12;27.0;28.05;136000.0
2013-10-07;29.0;30.0;28.75;29.0;10200.0
2013-10-08;29.0;29.0;28.0;28.0;7800.0
2013-10-09;27.5;27.5;26.5;27.0;4400.0
2013-10-10;26.9;27.5;26.9;27.0;10800.0
2013-10-11;27.5;27.5;26.75;27.0;81200.0
2013-10-14;27.5;27.5;25.5;25.5;0.0
2013-10-15;25.5;26.75;25.5;26.0;5600.0
2013-10-16;26.5;26.5;25.55;25.75;1200.0
2013-10-17;26.5;27.25;25.55;25.55;0.0
2013-10-18;26.0;26.0;24.64;25.05;0.0
2013-10-21;25.0;25.25;24.5;24.5;18800.0
2013-10-22;24.25;24.5;23.5;23.5;78200.0
2013-10-23;24.5;24.5;23.05;23.25;104000.0
2013-10-24;24.0;24.0;23.0;23.11;89200.0
2013-10-25;23.0;23.0;22.8;22.8;40600.0
2013-10-28;22.8;23.0;22.5;22.75;12600.0
2013-10-29;22.75;23.5;22.0;22.62;108800.0
2013-10-30;23.25;25.0;23.25;24.8;78800.0
2013-10-31;24.9;26.75;24.25;26.0;247000.0
2013-11-01;26.3;27.5;25.05;26.25;75700.0
2013-11-04;26.52;27.0;26.52;26.9;49500.0
2013-11-05;27.0;27.0;26.5;26.9;35500.0
2013-11-06;27.03;27.03;25.75;26.0;14000.0
2013-11-07;25.65;25.8;24.95;25.2125;19200.0
2013-11-08;25.0;25.5;24.9001;25.24;71200.0
2013-11-11;25.3001;25.4;25.25;25.4;5600.0
2013-11-12;25.4;25.5;24.8;24.8;17200.0
2013-11-13;25.2;25.4206;24.62;24.74;19400.0
2013-11-14;24.75;24.84;24.57;24.74;14600.0
2013-11-15;24.491;24.6;24.32;24.45;36400.0
2013-11-18;24.41;24.53;23.35;23.76;18600.0
2013-11-19;23.55;23.9699;23.5;23.7;23800.0
2013-11-20;23.4;23.5499;23.23;23.46;9100.0
2013-11-21;23.09;23.6;23.081;23.23;22700.0
2013-11-22;23.44;23.44;22.9001;23.02;22500.0
2013-11-25;22.83;23.63;22.78;23.2;10200.0
2013-11-26;22.77;24.94;22.76;24.62;139400.0
2013-11-27;24.87;25.58;24.837;25.35;12500.0
2013-11-29;25.1;26.88;24.8;26.48;58400.0
2013-12-02;26.69;27.41;26.5;26.96;179700.0
2013-12-03;26.75;26.95;26.37;26.89;25600.0
2013-12-04;26.96;28.23;26.8;27.66;185800.0
2013-12-05;27.39;27.5;26.7;27.0;66400.0
2013-12-06;26.99;27.0;25.9;26.51;90200.0
2013-12-09;25.46;26.9;25.46;26.27;61100.0
2013-12-10;26.51;27.45;26.07;27.43;87700.0
2013-12-11;27.16;28.1;26.71;27.7;154600.0
2013-12-12;27.84;28.58;27.511;28.19;313100.0
2013-12-13;28.44;29.5;28.41;29.3;244000.0
2013-12-16;29.4;32.33;29.4;32.25;538500.0
2013-12-17;32.02;32.95;31.09;32.1;261100.0
2013-12-18;32.66;34.61;32.21;32.98;299600.0
2013-12-19;33.33;34.355;32.89;33.91;278000.0
2013-12-20;33.91;34.51;32.75;32.86;1030600.0
2013-12-23;33.3;34.2;31.81;32.06;98300.0
2013-12-24;31.8;32.83;31.8;32.35;14400.0
2013-12-26;32.51;33.49;32.28;33.42;39100.0
2013-12-27;33.33;33.68;32.17;33.68;41900.0
2013-12-30;33.81;33.81;33.06;33.41;65800.0
2013-12-31;33.01;34.71;33.0;34.71;167600.0
2014-01-02;34.41;34.41;32.8;34.02;153700.0
2014-01-03;33.8;33.8;31.9501;32.9;119900.0
2014-01-06;32.68;34.42;32.68;34.27;54000.0
2014-01-07;34.14;37.15;34.14;36.3;150900.0
2014-01-08;36.4;37.73;36.4;37.2;57700.0
2014-01-09;37.4;37.69;36.9539;37.2;28600.0
2014-01-10;36.96;37.449;36.3;36.88;37500.0
2014-01-13;36.2;36.74;34.44;34.5;42100.0
2014-01-14;34.8;35.04;33.78;34.25;63500.0
2014-01-15;34.3;34.3;32.81;32.99;30800.0
2014-01-16;33.0;33.1129;32.101;32.3;36700.0
2014-01-17;32.17;33.1875;31.76;32.36;34100.0
2014-01-21;32.4;33.25;32.38;32.44;30600.0
2014-01-22;32.49;32.59;32.04;32.39;16900.0
2014-01-23;32.1;32.25;31.5;31.96;34100.0
2014-01-24;31.64;31.96;29.8425;30.3;49000.0
2014-01-27;30.11;30.58;29.68;29.95;52800.0
2014-01-28;29.35;29.93;29.35;29.89;27400.0
2014-01-29;29.65;30.25;29.5;29.67;34300.0
2014-01-30;29.77;29.95;29.035;29.17;35400.0
2014-01-31;29.0;29.085;27.86;28.17;46500.0
2014-02-03;28.63;28.71;27.55;28.0;46400.0
2014-02-04;28.0;28.52;27.5428;28.48;45200.0
2014-02-05;28.5;29.89;28.26;28.46;56400.0
2014-02-06;28.5;28.6999;27.84;28.51;13100.0
2014-02-07;28.5;29.4;28.5;28.95;14300.0
2014-02-10;28.83;29.04;28.75;28.915;7100.0
2014-02-11;28.77;29.59;28.77;29.2;21700.0
2014-02-12;29.11;29.25;28.75;28.81;16500.0
2014-02-13;28.82;30.23;28.675;29.79;85100.0
2014-02-14;29.81;30.17;29.47;30.15;30100.0
2014-02-18;29.82;30.08;29.65;29.76;11000.0
