date;open;high;low;close;volume
2006-02-01;14.6;16.29;14.5;15.75;5037200.0
2006-02-02;15.75;17.3;15.3;16.15;751100.0
2006-02-03;16.65;17.0;16.51;16.95;289000.0
2006-02-06;17.0;17.25;16.27;17.25;267500.0
2006-02-07;17.03;17.5;16.75;17.0;328600.0
2006-02-08;17.0;17.0;16.8;17.0;161300.0
2006-02-09;16.95;17.74;16.95;17.52;196600.0
2006-02-10;17.45;17.75;17.05;17.55;102500.0
2006-02-13;17.55;17.98;17.55;17.6;141100.0
2006-02-14;17.65;18.55;17.65;18.3;123300.0
2006-02-15;18.3;18.3;18.12;18.21;54500.0
2006-02-16;18.0;18.09;17.6;17.7;209900.0
2006-02-17;17.6;18.17;17.6;18.1;89300.0
2006-02-21;18.15;19.83;18.15;19.5;195100.0
2006-02-22;19.5;19.7;18.98;19.24;208400.0
2006-02-23;19.3;19.3;18.75;19.0;55700.0
2006-02-24;18.96;19.0;18.9;18.95;57800.0
2006-02-27;18.95;19.1;18.75;18.75;28900.0
2006-02-28;18.85;19.1;18.85;18.9;52900.0
2006-03-01;18.85;18.95;18.51;18.8;83500.0
2006-03-02;18.6;18.65;18.44;18.53;144300.0
2006-03-03;18.45;19.0;18.45;18.7;59300.0
2006-03-06;18.8;18.91;18.6;18.6;28200.0
2006-03-07;18.65;18.68;17.25;17.7;159000.0
2006-03-08;17.71;17.8;17.35;17.49;192800.0
2006-03-09;16.25;17.94;16.2;17.25;413900.0
2006-03-10;17.2;17.38;16.85;17.3;71400.0
2006-03-13;17.25;17.28;16.91;16.98;45500.0
2006-03-14;16.95;17.21;16.75;17.08;101500.0
2006-03-15;17.65;18.25;17.21;17.33;150300.0
2006-03-16;17.34;17.4;17.1;17.1;266000.0
2006-03-17;17.1;17.6;17.1;17.35;101500.0
2006-03-20;17.6;18.69;17.59;18.36;49900.0
2006-03-21;18.5;18.55;18.03;18.05;55900.0
2006-03-22;18.0;18.54;17.6;18.25;39200.0
2006-03-23;19.1;19.42;18.98;19.34;599400.0
2006-03-24;19.75;19.95;19.4;19.85;376900.0
2006-03-27;20.5;20.7;19.98;20.06;198400.0
2006-03-28;20.11;20.3;19.77;20.25;116100.0
2006-03-29;19.95;20.45;19.89;20.45;84500.0
2006-03-30;20.46;20.54;19.8;20.1;101800.0
2006-03-31;20.14;21.9;19.45;19.65;735200.0
2006-04-03;19.45;19.69;18.71;18.97;367500.0
2006-04-04;18.97;19.69;18.9;19.07;165600.0
2006-04-05;19.15;20.6;19.15;20.54;134800.0
2006-04-06;20.61;21.45;20.45;20.7;348800.0
2006-04-07;20.7;21.19;20.7;20.94;240200.0
2006-04-10;20.84;20.85;20.2;20.56;143800.0
2006-04-11;20.55;20.6;19.7;20.09;206600.0
2006-04-12;20.09;20.19;20.0;20.07;70300.0
2006-04-13;20.02;20.33;19.85;19.94;61100.0
2006-04-17;19.87;20.25;19.81;19.83;79300.0
2006-04-18;20.0;21.1;20.0;21.0;93200.0
2006-04-19;20.99;21.1;20.0;20.25;127600.0
2006-04-20;20.18;20.7;20.1;20.35;92700.0
2006-04-21;20.85;21.04;19.95;19.97;115000.0
2006-04-24;19.85;20.25;19.1;19.31;99000.0
2006-04-25;19.31;19.45;19.15;19.24;109400.0
2006-04-26;19.2;19.43;19.19;19.35;221500.0
2006-04-27;19.3;19.45;19.15;19.38;49000.0
2006-04-28;19.38;20.0;19.32;20.0;65100.0
2006-05-01;21.0;21.1;19.88;19.94;146200.0
2006-05-02;20.4;20.65;19.95;20.05;133500.0
2006-05-03;19.95;20.4;19.95;20.2;25600.0
2006-05-04;20.35;20.35;19.95;20.18;26300.0
2006-05-05;20.0;20.42;19.73;20.2;199400.0
2006-05-08;20.19;20.19;19.9;20.05;112100.0
2006-05-09;20.25;20.25;19.99;20.15;62600.0
2006-05-10;20.16;20.35;20.15;20.3;71300.0
2006-05-11;21.5;23.2;21.15;22.82;564000.0
2006-05-12;22.83;23.6;21.4;21.5;716000.0
2006-05-15;21.4;22.29;20.9;22.12;178000.0
2006-05-16;22.13;22.17;21.78;21.79;100300.0
