date;open;high;low;close;volume
2012-09-17;44.0;45.57;43.06;45.1;1300600.0
2012-09-18;45.82;45.99;45.0;45.67;1161500.0
2012-09-19;45.74;46.385;45.5;46.0;2803500.0
2012-09-20;45.94;46.9;45.5;46.45;4425700.0
2012-09-21;47.3;47.3;45.16;45.98;3876800.0
2012-09-24;46.5;46.5;45.08;46.0;1702400.0
2012-09-25;46.0;46.13;45.2;45.25;1135400.0
2012-09-26;45.8;45.91;44.75;44.75;1608500.0
2012-09-27;44.85;45.14;44.01;44.78;2144200.0
2012-09-28;45.05;46.5;44.2;44.635;3148600.0
2012-10-01;45.57;45.62;42.0;44.1;1.20314E7
2012-10-02;44.45;46.14;44.44;45.42;1.23145E7
2012-10-03;45.55;47.76;44.83;44.87;2.64269E7
2012-10-04;45.5;46.68;45.5;46.63;7550100.0
2012-10-05;46.5488;47.76;46.5;47.57;8998600.0
2012-10-08;47.92;48.0;46.5;46.59;6450000.0
2012-10-09;46.7;47.29;45.95;47.0;7724400.0
2012-10-10;47.28;47.53;46.2;46.35;9671700.0
2012-10-11;47.0;47.037;45.44;46.46;1.26647E7
2012-10-12;46.67;47.41;46.05;47.1;7384000.0
2012-10-15;47.17;47.68;46.78;46.96;7890200.0
2012-10-16;46.9;47.26;46.32;47.25;5934900.0
2012-10-17;47.4;47.74;46.55;46.65;3948700.0
2012-10-18;46.67;46.78;45.91;46.4;5681500.0
2012-10-19;46.33;46.498;45.9;46.0291;4863600.0
2012-10-22;46.2;46.85;46.15;46.62;4607700.0
2012-10-23;46.22;46.434;45.941;46.21;4141800.0
2012-10-24;46.08;46.62;45.21;45.5222;4924400.0
2012-10-25;45.73;46.17;45.42;45.91;2825100.0
2012-10-26;45.84;45.84;45.11;45.3;3235900.0
2012-10-31;45.62;46.2;44.8;45.46;3979000.0
2012-11-01;45.38;45.65;45.02;45.1302;3277400.0
2012-11-02;45.22;45.39;44.53;44.56;3751300.0
2012-11-05;44.47;44.82;44.4;44.77;2746300.0
2012-11-06;45.2;45.29;44.69;44.7;3821300.0
2012-11-07;45.5;45.57;44.31;44.57;4212600.0
2012-11-08;44.8;45.09;43.69;43.77;4163500.0
2012-11-09;43.82;44.28;43.4;43.66;3350200.0
2012-11-12;43.62;44.28;43.25;43.94;3004800.0
2012-11-13;43.81;44.26;43.65;43.9604;3198800.0
2012-11-14;44.15;44.96;43.67;44.34;4481900.0
2012-11-15;44.08;44.46;43.5;43.92;2993300.0
2012-11-16;43.81;44.31;43.46;44.1886;3576800.0
2012-11-19;44.47;45.0;44.28;44.89;2864400.0
2012-11-20;44.9;44.9;44.445;44.88;1751500.0
2012-11-21;44.81;45.14;44.4;44.51;1885600.0
2012-11-23;44.41;45.3;44.41;45.28;806000.0
2012-11-26;45.0;45.18;44.06;44.31;3627800.0
2012-11-27;44.31;45.47;44.1;45.33;3829900.0
2012-11-28;44.92;45.91;44.27;45.82;3388800.0
2012-11-29;45.96;46.01;45.5;45.94;2938300.0
2012-11-30;45.13;46.37;45.11;45.24;6090300.0
2012-12-03;45.26;45.87;45.1;45.69;3715400.0
2012-12-04;45.65;45.89;45.36;45.7;3727000.0
2012-12-05;45.91;46.6;45.67;45.78;3685500.0
2012-12-06;45.64;45.99;45.12;45.15;3546800.0
2012-12-07;45.39;45.4;44.46;44.67;3143400.0
2012-12-10;44.52;45.21;44.27;44.32;2144100.0
2012-12-11;44.32;44.99;44.32;44.83;4059500.0
2012-12-12;44.91;46.08;44.9;45.7;4532000.0
2012-12-13;46.13;46.2399;45.7;46.01;3084600.0
2012-12-14;46.22;46.63;46.1101;46.62;2688700.0
2012-12-17;46.64;46.65;45.99;46.33;3182900.0
2012-12-18;46.44;46.63;46.1;46.55;3283100.0
2012-12-19;46.4;46.6;46.05;46.36;2989200.0
2012-12-20;46.54;46.65;46.3;46.43;2879100.0
2012-12-21;46.0;46.43;45.49;45.53;4946400.0
2012-12-24;45.66;45.86;45.34;45.45;1289900.0
2012-12-26;45.41;45.44;44.61;44.65;2234200.0
2012-12-27;44.43;44.505;44.08;44.39;3377700.0
2012-12-28;44.36;44.6;44.15;44.41;2344800.0
2012-12-31;44.18;45.48;44.16;45.47;3517500.0
2013-01-02;46.49;46.5;45.38;45.76;4343500.0
2013-01-03;45.7;45.74;45.2067;45.58;2841700.0
2013-01-04;45.66;46.05;45.16;45.37;3283100.0
2013-01-07;45.2;46.07;45.15;46.03;3330100.0
2013-01-08;46.02;46.06;45.56;45.62;3346900.0
2013-01-09;45.61;46.5;45.61;46.39;2541900.0
2013-01-10;46.55;46.67;45.835;46.01;3333500.0
2013-01-11;46.2;46.44;45.8599;46.37;2190000.0
2013-01-14;46.64;46.97;46.36;46.849;2330300.0
2013-01-15;46.78;46.94;46.18;46.71;2681300.0
2013-01-16;46.76;47.1;46.43;46.51;4238100.0
2013-01-17;46.8;47.11;46.73;46.92;2474900.0
2013-01-18;47.0;47.09;46.59;47.051;2591800.0
2013-01-22;47.11;47.43;46.28;47.09;3119600.0
2013-01-23;47.13;47.2;46.65;46.74;2155900.0
2013-01-24;46.89;46.98;46.48;46.91;2985600.0
2013-01-25;47.34;47.53;46.99;47.14;2430500.0
2013-01-28;47.5;47.59;46.89;47.0;2386500.0
2013-01-29;47.01;47.38;46.83;47.05;1634200.0
2013-01-30;47.14;47.31;46.66;46.72;2197200.0
2013-01-31;46.5;46.71;46.18;46.22;3676400.0
2013-02-01;46.62;46.85;46.16;46.6;2150500.0
2013-02-04;46.78;46.86;46.17;46.4;2706000.0
2013-02-05;46.54;47.44;46.48;47.02;2533500.0
2013-02-06;47.0;47.45;46.87;47.01;2315200.0
2013-02-07;47.07;47.23;46.42;46.66;2579200.0
2013-02-08;46.93;47.06;46.5;46.9;2068100.0
2013-02-11;46.94;47.4;46.91;47.29;1849200.0
2013-02-12;47.49;47.5;47.05;47.24;1682300.0
2013-02-13;47.2;47.2;46.56;46.77;2007200.0
2013-02-14;47.4;47.65;46.87;47.16;5690600.0
2013-02-15;47.3;47.45;47.0;47.17;6103000.0
2013-02-19;47.21;47.8;47.21;47.37;5348800.0
2013-02-20;47.58;47.61;47.17;47.23;4175400.0
2013-02-21;47.23;47.3405;46.65;46.85;3304400.0
2013-02-22;47.05;47.54;46.85;47.46;3041800.0
2013-02-25;47.77;47.79;46.73;46.74;3112700.0
2013-02-26;46.92;47.4;46.8;47.27;3662500.0
2013-02-27;47.29;47.865;47.11;47.67;2741000.0
2013-02-28;47.81;48.91;47.73;48.48;4529100.0
2013-03-01;48.25;48.66;47.81;48.57;3231400.0
2013-03-04;48.4;49.165;48.4;49.15;3591500.0
2013-03-05;49.43;49.5;49.0;49.19;4323800.0
2013-03-06;49.57;49.75;49.11;49.19;2838600.0
2013-03-07;49.37;49.39;48.88;49.04;2681200.0
2013-03-08;49.37;50.0;49.23;49.71;3251200.0
2013-03-11;49.95;50.3284;49.79;49.99;4027800.0
2013-03-12;50.11;50.63;49.93;50.55;4667100.0
2013-03-13;50.49;50.835;49.95;50.74;3736800.0
2013-03-14;50.79;50.85;50.27;50.47;3559100.0
2013-03-15;50.16;50.65;49.93;50.27;2.10249E7
2013-03-18;49.94;50.83;49.85;50.65;3136200.0
2013-03-19;50.88;50.9;50.2;50.58;2762900.0
2013-03-20;51.05;51.57;50.93;51.51;4237600.0
2013-03-21;51.31;51.9;51.25;51.66;3650500.0
2013-03-22;51.85;52.29;51.03;51.19;1.3842E7
2013-03-25;51.51;51.95;51.0;51.25;1.22346E7
2013-03-26;51.07;51.38;50.86;51.36;2888400.0
2013-03-27;51.11;51.45;50.81;51.37;2593300.0
2013-03-28;51.31;51.7;51.14;51.53;3159500.0
2013-04-01;51.38;52.1;51.26;51.89;2814200.0
2013-04-02;51.99;52.51;51.64;52.37;3030300.0
2013-04-03;52.49;52.49;51.4;51.66;3133100.0
2013-04-04;51.66;52.0105;51.53;51.85;1665700.0
2013-04-05;51.5;51.54;51.144;51.24;3207500.0
2013-04-08;51.41;51.8;51.0;51.73;3032400.0
2013-04-09;51.75;52.21;50.51;50.7;3074800.0
2013-04-10;50.95;51.43;50.93;51.36;2983500.0
2013-04-11;51.61;51.93;50.89;51.0;4265100.0
2013-04-12;51.22;52.11;50.97;52.07;3352700.0
2013-04-15;51.74;51.88;50.71;50.72;3783400.0
2013-04-16;51.04;51.56;50.75;51.49;2330500.0
2013-04-17;51.11;51.23;50.13;50.42;3009500.0
2013-04-18;50.5;50.78;49.786;50.09;2957600.0
2013-04-19;49.86;50.72;49.86;50.35;2228000.0
2013-04-22;50.59;50.81;50.025;50.64;2121100.0
2013-04-23;50.87;51.23;50.365;51.19;2325900.0
2013-04-24;51.25;51.52;50.63;50.68;2494900.0
2013-04-25;50.9;51.31;50.685;51.28;2325200.0
2013-04-26;51.46;51.7;50.77;50.92;2547100.0
2013-04-29;51.27;52.06;51.25;51.57;2589400.0
2013-04-30;51.4001;51.73;51.08;51.49;2757600.0
2013-05-01;51.19;51.41;50.78;51.07;2059700.0
2013-05-02;51.16;51.89;50.04;50.53;4545000.0
2013-05-03;53.0;54.1;52.37;53.11;6136800.0
2013-05-06;53.07;53.65;52.608;53.39;3583200.0
2013-05-07;53.31;55.69;53.24;54.85;6666100.0
2013-05-08;54.93;55.125;54.2399;55.02;4018800.0
2013-05-09;55.5;55.57;54.7333;55.05;2787600.0
2013-05-10;55.19;55.54;55.05;55.22;3125700.0
2013-05-13;55.27;55.35;54.21;54.4;2899300.0
2013-05-14;54.3;54.81;53.95;54.77;2098400.0
2013-05-15;54.62;55.26;54.2;55.2;1588700.0
