date;open;high;low;close;volume
2014-02-06;16.5;16.99;16.5;16.99;7249600.0
2014-02-07;17.01;17.84;16.83;17.3;730700.0
2014-02-10;17.25;17.85;17.1;17.49;302500.0
2014-02-11;17.52;17.74;17.22;17.3;198200.0
2014-02-12;17.23;17.289;16.75;16.88;145800.0
2014-02-13;16.8;17.4;16.741;17.34;243200.0
2014-02-14;17.34;17.4;17.1;17.25;153900.0
2014-02-18;17.15;17.18;16.93;16.97;53800.0
2014-02-19;16.9;17.05;16.86;16.95;30100.0
2014-02-20;17.05;17.05;16.58;16.65;136200.0
2014-02-21;16.56;16.98;16.56;16.93;61800.0
2014-02-24;17.05;17.1;16.72;17.1;98500.0
2014-02-25;17.0;17.51;16.91;17.3;89700.0
2014-02-26;17.3;17.58;16.81;16.82;112000.0
2014-02-27;16.81;17.1199;16.8;16.93;226600.0
2014-02-28;16.8;17.14;16.75;17.0;130900.0
2014-03-03;16.75;17.017;16.72;16.83;599400.0
2014-03-04;17.07;17.19;16.9;17.05;228700.0
2014-03-05;17.0;17.05;16.81;16.84;145100.0
2014-03-06;16.88;17.43;16.88;17.28;905900.0
2014-03-07;17.45;19.0;17.38;18.6;500100.0
2014-03-10;18.65;18.89;18.5015;18.58;174100.0
2014-03-11;18.7;18.86;18.4;18.75;345500.0
2014-03-12;18.6;19.0;18.45;18.85;351000.0
2014-03-13;18.9;18.925;18.53;18.6;265700.0
2014-03-14;18.6;19.77;18.15;18.95;262300.0
2014-03-17;19.1;19.32;18.41;18.48;299800.0
2014-03-18;18.4;19.27;18.15;18.95;299000.0
2014-03-19;18.95;18.96;18.71;18.87;261800.0
2014-03-20;18.87;18.99;18.47;18.82;192200.0
2014-03-21;18.85;19.0;18.31;18.31;1566100.0
2014-03-24;18.51;19.07;18.27;18.89;196600.0
2014-03-25;18.91;19.3;18.7973;19.0;216700.0
2014-03-26;19.02;19.12;18.4;18.41;224800.0
2014-03-27;18.46;18.5999;18.22;18.46;184400.0
