date;open;high;low;close;volume
1990-03-26;22.5;22.75;22.5;22.75;3175.0
1990-03-27;22.5;22.75;22.5;22.75;9625.0
1990-03-28;22.5;22.75;22.5;22.62;14850.0
1990-03-29;22.5;22.75;22.5;22.75;975.0
1990-03-30;22.5;22.75;22.5;22.75;5625.0
1990-04-02;22.25;22.25;20.5;20.75;122625.0
1990-04-03;20.5;20.75;19.75;19.75;1426050.0
1990-04-04;19.5;20.5;19.5;20.25;246175.0
1990-04-05;20.25;20.88;19.75;19.88;161025.0
1990-04-06;20.25;20.25;19.75;20.0;52575.0
1990-04-09;19.75;20.0;19.75;19.88;94825.0
1990-04-10;19.88;24.0;19.88;23.0;283425.0
1990-04-11;23.25;23.25;22.0;22.5;147775.0
1990-04-12;22.25;22.5;21.5;21.75;96600.0
1990-04-16;22.25;22.5;22.0;22.5;236425.0
1990-04-17;22.5;22.75;22.0;22.38;557175.0
1990-04-18;22.38;22.5;22.0;22.0;18825.0
1990-04-19;22.0;22.25;22.0;22.25;96175.0
1990-04-20;22.0;22.25;22.0;22.25;8850.0
1990-04-23;22.25;22.25;21.75;21.75;62425.0
1990-04-24;21.75;22.12;21.75;22.12;82375.0
1990-04-25;21.75;22.25;21.75;22.0;23425.0
1990-04-26;22.0;22.0;21.5;21.5;9600.0
1990-04-27;21.5;22.0;21.5;21.5;89400.0
1990-04-30;21.5;21.75;21.5;21.5;37650.0
1990-05-01;21.75;22.0;21.5;21.62;10575.0
1990-05-02;22.0;22.0;21.5;21.75;32625.0
1990-05-03;22.0;22.0;21.5;21.5;5175.0
1990-05-04;21.5;22.0;21.0;21.12;102600.0
1990-05-07;21.38;21.75;21.0;21.0;62175.0
1990-05-08;21.5;21.5;21.25;21.25;162375.0
1990-05-09;21.5;21.75;21.25;21.75;63775.0
1990-05-10;21.75;21.75;21.5;21.5;3175.0
1990-05-11;21.75;22.25;21.75;21.75;6450.0
1990-05-14;22.0;23.0;22.0;22.5;33025.0
1990-05-15;22.38;22.75;22.25;22.75;11250.0
1990-05-16;23.0;23.0;22.25;22.25;5250.0
1990-05-17;23.0;23.5;22.75;23.0;42775.0
1990-05-18;23.25;23.25;22.5;22.5;14175.0
1990-05-21;22.5;23.25;22.5;23.25;40650.0
1990-05-22;23.0;23.5;23.0;23.0;5400.0
1990-05-23;23.0;23.25;22.75;23.25;7575.0
1990-05-24;23.25;23.25;22.75;22.75;5850.0
1990-05-25;22.75;23.0;22.75;23.0;24225.0
1990-05-29;22.75;22.75;22.5;22.5;15625.0
1990-05-30;22.38;22.5;22.25;22.25;7050.0
1990-05-31;22.25;22.25;22.25;22.25;4375.0
1990-06-01;22.25;22.5;22.25;22.25;2250.0
1990-06-04;22.25;22.75;22.25;22.75;625.0
1990-06-05;22.75;22.75;22.25;22.25;5425.0
1990-06-06;22.25;22.75;22.25;22.25;47775.0
1990-06-07;22.75;22.75;22.25;22.75;45025.0
1990-06-08;22.75;22.75;22.25;22.5;36375.0
1990-06-11;22.25;22.5;22.25;22.25;21975.0
1990-06-12;22.5;22.5;22.25;22.25;1425.0
1990-06-13;22.25;22.5;22.25;22.25;6225.0
1990-06-14;22.5;22.5;22.25;22.25;6450.0
1990-06-15;22.25;22.25;22.25;22.25;375.0
1990-06-18;22.25;22.5;21.5;21.5;23775.0
1990-06-19;21.25;21.75;21.25;21.75;825.0
1990-06-20;21.25;21.75;21.25;21.38;21000.0
1990-06-21;21.25;21.25;21.25;21.25;175.0
1990-06-22;21.25;21.25;21.25;21.25;25.0
1990-06-25;21.25;21.25;21.25;21.25;6975.0
1990-06-26;21.25;21.5;21.25;21.25;22975.0
1990-06-27;21.25;21.5;21.25;21.5;4375.0
1990-06-28;21.25;21.5;21.25;21.25;2400.0
1990-06-29;21.5;21.5;21.25;21.5;45975.0
1990-07-02;21.38;21.75;21.25;21.25;10650.0
1990-07-03;21.62;22.25;21.5;22.0;139800.0
1990-07-05;22.0;22.0;21.75;22.0;15600.0
1990-07-06;22.25;22.25;22.12;22.12;7800.0
1990-07-09;22.0;22.25;21.75;21.75;37825.0
1990-07-10;21.75;22.0;21.75;21.75;5400.0
1990-07-11;21.75;21.75;21.75;21.75;25.0
1990-07-12;22.25;22.25;21.75;22.25;2400.0
1990-07-13;21.75;22.75;21.75;22.75;26850.0
1990-07-16;22.5;22.5;22.5;22.5;2425.0
1990-07-17;22.5;22.75;22.5;22.5;15175.0
1990-07-18;22.5;23.0;22.5;22.5;41025.0
1990-07-19;22.5;22.75;22.5;22.5;49975.0
1990-07-20;22.5;22.75;22.5;22.75;5400.0
1990-07-23;22.5;22.62;22.25;22.5;33375.0
1990-07-24;22.25;22.75;22.0;22.75;12975.0
1990-07-25;22.75;22.75;22.75;22.75;0.0
1990-07-26;22.75;22.75;22.25;22.25;3600.0
1990-07-27;22.0;22.0;22.0;22.0;4225.0
1990-07-30;22.0;22.25;21.5;21.5;7650.0
1990-07-31;21.5;22.0;21.5;21.5;5575.0
1990-08-01;21.5;21.75;21.0;21.25;8625.0
1990-08-02;21.0;21.5;20.75;20.75;20250.0
1990-08-03;20.75;20.75;20.0;20.0;20850.0
1990-08-06;20.0;20.0;19.5;20.0;3600.0
1990-08-07;20.0;20.0;20.0;20.0;5175.0
1990-08-08;20.0;20.38;20.0;20.25;17025.0
1990-08-09;20.25;20.25;20.0;20.25;1650.0
1990-08-10;20.0;20.25;19.75;20.25;6225.0
1990-08-13;20.25;20.25;19.75;20.25;1225.0
1990-08-14;20.25;20.5;20.0;20.5;1800.0
1990-08-15;20.0;20.5;20.0;20.12;3775.0
1990-08-16;20.0;20.0;20.0;20.0;625.0
1990-08-17;19.75;20.0;19.75;19.75;16800.0
1990-08-20;19.5;19.5;19.5;19.5;975.0
1990-08-21;19.5;20.0;19.25;19.25;10825.0
1990-08-22;19.25;19.5;19.0;19.0;10425.0
1990-08-23;19.0;19.0;16.75;17.0;45825.0
1990-08-24;16.5;17.0;16.0;16.0;35400.0
1990-08-27;16.75;16.75;16.25;16.75;1225.0
1990-08-28;16.75;16.75;16.25;16.25;2025.0
1990-08-29;16.5;17.75;16.5;17.25;21625.0
1990-08-30;17.25;18.75;17.25;18.25;14775.0
1990-08-31;18.38;18.5;18.0;18.0;2775.0
1990-09-04;18.0;18.5;18.0;18.5;5575.0
1990-09-05;18.0;18.0;18.0;18.0;825.0
1990-09-06;18.5;18.5;18.5;18.5;375.0
1990-09-07;18.5;18.75;18.5;18.5;7425.0
1990-09-10;18.5;18.5;18.5;18.5;450.0
1990-09-11;18.5;19.0;18.5;19.0;1425.0
1990-09-12;19.0;19.0;18.5;18.5;9225.0
1990-09-13;18.5;18.5;16.75;16.75;60975.0
1990-09-14;16.75;18.0;16.5;17.88;43975.0
1990-09-17;17.88;18.25;17.75;17.75;6450.0
1990-09-18;17.75;18.0;17.5;17.5;15375.0
1990-09-19;18.0;18.0;17.5;17.75;16575.0
1990-09-20;17.5;18.0;17.5;17.5;1200.0
1990-09-21;17.5;18.0;17.5;17.5;13375.0
1990-09-24;17.5;18.0;16.75;17.25;21375.0
1990-09-25;16.75;17.0;16.5;16.75;22425.0
1990-09-26;16.5;16.5;15.5;16.0;22425.0
1990-09-27;15.5;15.5;14.75;15.0;22800.0
1990-09-28;15.0;16.0;15.0;15.5;17625.0
1990-10-01;16.0;16.0;15.75;16.0;8175.0
1990-10-02;16.25;16.25;15.5;16.0;12375.0
1990-10-03;16.0;16.0;16.0;16.0;3625.0
1990-10-04;15.5;15.75;15.25;15.25;7050.0
1990-10-05;15.5;16.0;15.5;15.5;12825.0
1990-10-08;16.0;16.0;15.75;15.75;5775.0
1990-10-09;15.5;15.75;15.25;15.25;6025.0
1990-10-10;15.0;15.25;14.75;15.0;7575.0
1990-10-11;15.0;15.5;14.75;15.0;7225.0
1990-10-12;14.25;14.5;14.0;14.38;36825.0
1990-10-15;14.0;14.5;14.0;14.0;4225.0
1990-10-16;14.5;14.5;14.0;14.5;2575.0
1990-10-17;14.5;14.5;14.0;14.0;975.0
1990-10-18;14.0;14.5;14.0;14.0;9450.0
1990-10-19;14.5;14.5;14.25;14.5;3600.0
1990-10-22;14.5;14.5;14.38;14.38;1975.0
1990-10-23;14.38;14.5;14.25;14.5;2250.0
1990-10-24;14.25;14.25;13.75;14.25;16050.0
1990-10-25;13.5;14.0;13.5;14.0;625.0
1990-10-26;13.75;14.0;13.12;13.5;171625.0
1990-10-29;13.5;13.5;13.0;13.38;27600.0
1990-10-30;13.0;13.5;13.0;13.0;12775.0
1990-10-31;13.0;13.5;13.0;13.0;3375.0
1990-11-01;13.5;14.0;13.25;14.0;8850.0
1990-11-02;14.0;14.5;13.5;14.5;26575.0
1990-11-05;14.5;14.5;14.0;14.5;2400.0
1990-11-06;14.0;14.5;14.0;14.5;33600.0
1990-11-07;14.5;15.5;14.5;15.0;30175.0
1990-11-08;15.5;15.5;15.0;15.5;11575.0
1990-11-09;15.5;16.75;15.5;16.5;28225.0
1990-11-12;16.5;16.62;16.25;16.5;36025.0
1990-11-13;16.25;16.75;16.0;16.0;18025.0
1990-11-14;16.75;16.75;16.0;16.0;1650.0
1990-11-15;16.0;16.5;15.88;16.0;21175.0
1990-11-16;16.0;17.0;16.0;17.0;132025.0
1990-11-19;17.25;17.75;17.25;17.25;36025.0
1990-11-20;17.0;17.5;17.0;17.0;15975.0
1990-11-21;17.0;17.5;17.0;17.12;19800.0
1990-11-23;17.25;17.25;17.0;17.0;625.0
1990-11-26;17.0;17.25;17.0;17.0;12000.0
1990-11-27;17.0;17.25;16.5;17.12;41575.0
1990-11-28;17.5;17.5;16.75;16.88;4575.0
1990-11-29;16.75;16.75;16.5;16.5;4200.0
1990-11-30;17.0;17.0;16.5;17.0;7050.0
1990-12-03;16.88;17.0;16.75;16.88;21600.0
1990-12-04;16.5;17.0;16.5;17.0;375.0
1990-12-05;17.0;17.0;17.0;17.0;375.0
1990-12-06;17.0;17.25;16.75;16.75;16575.0
1990-12-07;17.0;17.12;16.75;16.75;6775.0
1990-12-10;16.5;17.5;16.5;17.12;25200.0
1990-12-11;17.25;17.25;17.0;17.0;9375.0
1990-12-12;17.5;17.5;17.5;17.5;975.0
1990-12-13;17.0;17.25;16.75;16.88;10825.0
1990-12-14;17.25;17.25;16.75;17.25;15975.0
1990-12-17;17.0;17.5;17.0;17.5;30825.0
1990-12-18;17.0;17.5;17.0;17.5;2175.0
1990-12-19;17.5;17.5;17.0;17.0;3375.0
1990-12-20;17.0;17.5;17.0;17.5;1200.0
1990-12-21;17.5;17.5;17.0;17.0;2175.0
1990-12-24;17.0;17.12;17.0;17.0;6450.0
1990-12-26;17.0;17.5;17.0;17.5;2575.0
1990-12-27;17.0;17.38;17.0;17.0;14250.0
1990-12-28;17.25;17.25;17.0;17.0;14175.0
1990-12-31;16.75;17.0;16.75;16.75;3025.0
1991-01-02;17.25;17.25;16.75;16.88;10650.0
1991-01-03;16.75;17.25;16.75;17.25;18225.0
1991-01-04;17.0;17.0;15.75;16.38;25650.0
1991-01-07;15.88;16.25;15.75;16.25;8425.0
1991-01-08;16.0;16.25;15.75;15.75;26175.0
1991-01-09;16.38;16.5;15.75;15.75;8575.0
1991-01-10;15.88;16.0;15.75;15.75;20850.0
1991-01-11;15.75;15.75;15.75;15.75;1375.0
1991-01-14;15.5;16.0;15.25;15.75;5575.0
1991-01-15;16.0;16.0;15.5;16.0;6600.0
1991-01-16;16.25;16.75;16.0;16.75;30450.0
1991-01-17;17.0;17.62;17.0;17.25;10050.0
1991-01-18;17.5;17.75;17.25;17.25;11175.0
1991-01-21;17.0;17.5;17.0;17.5;5175.0
1991-01-22;17.5;18.75;17.5;18.25;23025.0
1991-01-23;18.25;18.75;18.25;18.25;6625.0
1991-01-24;19.0;19.5;18.75;18.75;32175.0
1991-01-25;19.25;19.25;18.75;19.0;4825.0
1991-01-28;18.75;19.5;18.75;19.0;3175.0
1991-01-29;18.75;18.75;18.75;18.75;775.0
1991-01-30;18.75;19.5;18.75;19.25;1050.0
1991-01-31;19.0;19.75;19.0;19.75;50575.0
1991-02-01;19.25;19.75;19.25;19.5;33625.0
1991-02-04;19.75;20.0;19.5;19.5;74425.0
1991-02-05;19.5;20.0;19.5;19.5;37375.0
1991-02-06;19.62;20.0;19.5;20.0;6825.0
1991-02-07;19.5;20.0;19.5;20.0;19800.0
1991-02-08;20.0;20.5;19.75;20.5;32400.0
1991-02-11;20.75;21.0;20.25;21.0;329850.0
1991-02-12;20.25;21.0;20.25;20.25;1800.0
1991-02-13;20.25;20.88;19.5;19.5;46050.0
1991-02-14;20.25;20.5;20.25;20.5;14425.0
1991-02-15;20.5;20.5;20.25;20.25;11425.0
1991-02-19;20.25;20.5;20.0;20.0;8175.0
1991-02-20;20.0;20.5;20.0;20.5;450.0
1991-02-21;20.0;20.0;20.0;20.0;450.0
1991-02-22;20.0;20.0;19.75;20.0;35025.0
1991-02-25;20.0;20.0;19.75;20.0;57000.0
1991-02-26;20.25;20.25;19.5;19.75;7975.0
1991-02-27;19.62;20.0;19.5;19.75;33225.0
1991-02-28;20.25;20.25;18.75;19.5;32400.0
1991-03-01;19.5;19.5;19.0;19.5;83625.0
1991-03-04;19.62;20.0;19.5;19.75;47425.0
1991-03-05;20.0;20.0;19.5;20.0;12625.0
1991-03-06;20.25;21.25;20.0;21.0;27775.0
1991-03-07;21.5;22.25;20.75;20.75;55800.0
1991-03-08;20.75;20.75;20.5;20.75;20625.0
1991-03-11;20.25;20.75;20.25;20.75;6625.0
1991-03-12;20.5;21.0;20.5;21.0;11025.0
1991-03-13;20.25;20.75;20.25;20.75;9775.0
1991-03-14;20.25;21.0;20.25;21.0;5425.0
1991-03-15;20.75;20.75;20.25;20.75;2175.0
1991-03-18;20.5;21.75;20.38;21.25;70375.0
1991-03-19;21.25;23.0;21.25;23.0;29425.0
1991-03-20;22.25;23.0;21.75;22.12;14025.0
1991-03-21;22.0;23.0;22.0;22.25;45025.0
1991-03-22;23.0;23.0;23.0;23.0;225.0
1991-03-25;22.25;23.0;22.25;22.25;4200.0
1991-03-26;22.5;22.75;22.0;22.0;11175.0
1991-03-27;22.75;23.25;22.75;22.75;22800.0
1991-03-28;22.75;23.25;22.75;22.75;3175.0
1991-04-01;22.75;23.25;22.5;22.75;52425.0
1991-04-02;23.0;23.0;22.25;22.25;17575.0
1991-04-03;22.25;22.75;22.25;22.25;24975.0
