date;open;high;low;close;volume
1992-11-18;13.0;14.0;12.0;12.25;3319200.0
1992-11-19;13.0;14.0;12.25;13.63;771000.0
1992-11-20;14.0;14.5;13.0;13.5;348000.0
1992-11-23;13.5;13.5;12.0;12.75;141000.0
1992-11-24;12.0;12.75;12.0;12.0;97200.0
1992-11-25;12.0;12.75;12.0;12.0;84000.0
1992-11-27;12.5;12.5;12.0;12.5;21000.0
1992-11-30;12.5;12.5;11.75;11.75;286200.0
1992-12-01;12.25;12.5;11.25;11.25;371400.0
1992-12-02;11.25;11.75;11.25;11.25;102000.0
1992-12-03;11.5;11.5;11.0;11.0;125400.0
1992-12-04;11.0;11.5;11.0;11.13;88200.0
1992-12-07;11.5;11.5;11.0;11.0;124200.0
1992-12-08;11.0;11.5;11.0;11.0;177600.0
1992-12-09;11.5;11.5;11.0;11.0;71400.0
1992-12-10;11.0;11.5;11.0;11.0;255000.0
1992-12-11;11.5;11.5;11.0;11.0;118800.0
1992-12-14;11.5;11.5;11.0;11.0;9000.0
1992-12-15;11.0;11.5;11.0;11.0;26400.0
1992-12-16;11.0;11.5;10.75;10.75;124200.0
1992-12-17;11.25;11.25;10.5;10.75;18000.0
1992-12-18;10.25;10.75;10.25;10.25;114600.0
1992-12-21;10.0;10.75;9.75;10.5;109800.0
1992-12-22;9.75;10.5;9.75;10.5;75600.0
1992-12-23;10.5;10.5;10.0;10.5;23400.0
1992-12-24;10.0;10.0;10.0;10.0;1200.0
1992-12-28;10.0;10.0;10.0;10.0;600.0
1992-12-29;10.0;10.75;10.0;10.0;9000.0
1992-12-30;10.0;10.75;10.0;10.75;24000.0
1992-12-31;10.0;10.75;9.5;10.5;149400.0
1993-01-04;10.5;12.25;10.5;12.25;34800.0
1993-01-05;12.25;12.25;11.0;11.25;80400.0
1993-01-06;10.75;11.25;10.5;10.75;34800.0
1993-01-07;10.5;11.25;10.5;10.5;6000.0
1993-01-08;10.75;11.0;9.75;10.5;48000.0
1993-01-11;10.5;11.0;9.75;11.0;13800.0
1993-01-12;10.5;11.0;10.25;11.0;7800.0
1993-01-13;10.63;10.75;10.25;10.75;1200.0
1993-01-14;10.5;10.75;10.0;10.25;21000.0
1993-01-15;10.75;10.75;10.0;10.75;3000.0
1993-01-18;10.75;10.75;10.0;10.75;16200.0
1993-01-19;10.25;10.75;8.75;9.5;60000.0
1993-01-20;8.75;9.5;8.75;9.13;16200.0
1993-01-21;9.5;9.5;8.75;8.75;108600.0
1993-01-22;9.5;9.5;8.75;9.5;34200.0
1993-01-25;11.0;11.75;10.5;11.0;234000.0
1993-01-26;11.5;11.5;10.25;10.63;52200.0
1993-01-27;11.0;11.0;10.25;10.75;16200.0
1993-01-28;10.75;10.75;10.25;10.75;26400.0
1993-01-29;10.75;10.75;10.0;10.75;6600.0
1993-02-01;10.75;10.75;10.0;10.75;19200.0
1993-02-02;10.75;10.75;10.0;10.0;16800.0
1993-02-03;10.0;10.75;10.0;10.75;1800.0
1993-02-04;10.0;10.75;10.0;10.75;6600.0
1993-02-05;10.0;10.75;9.75;10.25;75600.0
1993-02-08;10.5;10.5;9.75;9.88;25200.0
1993-02-09;9.75;10.25;9.75;9.75;3600.0
1993-02-10;10.25;10.25;9.75;10.25;3600.0
1993-02-11;10.25;10.25;9.75;10.25;2400.0
1993-02-12;9.75;10.25;9.75;9.75;600.0
1993-02-16;10.25;10.25;9.0;9.0;99000.0
1993-02-17;9.75;9.75;8.5;8.75;215400.0
1993-02-18;9.0;9.25;8.75;8.75;37200.0
1993-02-19;9.5;10.0;9.0;9.25;42600.0
1993-02-22;9.75;10.5;9.5;10.0;46800.0
1993-02-23;10.25;10.25;9.5;10.0;40800.0
1993-02-24;10.25;10.25;9.75;10.25;34800.0
1993-02-25;9.25;10.25;9.25;10.0;12000.0
1993-02-26;9.75;10.25;9.75;10.25;2400.0
1993-03-01;10.25;10.25;9.75;9.75;6000.0
1993-03-02;10.25;10.25;9.75;10.25;3000.0
1993-03-03;10.25;10.25;9.75;10.25;8400.0
1993-03-04;10.25;10.25;9.75;10.25;41400.0
1993-03-05;10.25;10.38;9.75;10.38;145200.0
1993-03-08;10.75;11.5;10.0;11.0;43800.0
1993-03-09;11.5;11.5;10.75;10.75;15600.0
1993-03-10;11.25;11.25;10.75;10.75;15600.0
1993-03-11;11.0;11.0;10.5;11.0;15000.0
1993-03-12;10.5;11.0;10.5;10.75;2400.0
1993-03-15;11.0;11.0;10.0;10.38;16200.0
1993-03-16;10.75;10.75;10.0;10.75;2400.0
1993-03-17;10.75;10.75;10.0;10.13;3000.0
1993-03-18;10.75;10.75;10.0;10.75;6600.0
1993-03-19;10.75;10.75;10.0;10.38;5400.0
1993-03-22;10.5;10.5;9.5;9.5;24600.0
1993-03-23;10.0;10.0;9.25;9.5;14400.0
1993-03-24;9.0;9.5;9.0;9.25;8400.0
1993-03-25;9.5;9.75;9.0;9.75;7200.0
1993-03-26;9.25;10.0;9.25;10.0;15000.0
1993-03-29;10.0;10.0;9.25;10.0;600.0
1993-03-30;9.25;9.88;9.25;9.25;10800.0
1993-03-31;10.0;10.0;9.25;9.75;4200.0
1993-04-01;10.0;10.25;9.25;10.13;12000.0
1993-04-02;10.0;10.25;10.0;10.0;2400.0
1993-04-05;10.0;10.25;9.75;10.0;7200.0
1993-04-06;10.5;10.5;9.75;9.75;1800.0
1993-04-07;9.75;10.5;9.75;10.0;10800.0
1993-04-08;9.75;10.5;9.25;9.25;9000.0
1993-04-12;9.25;10.0;9.25;10.0;6000.0
1993-04-13;10.0;10.0;9.25;9.38;3000.0
1993-04-14;10.0;10.0;9.25;9.25;311400.0
1993-04-15;10.0;10.0;9.63;9.63;600.0
1993-04-16;9.25;10.0;9.25;9.63;6000.0
1993-04-19;9.25;10.0;9.25;9.25;4200.0
1993-04-20;9.25;9.25;9.25;9.25;1800.0
1993-04-21;9.25;9.5;9.25;9.25;9000.0
1993-04-22;9.5;9.63;9.25;9.63;3000.0
1993-04-23;10.0;10.0;9.25;10.0;1200.0
1993-04-26;10.0;10.0;9.25;9.25;2400.0
1993-04-27;9.25;9.75;9.25;9.25;10800.0
1993-04-28;9.0;9.75;9.0;9.25;3000.0
1993-04-29;9.5;9.5;9.5;9.5;0.0
1993-04-30;9.5;9.75;9.5;9.75;600.0
1993-05-03;9.5;9.5;8.75;9.25;1200.0
1993-05-04;8.75;9.5;8.75;9.25;3600.0
1993-05-05;9.5;9.5;8.75;8.88;27000.0
1993-05-06;8.75;9.5;8.75;9.0;7800.0
1993-05-07;8.75;9.5;8.75;9.0;151800.0
1993-05-10;8.75;9.5;8.75;9.5;1800.0
1993-05-11;9.5;9.5;8.75;9.0;5400.0
1993-05-12;9.5;9.5;8.75;9.5;4800.0
1993-05-13;8.75;9.5;8.75;9.13;29400.0
1993-05-14;8.75;9.5;8.75;8.75;5400.0
1993-05-17;8.75;9.5;8.75;9.0;12600.0
1993-05-18;8.75;10.75;8.75;10.63;49800.0
1993-05-19;10.5;10.75;10.0;10.75;18000.0
1993-05-20;10.0;10.75;10.0;10.0;1200.0
1993-05-21;10.0;10.25;10.0;10.0;12600.0
1993-05-24;10.0;10.75;10.0;10.0;20400.0
1993-05-25;10.0;10.5;10.0;10.5;9600.0
1993-05-26;10.5;10.5;10.0;10.5;11400.0
1993-05-27;10.5;10.5;10.0;10.5;1200.0
1993-05-28;10.0;10.13;10.0;10.0;76800.0
1993-06-01;10.5;10.5;10.5;10.5;600.0
1993-06-02;10.5;10.5;10.0;10.0;600.0
1993-06-03;10.5;10.5;10.0;10.0;7800.0
1993-06-04;10.0;10.25;9.5;9.5;19800.0
1993-06-07;9.5;10.0;9.25;9.25;3600.0
1993-06-08;9.25;9.63;9.0;9.25;6600.0
1993-06-09;9.0;9.5;9.0;9.5;7800.0
1993-06-10;9.0;9.5;8.75;9.5;62400.0
1993-06-11;9.5;9.5;8.75;9.5;600.0
1993-06-14;8.75;9.5;8.75;9.13;2400.0
1993-06-15;8.75;9.0;8.75;8.75;12000.0
1993-06-16;9.0;9.75;8.75;9.75;8400.0
1993-06-17;8.75;9.75;8.75;8.75;600.0
1993-06-18;9.0;9.0;9.0;9.0;1200.0
1993-06-21;9.75;9.75;9.75;9.75;6600.0
1993-06-22;9.75;9.75;9.0;9.0;0.0
1993-06-23;9.75;9.75;9.0;9.0;4200.0
1993-06-24;9.75;9.75;9.75;9.75;0.0
1993-06-25;9.75;9.75;9.75;9.75;0.0
1993-06-28;9.75;9.75;9.75;9.75;1800.0
1993-06-29;10.0;10.0;9.25;9.25;4200.0
1993-06-30;10.13;10.13;9.25;9.5;2400.0
1993-07-01;9.25;10.25;9.25;9.25;5400.0
1993-07-02;9.25;9.75;9.25;9.75;1200.0
1993-07-06;10.0;10.25;10.0;10.25;1800.0
1993-07-07;10.25;10.5;9.75;10.0;12600.0
1993-07-08;10.0;10.75;9.75;10.25;3600.0
1993-07-09;9.75;9.75;9.75;9.75;1800.0
1993-07-12;9.75;9.75;9.75;9.75;1200.0
1993-07-13;9.75;10.5;9.75;9.75;4200.0
1993-07-14;9.75;10.5;9.75;9.75;1800.0
1993-07-15;9.75;10.25;9.5;10.25;12600.0
1993-07-16;9.5;10.0;9.5;9.5;3000.0
1993-07-19;10.25;10.25;9.38;10.25;13200.0
1993-07-20;10.25;10.25;10.25;10.25;0.0
1993-07-21;10.25;10.25;10.25;10.25;0.0
1993-07-22;9.25;10.25;9.25;10.25;0.0
1993-07-23;9.25;10.25;9.25;10.25;2400.0
1993-07-26;9.25;9.25;9.25;9.25;0.0
1993-07-27;9.5;9.75;9.5;9.5;16200.0
1993-07-28;9.5;9.5;9.5;9.5;2400.0
1993-07-29;9.5;10.25;9.5;9.5;0.0
1993-07-30;9.5;10.5;9.5;10.5;25800.0
1993-08-02;10.25;10.25;9.75;9.75;1200.0
1993-08-03;9.75;9.88;9.75;9.75;600.0
1993-08-04;9.75;9.75;9.75;9.75;0.0
1993-08-05;10.5;10.5;9.75;9.75;2400.0
1993-08-06;10.5;10.5;9.75;9.75;2400.0
1993-08-09;9.75;10.25;9.75;10.0;3600.0
1993-08-10;10.0;10.25;9.63;9.75;4200.0
1993-08-11;9.75;10.25;9.5;10.25;1800.0
1993-08-12;9.5;10.25;9.5;9.63;5400.0
1993-08-13;10.25;10.25;9.5;9.5;600.0
1993-08-16;10.25;10.25;10.25;10.25;6000.0
1993-08-17;10.0;10.0;9.5;9.5;4800.0
1993-08-18;10.0;10.0;9.5;10.0;53400.0
