date;open;high;low;close;volume
1984-10-05;32.12;33.88;31.88;31.88;2054000.0
1984-10-08;34.0;34.0;33.12;33.88;65800.0
1984-10-09;33.38;33.75;33.25;33.5;61400.0
1984-10-10;33.62;33.62;33.0;33.25;14200.0
1984-10-11;33.12;34.12;33.12;34.12;87700.0
1984-10-12;34.25;34.38;34.0;34.0;70500.0
1984-10-15;34.12;34.5;33.75;34.5;80500.0
1984-10-16;34.75;36.0;34.75;35.38;255300.0
1984-10-17;35.12;35.12;34.25;34.5;33500.0
1984-10-18;35.0;35.38;34.5;35.38;15300.0
1984-10-19;36.0;37.25;36.0;36.5;513300.0
1984-10-22;35.5;36.5;35.5;35.75;206000.0
1984-10-23;35.75;36.75;35.75;36.25;71100.0
1984-10-24;36.12;36.88;36.0;36.25;110700.0
1984-10-25;36.12;36.38;36.0;36.12;106700.0
1984-10-26;36.0;36.25;35.75;35.75;85400.0
1984-10-29;36.0;36.25;35.75;36.25;60900.0
1984-10-30;36.25;38.75;36.25;37.88;178100.0
1984-10-31;37.62;38.5;37.25;38.5;62900.0
1984-11-01;38.5;41.5;38.5;39.75;560800.0
1984-11-02;39.5;39.75;39.25;39.75;93500.0
1984-11-05;39.62;39.75;39.5;39.5;67600.0
1984-11-06;39.62;40.25;39.38;40.0;102700.0
1984-11-07;40.0;40.12;39.75;40.0;146200.0
1984-11-08;39.75;39.88;39.5;39.5;50900.0
1984-11-09;39.25;40.88;39.25;40.5;89200.0
1984-11-12;40.5;40.5;39.62;40.5;57900.0
1984-11-13;40.5;40.5;39.88;40.5;71000.0
1984-11-14;40.0;40.38;39.62;40.38;113200.0
1984-11-15;40.12;40.25;39.88;40.12;108700.0
1984-11-16;40.0;40.12;39.0;39.38;229800.0
1984-11-19;39.12;39.38;37.25;37.5;24800.0
1984-11-20;37.38;38.0;37.38;37.75;22900.0
1984-11-21;37.62;38.62;37.62;38.25;29800.0
1984-11-23;38.25;39.75;38.25;39.75;32800.0
1984-11-26;39.88;39.88;39.0;39.38;21700.0
1984-11-27;39.5;39.5;39.25;39.25;17500.0
1984-11-28;39.0;39.38;38.5;38.62;131600.0
1984-11-29;38.38;38.38;37.12;37.12;19500.0
1984-11-30;37.12;37.62;36.75;37.38;42600.0
1984-12-03;37.25;37.25;36.38;37.0;467000.0
1984-12-04;36.88;37.0;36.5;37.0;7700.0
1984-12-05;36.75;37.38;36.75;37.0;61900.0
1984-12-06;37.25;37.88;37.12;37.75;21000.0
1984-12-07;37.75;38.25;37.5;37.75;67500.0
1984-12-10;37.62;37.62;37.0;37.0;18700.0
1984-12-11;37.25;37.5;37.0;37.5;13600.0
1984-12-12;37.12;37.75;37.12;37.5;30200.0
1984-12-13;37.38;38.0;37.25;37.75;35500.0
1984-12-14;37.5;37.88;37.5;37.88;9400.0
1984-12-17;37.62;37.88;37.25;37.75;8300.0
1984-12-18;38.0;39.25;37.88;39.25;173500.0
1984-12-19;39.5;39.75;39.25;39.5;62900.0
1984-12-20;39.25;39.75;39.12;39.38;43500.0
1984-12-21;39.25;39.5;39.25;39.25;30600.0
1984-12-24;39.25;39.38;38.75;39.25;81600.0
1984-12-26;39.5;39.5;38.75;38.75;3400.0
1984-12-27;38.75;38.75;38.0;38.25;25200.0
1984-12-28;38.5;38.5;38.12;38.12;8900.0
1984-12-31;38.12;39.38;38.12;39.0;25800.0
1985-01-02;38.75;39.38;38.75;39.38;33200.0
1985-01-03;39.12;39.25;38.25;38.75;14900.0
1985-01-04;38.0;38.0;37.5;37.62;39300.0
1985-01-07;37.75;38.75;37.75;38.0;33400.0
1985-01-08;38.0;38.0;37.75;37.75;84600.0
1985-01-09;37.75;37.75;37.5;37.75;106300.0
1985-01-10;37.88;38.75;37.75;38.75;96900.0
1985-01-11;38.88;38.88;37.88;37.88;33400.0
1985-01-14;37.62;38.62;37.5;38.38;166700.0
1985-01-15;39.38;40.25;39.38;40.0;84600.0
1985-01-16;39.88;39.88;39.25;39.62;22800.0
1985-01-17;39.88;39.88;39.0;39.25;115400.0
1985-01-18;39.25;39.25;38.62;39.25;73100.0
1985-01-21;39.75;41.25;39.5;40.75;137200.0
1985-01-22;40.5;41.38;40.25;40.38;82300.0
1985-01-23;40.25;40.25;39.5;40.25;67900.0
1985-01-24;41.0;41.25;39.75;40.0;50900.0
1985-01-25;40.25;40.75;39.5;39.5;41600.0
1985-01-28;39.88;40.0;39.5;39.75;85400.0
1985-01-29;39.88;40.5;39.75;40.5;23300.0
1985-01-30;41.5;41.62;40.75;40.75;71400.0
1985-01-31;41.0;41.5;41.0;41.38;73500.0
