date;open;high;low;close;volume
2008-06-10;74.0;77.35;72.55;76.63;3.2302E7
2008-06-11;76.8;78.56;76.65;77.18;5462500.0
2008-06-12;78.24;79.0;74.0;75.12;4406800.0
2008-06-13;75.5;76.0;72.55;72.76;5141500.0
2008-06-16;72.63;73.15;70.35;70.75;3294900.0
2008-06-17;72.28;73.5;71.25;71.58;2494800.0
2008-06-18;72.28;73.0;71.0;71.75;5107100.0
2008-06-19;72.48;72.48;70.93;71.33;3860600.0
2008-06-20;70.36;71.46;70.0;70.91;2102700.0
2008-06-23;70.91;71.48;68.5;70.17;3181200.0
2008-06-24;70.84;72.15;68.4;68.83;2928900.0
2008-06-25;69.25;73.22;69.1472;71.59;4648000.0
2008-06-26;70.05;71.4;68.52;68.91;2933600.0
2008-06-27;69.12;69.85;66.7;67.98;2238700.0
2008-06-30;67.03;69.54;67.03;69.16;1377000.0
2008-07-01;67.35;68.34;62.7;68.0;6986500.0
2008-07-02;68.15;69.08;67.97;68.25;1130500.0
2008-07-03;69.0;69.0;66.92;67.26;898800.0
2008-07-07;67.43;69.2;66.47;68.24;1102300.0
2008-07-08;67.62;68.86;66.66;68.71;2120500.0
2008-07-09;68.0;68.78;67.08;67.41;1220900.0
2008-07-10;66.5;70.76;66.5;70.52;2076000.0
2008-07-11;69.29;71.47;69.25;70.5;2752600.0
2008-07-14;71.51;72.25;69.94;70.93;1461900.0
2008-07-15;70.18;71.54;69.0435;69.69;1783300.0
2008-07-16;69.43;70.07;67.76;68.03;1443900.0
2008-07-17;67.16;69.77;66.49;69.05;2479600.0
2008-07-18;68.77;69.49;67.71;68.5;1739200.0
2008-07-21;69.0;69.26;67.38;67.69;1391200.0
2008-07-22;67.69;69.41;67.15;69.35;1537800.0
2008-07-23;69.17;69.98;67.75;69.61;1486400.0
2008-07-24;69.92;69.92;66.39;66.99;1886300.0
2008-07-25;66.66;67.88;64.95;66.0;2322700.0
2008-07-28;65.0;69.0;63.54;68.73;3001500.0
2008-07-29;69.73;70.37;68.34;70.02;1653300.0
2008-07-30;70.27;71.5;68.05;68.72;1725700.0
2008-07-31;67.57;69.22;66.03;67.11;2953100.0
2008-08-01;67.31;68.5;66.83;67.44;2613000.0
2008-08-04;67.48;68.59;67.47;67.57;1230900.0
2008-08-05;68.35;69.93;67.6;69.93;1370600.0
2008-08-06;71.39;71.39;67.55;68.55;2051200.0
2008-08-07;67.36;68.02;66.63;67.31;1300300.0
2008-08-08;66.94;68.62;66.84;68.41;2361600.0
2008-08-11;68.18;70.2;68.18;70.2;1512600.0
2008-08-12;69.5;69.9;68.63;69.3;1327800.0
2008-08-13;68.9;70.49;68.9;69.88;2148700.0
2008-08-14;69.05;70.43;68.9;69.97;1028100.0
2008-08-15;69.99;72.98;69.95;72.48;1545600.0
2008-08-18;72.62;72.93;71.84;72.53;757300.0
2008-08-19;71.67;73.15;71.25;72.09;2004700.0
2008-08-20;72.07;72.25;70.379;71.79;1067900.0
2008-08-21;71.3;72.01;70.57;71.75;2395300.0
2008-08-22;71.75;72.18;70.98;72.17;2161800.0
2008-08-25;71.71;72.14;71.33;72.0;2431000.0
2008-08-26;71.91;72.12;71.25;71.91;4162300.0
2008-08-27;72.48;72.73;71.1;72.58;1599800.0
2008-08-28;72.51;73.57;71.28;73.55;1180000.0
2008-08-29;73.68;73.98;72.0;72.24;1107800.0
2008-09-02;73.55;74.2;73.07;73.46;1363700.0
2008-09-03;73.01;74.2;70.91;71.33;1581200.0
2008-09-04;70.56;71.63;69.5;69.66;2477200.0
2008-09-05;70.95;74.9;70.75;74.09;3222100.0
2008-09-08;75.58;77.39;74.23;75.69;3167600.0
2008-09-09;76.0;76.0;72.82;72.91;2996100.0
2008-09-10;73.97;73.97;71.99;73.3;2995700.0
2008-09-11;73.06;75.13;72.48;75.0;1945600.0
2008-09-12;74.36;77.14;74.36;77.14;1716000.0
2008-09-15;74.68;76.24;73.07;74.02;2630100.0
2008-09-16;73.13;75.19;72.5;73.13;3694400.0
2008-09-17;72.01;73.98;68.53;68.85;4309500.0
2008-09-18;69.86;73.75;66.85;71.0;5849700.0
2008-09-19;72.0;73.78;67.98;72.14;4511000.0
2008-09-22;71.25;72.43;68.86;69.03;1518900.0
2008-09-23;69.38;70.92;69.19;69.52;1168200.0
2008-09-24;69.3;69.88;67.66;68.93;2605100.0
2008-09-25;69.59;72.23;68.86;71.99;2880700.0
2008-09-26;70.73;74.54;70.14;74.12;2357400.0
2008-09-29;73.32;74.18;67.25;68.49;3538100.0
2008-09-30;69.84;71.76;69.42;71.15;2062400.0
2008-10-01;70.01;71.91;69.49;69.85;1791100.0
2008-10-02;69.85;70.09;67.46;67.62;4529900.0
2008-10-03;68.5;68.92;66.39;66.83;2943100.0
2008-10-06;65.55;66.6;60.27;64.29;4939500.0
2008-10-07;65.2;66.03;62.01;62.25;2578000.0
2008-10-08;60.62;64.9;60.0;63.73;6179500.0
2008-10-09;64.42;64.42;57.52;60.36;3920000.0
2008-10-10;57.59;61.8;53.3;59.0;5784300.0
2008-10-13;60.0;65.04;59.04;64.45;2644200.0
2008-10-14;65.43;67.28;57.68;60.24;3299600.0
2008-10-15;59.18;60.65;56.23;56.72;2923100.0
2008-10-16;57.47;57.47;54.0;55.83;3855500.0
2008-10-17;54.51;60.0;53.74;57.73;3803800.0
2008-10-20;58.0;60.02;57.08;59.03;2035700.0
2008-10-21;58.36;63.61;58.36;61.68;3081000.0
2008-10-22;59.2;61.41;58.45;60.46;2992000.0
2008-10-23;61.3;63.18;58.7;61.73;3014500.0
2008-10-24;57.52;61.2;56.65;58.13;2516000.0
2008-10-27;57.65;62.96;57.47;60.43;3772400.0
2008-10-28;61.48;67.67;58.34;67.15;3767700.0
2008-10-29;67.15;67.15;62.95;63.48;3211200.0
2008-10-30;65.75;66.26;63.84;65.4;2140800.0
2008-10-31;66.2;67.05;64.72;65.86;2525500.0
2008-11-03;65.51;65.76;61.09;62.25;1837900.0
2008-11-04;62.5;63.67;61.88;62.46;1929500.0
